,Symbol,Type,Freq,Emp.p_value,q_value
1000002403_Act,GO::RNA-dependent DNA biosynthetic process,Act,0.2777777777777778,0.0,0.0
1000009240_Act,kegg::Human papillomavirus infection - Homo sapiens (human),Act,0.8055555555555556,0.0,0.0
1000001596_LoF,GO::positive regulation of transcription; DNA-templated,LoF,0.7638888888888888,0.0,0.0
1000009246_Act,kegg::Pathways in cancer - Homo sapiens (human),Act,0.8194444444444444,0.0,0.0
1000002240_Act,GO::cell adhesion,Act,0.8472222222222222,0.0,0.0
1000002717_Act,GO::negative regulation of transcription by RNA polymerase II,Act,0.8611111111111112,0.0,0.0
1000002925_Act,GO::protein phosphorylation,Act,0.7916666666666666,0.0,0.0
1000000646_Act,GO::neutrophil degranulation,Act,0.7638888888888888,0.0,0.0
1000003268_Act,GO::biological-process,Act,0.7361111111111112,0.0,0.0
1000009099_Act,kegg::PI3K-Akt signaling pathway - Homo sapiens (human),Act,0.7777777777777778,0.0,0.0
1000004873_LoF,GO::regulation of transcription by RNA polymerase II,LoF,0.8333333333333334,0.0,0.0
1000000390_Act,GO::apoptotic process,Act,0.7916666666666666,0.0,0.0
1000005774_Act,GO::multicellular organism development,Act,0.7777777777777778,0.0,0.0
1000005974_Act,GO::cell differentiation,Act,0.7638888888888888,0.0,0.0
1000001373_Act,GO::oxidation-reduction process,Act,0.7777777777777778,0.0,0.0
1000006301_Act,GO::positive regulation of apoptotic process,Act,0.8055555555555556,0.0,0.0
1000006303_Act,GO::negative regulation of apoptotic process,Act,0.8194444444444444,0.0,0.0
1000007445_Act,GO::positive regulation of gene expression,Act,0.7916666666666666,0.0,0.0
1000006831_Act,GO::negative regulation of cell proliferation,Act,0.7777777777777778,0.0,0.0
1000006830_Act,GO::positive regulation of cell proliferation,Act,0.8055555555555556,0.0,0.0
1000009071_Act,kegg::Rap1 signaling pathway - Homo sapiens (human),Act,0.7222222222222222,0.0,0.0
1000006780_Act,GO::intracellular signal transduction,Act,0.75,0.0,0.0
1000006152_Act,GO::positive regulation of transcription by RNA polymerase II,Act,0.9305555555555556,0.0,0.0
7015_Act,TERT,Act,0.20833333333333334,0.001,0.0105
84133_LoF,ZNRF3,LoF,0.2222222222222222,0.0007,0.0105
1000004004_Act,GO::establishment of protein localization to telomere,Act,0.2777777777777778,0.001,0.026750000000000003
1000009121_Act,kegg::Focal adhesion - Homo sapiens (human),Act,0.7083333333333334,0.002,0.04938461538461539
1000000687_Act,GO::negative regulation of production of siRNA involved in RNA interference,Act,0.2222222222222222,0.002,0.04938461538461539
5573_LoF,PRKAR1A,LoF,0.1111111111111111,0.0098,0.056175
1029_LoF,CDKN2A,LoF,0.09722222222222222,0.0107,0.056175
1000002791_Act,GO::replicative senescence,Act,0.4027777777777778,0.003,0.0687857142857143
1000001375_Act,GO::Wnt signaling pathway,Act,0.6944444444444444,0.003,0.0687857142857143
80755_LoF,AARSD1,LoF,0.05555555555555555,0.0495,0.07965000000000001
5925_LoF,RB1,LoF,0.06944444444444445,0.0261,0.07965000000000001
4046_LoF,LSP1,LoF,0.05555555555555555,0.0495,0.07965000000000001
83959_LoF,SLC4A11,LoF,0.05555555555555555,0.0495,0.07965000000000001
64324_Act,NSD1,Act,0.06944444444444445,0.0531,0.07965000000000001
473_LoF,RERE,LoF,0.06944444444444445,0.0261,0.07965000000000001
6569_Act,SLC34A1,Act,0.08333333333333333,0.0321,0.07965000000000001
90019_LoF,SYT8,LoF,0.05555555555555555,0.0495,0.07965000000000001
3859_LoF,KRT12,LoF,0.05555555555555555,0.0495,0.07965000000000001
7153_LoF,TOP2A,LoF,0.05555555555555555,0.0495,0.07965000000000001
26539_Act,OR10H1,Act,0.05555555555555555,0.0804,0.0804
57834_Act,CYP4F11,Act,0.05555555555555555,0.0804,0.0804
26993_Act,AKAP8L,Act,0.05555555555555555,0.0804,0.0804
4218_Act,RAB8A,Act,0.05555555555555555,0.0804,0.0804
4854_Act,NOTCH3,Act,0.05555555555555555,0.0804,0.0804
10270_Act,AKAP8,Act,0.05555555555555555,0.0804,0.0804
3954_Act,LETM1,Act,0.05555555555555555,0.0804,0.0804
1000009267_Act,kegg::Hepatocellular carcinoma - Homo sapiens (human),Act,0.6944444444444444,0.004,0.08560000000000001
1000000380_LoF,GO::regulation of Wnt signaling pathway; planar cell polarity pathway,LoF,0.25,0.004,0.08560000000000001
1000002846_LoF,GO::Wnt receptor catabolic process,LoF,0.2222222222222222,0.005,0.1035483870967742
1000003928_Act,GO::Golgi vesicle fusion to target membrane,Act,0.2222222222222222,0.007,0.13618181818181818
1000000962_Act,GO::transcription; RNA-templated,Act,0.2222222222222222,0.007,0.13618181818181818
1000007886_Act,GO::beta-catenin-TCF complex assembly,Act,0.4861111111111111,0.008,0.15105882352941177
1000003484_LoF,GO::negative regulation of non-canonical Wnt signaling pathway,LoF,0.2222222222222222,0.01,0.18342857142857144
1000009241_Act,kegg::Human T-cell leukemia virus 1 infection - Homo sapiens (human),Act,0.6944444444444444,0.012,0.214
1000005818_Act,GO::positive regulation of protein localization to nucleolus,Act,0.2222222222222222,0.015,0.25342105263157894
1000003219_Act,GO::RNA biosynthetic process,Act,0.2222222222222222,0.015,0.25342105263157894
1000009238_Act,kegg::Human cytomegalovirus infection - Homo sapiens (human),Act,0.6944444444444444,0.017,0.27984615384615386
1000001332_Act,GO::chemical synaptic transmission,Act,0.6944444444444444,0.021,0.30640909090909096
1000001682_Act,GO::intracellular protein transport,Act,0.7083333333333334,0.02,0.30640909090909096
1000001428_Act,GO::protein autophosphorylation,Act,0.6666666666666666,0.021,0.30640909090909096
1000009068_Act,kegg::MAPK signaling pathway - Homo sapiens (human),Act,0.7083333333333334,0.02,0.30640909090909096
1000005118_Act,GO::positive regulation of protein binding,Act,0.5694444444444444,0.021,0.30640909090909096
1000009266_Act,kegg::Breast cancer - Homo sapiens (human),Act,0.6527777777777778,0.025,0.35666666666666674
1000004924_Act,GO::sodium ion import across plasma membrane,Act,0.3472222222222222,0.03,0.4186956521739131
1000008835_Act,GO::production of siRNA involved in RNA interference,Act,0.2916666666666667,0.031,0.4234468085106383
1000004656_LoF,GO::positive regulation of macrophage apoptotic process,LoF,0.1388888888888889,0.033,0.43236734693877554
1000009191_Act,kegg::Cushing syndrome - Homo sapiens (human),Act,0.6527777777777778,0.033,0.43236734693877554
1000000113_Act,GO::peptidyl-tyrosine phosphorylation,Act,0.625,0.037,0.46576470588235297
1000006565_Act,GO::negative regulation of cellular senescence,Act,0.3888888888888889,0.037,0.46576470588235297
1000007996_Act,GO::telomere maintenance via telomerase,Act,0.4027777777777778,0.04,0.4938461538461539
1000003620_LoF,GO::stem cell proliferation,LoF,0.2361111111111111,0.048,0.5136000000000001
1000009283_Act,kegg::Fluid shear stress and atherosclerosis - Homo sapiens (human),Act,0.6388888888888888,0.045,0.5136000000000001
1000009100_Act,kegg::AMPK signaling pathway - Homo sapiens (human),Act,0.6111111111111112,0.048,0.5136000000000001
1000006834_Act,GO::cell proliferation,Act,0.7083333333333334,0.045,0.5136000000000001
1000009261_Act,kegg::Bladder cancer - Homo sapiens (human),Act,0.4722222222222222,0.046,0.5136000000000001
1000009111_Act,kegg::Wnt signaling pathway - Homo sapiens (human),Act,0.6527777777777778,0.044,0.5136000000000001
1000002810_Act,GO::positive regulation of stem cell proliferation,Act,0.2777777777777778,0.047,0.5136000000000001
1000003679_Act,GO::mitotic chromosome condensation,Act,0.3472222222222222,0.043,0.5136000000000001
1000008690_Act,GO::positive regulation of pri-miRNA transcription by RNA polymerase II,Act,0.4166666666666667,0.05,0.5262295081967213
1000006305_Act,GO::response to mercury ion,Act,0.20833333333333334,0.054,0.5591612903225807
1000001708_Act,GO::cellular response to metal ion,Act,0.1388888888888889,0.055,0.5604761904761905
1000000099_Act,GO::cellular response to DNA damage stimulus,Act,0.6805555555555556,0.058,0.5818125000000001
1000000680_Act,GO::muscle contraction,Act,0.5972222222222222,0.069,0.6514411764705883
1000008905_Act,GO::positive regulation of nitric-oxide synthase activity,Act,0.3611111111111111,0.068,0.6514411764705883
1000004205_Act,GO::DNA biosynthetic process,Act,0.3888888888888889,0.067,0.6514411764705883
1000001064_Act,GO::viral process,Act,0.7083333333333334,0.067,0.6514411764705883
1000007995_Act,GO::mitochondrion organization,Act,0.5694444444444444,0.074,0.6885217391304348
1000004434_Act,GO::negative regulation of glial cell proliferation,Act,0.2361111111111111,0.079,0.7233802816901409
1000005292_LoF,GO::senescence-associated heterochromatin focus assembly,LoF,0.09722222222222222,0.08,0.7233802816901409
1000004538_Act,GO::nervous system development,Act,0.6944444444444444,0.083,0.7400833333333334
1000009216_Act,kegg::Morphine addiction - Homo sapiens (human),Act,0.5694444444444444,0.085,0.7475342465753425
1000004897_Act,GO::regulation of peptidyl-serine phosphorylation,Act,0.18055555555555555,0.089,0.7721351351351351
1000000581_Act,GO::positive regulation of sodium-dependent phosphate transport,Act,0.1111111111111111,0.091,0.77896
1000009262_Act,kegg::Chronic myeloid leukemia - Homo sapiens (human),Act,0.5277777777777778,0.095,0.7819230769230769
1000000106_LoF,GO::DNA damage response; signal transduction by p53 class mediator resulting in transcription of p21 class mediator,LoF,0.2361111111111111,0.095,0.7819230769230769
1000009201_Act,kegg::Pancreatic secretion - Homo sapiens (human),Act,0.5694444444444444,0.093,0.7819230769230769
1000004067_LoF,GO::sister chromatid biorientation,LoF,0.06944444444444445,0.102,0.7872142857142858
1000009268_Act,kegg::Gastric cancer - Homo sapiens (human),Act,0.625,0.103,0.7872142857142858
1000000367_LoF,GO::positive regulation of extracellular matrix organization,LoF,0.06944444444444445,0.102,0.7872142857142858
1000005825_LoF,GO::positive regulation of collagen fibril organization,LoF,0.06944444444444445,0.102,0.7872142857142858
1000007279_Act,GO::MAPK cascade,Act,0.6805555555555556,0.097,0.7872142857142858
1000006899_LoF,GO::cerebellar Purkinje cell layer maturation,LoF,0.06944444444444445,0.102,0.7872142857142858
1000006306_Act,GO::response to cadmium ion,Act,0.3611111111111111,0.115,0.8094782608695653
1000003234_Act,GO::positive regulation of membrane potential,Act,0.125,0.109,0.8094782608695653
1000004488_Act,GO::telomere maintenance,Act,0.4444444444444444,0.114,0.8094782608695653
1000003832_LoF,GO::positive regulation of transforming growth factor beta receptor signaling pathway,LoF,0.3194444444444444,0.116,0.8094782608695653
1000009244_Act,kegg::Epstein-Barr virus infection - Homo sapiens (human),Act,0.6527777777777778,0.112,0.8094782608695653
1000002551_Act,GO::positive regulation of GTPase activity,Act,0.6944444444444444,0.109,0.8094782608695653
1000000389_Act,GO::autophagy,Act,0.5833333333333334,0.11,0.8094782608695653
1000004331_Act,GO::in utero embryonic development,Act,0.6388888888888888,0.114,0.8094782608695653
1000006050_Act,GO::positive regulation of transcription from RNA polymerase II promoter in response to stress,Act,0.1527777777777778,0.125,0.8188775510204083
1000002515_LoF,GO::regulation of cohesin loading,LoF,0.09722222222222222,0.12,0.8188775510204083
1000005586_Act,GO::vesicle-mediated transport in synapse,Act,0.16666666666666666,0.124,0.8188775510204083
1000003048_Act,GO::dentinogenesis,Act,0.1527777777777778,0.125,0.8188775510204083
1000004055_Act,GO::neurotransmitter receptor transport; endosome to postsynaptic membrane,Act,0.19444444444444445,0.122,0.8188775510204083
1000000705_Act,GO::sodium-dependent phosphate transport,Act,0.1388888888888889,0.122,0.8188775510204083
1000001306_Act,GO::negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,Act,0.4027777777777778,0.128,0.819980198019802
1000004009_Act,GO::spindle organization,Act,0.2916666666666667,0.129,0.819980198019802
1000001135_LoF,GO::negative regulation of transmission of nerve impulse,LoF,0.1111111111111111,0.128,0.819980198019802
1000002181_Act,GO::regulation of protein stability,Act,0.5277777777777778,0.131,0.824529411764706
1000006480_Act,GO::regulation of bone mineralization,Act,0.25,0.251,0.8333653846153847
1000002487_Act,GO::calcium export from the mitochondrion,Act,0.06944444444444445,0.149,0.8333653846153847
1000005369_Act,GO::negative regulation of cell cycle arrest,Act,0.3194444444444444,0.169,0.8333653846153847
1000009264_Act,kegg::Small cell lung cancer - Homo sapiens (human),Act,0.5277777777777778,0.201,0.8333653846153847
1000002557_Act,GO::histone methylation,Act,0.2361111111111111,0.261,0.8333653846153847
1000004732_Act,GO::cilium assembly,Act,0.6111111111111112,0.235,0.8333653846153847
1000002636_Act,GO::cell cycle G2/M phase transition,Act,0.05555555555555555,0.24,0.8333653846153847
1000004712_Act,GO::protein stabilization,Act,0.6111111111111112,0.249,0.8333653846153847
1000009079_Act,kegg::FoxO signaling pathway - Homo sapiens (human),Act,0.5833333333333334,0.187,0.8333653846153847
1000005228_Act,GO::cell division,Act,0.6944444444444444,0.14,0.8333653846153847
1000002566_Act,GO::negative regulation of gluconeogenesis,Act,0.25,0.218,0.8333653846153847
1000000031_Act,GO::response to misfolded protein,Act,0.09722222222222222,0.148,0.8333653846153847
1000000026_Act,GO::epoxide metabolic process,Act,0.08333333333333333,0.226,0.8333653846153847
1000000795_LoF,GO::bundle of His cell-Purkinje myocyte adhesion involved in cell communication,LoF,0.1111111111111111,0.194,0.8333653846153847
1000009082_Act,kegg::Phospholipase D signaling pathway - Homo sapiens (human),Act,0.5972222222222222,0.176,0.8333653846153847
1000002744_Act,GO::menaquinone catabolic process,Act,0.05555555555555555,0.24,0.8333653846153847
1000005480_LoF,GO::negative regulation of cell-matrix adhesion,LoF,0.2361111111111111,0.226,0.8333653846153847
1000008981_Act,kegg::Purine metabolism - Homo sapiens (human),Act,0.5694444444444444,0.253,0.8333653846153847
1000007189_Act,GO::negative regulation of t-circle formation,Act,0.08333333333333333,0.226,0.8333653846153847
1000007444_Act,GO::negative regulation of gene expression,Act,0.6527777777777778,0.156,0.8333653846153847
1000001043_Act,GO::cell cycle phase transition,Act,0.1527777777777778,0.172,0.8333653846153847
1000000061_LoF,GO::negative regulation of female receptivity,LoF,0.08333333333333333,0.202,0.8333653846153847
1000000942_Act,GO::regulation of histone phosphorylation,Act,0.05555555555555555,0.24,0.8333653846153847
1000008975_Act,kegg::Steroid biosynthesis - Homo sapiens (human),Act,0.2916666666666667,0.139,0.8333653846153847
1000007799_LoF,GO::reelin-mediated signaling pathway,LoF,0.125,0.171,0.8333653846153847
1000007878_Act,GO::protein folding,Act,0.5833333333333334,0.261,0.8333653846153847
1000007599_Act,GO::phosphate ion transport,Act,0.1527777777777778,0.172,0.8333653846153847
1000001547_LoF,GO::protein localization to chromosome; centromeric region,LoF,0.1111111111111111,0.194,0.8333653846153847
1000008776_Act,GO::negative regulation of endothelial cell apoptotic process,Act,0.3888888888888889,0.164,0.8333653846153847
1000008256_LoF,GO::myelination in peripheral nervous system,LoF,0.19444444444444445,0.267,0.8333653846153847
1000008412_Act,GO::ossification,Act,0.4861111111111111,0.247,0.8333653846153847
