Locus_name,Genes
8p11.23_CNAamp,11160 80139 11212 25960
20q11.21_CNAamp,22974 3397 598 100422904 84701 81502
3p25.2_CNAamp,5468
19q12_CNAamp,898 8725
16p13.2_CNAamp,7874 106479492 23589 29035 283953 18 79091 25880 5373
1p34.2_CNAamp,64064 4610 5538 84618 26508 84879 656 51440 10450 54802 10487 8761
6p22.3_CNAamp,6659
12q15_CNAamp,4193 10818 376132 4069 144453 117177 11052 10576 55508 106481140 1368 8089
9p23_CNAdel,9301 5789 6031
17q12_CNAamp,100616132 2886 84299 2064 93210
7p21.1_CNAamp,23161 6043 196
10p14_CNAamp,2625 83860 100507143
