,Symbol,Type,Freq,Emp.p_value,q_value
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.9,0.0,0.0
1000009263_Act,kegg::Acute myeloid leukemia - Homo sapiens (human),Act,0.8597938144329897,0.0,0.0
1000009177_Act,kegg::Thyroid hormone signaling pathway - Homo sapiens (human),Act,0.9154639175257732,0.0,0.0
1000009262_Act,kegg::Chronic myeloid leukemia - Homo sapiens (human),Act,0.8793814432989691,0.0,0.0
1000009260_Act,kegg::Melanoma - Homo sapiens (human),Act,0.8824742268041237,0.0,0.0
1000009238_Act,kegg::Human cytomegalovirus infection - Homo sapiens (human),Act,0.9226804123711341,0.0,0.0
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.9092783505154639,0.0,0.0
1000009264_Act,kegg::Small cell lung cancer - Homo sapiens (human),Act,0.8989690721649485,0.0,0.0
1000009107_Act,kegg::Cellular senescence - Homo sapiens (human),Act,0.9103092783505154,0.0,0.0
1000009250_Act,kegg::Proteoglycans in cancer - Homo sapiens (human),Act,0.9298969072164949,0.0,0.0
1000009103_Act,kegg::Longevity regulating pathway - multiple species - Homo sapiens (human),Act,0.8257731958762886,0.0,0.0
1000009254_Act,kegg::Pancreatic cancer - Homo sapiens (human),Act,0.8701030927835052,0.0,0.0
1000009102_Act,kegg::Longevity regulating pathway - Homo sapiens (human),Act,0.8979381443298969,0.0,0.0
1000009252_Act,kegg::Colorectal cancer - Homo sapiens (human),Act,0.877319587628866,0.0,0.0
1000000302_Act,GO::negative regulation of anoikis,Act,0.6783505154639176,0.0,0.0
1000009256_Act,kegg::Glioma - Homo sapiens (human),Act,0.865979381443299,0.0,0.0
1000002464_Act,GO::phosphatidylinositol 3-kinase signaling,Act,0.765979381443299,0.0,0.0
1000009155_Act,kegg::Neurotrophin signaling pathway - Homo sapiens (human),Act,0.8958762886597939,0.0,0.0
1000006014_Act,GO::response to gamma radiation,Act,0.6958762886597938,0.0,0.0
1000009181_Act,kegg::Regulation of lipolysis in adipocytes - Homo sapiens (human),Act,0.8082474226804124,0.0,0.0
1000009246_Act,kegg::Pathways in cancer - Homo sapiens (human),Act,0.9690721649484536,0.0,0.0
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.8752577319587629,0.0,0.0
1000009265_Act,kegg::Non-small cell lung cancer - Homo sapiens (human),Act,0.8597938144329897,0.0,0.0
1000006334_Act,GO::mRNA transcription,Act,0.488659793814433,0.0,0.0
1000009236_Act,kegg::Hepatitis B - Homo sapiens (human),Act,0.9185567010309278,0.0,0.0
