,Symbol,Type,Freq,Emp.p_value,q_value
1000009248_Act,kegg::Viral carcinogenesis - Homo sapiens (human),Act,0.8571428571428571,0.0,0.0
1000009168_Act,kegg::Insulin signaling pathway - Homo sapiens (human),Act,0.8,0.0,0.0
1000009268_Act,kegg::Gastric cancer - Homo sapiens (human),Act,0.8571428571428571,0.0,0.0
1000006885_Act,GO::signal transduction,Act,0.9714285714285714,0.0,0.0
1000009267_Act,kegg::Hepatocellular carcinoma - Homo sapiens (human),Act,0.9142857142857143,0.0,0.0
1000009265_Act,kegg::Non-small cell lung cancer - Homo sapiens (human),Act,0.7428571428571429,0.0,0.0
1000009263_Act,kegg::Acute myeloid leukemia - Homo sapiens (human),Act,0.6857142857142857,0.0,0.0
1000009262_Act,kegg::Chronic myeloid leukemia - Homo sapiens (human),Act,0.7428571428571429,0.0,0.0
1000009261_Act,kegg::Bladder cancer - Homo sapiens (human),Act,0.6571428571428571,0.0,0.0
1000009260_Act,kegg::Melanoma - Homo sapiens (human),Act,0.7428571428571429,0.0,0.0
1000009258_Act,kegg::Thyroid cancer - Homo sapiens (human),Act,0.5714285714285714,0.0,0.0
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.8285714285714286,0.0,0.0
1000002717_LoF,GO::negative regulation of transcription by RNA polymerase II,LoF,0.9714285714285714,0.0,0.0
1000009256_Act,kegg::Glioma - Homo sapiens (human),Act,0.8,0.0,0.0
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.7714285714285715,0.0,0.0
1000009252_Act,kegg::Colorectal cancer - Homo sapiens (human),Act,0.7142857142857143,0.0,0.0
1000004636_Act,GO::axonogenesis,Act,0.6857142857142857,0.0,0.0
1000009167_Act,kegg::Regulation of actin cytoskeleton - Homo sapiens (human),Act,0.9142857142857143,0.0,0.0
1000009246_Act,kegg::Pathways in cancer - Homo sapiens (human),Act,0.9428571428571428,0.0,0.0
1000007500_LoF,GO::regulation of ERK1 and ERK2 cascade,LoF,0.5428571428571428,0.0,0.0
1000006152_LoF,GO::positive regulation of transcription by RNA polymerase II,LoF,0.9714285714285714,0.0,0.0
1000009121_Act,kegg::Focal adhesion - Homo sapiens (human),Act,0.8857142857142857,0.0,0.0
1000007498_Act,GO::positive regulation of ERK1 and ERK2 cascade,Act,0.8857142857142857,0.0,0.0
1029_LoF,CDKN2A,LoF,0.22857142857142856,0.0002,0.0038000000000000004
1000007519_Act,GO::sodium ion transmembrane transport,Act,0.6571428571428571,0.001,0.009000000000000001
1000008709_Act,GO::cell death in response to oxidative stress,Act,0.2571428571428571,0.001,0.009000000000000001
1000009175_Act,kegg::Prolactin signaling pathway - Homo sapiens (human),Act,0.6571428571428571,0.001,0.009000000000000001
1000004656_LoF,GO::positive regulation of macrophage apoptotic process,LoF,0.22857142857142856,0.001,0.009000000000000001
1000009254_Act,kegg::Pancreatic cancer - Homo sapiens (human),Act,0.6857142857142857,0.001,0.009000000000000001
1000005292_LoF,GO::senescence-associated heterochromatin focus assembly,LoF,0.22857142857142856,0.001,0.009000000000000001
1000009250_Act,kegg::Proteoglycans in cancer - Homo sapiens (human),Act,0.8285714285714286,0.002,0.016838709677419354
1000001555_Act,GO::O-glycan processing,Act,0.6285714285714286,0.002,0.016838709677419354
1000002791_LoF,GO::replicative senescence,LoF,0.4,0.003,0.022371428571428573
1000001750_Act,GO::bone trabecula formation,Act,0.34285714285714286,0.003,0.022371428571428573
1000006303_Act,GO::negative regulation of apoptotic process,Act,0.9142857142857143,0.003,0.022371428571428573
1000006312_Act,GO::mitotic cell cycle,Act,0.7714285714285715,0.003,0.022371428571428573
1000007978_LoF,GO::regulation of cell fate commitment,LoF,0.2571428571428571,0.004,0.026769230769230767
1000008230_LoF,GO::branching morphogenesis of a nerve,LoF,0.2857142857142857,0.004,0.026769230769230767
1000008457_Act,GO::regulation of TOR signaling,Act,0.4,0.004,0.026769230769230767
1000000970_Act,GO::positive regulation of protein kinase B signaling,Act,0.8285714285714286,0.004,0.026769230769230767
1000002493_Act,GO::heart development,Act,0.8,0.005,0.030348837209302326
