,Symbol,Type,Freq,Emp.p_value,q_value
324_LoF,APC,LoF,0.8267326732673267,0.0,0.0
1000009252_LoF,kegg::Colorectal cancer - Homo sapiens (human),LoF,1.0,0.0,0.0
28954_Act,REM1,Act,0.11386138613861387,0.015,0.05384210526315789
9172_LoF,MYOM2,LoF,0.09900990099009901,0.0137,0.05384210526315789
9228_LoF,DLGAP2,LoF,0.12376237623762376,0.006,0.05384210526315789
9639_LoF,ARHGEF10,LoF,0.09405940594059406,0.0155,0.05384210526315789
7991_LoF,TUSC3,LoF,0.09900990099009901,0.0137,0.05384210526315789
5071_LoF,PARK2,LoF,0.09405940594059406,0.0155,0.05384210526315789
164395_Act,TTLL9,Act,0.1188118811881188,0.0119,0.05384210526315789
3172_Act,HNF4A,Act,0.11386138613861387,0.015,0.05384210526315789
57158_Act,JPH2,Act,0.1188118811881188,0.0119,0.05384210526315789
10955_Act,SERINC3,Act,0.11386138613861387,0.015,0.05384210526315789
79183_Act,TTPAL,Act,0.11386138613861387,0.015,0.05384210526315789
78997_Act,GDAP1L1,Act,0.11386138613861387,0.015,0.05384210526315789
11142_Act,PKIG,Act,0.11386138613861387,0.015,0.05384210526315789
343702_Act,XKR7,Act,0.11386138613861387,0.015,0.05384210526315789
6662_LoF,SOX9,LoF,0.15346534653465346,0.0042,0.05384210526315789
4089_LoF,SMAD4,LoF,0.17326732673267325,0.004,0.05384210526315789
64478_LoF,CSMD1,LoF,0.1782178217821782,0.004,0.05384210526315789
6263_LoF,RYR3,LoF,0.09405940594059406,0.0155,0.05384210526315789
84969_Act,TOX2,Act,0.10891089108910891,0.021,0.05848333333333333
8839_Act,WISP2,Act,0.10891089108910891,0.021,0.05848333333333333
140679_Act,SLC32A1,Act,0.09900990099009901,0.0305,0.05848333333333333
85366_Act,MYLK2,Act,0.09900990099009901,0.0305,0.05848333333333333
245937_Act,DEFB124,Act,0.10891089108910891,0.021,0.05848333333333333
245934_Act,DEFB121,Act,0.10396039603960396,0.0241,0.05848333333333333
5728_LoF,PTEN,LoF,0.06435643564356436,0.0319,0.05848333333333333
157697_LoF,ERICH1,LoF,0.08415841584158416,0.0211,0.05848333333333333
1770_LoF,DNAH9,LoF,0.07920792079207921,0.0234,0.05848333333333333
117285_Act,DEFB118,Act,0.10396039603960396,0.0241,0.05848333333333333
6416_LoF,MAP2K4,LoF,0.06435643564356436,0.0319,0.05848333333333333
4088_LoF,SMAD3,LoF,0.06930693069306931,0.0276,0.05848333333333333
28513_LoF,CDH19,LoF,0.06930693069306931,0.0276,0.05848333333333333
92126_LoF,DSEL,LoF,0.06930693069306931,0.0276,0.05848333333333333
8289_LoF,ARID1A,LoF,0.06930693069306931,0.0276,0.05848333333333333
245930_Act,DEFB116,Act,0.09900990099009901,0.0305,0.05848333333333333
2307_Act,FOXS1,Act,0.10396039603960396,0.0241,0.05848333333333333
54904_Act,NSD3,Act,0.0891089108910891,0.0378,0.0621
4163_LoF,MCC,LoF,0.0594059405940594,0.0364,0.0621
55714_LoF,ODZ3,LoF,0.054455445544554455,0.0414,0.0621
1005_LoF,CDH7,LoF,0.054455445544554455,0.0414,0.0621
84181_Act,CHD6,Act,0.0891089108910891,0.0378,0.0621
7050_LoF,TGIF1,LoF,0.0594059405940594,0.0364,0.0621
7150_Act,TOP1,Act,0.08415841584158416,0.0402,0.0621
5335_Act,PLCG1,Act,0.08415841584158416,0.0402,0.0621
4609_Act,MYC,Act,0.07920792079207921,0.0431,0.06321333333333334
22981_Act,NINL,Act,0.07425742574257425,0.0475,0.0653125
688_Act,KLF5,Act,0.07425742574257425,0.0475,0.0653125
219333_Act,USP12,Act,0.07425742574257425,0.0475,0.0653125
286_Act,ANK1,Act,0.06930693069306931,0.0535,0.06538888888888889
1007_Act,CDH9,Act,0.06930693069306931,0.0535,0.06538888888888889
149685_Act,ADIG,Act,0.06930693069306931,0.0535,0.06538888888888889
57148_Act,RALGAPB,Act,0.06930693069306931,0.0535,0.06538888888888889
81610_Act,FAM83D,Act,0.06930693069306931,0.0535,0.06538888888888889
26051_Act,PPP1R16B,Act,0.06930693069306931,0.0535,0.06538888888888889
10947_Act,AP3M2,Act,0.06435643564356436,0.0619,0.07043793103448276
26090_Act,ABHD12,Act,0.06435643564356436,0.0619,0.07043793103448276
137994_Act,LETM2,Act,0.06435643564356436,0.0619,0.07043793103448276
775_Act,CACNA1C,Act,0.06435643564356436,0.0619,0.07043793103448276
5462_Act,POU5F1B,Act,0.0594059405940594,0.0691,0.07601
5327_Act,PLAT,Act,0.0594059405940594,0.0691,0.07601
