,Symbol,Type,Freq,Emp.p_value,q_value
1029_LoF,CDKN2A,LoF,0.5949367088607594,0.0,0.0
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.9050632911392406,0.0,0.0
1000009256_LoF,kegg::Glioma - Homo sapiens (human),LoF,0.9556962025316456,0.0,0.0
1000001163_Act,GO::midgut development,Act,0.6012658227848101,0.0,0.0
1000009260_LoF,kegg::Melanoma - Homo sapiens (human),LoF,0.9493670886075949,0.0,0.0
1000009261_LoF,kegg::Bladder cancer - Homo sapiens (human),LoF,0.8924050632911392,0.0,0.0
1000005462_Act,GO::response to UV-A,Act,0.5569620253164557,0.0,0.0
1000009265_LoF,kegg::Non-small cell lung cancer - Homo sapiens (human),LoF,0.9050632911392406,0.0,0.0
1000005175_Act,GO::cerebral cortex cell migration,Act,0.5569620253164557,0.0,0.0
1000004656_LoF,GO::positive regulation of macrophage apoptotic process,LoF,0.6075949367088608,0.0,0.0
1000009267_LoF,kegg::Hepatocellular carcinoma - Homo sapiens (human),LoF,0.9683544303797469,0.0,0.0
1000007696_Act,GO::eyelid development in camera-type eye,Act,0.5886075949367089,0.0,0.0
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.930379746835443,0.0,0.0
1000005292_LoF,GO::senescence-associated heterochromatin focus assembly,LoF,0.6012658227848101,0.0,0.0
1000001693_Act,GO::protein insertion into membrane,Act,0.5886075949367089,0.0,0.0
1000008694_Act,GO::magnesium ion homeostasis,Act,0.5822784810126582,0.0,0.0
1000009254_LoF,kegg::Pancreatic cancer - Homo sapiens (human),LoF,0.9050632911392406,0.0,0.0
1000008427_Act,GO::ovulation cycle,Act,0.5632911392405063,0.0,0.0
1000001928_Act,GO::tongue development,Act,0.6455696202531646,0.0,0.0
1000002995_Act,GO::response to hydroxyisoflavone,Act,0.5632911392405063,0.0,0.0
1956_Act,EGFR,Act,0.5569620253164557,0.0,0.0
1000003619_Act,GO::positive regulation of prolactin secretion,Act,0.5759493670886076,0.0,0.0
1000002791_LoF,GO::replicative senescence,LoF,0.7974683544303798,0.0,0.0
1000003549_Act,GO::morphogenesis of an epithelial fold,Act,0.5632911392405063,0.0,0.0
1000007185_LoF,GO::negative regulation of cyclin-dependent protein serine/threonine kinase activity,LoF,0.7911392405063291,0.0,0.0
1000003711_Act,GO::positive regulation of production of miRNAs involved in gene silencing by miRNA,Act,0.7784810126582279,0.0,0.0
1000005987_Act,GO::activation of phospholipase A2 activity by calcium-mediated signaling,Act,0.5569620253164557,0.0,0.0
1000009079_Act,kegg::FoxO signaling pathway - Homo sapiens (human),Act,0.930379746835443,0.0,0.0
1000009086_LoF,kegg::p53 signaling pathway - Homo sapiens (human),LoF,0.9050632911392406,0.0,0.0
1000004922_Act,GO::digestive tract morphogenesis,Act,0.6139240506329114,0.0,0.0
1000002996_Act,GO::response to cobalamin,Act,0.5569620253164557,0.0,0.0
1000003372_Act,GO::diterpenoid metabolic process,Act,0.5569620253164557,0.0,0.0
1030_LoF,CDKN2B,LoF,0.5569620253164557,0.0017,0.009633333333333332
5728_LoF,PTEN,LoF,0.43037974683544306,0.0039,0.016575
7157_LoF,TP53,LoF,0.31645569620253167,0.0054,0.01836
338376_LoF,IFNE,LoF,0.2911392405063291,0.0066,0.01845714285714286
222008_Act,VSTM2A,Act,0.24050632911392406,0.0076,0.01845714285714286
55567_LoF,DNAH3,LoF,0.06329113924050633,0.0164,0.018586666666666668
1031_LoF,CDKN2C,LoF,0.06962025316455696,0.0147,0.018586666666666668
4194_Act,MDM4,Act,0.0949367088607595,0.0161,0.018586666666666668
5156_Act,PDGFRA,Act,0.17721518987341772,0.0121,0.018586666666666668
3452_LoF,IFNA21,LoF,0.22151898734177214,0.009,0.018586666666666668
6263_LoF,RYR3,LoF,0.06962025316455696,0.0147,0.018586666666666668
5925_LoF,RB1,LoF,0.0949367088607595,0.0114,0.018586666666666668
5287_Act,PIK3C2B,Act,0.0949367088607595,0.0161,0.018586666666666668
1000001737_Act,GO::positive regulation of protein kinase C activity,Act,0.5632911392405063,0.001,0.020731707317073172
1000006816_Act,GO::astrocyte activation,Act,0.5759493670886076,0.001,0.020731707317073172
1000009266_Act,kegg::Breast cancer - Homo sapiens (human),Act,0.930379746835443,0.001,0.020731707317073172
1000004117_Act,GO::learning or memory,Act,0.8037974683544303,0.001,0.020731707317073172
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.9367088607594937,0.001,0.020731707317073172
1000009241_LoF,kegg::Human T-cell leukemia virus 1 infection - Homo sapiens (human),LoF,0.9556962025316456,0.001,0.020731707317073172
1000009264_LoF,kegg::Small cell lung cancer - Homo sapiens (human),LoF,0.9113924050632911,0.001,0.020731707317073172
