,Symbol,Type,Freq,Emp.p_value,q_value
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.9251559251559252,0.0,0.0
1000009246_Act,kegg::Pathways in cancer - Homo sapiens (human),Act,0.9896049896049897,0.0,0.0
1000009254_Act,kegg::Pancreatic cancer - Homo sapiens (human),Act,0.9355509355509356,0.0,0.0
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.9313929313929314,0.0,0.0
1000009240_Act,kegg::Human papillomavirus infection - Homo sapiens (human),Act,0.9854469854469855,0.0,0.0
1000009238_Act,kegg::Human cytomegalovirus infection - Homo sapiens (human),Act,0.9771309771309772,0.0,0.0
1000009236_Act,kegg::Hepatitis B - Homo sapiens (human),Act,0.9688149688149689,0.0,0.0
1000009256_LoF,kegg::Glioma - Homo sapiens (human),LoF,0.9397089397089398,0.0,0.0
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.9584199584199584,0.0,0.0
1000009260_LoF,kegg::Melanoma - Homo sapiens (human),LoF,0.9376299376299376,0.0,0.0
1000009261_LoF,kegg::Bladder cancer - Homo sapiens (human),LoF,0.8918918918918919,0.0,0.0
1000009262_Act,kegg::Chronic myeloid leukemia - Homo sapiens (human),Act,0.9417879417879418,0.0,0.0
1000009099_Act,kegg::PI3K-Akt signaling pathway - Homo sapiens (human),Act,0.9854469854469855,0.0,0.0
1000002791_LoF,GO::replicative senescence,LoF,0.8336798336798337,0.0,0.0
1000002717_Act,GO::negative regulation of transcription by RNA polymerase II,Act,0.9937629937629938,0.0,0.0
1000009264_Act,kegg::Small cell lung cancer - Homo sapiens (human),Act,0.9417879417879418,0.0,0.0
1000006152_Act,GO::positive regulation of transcription by RNA polymerase II,Act,0.9937629937629938,0.0,0.0
1000009265_Act,kegg::Non-small cell lung cancer - Homo sapiens (human),Act,0.9376299376299376,0.0,0.0
1000009266_Act,kegg::Breast cancer - Homo sapiens (human),Act,0.9646569646569647,0.0,0.0
1000009248_LoF,kegg::Viral carcinogenesis - Homo sapiens (human),LoF,0.9688149688149689,0.0,0.0
1000009252_Act,kegg::Colorectal cancer - Homo sapiens (human),Act,0.9459459459459459,0.0,0.0
1000009267_Act,kegg::Hepatocellular carcinoma - Homo sapiens (human),Act,0.9667359667359667,0.001,0.041161290322580646
1000009268_Act,kegg::Gastric cancer - Homo sapiens (human),Act,0.9646569646569647,0.001,0.041161290322580646
1000009250_Act,kegg::Proteoglycans in cancer - Homo sapiens (human),Act,0.9688149688149689,0.001,0.041161290322580646
1000009241_Act,kegg::Human T-cell leukemia virus 1 infection - Homo sapiens (human),Act,0.9771309771309772,0.001,0.041161290322580646
1000009235_Act,kegg::Hepatitis C - Homo sapiens (human),Act,0.9625779625779626,0.001,0.041161290322580646
1000009177_Act,kegg::Thyroid hormone signaling pathway - Homo sapiens (human),Act,0.9397089397089398,0.001,0.041161290322580646
1000003420_LoF,GO::positive regulation of execution phase of apoptosis,LoF,0.7505197505197505,0.001,0.041161290322580646
1000002583_Act,GO::positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,Act,0.8440748440748441,0.001,0.041161290322580646
1000009251_Act,kegg::MicroRNAs in cancer - Homo sapiens (human),Act,0.9792099792099792,0.001,0.041161290322580646
1000009242_Act,kegg::Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),Act,0.9667359667359667,0.001,0.041161290322580646
2017_Act,CTTN,Act,0.26195426195426197,0.0051,0.06654545454545456
55107_Act,ANO1,Act,0.2661122661122661,0.0038,0.06654545454545456
8772_Act,FADD,Act,0.2598752598752599,0.0061,0.06654545454545456
8500_Act,PPFIA1,Act,0.26195426195426197,0.0051,0.06654545454545456
22941_Act,SHANK2,Act,0.2598752598752599,0.0061,0.06654545454545456
4507_LoF,MTAP,LoF,0.21413721413721415,0.0049,0.06654545454545456
