,Symbol,Type,Freq,Emp.p_value,q_value
4233_Act,MET,Act,0.11313868613138686,0.0,0.0
1000004726_LoF,GO::G protein-coupled receptor signaling pathway,LoF,0.9014598540145985,0.0,0.0
1000004873_LoF,GO::regulation of transcription by RNA polymerase II,LoF,0.9416058394160584,0.0,0.0
1000008701_LoF,GO::sensory perception of sound,LoF,0.5693430656934306,0.0,0.0
1000002240_LoF,GO::cell adhesion,LoF,0.864963503649635,0.0,0.0
1000000113_Act,GO::peptidyl-tyrosine phosphorylation,Act,0.551094890510949,0.0,0.0
1000009246_LoF,kegg::Pathways in cancer - Homo sapiens (human),LoF,0.8576642335766423,0.0,0.0
1000009267_LoF,kegg::Hepatocellular carcinoma - Homo sapiens (human),LoF,0.6240875912408759,0.0,0.0
1000006152_Act,GO::positive regulation of transcription by RNA polymerase II,Act,0.9452554744525548,0.0,0.0
1000006885_LoF,GO::signal transduction,LoF,0.9087591240875912,0.0,0.0
1000006634_Act,GO::extracellular matrix organization,Act,0.6934306569343066,0.0,0.0
8452_LoF,CUL3,LoF,0.051094890510948905,0.0087,0.0087
1000009099_Act,kegg::PI3K-Akt signaling pathway - Homo sapiens (human),Act,0.7481751824817519,0.001,0.0306
1000009071_LoF,kegg::Rap1 signaling pathway - Homo sapiens (human),LoF,0.6715328467153284,0.001,0.0306
1000008275_Act,GO::response to calcium ion,Act,0.38321167883211676,0.001,0.0306
1000003716_Act,GO::cell migration,Act,0.6532846715328468,0.001,0.0306
1000009115_LoF,kegg::Axon guidance - Homo sapiens (human),LoF,0.6423357664233577,0.001,0.0306
1000009177_LoF,kegg::Thyroid hormone signaling pathway - Homo sapiens (human),LoF,0.5291970802919708,0.002,0.051000000000000004
1000003443_LoF,GO::positive regulation of protein secretion,LoF,0.3102189781021898,0.002,0.051000000000000004
1000003346_LoF,GO::microtubule-based movement,LoF,0.4635036496350365,0.002,0.051000000000000004
1000008229_Act,GO::branching morphogenesis of an epithelial tube,Act,0.21532846715328466,0.004,0.09179999999999999
1000007995_Act,GO::mitochondrion organization,Act,0.4306569343065693,0.004,0.09179999999999999
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.3686131386861314,0.005,0.10431818181818182
1000003475_Act,GO::liver development,Act,0.39416058394160586,0.005,0.10431818181818182
1000005991_LoF,GO::proteolysis,LoF,0.7992700729927007,0.006,0.11016
1000007058_LoF,GO::negative regulation of Rho protein signal transduction,LoF,0.21532846715328466,0.006,0.11016
1000007445_LoF,GO::positive regulation of gene expression,LoF,0.7627737226277372,0.006,0.11016
1000006740_Act,GO::negative regulation of stress fiber assembly,Act,0.21897810218978103,0.007,0.11900000000000001
1000009253_LoF,kegg::Renal cell carcinoma - Homo sapiens (human),LoF,0.40875912408759124,0.007,0.11900000000000001
1000009250_LoF,kegg::Proteoglycans in cancer - Homo sapiens (human),LoF,0.6386861313868614,0.008,0.13114285714285714
1000009219_Act,kegg::Bacterial invasion of epithelial cells - Homo sapiens (human),Act,0.38686131386861317,0.009,0.1377
1000009072_LoF,kegg::Calcium signaling pathway - Homo sapiens (human),LoF,0.6240875912408759,0.009,0.1377
1000009179_LoF,kegg::Oxytocin signaling pathway - Homo sapiens (human),LoF,0.5693430656934306,0.011,0.16287096774193546
1000001279_LoF,GO::ubiquitin-dependent protein catabolic process,LoF,0.708029197080292,0.013,0.18646874999999996
1000007380_LoF,GO::actin cytoskeleton organization,LoF,0.551094890510949,0.014,0.189
1000006889_Act,GO::transmembrane receptor protein tyrosine kinase signaling pathway,Act,0.45255474452554745,0.014,0.189
1000002596_Act,GO::pancreas development,Act,0.19343065693430658,0.015,0.1967142857142857
1000004871_LoF,GO::regulation of transcription; DNA-templated,LoF,0.8102189781021898,0.016,0.20400000000000001
1000002181_LoF,GO::regulation of protein stability,LoF,0.4124087591240876,0.017,0.2053421052631579
1000005228_LoF,GO::cell division,LoF,0.7445255474452555,0.017,0.2053421052631579
1000006330_LoF,GO::regulation of cardiac conduction,LoF,0.35036496350364965,0.018,0.20654999999999998
1000002551_LoF,GO::positive regulation of GTPase activity,LoF,0.7262773722627737,0.018,0.20654999999999998
1000000937_Act,GO::negative regulation of autophagy,Act,0.3029197080291971,0.019,0.2127073170731707
1000005070_Act,GO::phagocytosis,Act,0.291970802919708,0.021,0.22950000000000004
1000008912_LoF,GO::synapse assembly,LoF,0.354014598540146,0.025,0.2668604651162791
1000002791_LoF,GO::replicative senescence,LoF,0.15693430656934307,0.027,0.2754
1000002243_LoF,GO::homophilic cell adhesion via plasma membrane adhesion molecules,LoF,0.583941605839416,0.027,0.2754
1000009191_LoF,kegg::Cushing syndrome - Homo sapiens (human),LoF,0.5583941605839416,0.028,0.2793913043478261
1000004265_Act,GO::negative regulation of tyrosine phosphorylation of STAT protein,Act,0.11313868613138686,0.031,0.29643749999999996
1000004830_LoF,GO::release of sequestered calcium ion into cytosol,LoF,0.29927007299270075,0.031,0.29643749999999996
1000001519_LoF,GO::calcium ion transmembrane transport,LoF,0.49635036496350365,0.033,0.30912244897959185
1000001375_Act,GO::Wnt signaling pathway,Act,0.5693430656934306,0.039,0.35802
1000007140_Act,GO::posttranscriptional regulation of gene expression,Act,0.17518248175182483,0.04,0.36000000000000004
1000007694_LoF,GO::membrane organization,LoF,0.5109489051094891,0.042,0.36373584905660383
1000003342_LoF,GO::cytoskeleton organization,LoF,0.5364963503649635,0.042,0.36373584905660383
1000006906_LoF,GO::protein ubiquitination,LoF,0.7773722627737226,0.045,0.3755454545454545
1000006301_LoF,GO::positive regulation of apoptotic process,LoF,0.7335766423357665,0.045,0.3755454545454545
1000009151_LoF,kegg::Circadian entrainment - Homo sapiens (human),LoF,0.43795620437956206,0.052,0.4262142857142857
1000005480_LoF,GO::negative regulation of cell-matrix adhesion,LoF,0.19708029197080293,0.06,0.4748275862068965
1000007195_LoF,GO::regulation of GTPase activity,LoF,0.354014598540146,0.06,0.4748275862068965
1000005311_Act,GO::negative regulation of MAPK cascade,Act,0.1678832116788321,0.066,0.51255
1000008813_Act,GO::negative regulation of JAK-STAT cascade,Act,0.12408759124087591,0.067,0.51255
1000009068_Act,kegg::MAPK signaling pathway - Homo sapiens (human),Act,0.6605839416058394,0.071,0.5342459016393442
1000004862_Act,GO::beta-catenin destruction complex disassembly,Act,0.14963503649635038,0.078,0.5774516129032258
1000009095_Act,kegg::Endocytosis - Homo sapiens (human),Act,0.6167883211678832,0.083,0.6047142857142856
1000009268_LoF,kegg::Gastric cancer - Homo sapiens (human),LoF,0.5255474452554745,0.086,0.6072923076923077
1000002471_Act,GO::receptor internalization,Act,0.22262773722627738,0.086,0.6072923076923077
1000009120_LoF,kegg::Hippo signaling pathway - multiple species - Homo sapiens (human),LoF,0.21532846715328466,0.09,0.625909090909091
1000003460_LoF,GO::stimulatory C-type lectin receptor signaling pathway,LoF,0.4489051094890511,0.094,0.6345000000000001
1000009221_Act,kegg::Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human),Act,0.3175182481751825,0.093,0.6345000000000001
1000007922_Act,GO::cellular calcium ion homeostasis,Act,0.3759124087591241,0.097,0.6360428571428571
1000009153_LoF,kegg::Long-term potentiation - Homo sapiens (human),LoF,0.3467153284671533,0.097,0.6360428571428571
1000004928_LoF,GO::prepulse inhibition,LoF,0.14233576642335766,0.101,0.6529436619718311
1000002925_LoF,GO::protein phosphorylation,LoF,0.7846715328467153,0.105,0.6531923076923076
1000002242_LoF,GO::heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,LoF,0.2737226277372263,0.111,0.6531923076923076
1000002934_LoF,GO::regulation of G2/M transition of mitotic cell cycle,LoF,0.38321167883211676,0.11,0.6531923076923076
1000000702_LoF,GO::cellular response to UV,LoF,0.291970802919708,0.108,0.6531923076923076
1000009080_LoF,kegg::Phosphatidylinositol signaling system - Homo sapiens (human),LoF,0.4233576642335766,0.11,0.6531923076923076
1000009230_Act,kegg::Malaria - Homo sapiens (human),Act,0.24817518248175183,0.11,0.6531923076923076
1000009199_LoF,kegg::Salivary secretion - Homo sapiens (human),LoF,0.4051094890510949,0.106,0.6531923076923076
1000000302_Act,GO::negative regulation of anoikis,Act,0.12043795620437957,0.114,0.654075
1000009260_LoF,kegg::Melanoma - Homo sapiens (human),LoF,0.35766423357664234,0.114,0.654075
1000000963_Act,GO::membrane depolarization,Act,0.1386861313868613,0.122,0.6829024390243902
1000007381_LoF,GO::intrinsic apoptotic signaling pathway,LoF,0.19708029197080293,0.122,0.6829024390243902
1000009157_LoF,kegg::Glutamatergic synapse - Homo sapiens (human),LoF,0.45255474452554745,0.124,0.6857349397590362
1000007600_LoF,GO::calcium ion transport,LoF,0.354014598540146,0.138,0.7084565217391303
1000009257_LoF,kegg::Prostate cancer - Homo sapiens (human),LoF,0.4124087591240876,0.138,0.7084565217391303
1000006884_LoF,GO::establishment or maintenance of cell polarity,LoF,0.24087591240875914,0.138,0.7084565217391303
1000003195_LoF,GO::ion transmembrane transport,LoF,0.6094890510948905,0.138,0.7084565217391303
1000009241_LoF,kegg::Human T-cell leukemia virus 1 infection - Homo sapiens (human),LoF,0.6131386861313869,0.14,0.7084565217391303
1000006431_LoF,GO::adherens junction organization,LoF,0.2518248175182482,0.141,0.7084565217391303
1000006229_LoF,GO::axon guidance,LoF,0.5912408759124088,0.141,0.7084565217391303
1000009381_LoF,humanCyc::superpathway,LoF,0.33941605839416056,0.142,0.7084565217391303
