,Symbol,Type,Freq,Emp.p_value,q_value
1000009260_LoF,kegg::Melanoma - Homo sapiens (human),LoF,0.9120171673819742,0.0,0.0
1000009102_Act,kegg::Longevity regulating pathway - Homo sapiens (human),Act,0.907725321888412,0.0,0.0
1000009115_Act,kegg::Axon guidance - Homo sapiens (human),Act,0.9399141630901288,0.0,0.0
1000009121_Act,kegg::Focal adhesion - Homo sapiens (human),Act,0.9549356223175965,0.0,0.0
1000009126_Act,kegg::Gap junction - Homo sapiens (human),Act,0.8884120171673819,0.0,0.0
1000009153_Act,kegg::Long-term potentiation - Homo sapiens (human),Act,0.8390557939914163,0.0,0.0
1000009155_Act,kegg::Neurotrophin signaling pathway - Homo sapiens (human),Act,0.9184549356223176,0.0,0.0
1000009167_Act,kegg::Regulation of actin cytoskeleton - Homo sapiens (human),Act,0.9549356223175965,0.0,0.0
1000009177_Act,kegg::Thyroid hormone signaling pathway - Homo sapiens (human),Act,0.927038626609442,0.0,0.0
1000009179_Act,kegg::Oxytocin signaling pathway - Homo sapiens (human),Act,0.9506437768240343,0.0,0.0
1000009184_Act,kegg::Relaxin signaling pathway - Homo sapiens (human),Act,0.9184549356223176,0.0,0.0
1000009235_Act,kegg::Hepatitis C - Homo sapiens (human),Act,0.9420600858369099,0.0,0.0
1000009236_Act,kegg::Hepatitis B - Homo sapiens (human),Act,0.9399141630901288,0.0,0.0
1000009241_LoF,kegg::Human T-cell leukemia virus 1 infection - Homo sapiens (human),LoF,0.9527896995708155,0.0,0.0
1000009246_LoF,kegg::Pathways in cancer - Homo sapiens (human),LoF,0.9849785407725322,0.0,0.0
1000009250_LoF,kegg::Proteoglycans in cancer - Homo sapiens (human),LoF,0.9656652360515021,0.0,0.0
1000009254_LoF,kegg::Pancreatic cancer - Homo sapiens (human),LoF,0.9206008583690987,0.0,0.0
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.9098712446351931,0.0,0.0
1000009256_LoF,kegg::Glioma - Homo sapiens (human),LoF,0.9184549356223176,0.0,0.0
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.9291845493562232,0.0,0.0
1000009258_Act,kegg::Thyroid cancer - Homo sapiens (human),Act,0.8326180257510729,0.0,0.0
1000001335_LoF,GO::Ras protein signal transduction,LoF,0.8991416309012875,0.0,0.0
1000009261_LoF,kegg::Bladder cancer - Homo sapiens (human),LoF,0.871244635193133,0.0,0.0
1000009262_LoF,kegg::Chronic myeloid leukemia - Homo sapiens (human),LoF,0.9034334763948498,0.0,0.0
1000009265_Act,kegg::Non-small cell lung cancer - Homo sapiens (human),Act,0.9055793991416309,0.0,0.0
1000009266_LoF,kegg::Breast cancer - Homo sapiens (human),LoF,0.9506437768240343,0.0,0.0
1000009267_Act,kegg::Hepatocellular carcinoma - Homo sapiens (human),Act,0.9656652360515021,0.0,0.0
1000009268_LoF,kegg::Gastric cancer - Homo sapiens (human),LoF,0.9592274678111588,0.0,0.0
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.8948497854077253,0.0,0.0
1000009270_Act,kegg::Choline metabolism in cancer - Homo sapiens (human),Act,0.8862660944206009,0.0,0.0
1000009082_Act,kegg::Phospholipase D signaling pathway - Homo sapiens (human),Act,0.9313304721030042,0.0,0.0
1000009081_Act,kegg::Sphingolipid signaling pathway - Homo sapiens (human),Act,0.9141630901287554,0.0,0.0
1000009240_Act,kegg::Human papillomavirus infection - Homo sapiens (human),Act,0.9721030042918455,0.0,0.0
1000007071_Act,GO::epithelial tube branching involved in lung morphogenesis,Act,0.6437768240343348,0.0,0.0
1000009072_Act,kegg::Calcium signaling pathway - Homo sapiens (human),Act,0.9463519313304721,0.0,0.0
1000002243_Act,GO::homophilic cell adhesion via plasma membrane adhesion molecules,Act,0.9399141630901288,0.0,0.0
1000007445_Act,GO::positive regulation of gene expression,Act,0.9742489270386266,0.0,0.0
1000007475_Act,GO::cardiac muscle hypertrophy,Act,0.6115879828326181,0.0,0.0
1000002791_LoF,GO::replicative senescence,LoF,0.6909871244635193,0.0,0.0
1000008145_Act,GO::cellular response to actinomycin D,Act,0.5300429184549357,0.0,0.0
1000007928_Act,GO::sarcomere organization,Act,0.7660944206008584,0.0,0.0
1000006641_Act,GO::positive regulation of Rac protein signal transduction,Act,0.38626609442060084,0.0,0.0
1000009069_Act,kegg::ErbB signaling pathway - Homo sapiens (human),Act,0.8819742489270386,0.0,0.0
1000002605_Act,GO::cardiac muscle contraction,Act,0.778969957081545,0.0,0.0
1000006812_Act,GO::negative regulation of fibroblast proliferation,Act,0.6974248927038627,0.001,0.032661290322580645
1000009264_Act,kegg::Small cell lung cancer - Homo sapiens (human),Act,0.8798283261802575,0.001,0.032661290322580645
1000009252_LoF,kegg::Colorectal cancer - Homo sapiens (human),LoF,0.9120171673819742,0.001,0.032661290322580645
1000009253_Act,kegg::Renal cell carcinoma - Homo sapiens (human),Act,0.8133047210300429,0.001,0.032661290322580645
1000001428_Act,GO::protein autophosphorylation,Act,0.927038626609442,0.001,0.032661290322580645
1000006229_Act,GO::axon guidance,Act,0.9463519313304721,0.001,0.032661290322580645
1000004830_Act,GO::release of sequestered calcium ion into cytosol,Act,0.7532188841201717,0.001,0.032661290322580645
1000005866_Act,GO::positive regulation of synaptic transmission; glutamatergic,Act,0.7296137339055794,0.001,0.032661290322580645
1000000113_Act,GO::peptidyl-tyrosine phosphorylation,Act,0.924892703862661,0.001,0.032661290322580645
1000003711_Act,GO::positive regulation of production of miRNAs involved in gene silencing by miRNA,Act,0.5815450643776824,0.001,0.032661290322580645
1000009170_Act,kegg::GnRH signaling pathway - Homo sapiens (human),Act,0.8884120171673819,0.001,0.032661290322580645
1000007279_Act,GO::MAPK cascade,Act,0.9570815450643777,0.001,0.032661290322580645
1000000422_Act,GO::protein kinase A signaling,Act,0.6137339055793991,0.001,0.032661290322580645
1000000877_Act,GO::visual learning,Act,0.7939914163090128,0.001,0.032661290322580645
1000000824_LoF,GO::circadian behavior,LoF,0.51931330472103,0.001,0.032661290322580645
1000008280_Act,GO::meiotic recombination checkpoint,Act,0.3218884120171674,0.001,0.032661290322580645
1000009071_Act,kegg::Rap1 signaling pathway - Homo sapiens (human),Act,0.9463519313304721,0.001,0.032661290322580645
1000006936_Act,GO::response to caffeine,Act,0.5407725321888412,0.001,0.032661290322580645
1000006014_Act,GO::response to gamma radiation,Act,0.6888412017167382,0.002,0.053289473684210525
1000004726_Act,GO::G protein-coupled receptor signaling pathway,Act,0.9914163090128756,0.002,0.053289473684210525
1000003475_Act,GO::liver development,Act,0.851931330472103,0.002,0.053289473684210525
