Locus_name,Genes
20q11.21_CNAamp,284802 2307 343702 28954 81572 117285 245929 245930 164395 245932 245934 245935 245936 245937 22974 677822 724033 3397 140875 128853 598 84701 81502 85366 100422904 100873722
4q12_CNAamp,106479108 9575 55858 10874 132954
9p13.3_CNAamp,768 7169 10497 80256 730112 6023 4882 100616214 106480928 84904 51754 158381 646962 7094 84681 971 56656 26206 9827 7016 27240 57704 8434 392307 392309 10488 203260 9853 692094
5p15.33_CNAamp,6531 348932 153478 389257 81037 57491 6550 653082 100616479 10016 85409 55722 100616235 340024 65980 100616381 11076 133957 11336 10723 79844 7015 9319 6389 116349
1q21.2_CNAamp,51205 149013 10262 645142 149018 6698 6699 6700 6701 148523 6703 6704 6705 6706 6707 441908 11311 100132406 5174 56882 5692 29765 388677 4170 128077 5710 23632 114771 23126 388695 4184 388697 388698 388699 106481757 607 8799 84072 333932 27246 106480754 7286 56957 114814 26239 3713 6273 6274 6275 6276 6277 6278 6279 6280 6281 6282 6283 9869 2702 2703 100288142 8337 8338 10903 100874392 199834 8349 79005 2209 2210 10401 126626 84648 9900 126637 126638 5298 8370 54964 164022 100034743 57530 100289211 54460 653505 49860 100862665 8394 81609 81611 653519 23248 10962 9939 106479316 106480860 8416 106480357 25832 54507 4853 57592 728833 148738 10500 29956 148741 51463 2312 728841 79626 11022 79630 54544 728855 106479384 2330 57115 653598 8991 6944 645922 106479396 100288805 106480934 653604 84265 554282 100191040 448834 8515 448835 284485 284486 554313 317772 723790 9554 51027 9557 100422997 80222 200030 200035 728932 1893 5993 353131 353132 353133 353134 353135 353137 440689 353139 353140 353141 11126 353142 353143 353144 353145 10623 10628 693139 338324 284565 405 7062 117145 51107 55204 9129 58497 4014 400818 149428 11189 677814 9659 5565 106481086 677822 254910 677825 163778 339398 284615 574414 6097 337875 647135 51686 1513 51177 2029 65005 644591 1520 126961 55793 100129271 653820
3p13_CNAdel,100302112 27086
8p11.23_CNAamp,54904 137994
9p21.1_CNAdel,100126310 100126316 158038
19q12_CNAamp,898 8725
7p11.2_CNAamp,23480 55915 1956 81552
19q13.2_CNAamp,147968 8193 115727 126231 90522 10653 199720 11184 83889 23094 653499 94274 27335 64073 106481103 9424 81 5714 57828 399473 6261 3960 3963 147965
