,Symbol,Type,Freq,Emp.p_value,q_value
1000002791_LoF,GO::replicative senescence,LoF,0.625,0.0,0.0
1000009256_LoF,kegg::Glioma - Homo sapiens (human),LoF,0.7,0.0,0.0
1000005480_LoF,GO::negative regulation of cell-matrix adhesion,LoF,0.625,0.0,0.0
1029_LoF,CDKN2A,LoF,0.475,0.0002,0.0036000000000000003
8314_LoF,BAP1,LoF,0.4,0.0037,0.0222
4771_LoF,NF2,LoF,0.3375,0.0037,0.0222
283748_LoF,PLA2G4D,LoF,0.0625,0.0212,0.023850000000000003
1133_LoF,CHRM5,LoF,0.0625,0.0212,0.023850000000000003
6263_LoF,RYR3,LoF,0.075,0.0139,0.023850000000000003
51332_LoF,SPTBN5,LoF,0.0625,0.0212,0.023850000000000003
23269_LoF,MGA,LoF,0.0875,0.0118,0.023850000000000003
79094_LoF,CHAC1,LoF,0.0625,0.0212,0.023850000000000003
5888_LoF,RAD51,LoF,0.0625,0.0212,0.023850000000000003
9990_LoF,SLC12A6,LoF,0.0625,0.0212,0.023850000000000003
5330_LoF,PLCB2,LoF,0.075,0.0139,0.023850000000000003
825_LoF,CAPN3,LoF,0.075,0.0139,0.023850000000000003
23005_LoF,MAPKBP1,LoF,0.075,0.0139,0.023850000000000003
9716_LoF,AQR,LoF,0.0625,0.0212,0.023850000000000003
26524_LoF,LATS2,LoF,0.1,0.0098,0.023850000000000003
1000009261_LoF,kegg::Bladder cancer - Homo sapiens (human),LoF,0.675,0.001,0.05725
1000004656_LoF,GO::positive regulation of macrophage apoptotic process,LoF,0.475,0.002,0.06542857142857143
1000005292_LoF,GO::senescence-associated heterochromatin focus assembly,LoF,0.475,0.002,0.06542857142857143
1000006831_LoF,GO::negative regulation of cell proliferation,LoF,0.9125,0.002,0.06542857142857143
5728_LoF,PTEN,LoF,0.05,0.0751,0.0751
23345_LoF,SYNE1,LoF,0.05,0.0751,0.0751
1000004893_LoF,GO::positive regulation of smooth muscle cell apoptotic process,LoF,0.4875,0.004,0.10177777777777777
1000009254_LoF,kegg::Pancreatic cancer - Homo sapiens (human),LoF,0.6875,0.004,0.10177777777777777
1000001335_LoF,GO::Ras protein signal transduction,LoF,0.7,0.005,0.1145
1000006348_LoF,GO::response to inorganic substance,LoF,0.4,0.012,0.13085714285714284
1000006360_LoF,GO::regulation of protein localization to nucleus,LoF,0.3375,0.012,0.13085714285714284
1000006521_LoF,GO::regulation of gliogenesis,LoF,0.35,0.01,0.13085714285714284
1000009262_LoF,kegg::Chronic myeloid leukemia - Homo sapiens (human),LoF,0.6875,0.01,0.13085714285714284
1000005870_LoF,GO::nicotinamide riboside catabolic process,LoF,0.4125,0.007,0.13085714285714284
1000009265_LoF,kegg::Non-small cell lung cancer - Homo sapiens (human),LoF,0.675,0.01,0.13085714285714284
1000005552_LoF,GO::male mating behavior,LoF,0.3125,0.012,0.13085714285714284
1000006726_LoF,GO::regulation of cytokine production involved in inflammatory response,LoF,0.4,0.012,0.13085714285714284
1000003594_LoF,GO::regulation of hippo signaling,LoF,0.425,0.01,0.13085714285714284
1000009260_LoF,kegg::Melanoma - Homo sapiens (human),LoF,0.675,0.012,0.13085714285714284
1000002736_LoF,GO::monoubiquitinated histone H2A deubiquitination,LoF,0.4125,0.011,0.13085714285714284
1000003386_LoF,GO::negative regulation of phosphorylation,LoF,0.475,0.022,0.18810714285714286
1000002734_LoF,GO::monoubiquitinated protein deubiquitination,LoF,0.4,0.021,0.18810714285714286
1000006563_LoF,GO::positive regulation of cellular senescence,LoF,0.5,0.02,0.18810714285714286
1000002792_LoF,GO::cellular senescence,LoF,0.5,0.023,0.18810714285714286
1000007917_LoF,GO::regulation of stem cell proliferation,LoF,0.35,0.021,0.18810714285714286
1000004008_LoF,GO::cell cycle arrest,LoF,0.75,0.023,0.18810714285714286
1000009086_LoF,kegg::p53 signaling pathway - Homo sapiens (human),LoF,0.65,0.02,0.18810714285714286
1000001831_LoF,GO::cellular response to extracellular stimulus,LoF,0.4625,0.026,0.19206451612903225
1000007185_LoF,GO::negative regulation of cyclin-dependent protein serine/threonine kinase activity,LoF,0.55,0.026,0.19206451612903225
1000009107_LoF,kegg::Cellular senescence - Homo sapiens (human),LoF,0.7625,0.026,0.19206451612903225
1000004341_LoF,GO::regulation of neural precursor cell proliferation,LoF,0.3625,0.027,0.19321875
1000005928_LoF,GO::negative regulation of T-helper 2 cell cytokine production,LoF,0.2125,0.031,0.2151212121212121
1000004539_LoF,GO::ectoderm development,LoF,0.35,0.04,0.2544444444444444
1000007065_LoF,GO::muscle structure development,LoF,0.0875,0.04,0.2544444444444444
1000009120_LoF,kegg::Hippo signaling pathway - multiple species - Homo sapiens (human),LoF,0.5,0.04,0.2544444444444444
1000009264_LoF,kegg::Small cell lung cancer - Homo sapiens (human),LoF,0.65,0.043,0.2642307692307692
1000004265_LoF,GO::negative regulation of tyrosine phosphorylation of STAT protein,LoF,0.35,0.045,0.2642307692307692
1000001891_LoF,GO::protein K48-linked deubiquitination,LoF,0.5,0.045,0.2642307692307692
