,Symbol,Type,Freq,Emp.p_value,q_value
1000009254_LoF,kegg::Pancreatic cancer - Homo sapiens (human),LoF,0.8253012048192772,0.0,0.0
1000009256_LoF,kegg::Glioma - Homo sapiens (human),LoF,0.8132530120481928,0.0,0.0
1000009252_LoF,kegg::Colorectal cancer - Homo sapiens (human),LoF,0.8313253012048193,0.0,0.0
1000009260_LoF,kegg::Melanoma - Homo sapiens (human),LoF,0.8192771084337349,0.0,0.0
1000009261_LoF,kegg::Bladder cancer - Homo sapiens (human),LoF,0.8132530120481928,0.0,0.0
1000009265_LoF,kegg::Non-small cell lung cancer - Homo sapiens (human),LoF,0.8253012048192772,0.0,0.0
1000002791_LoF,GO::replicative senescence,LoF,0.7590361445783133,0.0,0.0
1000007744_LoF,GO::nephrogenic mesenchyme morphogenesis,LoF,0.3373493975903614,0.0,0.0
1000009155_LoF,kegg::Neurotrophin signaling pathway - Homo sapiens (human),LoF,0.8433734939759037,0.0,0.0
1000000879_LoF,GO::left ventricular cardiac muscle tissue morphogenesis,LoF,0.3614457831325301,0.0,0.0
1029_LoF,CDKN2A,LoF,0.5,0.0016,0.014400000000000001
4089_LoF,SMAD4,LoF,0.3373493975903614,0.0016,0.014400000000000001
6829_Act,SUPT5H,Act,0.09036144578313253,0.0086,0.0258
9853_Act,RUSC2,Act,0.06626506024096386,0.0172,0.0258
8289_LoF,ARID1A,LoF,0.05421686746987952,0.0082,0.0258
2064_Act,ERBB2,Act,0.06626506024096386,0.0172,0.0258
84152_Act,PPP1R1B,Act,0.06626506024096386,0.0172,0.0258
55095_Act,SAMD4B,Act,0.09036144578313253,0.0086,0.0258
64857_Act,PLEKHG2,Act,0.09036144578313253,0.0086,0.0258
10497_Act,UNC13B,Act,0.0783132530120482,0.0123,0.0258
57704_Act,GBA2,Act,0.06626506024096386,0.0172,0.0258
7094_Act,TLN1,Act,0.06626506024096386,0.0172,0.0258
8295_Act,TRRAP,Act,0.05421686746987952,0.0298,0.0298
57154_Act,SMURF1,Act,0.05421686746987952,0.0298,0.0298
25851_Act,TECPR1,Act,0.05421686746987952,0.0298,0.0298
9070_Act,ASH2L,Act,0.05421686746987952,0.0298,0.0298
25960_Act,ADGRA2,Act,0.05421686746987952,0.0298,0.0298
23259_Act,DDHD2,Act,0.060240963855421686,0.0233,0.0298
1000001335_LoF,GO::Ras protein signal transduction,LoF,0.8072289156626506,0.001,0.0748125
1000009255_LoF,kegg::Endometrial cancer - Homo sapiens (human),LoF,0.8012048192771084,0.001,0.0748125
1000006563_LoF,GO::positive regulation of cellular senescence,LoF,0.7228915662650602,0.001,0.0748125
1000001582_LoF,GO::negative regulation of cell growth,LoF,0.8192771084337349,0.001,0.0748125
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.8132530120481928,0.001,0.0748125
1000009250_Act,kegg::Proteoglycans in cancer - Homo sapiens (human),Act,0.8734939759036144,0.001,0.0748125
1000000877_Act,GO::visual learning,Act,0.7530120481927711,0.002,0.10881818181818183
1000009091_LoF,kegg::Mitophagy - animal - Homo sapiens (human),LoF,0.7831325301204819,0.002,0.10881818181818183
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.8313253012048193,0.002,0.10881818181818183
1000009268_LoF,kegg::Gastric cancer - Homo sapiens (human),LoF,0.8433734939759037,0.002,0.10881818181818183
1000006515_LoF,GO::regulation of long-term neuronal synaptic plasticity,LoF,0.7108433734939759,0.002,0.10881818181818183
1000009084_LoF,kegg::Cell cycle - Homo sapiens (human),LoF,0.8253012048192772,0.002,0.10881818181818183
1000009242_Act,kegg::Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),Act,0.8493975903614458,0.003,0.14364000000000002
1000001322_LoF,GO::striated muscle cell differentiation,LoF,0.6686746987951807,0.003,0.14364000000000002
1000004662_Act,GO::negative regulation of transforming growth factor beta1 production,Act,0.2710843373493976,0.003,0.14364000000000002
1000004425_LoF,GO::regulation of hair follicle development,LoF,0.3373493975903614,0.004,0.1450909090909091
1000001162_Act,GO::endodermal cell fate determination,Act,0.18072289156626506,0.004,0.1450909090909091
1000009086_LoF,kegg::p53 signaling pathway - Homo sapiens (human),LoF,0.7650602409638554,0.004,0.1450909090909091
1000007740_LoF,GO::metanephric mesenchyme morphogenesis,LoF,0.3373493975903614,0.004,0.1450909090909091
1000005292_LoF,GO::senescence-associated heterochromatin focus assembly,LoF,0.5,0.004,0.1450909090909091
1000004008_LoF,GO::cell cycle arrest,LoF,0.8132530120481928,0.004,0.1450909090909091
1000000486_LoF,GO::atrioventricular valve formation,LoF,0.3373493975903614,0.004,0.1450909090909091
1000004656_LoF,GO::positive regulation of macrophage apoptotic process,LoF,0.5,0.004,0.1450909090909091
1000009068_Act,kegg::MAPK signaling pathway - Homo sapiens (human),Act,0.891566265060241,0.006,0.20520000000000002
1000009236_Act,kegg::Hepatitis B - Homo sapiens (human),Act,0.8554216867469879,0.006,0.20520000000000002
1000003315_LoF,GO::regulation of binding,LoF,0.3433734939759036,0.008,0.22701724137931034
1000001906_LoF,GO::positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus,LoF,0.3493975903614458,0.009,0.22701724137931034
1000002341_LoF,GO::positive regulation of follicle-stimulating hormone secretion,LoF,0.35542168674698793,0.011,0.22701724137931034
1000004893_LoF,GO::positive regulation of smooth muscle cell apoptotic process,LoF,0.5240963855421686,0.009,0.22701724137931034
1000009102_Act,kegg::Longevity regulating pathway - Homo sapiens (human),Act,0.8072289156626506,0.007,0.22701724137931034
1000003157_Act,GO::pancreatic A cell differentiation,Act,0.1746987951807229,0.01,0.22701724137931034
1000009298_LoF,humanCyc::BMP,LoF,0.3373493975903614,0.011,0.22701724137931034
1000001403_LoF,GO::sebaceous gland development,LoF,0.3614457831325301,0.011,0.22701724137931034
1000001100_LoF,GO::SMAD protein complex assembly,LoF,0.3433734939759036,0.011,0.22701724137931034
1000002935_LoF,GO::formation of anatomical boundary,LoF,0.3373493975903614,0.008,0.22701724137931034
1000002141_LoF,GO::response to transforming growth factor beta,LoF,0.39156626506024095,0.009,0.22701724137931034
1000008113_LoF,GO::atrioventricular canal development,LoF,0.3433734939759036,0.011,0.22701724137931034
1000008928_LoF,GO::regulation of transforming growth factor beta2 production,LoF,0.3493975903614458,0.008,0.22701724137931034
1000004277_Act,GO::sarcomerogenesis,Act,0.21084337349397592,0.009,0.22701724137931034
