,Symbol,Type,Freq,Emp.p_value,q_value
1000009068_Act,kegg::MAPK signaling pathway - Homo sapiens (human),Act,0.525,0.0,0.0
1000002717_Act,GO::negative regulation of transcription by RNA polymerase II,Act,0.625,0.0,0.0
1000004726_Act,GO::G protein-coupled receptor signaling pathway,Act,0.58125,0.0,0.0
1000002551_Act,GO::positive regulation of GTPase activity,Act,0.59375,0.0,0.0
1000004873_Act,GO::regulation of transcription by RNA polymerase II,Act,0.65625,0.0,0.0
1000006152_Act,GO::positive regulation of transcription by RNA polymerase II,Act,0.7625,0.0,0.0
1000006831_Act,GO::negative regulation of cell proliferation,Act,0.54375,0.0,0.0
1000006885_Act,GO::signal transduction,Act,0.65625,0.0,0.0
1000001596_Act,GO::positive regulation of transcription; DNA-templated,Act,0.575,0.0,0.0
1000009240_Act,kegg::Human papillomavirus infection - Homo sapiens (human),Act,0.5375,0.0,0.0
1000009246_Act,kegg::Pathways in cancer - Homo sapiens (human),Act,0.64375,0.0,0.0
3265_LoF,HRAS,LoF,0.10625,0.0002,0.0006000000000000001
7343_Act,UBTF,Act,0.0625,0.0108,0.016200000000000003
405_Act,ARNT,Act,0.05,0.037,0.037
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.35625,0.001,0.07461538461538463
1000009179_Act,kegg::Oxytocin signaling pathway - Homo sapiens (human),Act,0.45,0.001,0.07461538461538463
1000005363_LoF,GO::regulation of neurotransmitter receptor localization to postsynaptic specialization membrane,LoF,0.15625,0.002,0.13857142857142857
1000009253_Act,kegg::Renal cell carcinoma - Homo sapiens (human),Act,0.34375,0.004,0.2425
1000000529_Act,GO::positive regulation of cell migration,Act,0.48125,0.004,0.2425
1000001595_Act,GO::negative regulation of transcription; DNA-templated,Act,0.55,0.005,0.24250000000000002
1000006634_Act,GO::extracellular matrix organization,Act,0.48125,0.005,0.24250000000000002
1000001730_LoF,GO::positive regulation of ruffle assembly,LoF,0.18125,0.005,0.24250000000000002
1000009258_Act,kegg::Thyroid cancer - Homo sapiens (human),Act,0.2875,0.005,0.24250000000000002
1000007279_Act,GO::MAPK cascade,Act,0.4875,0.006,0.2645454545454546
