,Symbol,PAM_freq,MutSig2CV_qvalue,Fusion_freq,CNA_freq,CNA_locus,CNA_type,GISTIC_residual_q_value,Act_freq,LoF_freq,OM_type_selected,OM_empirical_p_value,OM_empirical_q_value,Genes_in_locus,Final_mutation_type,Final_freq,Delta_over_PAM,Pathway_Length,Pathway_Name,Somatically_Mutated_Genes,Amplified_Genes,Deleted_Genes,ME_pvalues
1,A1BG,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
2,A2M,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
3,A2MP1,0.0,,,,,,,,,,,,,,,,1,,,,,
131076,CCDC58,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
9,NAT1,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
10,NAT2,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
11,NATP,0.0,,,,,,,,,,,,,,,,1,,,,,
12,SERPINA3,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
13,AADAC,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
14,AAMP,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
15,AANAT,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
16,AARS,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
18,ABAT,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
19,ABCA1,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
20,ABCA2,0.00625,1.0,0.0,,,,,,,,,,,,,,1,,,,,
21,ABCA3,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
22,ABCB7,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
23,ABCF1,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
24,ABCA4,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
25,ABL1,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
26,ABP1,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
27,ABL2,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
28,ABO,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
29,ABR,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
30,ACAA1,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
31,ACACA,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
32,ACACB,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
33,ACADL,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
34,ACADM,0.00625,1.0,0.0,,,,,,,,,,,,,,1,,,,,
35,ACADS,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
36,ACADSB,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
37,ACADVL,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
38,ACAT1,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
39,ACAT2,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
40,ASIC2,0.0,,,,,,,,,,,,,,,,1,,,,,
41,ASIC1,0.0,,,,,,,,,,,,,,,,1,,,,,
43,ACHE,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
131118,DNAJC19,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
47,ACLY,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
48,ACO1,0.0,1.0,0.0,,,,,,,,,,,,,,1,,,,,
49,ACR,0.0,1.0,,0.00625,22q13.31,Del,0.044123,0.0,0.00625,,,,,,,,1,,,,,
50,ACO2,0.0,1.0,0.0,0.0,22q13.31,Del,0.044123,0.0,0.0,,,,,,,,1,,,,,
