,Symbol,Type,Freq,Emp.p_value,q_value
1000006152_LoF,GO::positive regulation of transcription by RNA polymerase II,LoF,0.96875,0.0,0.0
7113_LoF,TMPRSS2,LoF,0.4125,0.0007,0.06434999999999999
2078_LoF,ERG,LoF,0.40208333333333335,0.0011,0.06434999999999999
7157_LoF,TP53,LoF,0.17708333333333334,0.0083,0.08828181818181818
4609_Act,MYC,Act,0.07916666666666666,0.0056,0.08828181818181818
5728_LoF,PTEN,LoF,0.22291666666666668,0.0029,0.08828181818181818
7178_LoF,TPT1,LoF,0.17708333333333334,0.0083,0.08828181818181818
23091_LoF,ZC3H13,LoF,0.1875,0.0036,0.08828181818181818
23143_LoF,LRCH1,LoF,0.17708333333333334,0.0083,0.08828181818181818
283514_LoF,SIAH3,LoF,0.17708333333333334,0.0083,0.08828181818181818
5462_Act,POU5F1B,Act,0.07916666666666666,0.0056,0.08828181818181818
145282_Act,MIPOL1,Act,0.05,0.0079,0.08828181818181818
23039_LoF,XPO7,LoF,0.175,0.0125,0.10446428571428572
55425_LoF,GPALPP1,LoF,0.175,0.0125,0.10446428571428572
3936_LoF,LCP1,LoF,0.175,0.0125,0.10446428571428572
9046_LoF,DOK2,LoF,0.17291666666666666,0.0193,0.112905
55124_LoF,PIWIL2,LoF,0.17291666666666666,0.0193,0.112905
57805_LoF,CCAR2,LoF,0.17291666666666666,0.0193,0.112905
4017_LoF,LOXL2,LoF,0.17291666666666666,0.0193,0.112905
1960_LoF,EGR3,LoF,0.17291666666666666,0.0193,0.112905
26747_LoF,NUFIP1,LoF,0.17291666666666666,0.0193,0.112905
9583_LoF,ENTPD4,LoF,0.17083333333333334,0.0295,0.12783333333333333
3356_LoF,HTR2A,LoF,0.17083333333333334,0.0295,0.12783333333333333
203190_LoF,LGI3,LoF,0.17083333333333334,0.0295,0.12783333333333333
203069_LoF,R3HCC1,LoF,0.17083333333333334,0.0295,0.12783333333333333
23036_LoF,ZNF292,LoF,0.17083333333333334,0.0295,0.12783333333333333
80183_LoF,KIAA0226L,LoF,0.17083333333333334,0.0295,0.12783333333333333
8795_LoF,TNFRSF10B,LoF,0.17083333333333334,0.0295,0.12783333333333333
9445_LoF,ITM2B,LoF,0.16666666666666666,0.0405,0.14807812499999998
27299_LoF,ADAMDEC1,LoF,0.16666666666666666,0.0405,0.14807812499999998
8848_LoF,TSC22D1,LoF,0.16666666666666666,0.0405,0.14807812499999998
23221_LoF,RHOBTB2,LoF,0.16875,0.0373,0.14807812499999998
10863_LoF,ADAM28,LoF,0.16875,0.0373,0.14807812499999998
5101_LoF,PCDH9,LoF,0.13333333333333333,0.0458,0.15099622641509433
440145_LoF,MZT1,LoF,0.10416666666666667,0.0566,0.15099622641509433
22894_LoF,DIS3,LoF,0.10416666666666667,0.0566,0.15099622641509433
64881_LoF,PCDH20,LoF,0.12291666666666666,0.049,0.15099622641509433
161931_LoF,ADAD2,LoF,0.10208333333333333,0.0601,0.15099622641509433
9882_LoF,TBC1D4,LoF,0.09791666666666667,0.0684,0.15099622641509433
2303_LoF,FOXC2,LoF,0.09791666666666667,0.0684,0.15099622641509433
2300_LoF,FOXL1,LoF,0.09791666666666667,0.0684,0.15099622641509433
1105_LoF,CHD1,LoF,0.10416666666666667,0.0566,0.15099622641509433
146167_LoF,SLC38A8,LoF,0.1,0.063,0.15099622641509433
57707_LoF,KIAA1609,LoF,0.09791666666666667,0.0684,0.15099622641509433
23077_LoF,MYCBP2,LoF,0.10625,0.0546,0.15099622641509433
404550_LoF,C16orf74,LoF,0.09791666666666667,0.0684,0.15099622641509433
688_LoF,KLF5,LoF,0.10833333333333334,0.0532,0.15099622641509433
9013_LoF,TAF1C,LoF,0.09791666666666667,0.0684,0.15099622641509433
79786_LoF,KLHL36,LoF,0.09791666666666667,0.0684,0.15099622641509433
23199_LoF,GSE1,LoF,0.10208333333333333,0.0601,0.15099622641509433
8720_LoF,MBTPS1,LoF,0.1,0.063,0.15099622641509433
9100_LoF,USP10,LoF,0.09791666666666667,0.0684,0.15099622641509433
463_LoF,ZFHX3,LoF,0.13125,0.046,0.15099622641509433
93107_LoF,KCNG4,LoF,0.09791666666666667,0.0684,0.15099622641509433
29948_LoF,OSGIN1,LoF,0.09583333333333334,0.076,0.15878571428571428
170622_LoF,COMMD6,LoF,0.09583333333333334,0.076,0.15878571428571428
80731_LoF,THSD7B,LoF,0.09583333333333334,0.076,0.15878571428571428
23429_LoF,RYBP,LoF,0.07916666666666666,0.0912,0.16190735294117647
92_LoF,ACVR2A,LoF,0.075,0.0941,0.16190735294117647
26224_LoF,FBXL3,LoF,0.08958333333333333,0.0823,0.16190735294117647
3572_LoF,IL6ST,LoF,0.07916666666666666,0.0912,0.16190735294117647
8796_LoF,SCEL,LoF,0.0875,0.0838,0.16190735294117647
497190_LoF,CLEC18B,LoF,0.08125,0.0886,0.16190735294117647
344148_LoF,NCKAP5,LoF,0.07708333333333334,0.0927,0.16190735294117647
482_LoF,ATP1B2,LoF,0.07916666666666666,0.0912,0.16190735294117647
122060_LoF,SLAIN1,LoF,0.08125,0.0886,0.16190735294117647
83449_LoF,PMFBP1,LoF,0.08541666666666667,0.0852,0.16190735294117647
1203_LoF,CLN5,LoF,0.08958333333333333,0.0823,0.16190735294117647
11249_LoF,NXPH2,LoF,0.075,0.0941,0.16190735294117647
55777_LoF,MBD5,LoF,0.07083333333333333,0.1028,0.16476164383561645
23190_LoF,UBXN4,LoF,0.07083333333333333,0.1028,0.16476164383561645
7343_LoF,UBTF,LoF,0.07083333333333333,0.1028,0.16476164383561645
3938_LoF,LCT,LoF,0.07291666666666667,0.0978,0.16476164383561645
84083_LoF,ZRANB3,LoF,0.07083333333333333,0.1028,0.16476164383561645
6521_LoF,SLC4A1,LoF,0.06458333333333334,0.1388,0.16916250000000002
4214_LoF,MAP3K1,LoF,0.06458333333333334,0.1388,0.16916250000000002
79722_LoF,ANKRD55,LoF,0.06875,0.1117,0.16916250000000002
26122_LoF,EPC2,LoF,0.06666666666666667,0.125,0.16916250000000002
130576_LoF,LYPD6B,LoF,0.06666666666666667,0.125,0.16916250000000002
3800_LoF,KIF5C,LoF,0.06875,0.1117,0.16916250000000002
1027_LoF,CDKN1B,LoF,0.06666666666666667,0.125,0.16916250000000002
80122_LoF,MAP3K19,LoF,0.06458333333333334,0.1388,0.16916250000000002
133396_LoF,IL31RA,LoF,0.06666666666666667,0.125,0.16916250000000002
554226_LoF,ANKRD30BL,LoF,0.06458333333333334,0.1388,0.16916250000000002
100506658_LoF,OCLN,LoF,0.06666666666666667,0.125,0.16916250000000002
4671_LoF,NAIP,LoF,0.06666666666666667,0.125,0.16916250000000002
23131_LoF,GPATCH8,LoF,0.06458333333333334,0.1388,0.16916250000000002
10014_LoF,HDAC5,LoF,0.06875,0.1117,0.16916250000000002
22930_LoF,RAB3GAP1,LoF,0.06875,0.1117,0.16916250000000002
7852_LoF,CXCR4,LoF,0.06458333333333334,0.1388,0.16916250000000002
4175_LoF,MCM6,LoF,0.06666666666666667,0.125,0.16916250000000002
5295_LoF,PIK3R1,LoF,0.06666666666666667,0.125,0.16916250000000002
81615_LoF,TMEM163,LoF,0.06666666666666667,0.125,0.16916250000000002
10900_LoF,RUNDC3A,LoF,0.06458333333333334,0.1388,0.16916250000000002
1022_LoF,CDK7,LoF,0.06458333333333334,0.1388,0.16916250000000002
78995_LoF,C17orf53,LoF,0.06458333333333334,0.1388,0.16916250000000002
345651_LoF,ACTBL2,LoF,0.06458333333333334,0.1388,0.16916250000000002
5789_LoF,PTPRD,LoF,0.06041666666666667,0.1565,0.16954166666666665
92579_LoF,G6PC3,LoF,0.06041666666666667,0.1565,0.16954166666666665
51629_LoF,SLC25A39,LoF,0.06041666666666667,0.1565,0.16954166666666665
8611_LoF,PLPP1,LoF,0.06041666666666667,0.1565,0.16954166666666665
3674_LoF,ITGA2B,LoF,0.0625,0.1504,0.16954166666666665
84033_LoF,OBSCN,LoF,0.06041666666666667,0.1565,0.16954166666666665
54514_LoF,DDX4,LoF,0.0625,0.1504,0.16954166666666665
166968_LoF,MIER3,LoF,0.0625,0.1504,0.16954166666666665
5884_LoF,RAD17,LoF,0.0625,0.1504,0.16954166666666665
4131_LoF,MAP1B,LoF,0.06041666666666667,0.1565,0.16954166666666665
64924_LoF,SLC30A5,LoF,0.06041666666666667,0.1565,0.16954166666666665
202243_LoF,CCDC125,LoF,0.06041666666666667,0.1565,0.16954166666666665
7704_LoF,ZBTB16,LoF,0.05,0.1704,0.1704
54827_LoF,NXPE4,LoF,0.05,0.1704,0.1704
23107_LoF,MRPS27,LoF,0.058333333333333334,0.1645,0.1704
134285_LoF,TMEM171,LoF,0.05625,0.1681,0.1704
55814_LoF,BDP1,LoF,0.058333333333333334,0.1645,0.1704
2535_LoF,FZD2,LoF,0.052083333333333336,0.1698,0.1704
79633_LoF,FAT4,LoF,0.052083333333333336,0.1698,0.1704
23517_LoF,MTREX,LoF,0.05625,0.1681,0.1704
3842_LoF,TNPO1,LoF,0.05625,0.1681,0.1704
1000000748_LoF,GO::positive regulation of podosome assembly,LoF,0.21875,0.548,1.0
1000000750_LoF,GO::cellular response to luteinizing hormone stimulus,LoF,0.09166666666666666,0.344,1.0
1000000760_LoF,GO::lymphangiogenesis,LoF,0.1875,0.679,1.0
1000000779_LoF,GO::lung vasculature development,LoF,0.12291666666666666,0.509,1.0
1000000791_LoF,GO::positive regulation of potassium ion import,LoF,0.12291666666666666,0.631,1.0
1000000806_LoF,GO::protein side chain deglutamylation,LoF,0.06041666666666667,0.802,1.0
1000000812_LoF,GO::positive regulation of protein lipidation,LoF,0.08125,0.515,1.0
1000000813_LoF,GO::branched-chain amino acid transport,LoF,0.08125,0.231,1.0
1000000938_LoF,GO::positive regulation of calcium-mediated signaling,LoF,0.18333333333333332,0.909,1.0
1000000856_LoF,GO::positive regulation of mitochondrial depolarization,LoF,0.11666666666666667,0.868,1.0
1000000876_LoF,GO::ventricular compact myocardium morphogenesis,LoF,0.18958333333333333,0.347,1.0
1000000880_LoF,GO::negative regulation of MHC class II biosynthetic process,LoF,0.15208333333333332,0.296,1.0
1000000884_LoF,GO::oocyte differentiation,LoF,0.18125,0.157,1.0
1000000843_LoF,GO::nucleoside triphosphate biosynthetic process,LoF,0.07916666666666666,0.938,1.0
1000000901_LoF,GO::mitophagy,LoF,0.07916666666666666,0.759,1.0
1000000953_LoF,GO::positive regulation of monocyte chemotactic protein-1 production,LoF,0.08125,0.966,1.0
1000000946_LoF,GO::positive regulation of histone phosphorylation,LoF,0.13958333333333334,0.607,1.0
1000000944_LoF,GO::regulation of T cell receptor signaling pathway,LoF,0.06041666666666667,0.802,1.0
1000000941_LoF,GO::positive regulation of RNA splicing,LoF,0.19791666666666666,0.736,1.0
1000000934_LoF,GO::negative regulation of interleukin-12 production,LoF,0.175,0.741,1.0
1000000851_LoF,GO::negative regulation of B cell apoptotic process,LoF,0.19791666666666666,0.368,1.0
1000001068_LoF,GO::high-density lipoprotein particle clearance,LoF,0.125,0.838,1.0
1000000973_LoF,GO::positive regulation of focal adhesion assembly,LoF,0.22083333333333333,0.975,1.0
1000001276_LoF,GO::natural killer cell mediated cytotoxicity,LoF,0.1125,1.0,1.0
1000001241_LoF,GO::GMP metabolic process,LoF,0.11458333333333333,0.877,1.0
1000001238_LoF,GO::GTP metabolic process,LoF,0.12291666666666666,0.971,1.0
1000001236_LoF,GO::negative regulation of intracellular estrogen receptor signaling pathway,LoF,0.16458333333333333,0.887,1.0
1000001232_LoF,GO::positive regulation of calcium ion transport into cytosol,LoF,0.1,0.957,1.0
1000001227_LoF,GO::peptidyl-arginine methylation; to asymmetrical-dimethyl arginine,LoF,0.07291666666666667,0.916,1.0
1000001217_LoF,GO::negative regulation of heterotypic cell-cell adhesion,LoF,0.11041666666666666,0.91,1.0
1000001200_LoF,GO::succinyl-CoA metabolic process,LoF,0.1875,0.284,1.0
1000001182_LoF,GO::midbody abscission,LoF,0.28125,0.55,1.0
1000001180_LoF,GO::male germ-line stem cell asymmetric division,LoF,0.08333333333333333,0.501,1.0
1000001178_LoF,GO::trans-synaptic signaling by trans-synaptic complex,LoF,0.08125,0.389,1.0
1000001164_LoF,GO::posterior midgut development,LoF,0.09583333333333334,0.183,1.0
1000000959_LoF,GO::positive regulation of alpha-beta T cell differentiation,LoF,0.08125,0.966,1.0
1000001163_LoF,GO::midgut development,LoF,0.18333333333333332,0.587,1.0
1000001129_LoF,GO::positive regulation of leukocyte migration,LoF,0.17291666666666666,0.744,1.0
1000001122_LoF,GO::positive regulation of triglyceride biosynthetic process,LoF,0.15,0.831,1.0
1000001120_LoF,GO::positive regulation of phospholipase C activity,LoF,0.16041666666666668,0.857,1.0
1000001114_LoF,GO::regulation of mitotic cell cycle spindle assembly checkpoint,LoF,0.07916666666666666,0.759,1.0
1000001087_LoF,GO::apoptotic DNA fragmentation,LoF,0.13541666666666666,0.968,1.0
1000001070_LoF,GO::cornea development in camera-type eye,LoF,0.09583333333333334,0.883,1.0
1000000721_LoF,GO::Notch receptor processing,LoF,0.07291666666666667,0.951,1.0
1000001060_LoF,GO::interleukin-21-mediated signaling pathway,LoF,0.125,0.698,1.0
1000001058_LoF,GO::interleukin-2-mediated signaling pathway,LoF,0.22916666666666666,0.436,1.0
1000001055_LoF,GO::interleukin-9-mediated signaling pathway,LoF,0.09375,0.886,1.0
1000001028_LoF,GO::de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,LoF,0.0625,0.786,1.0
1000000991_LoF,GO::negative regulation of macrophage activation,LoF,0.20833333333333334,0.591,1.0
1000001134_LoF,GO::negative regulation of DNA recombination,LoF,0.13541666666666666,0.988,1.0
1000000698_LoF,GO::regulation of neurotransmitter receptor activity,LoF,0.11041666666666666,0.768,1.0
1000000403_LoF,GO::spinal cord motor neuron differentiation,LoF,0.13333333333333333,0.97,1.0
1000000662_LoF,GO::natural killer cell activation,LoF,0.13541666666666666,1.0,1.0
1000000303_LoF,GO::regulation of bicellular tight junction assembly,LoF,0.15625,0.812,1.0
1000000294_LoF,GO::cholesterol import,LoF,0.09375,0.684,1.0
1000000264_LoF,GO::negative regulation of intracellular transport,LoF,0.08333333333333333,0.378,1.0
1000000263_LoF,GO::melanosome organization,LoF,0.21041666666666667,0.881,1.0
1000000258_LoF,GO::activin receptor signaling pathway,LoF,0.18541666666666667,0.901,1.0
1000000248_LoF,GO::establishment of planar polarity,LoF,0.21041666666666667,0.685,1.0
1000000226_LoF,GO::mesenchyme migration,LoF,0.19791666666666666,0.169,1.0
1000000225_LoF,GO::zinc ion import across plasma membrane,LoF,0.19166666666666668,0.342,1.0
1000000215_LoF,GO::positive regulation of calcium ion import,LoF,0.24166666666666667,0.606,1.0
1000000195_LoF,GO::succinate metabolic process,LoF,0.18958333333333333,0.347,1.0
1000000194_LoF,GO::positive regulation of NAD(P)H oxidase activity,LoF,0.14583333333333334,0.515,1.0
1000000191_LoF,GO::high-density lipoprotein particle assembly,LoF,0.22083333333333333,0.619,1.0
1000000190_LoF,GO::low-density lipoprotein particle clearance,LoF,0.2125,0.968,1.0
1000000181_LoF,GO::embryonic digestive tract morphogenesis,LoF,0.19791666666666666,0.894,1.0
1000000173_LoF,GO::transcription by RNA polymerase I,LoF,0.18125,0.232,1.0
1000000151_LoF,GO::atrioventricular valve morphogenesis,LoF,0.19375,0.661,1.0
1000000146_LoF,GO::regulation of B cell apoptotic process,LoF,0.23333333333333334,0.019,1.0
1000000136_LoF,GO::negative regulation of plasminogen activation,LoF,0.20416666666666666,0.209,1.0
1000000133_LoF,GO::positive regulation of cGMP-mediated signaling,LoF,0.14791666666666667,0.57,1.0
1000000129_LoF,GO::negative regulation of cellular component movement,LoF,0.125,0.627,1.0
1000000119_LoF,GO::endothelial cell differentiation,LoF,0.125,0.858,1.0
1000000116_LoF,GO::histone H4-K16 acetylation,LoF,0.17083333333333334,0.987,1.0
1000000105_LoF,GO::positive regulation by host of viral transcription,LoF,0.22291666666666668,0.807,1.0
1000000340_LoF,GO::adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway,LoF,0.08958333333333333,0.852,1.0
1000000673_LoF,GO::sphingolipid metabolic process,LoF,0.19791666666666666,0.866,1.0
1000000347_LoF,GO::Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,LoF,0.09375,0.684,1.0
1000000382_LoF,GO::heparan sulfate proteoglycan biosynthetic process; enzymatic modification,LoF,0.18333333333333332,0.293,1.0
1000000643_LoF,GO::positive regulation of T cell activation,LoF,0.21458333333333332,0.851,1.0
1000000625_LoF,GO::clathrin-dependent endocytosis,LoF,0.25416666666666665,0.953,1.0
1000000583_LoF,GO::positive regulation of ion transmembrane transporter activity,LoF,0.13125,0.653,1.0
1000000574_LoF,GO::presynapse assembly,LoF,0.14791666666666667,0.897,1.0
1000000551_LoF,GO::positive regulation of membrane protein ectodomain proteolysis,LoF,0.15833333333333333,0.909,1.0
1000000518_LoF,GO::establishment of protein localization to endoplasmic reticulum membrane,LoF,0.0875,0.358,1.0
1000000516_LoF,GO::positive regulation of glutamate receptor signaling pathway,LoF,0.10208333333333333,0.292,1.0
1000000515_LoF,GO::chromatin silencing at rDNA,LoF,0.20833333333333334,1.0,1.0
1000000510_LoF,GO::positive regulation of STAT cascade,LoF,0.09375,0.439,1.0
1000000485_LoF,GO::endocardial cushion development,LoF,0.23541666666666666,0.263,1.0
1000000477_LoF,GO::regulation of gene expression by genetic imprinting,LoF,0.14166666666666666,0.936,1.0
1000000465_LoF,GO::regulation of nuclear cell cycle DNA replication,LoF,0.26458333333333334,0.027,1.0
1000000460_LoF,GO::positive regulation of interferon-gamma biosynthetic process,LoF,0.14791666666666667,0.838,1.0
1000000448_LoF,GO::suckling behavior,LoF,0.17708333333333334,0.797,1.0
1000000440_LoF,GO::acrosome reaction,LoF,0.11666666666666667,0.989,1.0
1000000431_LoF,GO::branchiomotor neuron axon guidance,LoF,0.12708333333333333,0.39,1.0
1000000423_LoF,GO::inner ear receptor cell development,LoF,0.10833333333333334,0.601,1.0
1000000416_LoF,GO::protein kinase C-activating G protein-coupled receptor signaling pathway,LoF,0.32708333333333334,0.721,1.0
1000000411_LoF,GO::positive regulation of meiosis I,LoF,0.18541666666666667,0.024,1.0
1000000410_LoF,GO::phospholipase C-activating serotonin receptor signaling pathway,LoF,0.17291666666666666,0.072,1.0
1000000407_LoF,GO::spinal cord association neuron differentiation,LoF,0.10416666666666667,0.984,1.0
1000001277_LoF,GO::DNA protection,LoF,0.18333333333333332,0.226,1.0
1000000385_LoF,GO::negative regulation of ATPase activity,LoF,0.16666666666666666,0.838,1.0
1000000355_LoF,GO::positive regulation of TRAIL-activated apoptotic signaling pathway,LoF,0.23958333333333334,0.016,1.0
1000001287_LoF,GO::myeloid dendritic cell differentiation,LoF,0.1625,0.959,1.0
1000001291_LoF,GO::positive regulation of isotype switching to IgG isotypes,LoF,0.1,0.921,1.0
1000001307_LoF,GO::negative regulation of intrinsic apoptotic signaling pathway,LoF,0.15625,0.999,1.0
1000002108_LoF,GO::negative regulation of peptidyl-threonine phosphorylation,LoF,0.32708333333333334,0.381,1.0
1000002132_LoF,GO::intracellular steroid hormone receptor signaling pathway,LoF,0.09166666666666666,0.692,1.0
1000002140_LoF,GO::regulation of BMP signaling pathway,LoF,0.11458333333333333,0.678,1.0
1000002143_LoF,GO::atrial septum morphogenesis,LoF,0.27291666666666664,0.33,1.0
1000002152_LoF,GO::enteric nervous system development,LoF,0.19791666666666666,0.727,1.0
1000002159_LoF,GO::synaptic vesicle transport,LoF,0.13333333333333333,0.889,1.0
1000002162_LoF,GO::alternative mRNA splicing; via spliceosome,LoF,0.125,0.993,1.0
1000002180_LoF,GO::exogenous drug catabolic process,LoF,0.26458333333333334,0.877,1.0
1000002198_LoF,GO::postsynapse to nucleus signaling pathway,LoF,0.19166666666666668,0.458,1.0
1000002226_LoF,GO::regulation of anion transport,LoF,0.18541666666666667,0.218,1.0
1000002227_LoF,GO::miRNA metabolic process,LoF,0.11666666666666667,0.989,1.0
1000002229_LoF,GO::cellular response to organonitrogen compound,LoF,0.06041666666666667,0.651,1.0
1000002244_LoF,GO::positive regulation of potassium ion transmembrane transporter activity,LoF,0.15416666666666667,0.371,1.0
1000002247_LoF,GO::T-helper 2 cell cytokine production,LoF,0.07916666666666666,0.403,1.0
1000002249_LoF,GO::negative regulation of potassium ion transmembrane transporter activity,LoF,0.32083333333333336,0.037,1.0
1000002103_LoF,GO::regulation of mRNA processing,LoF,0.14375,0.855,1.0
1000002096_LoF,GO::regulation of exit from mitosis,LoF,0.25833333333333336,0.431,1.0
1000002093_LoF,GO::centriole replication,LoF,0.20833333333333334,0.867,1.0
1000002090_LoF,GO::positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,LoF,0.28125,0.961,1.0
1000001908_LoF,GO::protein localization to organelle,LoF,0.25833333333333336,0.522,1.0
1000001916_LoF,GO::stabilization of membrane potential,LoF,0.12291666666666666,0.993,1.0
1000001917_LoF,GO::respiratory tube development,LoF,0.1125,0.348,1.0
1000001919_LoF,GO::adrenal gland development,LoF,0.19791666666666666,0.97,1.0
1000001942_LoF,GO::regulation of proteasomal protein catabolic process,LoF,0.27291666666666664,0.603,1.0
1000001950_LoF,GO::leucine catabolic process,LoF,0.10416666666666667,0.627,1.0
1000001975_LoF,GO::negative regulation of cellular protein metabolic process,LoF,0.10416666666666667,0.512,1.0
1000002250_LoF,GO::nuclear-transcribed mRNA catabolic process; exonucleolytic; 3'-5',LoF,0.18958333333333333,0.467,1.0
1000001978_LoF,GO::regulation of cellular protein metabolic process,LoF,0.17291666666666666,0.257,1.0
1000002060_LoF,GO::negative regulation of epidermal growth factor receptor signaling pathway,LoF,0.3,0.971,1.0
1000002062_LoF,GO::negative regulation of potassium ion transport,LoF,0.2875,0.136,1.0
1000002066_LoF,GO::habenula development,LoF,0.1125,0.25,1.0
1000002069_LoF,GO::positive regulation of potassium ion transport,LoF,0.14583333333333334,0.667,1.0
