,Symbol,Type,Freq,Emp.p_value,q_value
1000009086_Act,kegg::p53 signaling pathway - Homo sapiens (human),Act,0.7929515418502202,0.0,0.0
1000009244_Act,kegg::Epstein-Barr virus infection - Homo sapiens (human),Act,0.8678414096916299,0.0,0.0
1000009241_Act,kegg::Human T-cell leukemia virus 1 infection - Homo sapiens (human),Act,0.8854625550660793,0.0,0.0
1000000345_Act,GO::response to antibiotic,Act,0.6828193832599119,0.0,0.0
1000009240_Act,kegg::Human papillomavirus infection - Homo sapiens (human),Act,0.9295154185022027,0.0,0.0
1000009238_Act,kegg::Human cytomegalovirus infection - Homo sapiens (human),Act,0.8898678414096917,0.0,0.0
1000009236_Act,kegg::Hepatitis B - Homo sapiens (human),Act,0.8590308370044053,0.0,0.0
1000009212_Act,kegg::Huntington disease - Homo sapiens (human),Act,0.8722466960352423,0.0,0.0
1000000367_LoF,GO::positive regulation of extracellular matrix organization,LoF,0.2775330396475771,0.0,0.0
1000009177_Act,kegg::Thyroid hormone signaling pathway - Homo sapiens (human),Act,0.8590308370044053,0.0,0.0
1000009107_Act,kegg::Cellular senescence - Homo sapiens (human),Act,0.8546255506607929,0.0,0.0
1000009102_Act,kegg::Longevity regulating pathway - Homo sapiens (human),Act,0.8370044052863436,0.0,0.0
1000009101_Act,kegg::Apoptosis - Homo sapiens (human),Act,0.8458149779735683,0.0,0.0
1000009099_Act,kegg::PI3K-Akt signaling pathway - Homo sapiens (human),Act,0.9295154185022027,0.0,0.0
1000009091_Act,kegg::Mitophagy - animal - Homo sapiens (human),Act,0.7533039647577092,0.0,0.0
1000009084_Act,kegg::Cell cycle - Homo sapiens (human),Act,0.8766519823788547,0.0,0.0
1000008753_LoF,GO::DNA strand renaturation,LoF,0.4801762114537445,0.0,0.0
1000009155_Act,kegg::Neurotrophin signaling pathway - Homo sapiens (human),Act,0.8590308370044053,0.0,0.0
1000008543_Act,GO::protein localization,Act,0.775330396475771,0.0,0.0
1000009248_Act,kegg::Viral carcinogenesis - Homo sapiens (human),Act,0.8678414096916299,0.0,0.0
1000009251_Act,kegg::MicroRNAs in cancer - Homo sapiens (human),Act,0.9074889867841409,0.0,0.0
1000001335_Act,GO::Ras protein signal transduction,Act,0.775330396475771,0.0,0.0
1000000571_Act,GO::cellular response to hypoxia,Act,0.8502202643171806,0.0,0.0
1000001405_LoF,GO::oligodendrocyte apoptotic process,LoF,0.46255506607929514,0.0,0.0
1000009283_Act,kegg::Fluid shear stress and atherosclerosis - Homo sapiens (human),Act,0.8502202643171806,0.0,0.0
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.7665198237885462,0.0,0.0
1000001582_Act,GO::negative regulation of cell growth,Act,0.8281938325991189,0.0,0.0
1000009267_Act,kegg::Hepatocellular carcinoma - Homo sapiens (human),Act,0.8766519823788547,0.0,0.0
1000009250_Act,kegg::Proteoglycans in cancer - Homo sapiens (human),Act,0.8986784140969163,0.0,0.0
1000001599_Act,GO::positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,Act,0.5374449339207048,0.0,0.0
1000009264_Act,kegg::Small cell lung cancer - Homo sapiens (human),Act,0.8458149779735683,0.0,0.0
1000009262_Act,kegg::Chronic myeloid leukemia - Homo sapiens (human),Act,0.8193832599118943,0.0,0.0
1000009261_Act,kegg::Bladder cancer - Homo sapiens (human),Act,0.7400881057268722,0.0,0.0
1000009260_Act,kegg::Melanoma - Homo sapiens (human),Act,0.8237885462555066,0.0,0.0
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.8546255506607929,0.0,0.0
1000009256_Act,kegg::Glioma - Homo sapiens (human),Act,0.8193832599118943,0.0,0.0
1000009254_Act,kegg::Pancreatic cancer - Homo sapiens (human),Act,0.8061674008810573,0.0,0.0
1000009265_Act,kegg::Non-small cell lung cancer - Homo sapiens (human),Act,0.775330396475771,0.0,0.0
1000008145_Act,GO::cellular response to actinomycin D,Act,0.5374449339207048,0.0,0.0
1000000730_Act,GO::positive regulation of protein export from nucleus,Act,0.6651982378854625,0.0,0.0
1000004624_LoF,GO::chromatin assembly,LoF,0.47577092511013214,0.0,0.0
1000005423_LoF,GO::mitotic G1 DNA damage checkpoint,LoF,0.4977973568281938,0.0,0.0
1000005494_LoF,GO::oxidative stress-induced premature senescence,LoF,0.4669603524229075,0.0,0.0
1000004067_LoF,GO::sister chromatid biorientation,LoF,0.29515418502202645,0.0,0.0
1000005825_LoF,GO::positive regulation of collagen fibril organization,LoF,0.2775330396475771,0.0,0.0
1000006014_LoF,GO::response to gamma radiation,LoF,0.5991189427312775,0.0,0.0
1000006039_Act,GO::protein homotetramerization,Act,0.8061674008810573,0.0,0.0
1000004008_Act,GO::cell cycle arrest,Act,0.8590308370044053,0.0,0.0
1000003939_LoF,GO::regulation of cell cycle G2/M phase transition,LoF,0.47577092511013214,0.0,0.0
1000000101_Act,GO::DNA damage response; signal transduction by p53 class mediator resulting in cell cycle arrest,Act,0.7797356828193832,0.0,0.0
