,Symbol,Type,Freq,Emp.p_value,q_value
1000009246_Act,kegg::Pathways in cancer - Homo sapiens (human),Act,1.0,0.0,0.0
1000009256_Act,kegg::Glioma - Homo sapiens (human),Act,0.968944099378882,0.0,0.0
1000009258_Act,kegg::Thyroid cancer - Homo sapiens (human),Act,0.9130434782608695,0.0,0.0
1000009265_LoF,kegg::Non-small cell lung cancer - Homo sapiens (human),LoF,0.9503105590062112,0.0,0.0
1000002791_LoF,GO::replicative senescence,LoF,0.6490683229813664,0.0,0.0
1000000422_Act,GO::protein kinase A signaling,Act,0.8198757763975155,0.0,0.0
1000009153_Act,kegg::Long-term potentiation - Homo sapiens (human),Act,0.953416149068323,0.0,0.0
673_Act,BRAF,Act,0.5279503105590062,0.0002,0.1278
1000000544_Act,GO::myeloid progenitor cell differentiation,Act,0.6118012422360248,0.001,0.30254545454545456
1000009260_Act,kegg::Melanoma - Homo sapiens (human),Act,0.9596273291925466,0.001,0.30254545454545456
1000005158_Act,GO::negative regulation of synaptic vesicle exocytosis,Act,0.5993788819875776,0.001,0.30254545454545456
1000009162_Act,kegg::Long-term depression - Homo sapiens (human),Act,0.9472049689440993,0.001,0.30254545454545456
388698_Act,FLG2,Act,0.21428571428571427,0.004,0.3195
2312_Act,FLG,Act,0.30434782608695654,0.0021,0.3195
1832_Act,DSP,Act,0.2111801242236025,0.004,0.3195
1029_LoF,CDKN2A,LoF,0.43478260869565216,0.0026,0.3195
51059_Act,FAM135B,Act,0.2329192546583851,0.0037,0.3195
6708_Act,SPTA1,Act,0.21739130434782608,0.004,0.3195
8972_Act,MGAM,Act,0.33229813664596275,0.0013,0.3195
114907_Act,FBXO32,Act,0.07763975155279502,0.1534,0.33228
6873_Act,TAF2,Act,0.08074534161490683,0.1312,0.33228
2765_Act,GML,Act,0.10559006211180125,0.0486,0.33228
29894_Act,CPSF1,Act,0.09316770186335403,0.0749,0.33228
4796_Act,TONSL,Act,0.09316770186335403,0.0749,0.33228
9401_Act,RECQL4,Act,0.09006211180124224,0.0848,0.33228
2738_Act,GLI4,Act,0.08074534161490683,0.1312,0.33228
9897_Act,KIAA0196,Act,0.08385093167701864,0.1105,0.33228
137209_Act,ZNF572,Act,0.08074534161490683,0.1312,0.33228
10397_Act,NDRG1,Act,0.07763975155279502,0.1534,0.33228
23237_Act,ARC,Act,0.07763975155279502,0.1534,0.33228
79581_Act,SLC52A2,Act,0.08074534161490683,0.1312,0.33228
176_Act,ACAN,Act,0.12732919254658384,0.0275,0.33228
8928_Act,FOXH1,Act,0.08385093167701864,0.1105,0.33228
57152_Act,SLURP1,Act,0.08074534161490683,0.1312,0.33228
8000_Act,PSCA,Act,0.07763975155279502,0.1534,0.33228
28991_Act,COMMD5,Act,0.07763975155279502,0.1534,0.33228
2875_Act,GPT,Act,0.07763975155279502,0.1534,0.33228
312_Act,ANXA13,Act,0.08385093167701864,0.1105,0.33228
203062_Act,TSNARE1,Act,0.07763975155279502,0.1534,0.33228
203054_Act,ADCK5,Act,0.08385093167701864,0.1105,0.33228
2843_Act,GPR20,Act,0.09937888198757763,0.0596,0.33228
57623_Act,ZFAT,Act,0.10559006211180125,0.0486,0.33228
55039_Act,TRMT12,Act,0.07763975155279502,0.1534,0.33228
26873_Act,OPLAH,Act,0.09316770186335403,0.0749,0.33228
8840_Act,WISP1,Act,0.08695652173913043,0.0958,0.33228
729330_Act,OC90,Act,0.09937888198757763,0.0596,0.33228
65265_Act,C8orf33,Act,0.07763975155279502,0.1534,0.33228
3297_Act,HSF1,Act,0.09316770186335403,0.0749,0.33228
116447_Act,TOP1MT,Act,0.08074534161490683,0.1312,0.33228
83696_Act,TRAPPC9,Act,0.09937888198757763,0.0596,0.33228
26233_Act,FBXL6,Act,0.08074534161490683,0.1312,0.33228
58500_Act,ZNF250,Act,0.08074534161490683,0.1312,0.33228
27161_Act,AGO2,Act,0.08074534161490683,0.1312,0.33228
4609_Act,MYC,Act,0.08385093167701864,0.1105,0.33228
1537_Act,CYC1,Act,0.08074534161490683,0.1312,0.33228
56829_Act,ZC3HAV1,Act,0.09316770186335403,0.0749,0.33228
64764_Act,CREB3L2,Act,0.08695652173913043,0.0958,0.33228
79989_Act,TTC26,Act,0.08074534161490683,0.1312,0.33228
136306_Act,SVOPL,Act,0.09006211180124224,0.0848,0.33228
8733_Act,GPAA1,Act,0.08074534161490683,0.1312,0.33228
8805_Act,TRIM24,Act,0.07763975155279502,0.1534,0.33228
5726_Act,TAS2R38,Act,0.09316770186335403,0.0749,0.33228
136541_Act,PRSS58,Act,0.08074534161490683,0.1312,0.33228
494551_Act,WEE2,Act,0.08695652173913043,0.0958,0.33228
80853_Act,JHDM1D,Act,0.07763975155279502,0.1534,0.33228
90956_Act,ADCK2,Act,0.07763975155279502,0.1534,0.33228
57670_Act,KIAA1549,Act,0.10869565217391304,0.0445,0.33228
64761_Act,PARP12,Act,0.09006211180124224,0.0848,0.33228
254048_Act,UBN2,Act,0.07763975155279502,0.1534,0.33228
114822_Act,RHPN1,Act,0.07763975155279502,0.1534,0.33228
1584_Act,CYP11B1,Act,0.10248447204968944,0.0531,0.33228
389690_Act,MROH5,Act,0.08385093167701864,0.1105,0.33228
23167_Act,EFR3A,Act,0.09627329192546584,0.0669,0.33228
55630_Act,SLC39A4,Act,0.08074534161490683,0.1312,0.33228
50807_Act,ASAP1,Act,0.08695652173913043,0.0958,0.33228
5747_Act,PTK2,Act,0.07763975155279502,0.1534,0.33228
51305_Act,KCNK9,Act,0.10559006211180125,0.0486,0.33228
23144_Act,ZC3H3,Act,0.09627329192546584,0.0669,0.33228
9831_Act,ZNF623,Act,0.08385093167701864,0.1105,0.33228
1585_Act,CYP11B2,Act,0.09627329192546584,0.0669,0.33228
7264_Act,TSTA3,Act,0.08385093167701864,0.1105,0.33228
157769_Act,FAM91A1,Act,0.07763975155279502,0.1534,0.33228
137797_Act,LYPD2,Act,0.07763975155279502,0.1534,0.33228
169026_Act,SLC30A8,Act,0.10248447204968944,0.0531,0.33228
401474_Act,SAMD12,Act,0.09006211180124224,0.0848,0.33228
575_Act,ADGRB1,Act,0.09627329192546584,0.0669,0.33228
9788_Act,MTSS1,Act,0.08385093167701864,0.1105,0.33228
7227_Act,TRPS1,Act,0.09627329192546584,0.0669,0.33228
23639_Act,LRRC6,Act,0.09316770186335403,0.0749,0.33228
6482_Act,ST3GAL1,Act,0.08074534161490683,0.1312,0.33228
22898_Act,DENND3,Act,0.11180124223602485,0.0418,0.33228
80728_Act,ARHGAP39,Act,0.11180124223602485,0.0418,0.33228
607_Act,BCL9,Act,0.09316770186335403,0.0749,0.33228
325_Act,APCS,Act,0.08385093167701864,0.1105,0.33228
8515_Act,ITGA10,Act,0.08695652173913043,0.0958,0.33228
2326_Act,FMO1,Act,0.08074534161490683,0.1312,0.33228
6401_Act,SELE,Act,0.08074534161490683,0.1312,0.33228
4332_Act,MNDA,Act,0.07763975155279502,0.1534,0.33228
2205_Act,FCER1A,Act,0.07763975155279502,0.1534,0.33228
5879_Act,RAC1,Act,0.08074534161490683,0.1312,0.33228
84988_Act,PPP1R16A,Act,0.08074534161490683,0.1312,0.33228
84985_Act,FAM83A,Act,0.09627329192546584,0.0669,0.33228
113655_Act,MFSD3,Act,0.08074534161490683,0.1312,0.33228
8694_Act,DGAT1,Act,0.07763975155279502,0.1534,0.33228
6132_Act,RPL8,Act,0.08385093167701864,0.1105,0.33228
11244_Act,ZHX1,Act,0.08385093167701864,0.1105,0.33228
4062_Act,LY6H,Act,0.08385093167701864,0.1105,0.33228
2703_Act,GJA8,Act,0.09006211180124224,0.0848,0.33228
4061_Act,LY6E,Act,0.07763975155279502,0.1534,0.33228
115350_Act,FCRL1,Act,0.07763975155279502,0.1534,0.33228
84944_Act,MAEL,Act,0.07763975155279502,0.1534,0.33228
391107_Act,OR10K2,Act,0.07763975155279502,0.1534,0.33228
26476_Act,OR10J1,Act,0.08385093167701864,0.1105,0.33228
57115_Act,PGLYRP4,Act,0.07763975155279502,0.1534,0.33228
3782_Act,KCNN3,Act,0.08385093167701864,0.1105,0.33228
9900_Act,SV2A,Act,0.07763975155279502,0.1534,0.33228
9826_Act,ARHGEF11,Act,0.07763975155279502,0.1534,0.33228
388677_Act,NOTCH2NL,Act,0.08074534161490683,0.1312,0.33228
644591_Act,PPIAL4G,Act,0.08074534161490683,0.1312,0.33228
343413_Act,FCRL6,Act,0.07763975155279502,0.1534,0.33228
128372_Act,OR6N1,Act,0.07763975155279502,0.1534,0.33228
128371_Act,OR6K6,Act,0.07763975155279502,0.1534,0.33228
9557_Act,CHD1L,Act,0.07763975155279502,0.1534,0.33228
148741_Act,ANKRD35,Act,0.08074534161490683,0.1312,0.33228
25790_Act,CCDC19,Act,0.07763975155279502,0.1534,0.33228
9181_Act,ARHGEF2,Act,0.07763975155279502,0.1534,0.33228
23215_Act,PRRC2C,Act,0.08385093167701864,0.1105,0.33228
5462_Act,POU5F1B,Act,0.07763975155279502,0.1534,0.33228
3037_Act,HAS2,Act,0.07763975155279502,0.1534,0.33228
51160_Act,VPS28,Act,0.07763975155279502,0.1534,0.33228
340359_Act,KLHL38,Act,0.08385093167701864,0.1105,0.33228
375686_Act,SPATC1,Act,0.09006211180124224,0.0848,0.33228
8581_Act,LY6D,Act,0.07763975155279502,0.1534,0.33228
7553_Act,ZNF7,Act,0.08385093167701864,0.1105,0.33228
286077_Act,FAM83H,Act,0.09937888198757763,0.0596,0.33228
286075_Act,ZNF707,Act,0.08074534161490683,0.1312,0.33228
57210_Act,SLC45A4,Act,0.10248447204968944,0.0531,0.33228
4982_Act,TNFRSF11B,Act,0.08695652173913043,0.0958,0.33228
28996_Act,HIPK2,Act,0.09316770186335403,0.0749,0.33228
90990_Act,KIFC2,Act,0.08074534161490683,0.1312,0.33228
90987_Act,ZNF251,Act,0.09316770186335403,0.0749,0.33228
56169_Act,GSDMC,Act,0.11180124223602485,0.0418,0.33228
29028_Act,ATAD2,Act,0.09627329192546584,0.0669,0.33228
22882_Act,ZHX2,Act,0.09316770186335403,0.0749,0.33228
2907_Act,GRINA,Act,0.07763975155279502,0.1534,0.33228
80778_Act,ZNF34,Act,0.08695652173913043,0.0958,0.33228
23513_Act,SCRIB,Act,0.09006211180124224,0.0848,0.33228
84875_Act,PARP10,Act,0.08385093167701864,0.1105,0.33228
1936_Act,EEF1D,Act,0.08385093167701864,0.1105,0.33228
84948_Act,TIGD5,Act,0.07763975155279502,0.1534,0.33228
54742_Act,LY6K,Act,0.08074534161490683,0.1312,0.33228
66004_Act,LYNX1,Act,0.07763975155279502,0.1534,0.33228
9684_Act,LRRC14,Act,0.08074534161490683,0.1312,0.33228
81858_Act,SHARPIN,Act,0.08074534161490683,0.1312,0.33228
50626_Act,CYHR1,Act,0.07763975155279502,0.1534,0.33228
286128_Act,ZFP41,Act,0.08074534161490683,0.1312,0.33228
93100_Act,NAPRT,Act,0.08074534161490683,0.1312,0.33228
642475_Act,C8orf73,Act,0.07763975155279502,0.1534,0.33228
286122_Act,C8orf31,Act,0.08385093167701864,0.1105,0.33228
51105_Act,PHF20L1,Act,0.09006211180124224,0.0848,0.33228
93594_Act,TBC1D31,Act,0.08385093167701864,0.1105,0.33228
225689_Act,MAPK15,Act,0.09316770186335403,0.0749,0.33228
338328_Act,GPIHBP1,Act,0.07763975155279502,0.1534,0.33228
727957_Act,MROH1,Act,0.08074534161490683,0.1312,0.33228
7564_Act,ZNF16,Act,0.09316770186335403,0.0749,0.33228
