,Symbol,Type,Freq,Emp.p_value,q_value
1000000544_LoF,GO::myeloid progenitor cell differentiation,LoF,0.2440944881889764,0.0,0.0
1000009174_Act,kegg::Melanogenesis - Homo sapiens (human),Act,0.5590551181102362,0.0,0.0
1000009082_Act,kegg::Phospholipase D signaling pathway - Homo sapiens (human),Act,0.6299212598425197,0.0,0.0
1000006641_Act,GO::positive regulation of Rac protein signal transduction,Act,0.29133858267716534,0.0,0.0
1000005761_Act,GO::forebrain astrocyte development,Act,0.2755905511811024,0.0,0.0
3845_Act,KRAS,Act,0.2677165354330709,0.0,0.0
6484_LoF,ST3GAL4,LoF,0.11811023622047244,0.0038,0.01235
79607_LoF,FAM118B,LoF,0.11811023622047244,0.0038,0.01235
56341_Act,PRMT8,Act,0.2125984251968504,0.0036,0.01235
399979_LoF,SNX19,LoF,0.11811023622047244,0.0038,0.01235
11272_Act,PRR4,Act,0.2125984251968504,0.0036,0.01235
2_Act,A2M,Act,0.2125984251968504,0.0036,0.01235
114609_LoF,TIRAP,LoF,0.11811023622047244,0.0038,0.01235
259295_Act,TAS2R20,Act,0.2047244094488189,0.0384,0.04340869565217391
23085_Act,ERC1,Act,0.2047244094488189,0.0384,0.04340869565217391
79923_Act,NANOG,Act,0.2047244094488189,0.0384,0.04340869565217391
7289_Act,TULP3,Act,0.2047244094488189,0.0384,0.04340869565217391
5763_Act,PTMS,Act,0.2047244094488189,0.0384,0.04340869565217391
716_Act,C1S,Act,0.2047244094488189,0.0384,0.04340869565217391
775_Act,CACNA1C,Act,0.2047244094488189,0.0384,0.04340869565217391
10233_Act,LRRC23,Act,0.2047244094488189,0.0384,0.04340869565217391
5927_Act,KDM5A,Act,0.2047244094488189,0.0384,0.04340869565217391
9573_Act,GDF3,Act,0.2047244094488189,0.0384,0.04340869565217391
10060_Act,ABCC9,Act,0.2047244094488189,0.0384,0.04340869565217391
64221_LoF,ROBO3,LoF,0.10236220472440945,0.0224,0.04340869565217391
93426_LoF,SYCE1,LoF,0.05511811023622047,0.0271,0.04340869565217391
3720_LoF,JARID2,LoF,0.07086614173228346,0.0257,0.04340869565217391
57121_Act,LPAR5,Act,0.2047244094488189,0.0384,0.04340869565217391
55297_Act,CCDC91,Act,0.14960629921259844,0.0856,0.0875
8216_Act,LZTR1,Act,0.07086614173228346,0.0875,0.0875
3815_Act,KIT,Act,0.15748031496062992,0.0848,0.0875
1000006830_Act,GO::positive regulation of cell proliferation,Act,0.7401574803149606,0.001,0.2058888888888889
1000003537_Act,GO::stem cell population maintenance,Act,0.5039370078740157,0.001,0.2058888888888889
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.5354330708661418,0.001,0.2058888888888889
1000009266_Act,kegg::Breast cancer - Homo sapiens (human),Act,0.6062992125984252,0.001,0.2058888888888889
1000002058_LoF,GO::cellular response to bacterial lipopeptide,LoF,0.12598425196850394,0.002,0.33690909090909094
1000004873_Act,GO::regulation of transcription by RNA polymerase II,Act,0.8188976377952756,0.002,0.33690909090909094
1000008101_Act,GO::response to mineralocorticoid,Act,0.2677165354330709,0.003,0.4276153846153847
1000001120_Act,GO::positive regulation of phospholipase C activity,Act,0.3543307086614173,0.003,0.4276153846153847
1000006309_Act,GO::negative regulation of programmed cell death,Act,0.3858267716535433,0.004,0.49413333333333337
1000009263_Act,kegg::Acute myeloid leukemia - Homo sapiens (human),Act,0.5196850393700787,0.004,0.49413333333333337
1000004582_LoF,GO::digestive tract development,LoF,0.30708661417322836,0.005,0.5790625
1000008045_LoF,GO::mast cell degranulation,LoF,0.23622047244094488,0.006,0.654
1000007168_Act,GO::megakaryocyte development,Act,0.3464566929133858,0.008,0.7802105263157895
1000000164_LoF,GO::embryonic hemopoiesis,LoF,0.2440944881889764,0.008,0.7802105263157895
1000007279_Act,GO::MAPK cascade,Act,0.6456692913385826,0.009,0.83385
1000004022_Act,GO::response to isolation stress,Act,0.2755905511811024,0.01,0.8422727272727274
1000000113_Act,GO::peptidyl-tyrosine phosphorylation,Act,0.5511811023622047,0.01,0.8422727272727274
1000008168_LoF,GO::cerebellar granule cell differentiation,LoF,0.15748031496062992,0.011,0.8862173913043478
1000006152_LoF,GO::positive regulation of transcription by RNA polymerase II,LoF,0.8110236220472441,0.012,0.88944
1000005307_Act,GO::positive regulation of MAP kinase activity,Act,0.4881889763779528,0.012,0.88944
1000004993_LoF,GO::regulation of interferon-beta production,LoF,0.13385826771653545,0.014,0.8945517241379312
1000007578_LoF,GO::protein sialylation,LoF,0.13385826771653545,0.014,0.8945517241379312
1000003978_Act,GO::regulation of synaptic transmission; GABAergic,Act,0.3228346456692913,0.014,0.8945517241379312
1000009071_Act,kegg::Rap1 signaling pathway - Homo sapiens (human),Act,0.5984251968503937,0.013,0.8945517241379312
1000008639_LoF,GO::pigmentation,LoF,0.2755905511811024,0.016,0.9265
1000006885_Act,GO::signal transduction,Act,0.7795275590551181,0.016,0.9265
1000007566_Act,GO::stem cell differentiation,Act,0.4094488188976378,0.015,0.9265
1000006339_Act,GO::chondrocyte differentiation,Act,0.2440944881889764,0.963,1.0
1000006336_Act,GO::primitive streak formation,Act,0.2440944881889764,0.221,1.0
1000006323_Act,GO::regulation of nitric-oxide synthase activity,Act,0.08661417322834646,0.962,1.0
1000006320_Act,GO::gene silencing by RNA,Act,0.14960629921259844,0.958,1.0
1000006316_Act,GO::positive regulation of interleukin-2 biosynthetic process,Act,0.2125984251968504,0.688,1.0
1000006297_LoF,GO::cellular amino acid metabolic process,LoF,0.09448818897637795,0.738,1.0
1000006261_Act,GO::flagellated sperm motility,Act,0.2440944881889764,0.999,1.0
1000007544_Act,GO::sialylation,Act,0.2204724409448819,0.803,1.0
1000006370_LoF,GO::positive regulation of tumor necrosis factor production,LoF,0.2047244094488189,0.524,1.0
1000007597_LoF,GO::cation transport,LoF,0.16535433070866143,0.524,1.0
1000006253_Act,GO::synapsis,Act,0.08661417322834646,0.98,1.0
1000006250_Act,GO::peptidyl-tyrosine autophosphorylation,Act,0.13385826771653545,0.975,1.0
1000006241_Act,GO::regulation of Ras protein signal transduction,Act,0.2125984251968504,0.354,1.0
1000007539_Act,GO::positive chemotaxis,Act,0.2755905511811024,0.974,1.0
1000006226_Act,GO::immune system development,Act,0.2125984251968504,0.182,1.0
1000006296_LoF,GO::regulation of cellular amino acid metabolic process,LoF,0.07874015748031496,0.983,1.0
1000006376_Act,GO::positive regulation of intracellular protein transport,Act,0.08661417322834646,0.98,1.0
1000007586_Act,GO::antimicrobial humoral immune response mediated by antimicrobial peptide,Act,0.2755905511811024,0.998,1.0
1000007570_LoF,GO::substrate adhesion-dependent cell spreading,LoF,0.14173228346456693,0.697,1.0
1000006486_Act,GO::protein sumoylation,Act,0.18110236220472442,1.0,1.0
1000006481_Act,GO::positive regulation of bone mineralization,Act,0.08661417322834646,0.998,1.0
1000006467_Act,GO::regulation of calcium ion transport,Act,0.25196850393700787,0.827,1.0
1000006464_Act,GO::positive regulation of calcium ion transport,Act,0.2283464566929134,0.917,1.0
1000006459_LoF,GO::receptor clustering,LoF,0.14173228346456693,0.429,1.0
1000006453_Act,GO::negative regulation of cell-substrate adhesion,Act,0.2283464566929134,0.773,1.0
1000007591_Act,GO::negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,Act,0.25984251968503935,0.342,1.0
1000006450_Act,GO::calcium ion transport into cytosol,Act,0.25196850393700787,0.331,1.0
1000006442_LoF,GO::positive regulation of blood vessel diameter,LoF,0.09448818897637795,0.494,1.0
1000006435_Act,GO::cellular response to unfolded protein,Act,0.18110236220472442,0.922,1.0
1000006423_Act,GO::response to morphine,Act,0.10236220472440945,0.987,1.0
1000007568_Act,GO::Leydig cell differentiation,Act,0.2125984251968504,0.562,1.0
1000006406_Act,GO::immunoglobulin mediated immune response,Act,0.2204724409448819,0.618,1.0
1000006222_Act,GO::acute inflammatory response,Act,0.07086614173228346,0.907,1.0
1000007557_Act,GO::protein acetylation,Act,0.23622047244094488,0.585,1.0
1000006391_LoF,GO::regulation of phosphoprotein phosphatase activity,LoF,0.16535433070866143,0.657,1.0
1000006389_Act,GO::retrograde vesicle-mediated transport; Golgi to ER,Act,0.2283464566929134,1.0,1.0
1000006386_Act,GO::Golgi to plasma membrane transport,Act,0.08661417322834646,0.987,1.0
1000006383_Act,GO::positive regulation of neuron death,Act,0.2283464566929134,0.964,1.0
1000007551_Act,GO::protein methylation,Act,0.2677165354330709,0.827,1.0
1000006392_Act,GO::phospholipid biosynthetic process,Act,0.2204724409448819,0.911,1.0
1000006116_Act,GO::adult locomotory behavior,Act,0.25196850393700787,0.994,1.0
1000006168_Act,GO::androgen receptor signaling pathway,Act,0.25984251968503935,0.937,1.0
1000007660_Act,GO::endoplasmic reticulum organization,Act,0.18110236220472442,0.961,1.0
1000007681_Act,GO::cellular response to peptide,Act,0.06299212598425197,0.928,1.0
1000005858_Act,GO::liver regeneration,Act,0.07086614173228346,1.0,1.0
1000005831_Act,GO::B cell receptor signaling pathway,Act,0.3228346456692913,0.998,1.0
1000005820_Act,GO::positive regulation of vascular associated smooth muscle cell migration,Act,0.07086614173228346,0.996,1.0
1000005805_LoF,GO::regulation of cholesterol biosynthetic process,LoF,0.14173228346456693,0.632,1.0
1000005797_Act,GO::activation of protein kinase B activity,Act,0.23622047244094488,0.947,1.0
1000005782_Act,GO::mitochondrial translational elongation,Act,0.31496062992125984,0.998,1.0
1000005780_Act,GO::mitochondrial translational termination,Act,0.31496062992125984,0.998,1.0
1000005773_Act,GO::neuromuscular synaptic transmission,Act,0.11811023622047244,0.991,1.0
1000007659_Act,GO::negative regulation of microtubule depolymerization,Act,0.09448818897637795,0.977,1.0
1000005754_Act,GO::DNA demethylation,Act,0.23622047244094488,0.759,1.0
1000005719_LoF,GO::cholesterol biosynthetic process,LoF,0.1732283464566929,0.55,1.0
1000005718_Act,GO::prostaglandin metabolic process,Act,0.2204724409448819,0.736,1.0
1000005714_Act,GO::organelle transport along microtubule,Act,0.1968503937007874,0.457,1.0
1000005705_Act,GO::intracellular distribution of mitochondria,Act,0.1732283464566929,0.576,1.0
1000005686_Act,GO::negative regulation of histone deacetylase activity,Act,0.2047244094488189,0.101,1.0
1000005681_Act,GO::miRNA mediated inhibition of translation,Act,0.2677165354330709,1.0,1.0
1000005631_Act,GO::positive regulation of cytokinesis,Act,0.23622047244094488,0.967,1.0
1000005618_Act,GO::interleukin-4 secretion,Act,0.23622047244094488,0.152,1.0
1000005589_Act,GO::autophagosome assembly,Act,0.28346456692913385,0.994,1.0
1000005565_LoF,GO::axoneme assembly,LoF,0.18110236220472442,0.064,1.0
1000005720_Act,GO::steroid biosynthetic process,Act,0.09448818897637795,0.987,1.0
1000007638_Act,GO::RNA phosphodiester bond hydrolysis; endonucleolytic,Act,0.13385826771653545,1.0,1.0
1000007633_Act,GO::negative regulation of transposition,Act,0.23622047244094488,0.759,1.0
1000007622_Act,GO::hepatocyte growth factor receptor signaling pathway,Act,0.06299212598425197,0.889,1.0
1000006146_Act,GO::negative regulation of cardiac muscle hypertrophy,Act,0.2204724409448819,0.816,1.0
1000006136_Act,GO::negative regulation of myotube differentiation,Act,0.23622047244094488,0.737,1.0
1000007528_Act,GO::pharyngeal system development,Act,0.09448818897637795,0.918,1.0
1000006109_Act,GO::nucleotide-excision repair; DNA incision,Act,0.11023622047244094,0.997,1.0
1000006108_Act,GO::regulation of RNA splicing,Act,0.11811023622047244,0.981,1.0
1000006105_LoF,GO::regulation of mRNA stability,LoF,0.2047244094488189,0.972,1.0
1000006095_Act,GO::cellular response to cadmium ion,Act,0.11811023622047244,0.995,1.0
1000006081_Act,GO::lipid catabolic process,Act,0.28346456692913385,0.999,1.0
1000007602_LoF,GO::associative learning,LoF,0.11811023622047244,0.561,1.0
1000006064_Act,GO::mitotic cell cycle arrest,Act,0.2125984251968504,0.753,1.0
1000006048_Act,GO::vitellogenesis,Act,0.2125984251968504,0.182,1.0
1000006018_Act,GO::positive regulation of TOR signaling,Act,0.11811023622047244,0.991,1.0
1000006016_Act,GO::positive regulation of sprouting angiogenesis,Act,0.06299212598425197,0.998,1.0
1000006014_Act,GO::response to gamma radiation,Act,0.23622047244094488,0.9,1.0
1000006012_Act,GO::positive regulation of neutrophil chemotaxis,Act,0.25196850393700787,0.781,1.0
1000005978_Act,GO::ribosomal large subunit biogenesis,Act,0.09448818897637795,0.997,1.0
1000007605_Act,GO::positive regulation of protein kinase activity,Act,0.2755905511811024,0.977,1.0
1000005956_Act,GO::positive regulation of nitric-oxide synthase biosynthetic process,Act,0.10236220472440945,0.779,1.0
1000005900_Act,GO::regulation of endopeptidase activity,Act,0.2204724409448819,0.316,1.0
1000005899_Act,GO::mRNA transcription by RNA polymerase II,Act,0.09448818897637795,0.93,1.0
1000005885_Act,GO::mitotic recombination,Act,0.2283464566929134,0.34,1.0
1000005873_LoF,GO::response to radiation,LoF,0.10236220472440945,0.672,1.0
1000007616_Act,GO::positive regulation of T cell differentiation,Act,0.23622047244094488,0.638,1.0
1000006220_Act,GO::positive regulation of B cell receptor signaling pathway,Act,0.07086614173228346,0.767,1.0
1000007520_Act,GO::interleukin-15-mediated signaling pathway,Act,0.2125984251968504,0.688,1.0
1000007431_Act,GO::negative regulation of inflammatory response,Act,0.33858267716535434,0.995,1.0
1000007501_Act,GO::ERK1 and ERK2 cascade,Act,0.08661417322834646,0.997,1.0
1000007133_Act,GO::hormone-mediated signaling pathway,Act,0.2204724409448819,0.994,1.0
