,Symbol,Type,Freq,Emp.p_value,q_value
1000006885_LoF,GO::signal transduction,LoF,0.8034188034188035,0.0,0.0
1000006152_LoF,GO::positive regulation of transcription by RNA polymerase II,LoF,0.6923076923076923,0.0,0.0
23331_LoF,TTC28,LoF,0.05128205128205128,0.0135,0.0135
84133_LoF,ZNRF3,LoF,0.05128205128205128,0.0135,0.0135
1000002698_LoF,GO::positive regulation of cell-substrate adhesion,LoF,0.1282051282051282,0.573,1.0
1000002701_LoF,GO::bone remodeling,LoF,0.06837606837606838,0.653,1.0
1000002709_LoF,GO::regulation of defense response to virus by virus,LoF,0.08547008547008547,0.782,1.0
1000002765_LoF,GO::neuron development,LoF,0.1111111111111111,0.884,1.0
1000002769_LoF,GO::negative regulation of smooth muscle cell proliferation,LoF,0.06837606837606838,0.951,1.0
1000002772_LoF,GO::positive regulation of smooth muscle cell proliferation,LoF,0.1452991452991453,0.665,1.0
1000002791_LoF,GO::replicative senescence,LoF,0.11965811965811966,0.099,1.0
1000002823_LoF,GO::positive regulation of epithelial cell migration,LoF,0.10256410256410256,0.753,1.0
1000002836_LoF,GO::positive regulation of protein serine/threonine kinase activity,LoF,0.1111111111111111,0.811,1.0
1000002865_LoF,GO::regulation of protein catabolic process,LoF,0.09401709401709402,0.29,1.0
1000002926_LoF,GO::negative regulation of protein kinase activity,LoF,0.1282051282051282,0.925,1.0
1000002951_LoF,GO::cellular oxidant detoxification,LoF,0.08547008547008547,1.0,1.0
1000002965_LoF,GO::intermediate filament cytoskeleton organization,LoF,0.07692307692307693,0.706,1.0
1000002968_LoF,GO::xenobiotic metabolic process,LoF,0.08547008547008547,1.0,1.0
1000003131_LoF,GO::intracellular transport,LoF,0.06837606837606838,0.743,1.0
1000003138_LoF,GO::phosphatidic acid biosynthetic process,LoF,0.05982905982905983,0.998,1.0
1000003153_LoF,GO::DNA duplex unwinding,LoF,0.09401709401709402,0.967,1.0
1000003179_LoF,GO::positive regulation of JUN kinase activity,LoF,0.1111111111111111,0.672,1.0
