,Symbol,Type,Freq,Emp.p_value,q_value
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.9910714285714286,0.0,0.0
1000000390_Act,GO::apoptotic process,Act,1.0,0.0,0.0
1000009256_Act,kegg::Glioma - Homo sapiens (human),Act,0.9821428571428571,0.0,0.0
1000009258_Act,kegg::Thyroid cancer - Homo sapiens (human),Act,0.9285714285714286,0.0,0.0
1000009260_LoF,kegg::Melanoma - Homo sapiens (human),LoF,0.9910714285714286,0.0,0.0
1000001596_LoF,GO::positive regulation of transcription; DNA-templated,LoF,1.0,0.0,0.0
1000004452_LoF,GO::negative regulation of ribosome biogenesis,LoF,0.44642857142857145,0.0,0.0
1000009265_LoF,kegg::Non-small cell lung cancer - Homo sapiens (human),LoF,0.9642857142857143,0.0,0.0
1000009246_LoF,kegg::Pathways in cancer - Homo sapiens (human),LoF,1.0,0.0,0.0
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.9910714285714286,0.0,0.0
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.9910714285714286,0.001,0.10725
1000009264_Act,kegg::Small cell lung cancer - Homo sapiens (human),Act,0.9910714285714286,0.001,0.10725
8289_LoF,ARID1A,LoF,0.21428571428571427,0.0072,0.1360032258064516
6498_Act,SKIL,Act,0.23214285714285715,0.0116,0.1360032258064516
5584_Act,PRKCI,Act,0.22321428571428573,0.014,0.1360032258064516
2064_Act,ERBB2,Act,0.14285714285714285,0.0578,0.1360032258064516
4609_Act,MYC,Act,0.25,0.0084,0.1360032258064516
4000_Act,LMNA,Act,0.20535714285714285,0.0248,0.1360032258064516
6016_Act,RIT1,Act,0.19642857142857142,0.0299,0.1360032258064516
54856_Act,GON4L,Act,0.19642857142857142,0.0299,0.1360032258064516
22889_Act,KHDC4,Act,0.1875,0.0378,0.1360032258064516
339403_Act,RXFP4,Act,0.1875,0.0378,0.1360032258064516
2099_Act,ESR1,Act,0.13392857142857142,0.0634,0.1360032258064516
85378_LoF,TUBGCP6,LoF,0.14285714285714285,0.0291,0.1360032258064516
91289_LoF,LMF2,LoF,0.125,0.0625,0.1360032258064516
6305_LoF,SBF1,LoF,0.125,0.0625,0.1360032258064516
9172_LoF,MYOM2,LoF,0.14285714285714285,0.0291,0.1360032258064516
10863_LoF,ADAM28,LoF,0.15178571428571427,0.0186,0.1360032258064516
51435_LoF,SCARA3,LoF,0.13392857142857142,0.0495,0.1360032258064516
8795_LoF,TNFRSF10B,LoF,0.14285714285714285,0.0291,0.1360032258064516
10174_LoF,SORBS3,LoF,0.14285714285714285,0.0291,0.1360032258064516
4017_LoF,LOXL2,LoF,0.14285714285714285,0.0291,0.1360032258064516
1191_LoF,CLU,LoF,0.13392857142857142,0.0495,0.1360032258064516
1808_LoF,DPYSL2,LoF,0.14285714285714285,0.0291,0.1360032258064516
81551_LoF,STMN4,LoF,0.14285714285714285,0.0291,0.1360032258064516
4741_LoF,NEFM,LoF,0.15178571428571427,0.0186,0.1360032258064516
2053_LoF,EPHX2,LoF,0.14285714285714285,0.0291,0.1360032258064516
64641_LoF,EBF2,LoF,0.14285714285714285,0.0291,0.1360032258064516
85358_LoF,SHANK3,LoF,0.13392857142857142,0.0495,0.1360032258064516
9701_LoF,PPP6R2,LoF,0.125,0.0625,0.1360032258064516
23654_LoF,PLXNB2,LoF,0.15178571428571427,0.0186,0.1360032258064516
1120_LoF,CHKB,LoF,0.125,0.0625,0.1360032258064516
23774_LoF,BRD1,LoF,0.125,0.0625,0.1360032258064516
414918_LoF,DENND6B,LoF,0.125,0.0625,0.1360032258064516
54456_LoF,MOV10L1,LoF,0.13392857142857142,0.0495,0.1360032258064516
80305_LoF,TRABD,LoF,0.125,0.0625,0.1360032258064516
9889_LoF,ZBED4,LoF,0.125,0.0625,0.1360032258064516
6746_Act,SSR2,Act,0.19642857142857142,0.0299,0.1360032258064516
9181_Act,ARHGEF2,Act,0.19642857142857142,0.0299,0.1360032258064516
898_Act,CCNE1,Act,0.17857142857142858,0.0436,0.1360032258064516
126410_Act,CYP4F22,Act,0.13392857142857142,0.0634,0.1360032258064516
66002_Act,CYP4F12,Act,0.13392857142857142,0.0634,0.1360032258064516
8529_Act,CYP4F2,Act,0.13392857142857142,0.0634,0.1360032258064516
4854_Act,NOTCH3,Act,0.14285714285714285,0.0578,0.1360032258064516
23476_Act,BRD4,Act,0.17857142857142858,0.0436,0.1360032258064516
26538_Act,OR10H2,Act,0.14285714285714285,0.0578,0.1360032258064516
64926_Act,RASAL3,Act,0.13392857142857142,0.0634,0.1360032258064516
10270_Act,AKAP8,Act,0.14285714285714285,0.0578,0.1360032258064516
58525_Act,WIZ,Act,0.13392857142857142,0.0634,0.1360032258064516
1893_Act,ECM1,Act,0.17857142857142858,0.0436,0.1360032258064516
23126_Act,POGZ,Act,0.22321428571428573,0.014,0.1360032258064516
2065_Act,ERBB3,Act,0.13392857142857142,0.0634,0.1360032258064516
4051_Act,CYP4F3,Act,0.14285714285714285,0.0578,0.1360032258064516
405_Act,ARNT,Act,0.17857142857142858,0.0436,0.1360032258064516
9869_Act,SETDB1,Act,0.17857142857142858,0.0436,0.1360032258064516
84701_Act,COX4I2,Act,0.13392857142857142,0.0634,0.1360032258064516
3845_Act,KRAS,Act,0.14285714285714285,0.0578,0.1360032258064516
53353_LoF,LRP1B,LoF,0.1875,0.0092,0.1360032258064516
5728_LoF,PTEN,LoF,0.44642857142857145,0.0018,0.1360032258064516
1785_Act,DNM2,Act,0.15178571428571427,0.0539,0.1360032258064516
55892_Act,MYNN,Act,0.20535714285714285,0.0248,0.1360032258064516
2122_Act,MECOM,Act,0.30357142857142855,0.0043,0.1360032258064516
5789_LoF,PTPRD,LoF,0.14285714285714285,0.0291,0.1360032258064516
5298_Act,PI4KB,Act,0.22321428571428573,0.014,0.1360032258064516
3397_Act,ID1,Act,0.125,0.0713,0.14368030303030305
7994_Act,KAT6A,Act,0.125,0.0713,0.14368030303030305
286_Act,ANK1,Act,0.125,0.0713,0.14368030303030305
9229_Act,DLGAP1,Act,0.125,0.0713,0.14368030303030305
1387_LoF,CREBBP,LoF,0.0625,0.1012,0.15030430107526882
22997_LoF,IGSF9B,LoF,0.07142857142857142,0.092,0.15030430107526882
5925_LoF,RB1,LoF,0.0625,0.1012,0.15030430107526882
1740_LoF,DLG2,LoF,0.07142857142857142,0.092,0.15030430107526882
9658_LoF,ZNF516,LoF,0.0625,0.1012,0.15030430107526882
4155_LoF,MBP,LoF,0.08035714285714286,0.0852,0.15030430107526882
27164_LoF,SALL3,LoF,0.07142857142857142,0.092,0.15030430107526882
2587_LoF,GALR1,LoF,0.07142857142857142,0.092,0.15030430107526882
23254_LoF,KAZN,LoF,0.07142857142857142,0.092,0.15030430107526882
23269_LoF,MGA,LoF,0.07142857142857142,0.092,0.15030430107526882
1005_LoF,CDH7,LoF,0.07142857142857142,0.092,0.15030430107526882
28513_LoF,CDH19,LoF,0.0625,0.1012,0.15030430107526882
644041_LoF,C18orf63,LoF,0.0625,0.1012,0.15030430107526882
8736_Act,MYOM1,Act,0.11607142857142858,0.0794,0.15030430107526882
4647_Act,MYO7A,Act,0.08928571428571429,0.1051,0.15030430107526882
55628_LoF,ZNF407,LoF,0.0625,0.1012,0.15030430107526882
374868_LoF,ATP9B,LoF,0.07142857142857142,0.092,0.15030430107526882
169792_Act,GLIS3,Act,0.09821428571428571,0.0931,0.15030430107526882
29115_Act,SAP30BP,Act,0.08928571428571429,0.1051,0.15030430107526882
118881_Act,COMTD1,Act,0.09821428571428571,0.0931,0.15030430107526882
23613_Act,ZMYND8,Act,0.10714285714285714,0.0865,0.15030430107526882
3911_Act,LAMA5,Act,0.11607142857142858,0.0794,0.15030430107526882
80129_Act,CCDC170,Act,0.10714285714285714,0.0865,0.15030430107526882
3993_Act,LLGL2,Act,0.08928571428571429,0.1051,0.15030430107526882
3691_Act,ITGB4,Act,0.08928571428571429,0.1051,0.15030430107526882
4739_Act,NEDD9,Act,0.10714285714285714,0.0865,0.15030430107526882
284252_Act,KCTD1,Act,0.08928571428571429,0.1051,0.15030430107526882
22850_LoF,ADNP2,LoF,0.05357142857142857,0.123,0.1560867924528302
23310_LoF,NCAPD3,LoF,0.05357142857142857,0.123,0.1560867924528302
92126_LoF,DSEL,LoF,0.05357142857142857,0.123,0.1560867924528302
9306_LoF,SOCS6,LoF,0.05357142857142857,0.123,0.1560867924528302
6531_Act,SLC6A3,Act,0.08035714285714286,0.1244,0.1560867924528302
5612_Act,PRKRIR,Act,0.08035714285714286,0.1244,0.1560867924528302
