,Symbol,Type,Freq,Emp.p_value,q_value
53353_LoF,LRP1B,LoF,0.16981132075471697,0.009,0.15930000000000002
5925_LoF,RB1,LoF,0.16981132075471697,0.009,0.15930000000000002
57616_Act,TSHZ3,Act,0.3584905660377358,0.0133,0.15930000000000002
94137_LoF,RP1L1,LoF,0.1320754716981132,0.0177,0.15930000000000002
9228_LoF,DLGAP2,LoF,0.1320754716981132,0.0177,0.15930000000000002
64478_LoF,CSMD1,LoF,0.1320754716981132,0.0177,0.15930000000000002
22974_Act,TPX2,Act,0.2830188679245283,0.0221,0.1704857142857143
8658_LoF,TNKS,LoF,0.11320754716981132,0.047,0.172584
57805_LoF,CCAR2,LoF,0.09433962264150944,0.0799,0.172584
10174_LoF,SORBS3,LoF,0.09433962264150944,0.0799,0.172584
9639_LoF,ARHGEF10,LoF,0.11320754716981132,0.047,0.172584
4741_LoF,NEFM,LoF,0.09433962264150944,0.0799,0.172584
64641_LoF,EBF2,LoF,0.09433962264150944,0.0799,0.172584
4609_Act,MYC,Act,0.24528301886792453,0.0459,0.172584
114786_Act,XKR4,Act,0.24528301886792453,0.0459,0.172584
2039_LoF,DMTN,LoF,0.09433962264150944,0.0799,0.172584
6101_Act,RP1,Act,0.24528301886792453,0.0459,0.172584
2261_Act,FGFR3,Act,0.20754716981132076,0.0774,0.172584
22889_Act,KHDC4,Act,0.20754716981132076,0.0774,0.172584
6746_Act,SSR2,Act,0.20754716981132076,0.0774,0.172584
9181_Act,ARHGEF2,Act,0.22641509433962265,0.0594,0.172584
23514_Act,KIAA0146,Act,0.20754716981132076,0.0774,0.172584
81502_Act,HM13,Act,0.24528301886792453,0.0459,0.172584
245936_Act,DEFB123,Act,0.22641509433962265,0.0594,0.172584
137902_Act,PXDNL,Act,0.22641509433962265,0.0594,0.172584
2053_LoF,EPHX2,LoF,0.07547169811320754,0.1476,0.18442173913043478
440275_LoF,EIF2AK4,LoF,0.07547169811320754,0.1476,0.18442173913043478
161725_LoF,OTUD7A,LoF,0.07547169811320754,0.1476,0.18442173913043478
80005_LoF,DOCK5,LoF,0.07547169811320754,0.1476,0.18442173913043478
8924_LoF,HERC2,LoF,0.07547169811320754,0.1476,0.18442173913043478
81551_LoF,STMN4,LoF,0.07547169811320754,0.1476,0.18442173913043478
701_LoF,BUB1B,LoF,0.07547169811320754,0.1476,0.18442173913043478
9824_LoF,ARHGAP11A,LoF,0.07547169811320754,0.1476,0.18442173913043478
84529_LoF,C15orf41,LoF,0.07547169811320754,0.1476,0.18442173913043478
145942_LoF,TMCO5A,LoF,0.07547169811320754,0.1476,0.18442173913043478
80274_LoF,SCUBE1,LoF,0.07547169811320754,0.1476,0.18442173913043478
4212_LoF,MEIS2,LoF,0.07547169811320754,0.1476,0.18442173913043478
90427_LoF,BMF,LoF,0.07547169811320754,0.1476,0.18442173913043478
10082_Act,GPC6,Act,0.09433962264150944,0.1571,0.18442173913043478
2262_Act,GPC5,Act,0.11320754716981132,0.1448,0.18442173913043478
55611_Act,OTUB1,Act,0.1509433962264151,0.1099,0.18442173913043478
2199_Act,FBLN2,Act,0.09433962264150944,0.1571,0.18442173913043478
3609_Act,ILF3,Act,0.1320754716981132,0.121,0.18442173913043478
6507_Act,SLC1A3,Act,0.11320754716981132,0.1448,0.18442173913043478
10343_LoF,PKDREJ,LoF,0.07547169811320754,0.1476,0.18442173913043478
1638_Act,DCT,Act,0.09433962264150944,0.1571,0.18442173913043478
285331_LoF,CCDC66,LoF,0.05660377358490566,0.2261,0.2261
50650_LoF,ARHGEF3,LoF,0.05660377358490566,0.2261,0.2261
2192_LoF,FBLN1,LoF,0.05660377358490566,0.2261,0.2261
79087_LoF,ALG12,LoF,0.05660377358490566,0.2261,0.2261
758_LoF,MPPED1,LoF,0.05660377358490566,0.2261,0.2261
11252_LoF,PACSIN2,LoF,0.05660377358490566,0.2261,0.2261
148229_LoF,ATP8B3,LoF,0.05660377358490566,0.2261,0.2261
6723_LoF,SRM,LoF,0.05660377358490566,0.2261,0.2261
1000009127_Act,kegg::Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human),Act,0.9056603773584906,0.602,1.0
1000009172_Act,kegg::Progesterone-mediated oocyte maturation - Homo sapiens (human),Act,0.9056603773584906,0.346,1.0
1000009167_Act,kegg::Regulation of actin cytoskeleton - Homo sapiens (human),Act,0.9811320754716981,0.403,1.0
1000009162_Act,kegg::Long-term depression - Homo sapiens (human),Act,0.7735849056603774,0.538,1.0
1000009157_Act,kegg::Glutamatergic synapse - Homo sapiens (human),Act,0.8301886792452831,0.823,1.0
1000009154_Act,kegg::Synaptic vesicle cycle - Homo sapiens (human),Act,0.7924528301886793,0.658,1.0
1000009152_Act,kegg::Thermogenesis - Homo sapiens (human),Act,0.8867924528301887,0.952,1.0
1000009148_Act,kegg::Leukocyte transendothelial migration - Homo sapiens (human),Act,0.9245283018867925,0.342,1.0
1000009146_Act,kegg::Fc gamma R-mediated phagocytosis - Homo sapiens (human),Act,0.9245283018867925,0.228,1.0
1000009145_Act,kegg::Fc epsilon RI signaling pathway - Homo sapiens (human),Act,0.8867924528301887,0.208,1.0
1000009144_Act,kegg::B cell receptor signaling pathway - Homo sapiens (human),Act,0.8867924528301887,0.235,1.0
1000009121_Act,kegg::Focal adhesion - Homo sapiens (human),Act,0.9811320754716981,0.38,1.0
1000009137_Act,kegg::JAK-STAT signaling pathway - Homo sapiens (human),Act,0.9245283018867925,0.623,1.0
1000009122_Act,kegg::ECM-receptor interaction - Homo sapiens (human),Act,0.7735849056603774,0.778,1.0
1000009123_Act,kegg::Cell adhesion molecules (CAMs) - Homo sapiens (human),Act,0.8867924528301887,0.709,1.0
1000009133_Act,kegg::NOD-like receptor signaling pathway - Homo sapiens (human),Act,0.8679245283018868,0.912,1.0
1000009125_Act,kegg::Tight junction - Homo sapiens (human),Act,0.9245283018867925,0.648,1.0
1000009129_Act,kegg::Platelet activation - Homo sapiens (human),Act,0.9622641509433962,0.255,1.0
1000009124_Act,kegg::Adherens junction - Homo sapiens (human),Act,0.8301886792452831,0.435,1.0
1000009266_LoF,kegg::Breast cancer - Homo sapiens (human),LoF,1.0,0.123,1.0
1000009174_Act,kegg::Melanogenesis - Homo sapiens (human),Act,0.8113207547169812,0.796,1.0
1000009081_LoF,kegg::Sphingolipid signaling pathway - Homo sapiens (human),LoF,1.0,0.08,1.0
1000009083_Act,kegg::Neuroactive ligand-receptor interaction - Homo sapiens (human),Act,0.9433962264150944,0.938,1.0
