,Symbol,Type,Freq,Emp.p_value,q_value
1000009072_Act,kegg::Calcium signaling pathway - Homo sapiens (human),Act,1.0,0.0,0.0
7402_LoF,UTRN,LoF,0.075,0.0152,0.06149
169044_Act,COL22A1,Act,0.1875,0.0262,0.06149
114788_Act,CSMD3,Act,0.2125,0.0087,0.06149
8840_Act,WISP1,Act,0.2,0.0102,0.06149
9897_Act,KIAA0196,Act,0.1875,0.0262,0.06149
7373_Act,COL14A1,Act,0.1875,0.0262,0.06149
5339_Act,PLEC,Act,0.1875,0.0262,0.06149
727957_Act,MROH1,Act,0.1875,0.0262,0.06149
4061_Act,LY6E,Act,0.1875,0.0262,0.06149
79624_LoF,ARMT1,LoF,0.0625,0.0286,0.06149
23345_LoF,SYNE1,LoF,0.0875,0.0119,0.06149
389434_LoF,IYD,LoF,0.0625,0.0286,0.06149
51534_LoF,VTA1,LoF,0.0625,0.0286,0.06149
134637_LoF,ADAT2,LoF,0.0625,0.0286,0.06149
23513_Act,SCRIB,Act,0.1875,0.0262,0.06149
27161_Act,AGO2,Act,0.1875,0.0262,0.06149
83481_Act,EPPK1,Act,0.1875,0.0262,0.06149
2099_LoF,ESR1,LoF,0.0625,0.0286,0.06149
9159_LoF,PCSK7,LoF,0.0625,0.0286,0.06149
2113_LoF,ETS1,LoF,0.0625,0.0286,0.06149
3069_LoF,HDLBP,LoF,0.05,0.1593,0.20146764705882353
9389_LoF,SLC22A14,LoF,0.05,0.1593,0.20146764705882353
83480_LoF,PUS3,LoF,0.05,0.1593,0.20146764705882353
57453_LoF,DSCAML1,LoF,0.05,0.1593,0.20146764705882353
390264_LoF,OR10G4,LoF,0.05,0.1593,0.20146764705882353
23187_LoF,PHLDB1,LoF,0.05,0.1593,0.20146764705882353
28960_LoF,DCPS,LoF,0.05,0.1593,0.20146764705882353
337_LoF,APOA4,LoF,0.05,0.1593,0.20146764705882353
23387_LoF,SIK3,LoF,0.05,0.1593,0.20146764705882353
7007_LoF,TECTA,LoF,0.05,0.1593,0.20146764705882353
4013_LoF,VWA5A,LoF,0.05,0.1593,0.20146764705882353
6653_LoF,SORL1,LoF,0.05,0.1593,0.20146764705882353
80309_LoF,SPHKAP,LoF,0.05,0.1593,0.20146764705882353
116987_LoF,AGAP1,LoF,0.05,0.1593,0.20146764705882353
27012_Act,KCNV1,Act,0.1625,0.2464,0.2943111111111111
93035_Act,PKHD1L1,Act,0.175,0.2441,0.2943111111111111
10486_Act,CAP2,Act,0.125,0.2759,0.3041974358974359
1906_Act,EDN1,Act,0.125,0.2759,0.3041974358974359
54898_Act,ELOVL2,Act,0.125,0.2759,0.3041974358974359
2296_Act,FOXC1,Act,0.1125,0.3727,0.3727
2295_Act,FOXF2,Act,0.1125,0.3727,0.3727
222826_Act,FAM217A,Act,0.1125,0.3727,0.3727
55770_Act,EXOC2,Act,0.1125,0.3727,0.3727
1000005700_Act,GO::ribosome biogenesis,Act,0.225,0.984,1.0
1000005719_Act,GO::cholesterol biosynthetic process,Act,0.225,1.0,1.0
1000005805_Act,GO::regulation of cholesterol biosynthetic process,Act,0.2625,0.992,1.0
1000005826_Act,GO::positive regulation of rRNA processing,Act,0.125,0.974,1.0
1000006022_Act,GO::estrous cycle,Act,0.1875,0.971,1.0
1000006016_Act,GO::positive regulation of sprouting angiogenesis,Act,0.225,0.996,1.0
1000006015_Act,GO::DNA-dependent DNA replication,Act,0.125,0.999,1.0
1000006014_Act,GO::response to gamma radiation,Act,0.2375,0.991,1.0
1000006012_Act,GO::positive regulation of neutrophil chemotaxis,Act,0.15,1.0,1.0
1000005957_Act,GO::negative regulation of nitric-oxide synthase biosynthetic process,Act,0.125,0.774,1.0
1000005978_Act,GO::ribosomal large subunit biogenesis,Act,0.2,0.997,1.0
