,Symbol,Type,Freq,Emp.p_value,q_value
1000000318_Act,OncoSig::NFE2L2.V2,Act,0.7916666666666666,0.0,0.0
1000000289_Act,OncoSig::KRAS.600-UP.V1-UP,Act,0.75,0.0,0.0
84133_LoF,ZNRF3,LoF,0.2222222222222222,0.0003,0.0063
7015_Act,TERT,Act,0.20833333333333334,0.0008,0.008400000000000001
5573_LoF,PRKAR1A,LoF,0.1111111111111111,0.0069,0.041475000000000005
1029_LoF,CDKN2A,LoF,0.09722222222222222,0.0079,0.041475000000000005
80755_LoF,AARSD1,LoF,0.05555555555555555,0.0488,0.07883076923076923
3859_LoF,KRT12,LoF,0.05555555555555555,0.0488,0.07883076923076923
4046_LoF,LSP1,LoF,0.05555555555555555,0.0488,0.07883076923076923
90019_LoF,SYT8,LoF,0.05555555555555555,0.0488,0.07883076923076923
5925_LoF,RB1,LoF,0.06944444444444445,0.0248,0.07883076923076923
473_LoF,RERE,LoF,0.06944444444444445,0.0248,0.07883076923076923
6569_Act,SLC34A1,Act,0.08333333333333333,0.0317,0.07883076923076923
7153_LoF,TOP2A,LoF,0.05555555555555555,0.0488,0.07883076923076923
83959_LoF,SLC4A11,LoF,0.05555555555555555,0.0488,0.07883076923076923
64324_Act,NSD1,Act,0.06944444444444445,0.0527,0.07905
10270_Act,AKAP8,Act,0.05555555555555555,0.0818,0.0818
26539_Act,OR10H1,Act,0.05555555555555555,0.0818,0.0818
57834_Act,CYP4F11,Act,0.05555555555555555,0.0818,0.0818
26993_Act,AKAP8L,Act,0.05555555555555555,0.0818,0.0818
4854_Act,NOTCH3,Act,0.05555555555555555,0.0818,0.0818
4218_Act,RAB8A,Act,0.05555555555555555,0.0818,0.0818
3954_Act,LETM1,Act,0.05555555555555555,0.0818,0.0818
1000000398_Act,hall::E2F-TARGETS,Act,0.6944444444444444,0.008,0.38933333333333336
1000000416_Act,hall::MTORC1-SIGNALING,Act,0.6805555555555556,0.016,0.5840000000000001
1000000349_Act,OncoSig::RAPA-EARLY-UP.V1-DN,Act,0.5833333333333334,0.463,0.9511791044776119
1000000352_Act,OncoSig::RB-DN.V1-UP,Act,0.5138888888888888,0.413,0.9511791044776119
1000000354_Act,OncoSig::RB-P107-DN.V1-UP,Act,0.5694444444444444,0.226,0.9511791044776119
1000000357_Act,OncoSig::RELA-DN.V1-DN,Act,0.5277777777777778,0.505,0.9511791044776119
1000000365_Act,OncoSig::SNF5-DN.V1-UP,Act,0.5138888888888888,0.778,0.9511791044776119
1000000366_Act,OncoSig::SRC-UP.V1-DN,Act,0.5,0.814,0.9511791044776119
1000000367_Act,OncoSig::SRC-UP.V1-UP,Act,0.5138888888888888,0.797,0.9511791044776119
1000000372_Act,OncoSig::STK33-SKM-UP,Act,0.5833333333333334,0.745,0.9511791044776119
1000000374_Act,OncoSig::TBK1.DF-DN,Act,0.625,0.576,0.9511791044776119
1000000376_Act,OncoSig::TBK1.DN.48HRS-DN,Act,0.3333333333333333,0.623,0.9511791044776119
1000000377_Act,OncoSig::TBK1.DN.48HRS-UP,Act,0.3055555555555556,0.797,0.9511791044776119
1000000355_Act,OncoSig::RB-P130-DN.V1-DN,Act,0.5,0.626,0.9511791044776119
1000000347_Act,OncoSig::RAF-UP.V1-DN,Act,0.6527777777777778,0.095,0.9511791044776119
1000000100_Act,PID::ILK-PATHWAY,Act,0.4305555555555556,0.146,0.9511791044776119
1000000343_Act,OncoSig::PTEN-DN.V1-DN,Act,0.5555555555555556,0.621,0.9511791044776119
1000000339_Act,OncoSig::PRC2-EZH2-UP.V1-DN,Act,0.5555555555555556,0.641,0.9511791044776119
1000000338_Act,OncoSig::PRC2-EED-DN.V1-UP,Act,0.6111111111111112,0.284,0.9511791044776119
1000000337_Act,OncoSig::PRC2-EED-DN.V1-DN,Act,0.6111111111111112,0.312,0.9511791044776119
1000000336_Act,OncoSig::PRC1-BMI-UP.V1-UP,Act,0.5,0.868,0.9511791044776119
1000000335_Act,OncoSig::PRC1-BMI-UP.V1-DN,Act,0.5416666666666666,0.695,0.9511791044776119
1000000333_Act,OncoSig::PKCA-DN.V1-DN,Act,0.4722222222222222,0.872,0.9511791044776119
1000000331_Act,OncoSig::PGF-UP.V1-DN,Act,0.5833333333333334,0.483,0.9511791044776119
1000000329_Act,OncoSig::PDGF-UP.V1-DN,Act,0.6111111111111112,0.087,0.9511791044776119
1000000327_Act,OncoSig::PDGF-ERK-DN.V1-DN,Act,0.5416666666666666,0.485,0.9511791044776119
1000000326_Act,OncoSig::P53-DN.V2-UP,Act,0.5138888888888888,0.646,0.9511791044776119
1000000325_Act,OncoSig::P53-DN.V2-DN,Act,0.4583333333333333,0.846,0.9511791044776119
1000000322_Act,OncoSig::NRL-DN.V1-UP,Act,0.4861111111111111,0.7,0.9511791044776119
1000000092_Act,PID::IL2-PI3K-PATHWAY,Act,0.4305555555555556,0.058,0.9511791044776119
1000000345_Act,OncoSig::PTEN-DN.V2-DN,Act,0.5972222222222222,0.17,0.9511791044776119
1000000381_Act,OncoSig::VEGF-A-UP.V1-UP,Act,0.6388888888888888,0.159,0.9511791044776119
1000000403_Act,hall::G2M-CHECKPOINT,Act,0.5972222222222222,0.437,0.9511791044776119
1000000396_Act,hall::COMPLEMENT,Act,0.5833333333333334,0.506,0.9511791044776119
1000000011_Act,PID::AR-PATHWAY,Act,0.4722222222222222,0.163,0.9511791044776119
1000000017_Act,PID::ATF2-PATHWAY,Act,0.3472222222222222,0.695,0.9511791044776119
1000000018_Act,PID::ATM-PATHWAY,Act,0.3472222222222222,0.269,0.9511791044776119
1000000020_Act,PID::AURORA-A-PATHWAY,Act,0.3611111111111111,0.194,0.9511791044776119
1000000027_Act,PID::BETA-CATENIN-NUC-PATHWAY,Act,0.5694444444444444,0.041,0.9511791044776119
1000000040_Act,PID::CXCR4-PATHWAY,Act,0.4861111111111111,0.459,0.9511791044776119
1000000045_Act,PID::ECADHERIN-NASCENT-AJ-PATHWAY,Act,0.3472222222222222,0.37,0.9511791044776119
1000000057_Act,PID::ERBB1-INTERNALIZATION-PATHWAY,Act,0.3194444444444444,0.542,0.9511791044776119
1000000420_Act,hall::NOTCH-SIGNALING,Act,0.25,0.7,0.9511791044776119
1000000170_Act,PID::SMAD2-3PATHWAY,Act,0.1527777777777778,0.756,0.9511791044776119
1000000143_Act,PID::PI3K-PLC-TRK-PATHWAY,Act,0.2777777777777778,0.639,0.9511791044776119
1000000028_Act,PID::BMP-PATHWAY,Act,0.3055555555555556,0.622,0.9511791044776119
1000000066_Act,PID::FGF-PATHWAY,Act,0.3055555555555556,0.853,0.9511791044776119
1000000395_Act,hall::COAGULATION,Act,0.4583333333333333,0.822,0.9511791044776119
1000000067_Act,PID::FOXM1-PATHWAY,Act,0.2777777777777778,0.715,0.9511791044776119
1000000433_Act,hall::UV-RESPONSE-UP,Act,0.5694444444444444,0.395,0.9511791044776119
1000000430_Act,hall::TNFA-SIGNALING-VIA-NFKB,Act,0.5277777777777778,0.821,0.9511791044776119
1000000425_Act,hall::PI3K-AKT-MTOR-SIGNALING,Act,0.5277777777777778,0.26,0.9511791044776119
1000000424_Act,hall::PEROXISOME,Act,0.4861111111111111,0.479,0.9511791044776119
