,Symbol,Type,Freq,Emp.p_value,q_value
1000000154_LoF,PID::RB-1PATHWAY,LoF,0.8736842105263158,0.0,0.0
1000000138_LoF,PID::P53-REGULATION-PATHWAY,LoF,0.8947368421052632,0.0,0.0
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.8368421052631579,0.001,0.10300000000000001
1000000079_LoF,PID::HIF1A-PATHWAY,LoF,0.8026315789473685,0.001,0.10300000000000001
1000000113_Act,PID::LKB1-PATHWAY,Act,0.8157894736842105,0.002,0.1648
196_Act,AHR,Act,0.11315789473684211,0.0376,0.1895225806451613
25960_Act,ADGRA2,Act,0.11578947368421053,0.0328,0.1895225806451613
83860_Act,TAF3,Act,0.11315789473684211,0.0376,0.1895225806451613
2625_Act,GATA3,Act,0.11052631578947368,0.0422,0.1895225806451613
1030_LoF,CDKN2B,LoF,0.34210526315789475,0.0023,0.1895225806451613
63951_LoF,DMRTA1,LoF,0.21842105263157896,0.0057,0.1895225806451613
1102_LoF,RCBTB2,LoF,0.08947368421052632,0.0283,0.1895225806451613
57105_LoF,CYSLTR2,LoF,0.07894736842105263,0.0411,0.1895225806451613
10161_LoF,LPAR6,LoF,0.10263157894736842,0.0201,0.1895225806451613
6659_Act,SOX4,Act,0.15789473684210525,0.0107,0.1895225806451613
547_LoF,KIF1A,LoF,0.07368421052631578,0.045,0.1895225806451613
5728_LoF,PTEN,LoF,0.08157894736842106,0.0368,0.1895225806451613
7534_Act,YWHAZ,Act,0.1736842105263158,0.0085,0.1895225806451613
157697_LoF,ERICH1,LoF,0.0868421052631579,0.0306,0.1895225806451613
4482_LoF,MSRA,LoF,0.07631578947368421,0.0432,0.1895225806451613
1670_LoF,DEFA5,LoF,0.07894736842105263,0.0411,0.1895225806451613
2055_LoF,CLN8,LoF,0.08157894736842106,0.0368,0.1895225806451613
9228_LoF,DLGAP2,LoF,0.08947368421052632,0.0283,0.1895225806451613
26260_LoF,FBXO25,LoF,0.08157894736842106,0.0368,0.1895225806451613
285_LoF,ANGPT2,LoF,0.07631578947368421,0.0432,0.1895225806451613
79648_LoF,MCPH1,LoF,0.08421052631578947,0.0332,0.1895225806451613
9639_LoF,ARHGEF10,LoF,0.09210526315789473,0.0257,0.1895225806451613
11212_Act,PLPBP,Act,0.10789473684210527,0.0459,0.1895225806451613
11160_Act,ERLIN2,Act,0.10789473684210527,0.0459,0.1895225806451613
405_Act,ARNT,Act,0.12894736842105264,0.0191,0.1895225806451613
54507_Act,ADAMTSL4,Act,0.12105263157894737,0.0249,0.1895225806451613
6531_Act,SLC6A3,Act,0.11315789473684211,0.0376,0.1895225806451613
348932_Act,SLC6A18,Act,0.11315789473684211,0.0376,0.1895225806451613
153478_Act,PLEKHG4B,Act,0.12368421052631579,0.023,0.1895225806451613
389257_Act,LRRC14B,Act,0.11578947368421053,0.0328,0.1895225806451613
81037_Act,CLPTM1L,Act,0.11052631578947368,0.0422,0.1895225806451613
79888_Act,LPCAT1,Act,0.10789473684210527,0.0459,0.1895225806451613
57491_Act,AHRR,Act,0.11578947368421053,0.0328,0.1895225806451613
6550_Act,SLC9A3,Act,0.12105263157894737,0.0249,0.1895225806451613
10016_Act,PDCD6,Act,0.11578947368421053,0.0328,0.1895225806451613
85409_Act,NKD2,Act,0.11052631578947368,0.0422,0.1895225806451613
55722_Act,CEP72,Act,0.11578947368421053,0.0328,0.1895225806451613
340024_Act,SLC6A19,Act,0.12105263157894737,0.0249,0.1895225806451613
10407_LoF,SPAG11B,LoF,0.08157894736842106,0.0368,0.1895225806451613
65980_Act,BRD9,Act,0.11578947368421053,0.0328,0.1895225806451613
133957_Act,CCDC127,Act,0.11052631578947368,0.0422,0.1895225806451613
11336_Act,EXOC3,Act,0.11842105263157894,0.0289,0.1895225806451613
10723_Act,SLC12A7,Act,0.12631578947368421,0.0204,0.1895225806451613
79844_Act,ZDHHC11,Act,0.11052631578947368,0.0422,0.1895225806451613
7015_Act,TERT,Act,0.11315789473684211,0.0376,0.1895225806451613
9319_Act,TRIP13,Act,0.12105263157894737,0.0249,0.1895225806451613
50805_Act,IRX4,Act,0.11315789473684211,0.0376,0.1895225806451613
6389_Act,SDHA,Act,0.12368421052631579,0.023,0.1895225806451613
55204_Act,GOLPH3L,Act,0.10789473684210527,0.0459,0.1895225806451613
84072_Act,HORMAD1,Act,0.12105263157894737,0.0249,0.1895225806451613
1513_Act,CTSK,Act,0.11052631578947368,0.0422,0.1895225806451613
4170_Act,MCL1,Act,0.11578947368421053,0.0328,0.1895225806451613
11076_Act,TPPP,Act,0.11052631578947368,0.0422,0.1895225806451613
9258_LoF,MFHAS1,LoF,0.0868421052631579,0.0306,0.1895225806451613
5468_Act,PPARG,Act,0.17105263157894737,0.0092,0.1895225806451613
169270_LoF,ZNF596,LoF,0.08947368421052632,0.0283,0.1895225806451613
257106_Act,ARHGAP30,Act,0.19210526315789472,0.0043,0.1895225806451613
79660_LoF,PPP1R3B,LoF,0.08157894736842106,0.0368,0.1895225806451613
1293_LoF,COL6A3,LoF,0.09210526315789473,0.0257,0.1895225806451613
81607_Act,NECTIN4,Act,0.18157894736842106,0.0074,0.1895225806451613
50848_Act,F11R,Act,0.18421052631578946,0.0064,0.1895225806451613
677_LoF,ZFP36L1,LoF,0.08157894736842106,0.0368,0.1895225806451613
7399_LoF,USH2A,LoF,0.0868421052631579,0.0306,0.1895225806451613
1387_LoF,CREBBP,LoF,0.15789473684210525,0.0092,0.1895225806451613
23345_LoF,SYNE1,LoF,0.19473684210526315,0.0072,0.1895225806451613
80309_LoF,SPHKAP,LoF,0.09736842105263158,0.0231,0.1895225806451613
5925_LoF,RB1,LoF,0.25263157894736843,0.0046,0.1895225806451613
5789_LoF,PTPRD,LoF,0.1368421052631579,0.0124,0.1895225806451613
23654_LoF,PLXNB2,LoF,0.07631578947368421,0.0432,0.1895225806451613
5290_Act,PIK3CA,Act,0.23684210526315788,0.0023,0.1895225806451613
55714_LoF,ODZ3,LoF,0.10789473684210527,0.0182,0.1895225806451613
23195_LoF,MDN1,LoF,0.09210526315789473,0.0257,0.1895225806451613
53353_LoF,LRP1B,LoF,0.18421052631578946,0.0082,0.1895225806451613
4297_LoF,KMT2A,LoF,0.10526315789473684,0.0189,0.1895225806451613
8924_LoF,HERC2,LoF,0.08947368421052632,0.0283,0.1895225806451613
2261_Act,FGFR3,Act,0.18421052631578946,0.0064,0.1895225806451613
2195_LoF,FAT1,LoF,0.12894736842105264,0.0139,0.1895225806451613
2064_Act,ERBB2,Act,0.15526315789473685,0.0111,0.1895225806451613
1999_LoF,ELF3,LoF,0.13421052631578947,0.0128,0.1895225806451613
1029_LoF,CDKN2A,LoF,0.39473684210526316,0.0007,0.1895225806451613
5202_Act,PFDN2,Act,0.18421052631578946,0.0064,0.1895225806451613
64478_LoF,CSMD1,LoF,0.15526315789473685,0.0095,0.1895225806451613
9920_LoF,KBTBD11,LoF,0.07894736842105263,0.0411,0.1895225806451613
8658_LoF,TNKS,LoF,0.08421052631578947,0.0332,0.1895225806451613
9172_LoF,MYOM2,LoF,0.10526315789473684,0.0189,0.1895225806451613
90459_LoF,ERI1,LoF,0.08157894736842106,0.0368,0.1895225806451613
137075_LoF,CLDN23,LoF,0.07894736842105263,0.0411,0.1895225806451613
157695_LoF,C8orf42,LoF,0.08421052631578947,0.0332,0.1895225806451613
57492_LoF,ARID1B,LoF,0.07368421052631578,0.045,0.1895225806451613
595_Act,CCND1,Act,0.12894736842105264,0.0191,0.1895225806451613
472_LoF,ATM,LoF,0.13157894736842105,0.0133,0.1895225806451613
8289_LoF,ARID1A,LoF,0.2578947368421053,0.0042,0.1895225806451613
7391_Act,USF1,Act,0.18157894736842106,0.0074,0.1895225806451613
22807_LoF,IKZF2,LoF,0.060526315789473685,0.0604,0.19358677685950412
26230_LoF,TIAM2,LoF,0.06315789473684211,0.057,0.19358677685950412
116966_LoF,WDR17,LoF,0.06315789473684211,0.057,0.19358677685950412
9969_Act,MED13,Act,0.1,0.0537,0.19358677685950412
3265_LoF,HRAS,LoF,0.060526315789473685,0.0604,0.19358677685950412
7776_LoF,ZNF236,LoF,0.06315789473684211,0.057,0.19358677685950412
2066_LoF,ERBB4,LoF,0.06842105263157895,0.0499,0.19358677685950412
25914_LoF,RTTN,LoF,0.06315789473684211,0.057,0.19358677685950412
3910_LoF,LAMA4,LoF,0.06842105263157895,0.0499,0.19358677685950412
57674_Act,RNF213,Act,0.1,0.0537,0.19358677685950412
10818_Act,FRS2,Act,0.1,0.0537,0.19358677685950412
2122_Act,MECOM,Act,0.08947368421052632,0.061,0.19358677685950412
23036_LoF,ZNF292,LoF,0.06315789473684211,0.057,0.19358677685950412
10973_LoF,ASCC3,LoF,0.06315789473684211,0.057,0.19358677685950412
5980_LoF,REV3L,LoF,0.06842105263157895,0.0499,0.19358677685950412
6098_LoF,ROS1,LoF,0.060526315789473685,0.0604,0.19358677685950412
4193_Act,MDM2,Act,0.1,0.0537,0.19358677685950412
144453_Act,BEST3,Act,0.1,0.0537,0.19358677685950412
8632_Act,DNAH17,Act,0.10263157894736842,0.0514,0.19358677685950412
11052_Act,CPSF6,Act,0.10263157894736842,0.0514,0.19358677685950412
11262_LoF,SP140,LoF,0.06315789473684211,0.057,0.19358677685950412
10576_Act,CCT2,Act,0.09736842105263158,0.0554,0.19358677685950412
1303_LoF,COL12A1,LoF,0.060526315789473685,0.0604,0.19358677685950412
117177_Act,RAB3IP,Act,0.09210526315789473,0.0589,0.19358677685950412
