Locus_name,Genes
9p23_CNAdel,9301 5789 6031
16p13.2_CNAamp,7874 106479492 23589 29035 283953 18 79091 25880 5373
9p21.3_CNAdel,1029 51198 4507 1030 63951
12q15_CNAamp,4193 10818 376132 4069 144453 117177 11052 10576 55508 106481140 1368 8089
17q12_CNAamp,100616132 2886 84299 2064 93210
7p21.1_CNAamp,23161 6043 196
1p34.2_CNAamp,64064 4610 5538 84618 26508 84879 656 51440 10450 54802 10487 8761
8q22.3_CNAamp,106479473 106481869 7534
8p11.23_CNAamp,11160 80139 11212 25960
8p23.3_CNAdel,157697 4482 1667 1668 1669 1670 100132103 1671 1672 1673 2055 100131980 9228 105379219 245908 26260 245909 245910 26778 100616348 285 55326 100616350 644128 79648 503841 100873507 728358 9639 10407 9258 79660 100132396 140596 106479286 169270 100289462 693181 693182 106479038 9920 503614 203074 503618 100422982 8658 106480468 9172 55894 286042 90459 441308 64478 389610 100302186 653423 106481009 137075 441332 504180 414325 100128890 406907 157695
20q11.21_CNAamp,22974 3397 598 100422904 84701 81502
10p14_CNAamp,2625 83860 100507143
19q12_CNAamp,898 8725
13q14.2_CNAdel,5925 1102 57105 10161 100129597
6p22.3_CNAamp,6659
