,Symbol,PAM_freq,MutSig2CV_qvalue,Fusion_freq,CNA_freq,CNA_locus,CNA_type,GISTIC_residual_q_value,Act_freq,LoF_freq,OM_type_selected,OM_empirical_p_value,OM_empirical_q_value,Genes_in_locus,Final_mutation_type,Final_freq,Delta_over_PAM,Pathway_Length,Pathway_Name,Somatically_Mutated_Genes,Amplified_Genes,Deleted_Genes,ME_pvalues
1,A1BG,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
2,A2M,0.03684210526315789,1.0,0.0,,,,,,,,,,,,,,1,,,,,
3,A2MP1,0.0,,,,,,,,,,,,,,,,1,,,,,
131076,CCDC58,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
9,NAT1,0.005263157894736842,1.0,,,,,,,,,,,,,,,1,,,,,
10,NAT2,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
11,NATP,0.0,,,,,,,,,,,,,,,,1,,,,,
12,SERPINA3,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
13,AADAC,0.002631578947368421,1.0,,,,,,,,,,,,,,,1,,,,,
14,AAMP,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
15,AANAT,0.005263157894736842,1.0,0.0,0.031578947368421054,17q23.3,Amp,0.0024208,0.034210526315789476,0.005263157894736842,,,,,,,,1,,,,,
16,AARS,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
18,ABAT,0.005263157894736842,1.0,0.0,0.05526315789473684,16p13.2,Amp,0.00034988,0.060526315789473685,0.013157894736842105,Act,0.1359,0.20464941176470589,,,,,1,,,,,
19,ABCA1,0.018421052631578946,1.0,0.0,,,,,,,,,,,,,,1,,,,,
20,ABCA2,0.018421052631578946,1.0,0.0,,,,,,,,,,,,,,1,,,,,
21,ABCA3,0.021052631578947368,1.0,0.0,,,,,,,,,,,,,,1,,,,,
22,ABCB7,0.013157894736842105,1.0,0.0,,,,,,,,,,,,,,1,,,,,
23,ABCF1,0.007894736842105263,1.0,0.0,,,,,,,,,,,,,,1,,,,,
24,ABCA4,0.021052631578947368,1.0,0.0,,,,,,,,,,,,,,1,,,,,
25,ABL1,0.021052631578947368,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
26,ABP1,0.018421052631578946,1.0,,,,,,,,,,,,,,,1,,,,,
27,ABL2,0.021052631578947368,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
28,ABO,0.0,1.0,,,,,,,,,,,,,,,1,,,,,
29,ABR,0.013157894736842105,1.0,0.007894736842105263,,,,,,,,,,,,,,1,,,,,
30,ACAA1,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
31,ACACA,0.05526315789473684,1.0,0.005263157894736842,,,,,0.08421052631578947,0.060526315789473685,,,,,,,,1,,,,,
32,ACACB,0.042105263157894736,1.0,0.0,,,,,,,,,,,,,,1,,,,,
33,ACADL,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
34,ACADM,0.002631578947368421,1.0,0.0,,,,,,,,,,,,,,1,,,,,
35,ACADS,0.013157894736842105,1.0,0.0,,,,,,,,,,,,,,1,,,,,
36,ACADSB,0.007894736842105263,1.0,,,,,,,,,,,,,,,1,,,,,
37,ACADVL,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
38,ACAT1,0.010526315789473684,1.0,,0.010526315789473684,11q23.3,Del,0.025277,0.021052631578947368,0.021052631578947368,,,,,,,,1,,,,,
39,ACAT2,0.0,1.0,,0.010526315789473684,6q27,Del,0.039299,0.0,0.010526315789473684,,,,,,,,1,,,,,
40,ASIC2,0.015789473684210527,,,,,,,,,,,,,,,,1,,,,,
41,ASIC1,0.010526315789473684,,,,,,,,,,,,,,,,1,,,,,
43,ACHE,0.013157894736842105,1.0,0.0,,,,,,,,,,,,,,1,,,,,
131118,DNAJC19,0.0,1.0,0.0,0.042105263157894736,3q26.33,Amp,0.0018563,0.042105263157894736,0.0,,,,,,,,1,,,,,
47,ACLY,0.018421052631578946,1.0,0.002631578947368421,,,,,,,,,,,,,,1,,,,,
48,ACO1,0.010526315789473684,1.0,0.0,,,,,,,,,,,,,,1,,,,,
49,ACR,0.0,1.0,,0.02894736842105263,22q13.32,Del,5.0391e-05,0.0,0.02894736842105263,,,,,,,,1,,,,,
50,ACO2,0.015789473684210527,1.0,0.0,,,,,,,,,,,,,,1,,,,,
51,ACOX1,0.013157894736842105,1.0,0.005263157894736842,0.034210526315789476,17q23.3,Amp,0.0024208,0.05,0.018421052631578946,Act,0.2331,0.2331,,,,,1,,,,,
52,ACP1,0.002631578947368421,1.0,,0.031578947368421054,2p25.1,Amp,0.033813,0.034210526315789476,0.010526315789473684,,,,,,,,1,,,,,
53,ACP2,0.005263157894736842,1.0,0.0,,,,,,,,,,,,,,1,,,,,
54,ACP5,0.013157894736842105,0.385685,0.0,,,,,,,,,,,,,,1,,,,,
55,ACPP,0.015789473684210527,1.0,,,,,,,,,,,,,,,1,,,,,
56,ACRV1,0.002631578947368421,1.0,,0.010526315789473684,11q23.3,Del,0.025277,0.005263157894736842,0.013157894736842105,,,,,,,,1,,,,,
58,ACTA1,0.007894736842105263,1.0,,0.002631578947368421,1q32.1,Del,0.033566,0.010526315789473684,0.010526315789473684,,,,,,,,1,,,,,
59,ACTA2,0.018421052631578946,1.0,0.0,,,,,,,,,,,,,,1,,,,,
60,ACTB,0.039473684210526314,0.6263563,0.005263157894736842,,,,,,,,,,,,,,1,,,,,
62,ACTBP2,0.0,,,,,,,,,,,,,,,,1,,,,,
63,ACTBP3,0.0,,,,,,,,,,,,,,,,1,,,,,
64,ACTBP4,0.0,,,,,,,,,,,,,,,,1,,,,,
66,ACTBP6,0.0,,,,,,,,,,,,,,,,1,,,,,
67,ACTBP7,0.0,,,,,,,,,,,,,,,,1,,,,,
