,Symbol,Type,Freq,Emp.p_value,q_value
1000000124_Act,PID::NECTIN-PATHWAY,Act,0.7237113402061855,0.0,0.0
1000000118_Act,PID::MET-PATHWAY,Act,0.8804123711340206,0.0,0.0
1000000033_Act,PID::CDC42-PATHWAY,Act,0.8412371134020619,0.0,0.0
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.8216494845360824,0.0,0.0
1000000097_Act,PID::IL6-7-PATHWAY,Act,0.7690721649484537,0.0,0.0
1000000007_Act,PID::ANGIOPOIETIN-RECEPTOR-PATHWAY,Act,0.7824742268041237,0.0,0.0
1000000092_Act,PID::IL2-PI3K-PATHWAY,Act,0.7639175257731958,0.0,0.0
1000000142_Act,PID::PDGFRB-PATHWAY,Act,0.877319587628866,0.0,0.0
1000000062_Act,PID::FAK-PATHWAY,Act,0.8268041237113402,0.0,0.0
1000000048_Act,PID::EPHA2-FWD-PATHWAY,Act,0.6855670103092784,0.0,0.0
1000000066_Act,PID::FGF-PATHWAY,Act,0.8474226804123711,0.0,0.0
1000000050_Act,PID::EPHB-FWD-PATHWAY,Act,0.7556701030927835,0.001,0.012518518518518517
1000000123_Act,PID::NCADHERIN-PATHWAY,Act,0.6969072164948453,0.001,0.012518518518518517
1000000060_Act,PID::ERBB4-PATHWAY,Act,0.7546391752577319,0.001,0.012518518518518517
1000000064_Act,PID::FAS-PATHWAY,Act,0.7752577319587629,0.001,0.012518518518518517
1000000065_Act,PID::FCER1-PATHWAY,Act,0.8092783505154639,0.001,0.012518518518518517
1000000085_Act,PID::IGF1-PATHWAY,Act,0.7556701030927835,0.001,0.012518518518518517
1000000145_Act,PID::PI3KCI-PATHWAY,Act,0.7577319587628866,0.001,0.012518518518518517
1000000143_Act,PID::PI3K-PLC-TRK-PATHWAY,Act,0.7525773195876289,0.001,0.012518518518518517
1000000093_Act,PID::IL2-STAT5-PATHWAY,Act,0.7206185567010309,0.001,0.012518518518518517
1000000141_Act,PID::PDGFRA-PATHWAY,Act,0.6113402061855671,0.001,0.012518518518518517
1000000140_Act,PID::P75-NTR-PATHWAY,Act,0.8237113402061855,0.001,0.012518518518518517
1000000115_Act,PID::LYMPH-ANGIOGENESIS-PATHWAY,Act,0.6618556701030928,0.001,0.012518518518518517
1000000071_Act,PID::GMCSF-PATHWAY,Act,0.7422680412371134,0.001,0.012518518518518517
1000000044_Act,PID::ECADHERIN-KERATINOCYTE-PATHWAY,Act,0.6639175257731958,0.001,0.012518518518518517
1000000094_Act,PID::IL3-PATHWAY,Act,0.7,0.001,0.012518518518518517
1000000022_Act,PID::AVB3-INTEGRIN-PATHWAY,Act,0.8474226804123711,0.001,0.012518518518518517
5290_Act,PIK3CA,Act,0.3711340206185567,0.0001,0.0132
1000000057_Act,PID::ERBB1-INTERNALIZATION-PATHWAY,Act,0.7164948453608248,0.002,0.021125
1000000187_Act,PID::TRAIL-PATHWAY,Act,0.702061855670103,0.002,0.021125
1000000058_Act,PID::ERBB1-RECEPTOR-PROXIMAL-PATHWAY,Act,0.7257731958762886,0.002,0.021125
1000000025_Act,PID::BCR-5PATHWAY,Act,0.8185567010309278,0.002,0.021125
1000000129_Act,PID::NFKAPPAB-ATYPICAL-PATHWAY,Act,0.5463917525773195,0.002,0.021125
1000000045_Act,PID::ECADHERIN-NASCENT-AJ-PATHWAY,Act,0.7587628865979381,0.003,0.02897142857142857
1000000096_Act,PID::IL5-PATHWAY,Act,0.534020618556701,0.003,0.02897142857142857
1000000192_Act,PID::VEGFR1-2-PATHWAY,Act,0.8020618556701031,0.003,0.02897142857142857
1000000111_Act,PID::KIT-PATHWAY,Act,0.7670103092783506,0.004,0.03297560975609756
1000000075_Act,PID::HEDGEHOG-2PATHWAY,Act,0.5948453608247423,0.004,0.03297560975609756
1000000091_Act,PID::IL2-1PATHWAY,Act,0.7762886597938145,0.004,0.03297560975609756
1000000157_Act,PID::RET-PATHWAY,Act,0.7505154639175258,0.004,0.03297560975609756
1000000193_Act,PID::VEGFR1-PATHWAY,Act,0.6298969072164948,0.004,0.03297560975609756
1000000102_Act,PID::INSULIN-PATHWAY,Act,0.7505154639175258,0.004,0.03297560975609756
1000000188_Act,PID::TRKR-PATHWAY,Act,0.7742268041237114,0.005,0.03673913043478261
1000000176_Act,PID::TCPTP-PATHWAY,Act,0.7041237113402062,0.005,0.03673913043478261
1000000126_Act,PID::NETRIN-PATHWAY,Act,0.6690721649484536,0.005,0.03673913043478261
