,Symbol,Type,Freq,Emp.p_value,q_value
1000000050_Act,PID::EPHB-FWD-PATHWAY,Act,0.6730769230769231,0.0,0.0
1000000044_Act,PID::ECADHERIN-KERATINOCYTE-PATHWAY,Act,0.5576923076923077,0.0,0.0
1000000041_Act,PID::DELTA-NP63-PATHWAY,Act,0.6692307692307692,0.0,0.0
1000000058_Act,PID::ERBB1-RECEPTOR-PROXIMAL-PATHWAY,Act,0.6269230769230769,0.0,0.0
1000000059_Act,PID::ERBB2-ERBB3-PATHWAY,Act,0.7076923076923077,0.0,0.0
1000000060_Act,PID::ERBB4-PATHWAY,Act,0.7115384615384616,0.0,0.0
1000000118_Act,PID::MET-PATHWAY,Act,0.7538461538461538,0.0,0.0
1000000064_Act,PID::FAS-PATHWAY,Act,0.65,0.0,0.0
1000000111_Act,PID::KIT-PATHWAY,Act,0.7115384615384616,0.0,0.0
1000000084_Act,PID::IFNG-PATHWAY,Act,0.7,0.0,0.0
1000000091_Act,PID::IL2-1PATHWAY,Act,0.7038461538461539,0.0,0.0
1000000157_Act,PID::RET-PATHWAY,Act,0.6461538461538462,0.0,0.0
1000000022_Act,PID::AVB3-INTEGRIN-PATHWAY,Act,0.7884615384615384,0.0,0.0
7273_Act,TTN,Act,0.28846153846153844,0.0001,0.0183
1000000115_Act,PID::LYMPH-ANGIOGENESIS-PATHWAY,Act,0.5769230769230769,0.001,0.0193
1000000048_Act,PID::EPHA2-FWD-PATHWAY,Act,0.5807692307692308,0.001,0.0193
1000000092_Act,PID::IL2-PI3K-PATHWAY,Act,0.6346153846153846,0.001,0.0193
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.7115384615384616,0.001,0.0193
1000000053_Act,PID::ER-NONGENOMIC-PATHWAY,Act,0.6269230769230769,0.001,0.0193
1000000125_Act,PID::NEPHRIN-NEPH1-PATHWAY,Act,0.6538461538461539,0.001,0.0193
1000000071_Act,PID::GMCSF-PATHWAY,Act,0.6384615384615384,0.001,0.0193
2195_LoF,FAT1,LoF,0.11538461538461539,0.0014,0.028466666666666668
57709_Act,SLC7A14,Act,0.21923076923076923,0.0013,0.028466666666666668
23043_Act,TNIK,Act,0.23461538461538461,0.0007,0.028466666666666668
58508_LoF,KMT2C,LoF,0.16923076923076924,0.0011,0.028466666666666668
53353_LoF,LRP1B,LoF,0.18076923076923077,0.0011,0.028466666666666668
5728_LoF,PTEN,LoF,0.11923076923076924,0.0013,0.028466666666666668
22871_Act,NLGN1,Act,0.21923076923076923,0.0013,0.028466666666666668
254827_Act,NAALADL2,Act,0.2230769230769231,0.0008,0.028466666666666668
1000000051_Act,PID::EPHRINB-REV-PATHWAY,Act,0.5846153846153846,0.003,0.03216666666666667
1000000062_Act,PID::FAK-PATHWAY,Act,0.7153846153846154,0.002,0.03216666666666667
1000000097_Act,PID::IL6-7-PATHWAY,Act,0.6423076923076924,0.003,0.03216666666666667
1000000183_Act,PID::THROMBIN-PAR1-PATHWAY,Act,0.6538461538461539,0.003,0.03216666666666667
1000000176_Act,PID::TCPTP-PATHWAY,Act,0.6538461538461539,0.002,0.03216666666666667
1000000085_Act,PID::IGF1-PATHWAY,Act,0.5692307692307692,0.003,0.03216666666666667
1000000089_Act,PID::IL23-PATHWAY,Act,0.6038461538461538,0.003,0.03216666666666667
1000000168_Act,PID::SHP2-PATHWAY,Act,0.7,0.002,0.03216666666666667
1000000140_Act,PID::P75-NTR-PATHWAY,Act,0.7346153846153847,0.003,0.03216666666666667
1000000093_Act,PID::IL2-STAT5-PATHWAY,Act,0.5807692307692308,0.003,0.03216666666666667
1000000096_Act,PID::IL5-PATHWAY,Act,0.5,0.003,0.03216666666666667
1000000415_Act,hall::MITOTIC-SPINDLE,Act,0.8884615384615384,0.003,0.03216666666666667
1000000102_Act,PID::INSULIN-PATHWAY,Act,0.6384615384615384,0.003,0.03216666666666667
1000000124_Act,PID::NECTIN-PATHWAY,Act,0.5846153846153846,0.003,0.03216666666666667
1000000040_Act,PID::CXCR4-PATHWAY,Act,0.7961538461538461,0.003,0.03216666666666667
1000000033_Act,PID::CDC42-PATHWAY,Act,0.7269230769230769,0.003,0.03216666666666667
5337_Act,PLD1,Act,0.2153846153846154,0.0019,0.03477
1000000187_Act,PID::TRAIL-PATHWAY,Act,0.5846153846153846,0.004,0.03765853658536585
1000000094_Act,PID::IL3-PATHWAY,Act,0.5807692307692308,0.004,0.03765853658536585
1000000007_Act,PID::ANGIOPOIETIN-RECEPTOR-PATHWAY,Act,0.6615384615384615,0.004,0.03765853658536585
1000000141_Act,PID::PDGFRA-PATHWAY,Act,0.5384615384615384,0.004,0.03765853658536585
1000000143_Act,PID::PI3K-PLC-TRK-PATHWAY,Act,0.6076923076923076,0.004,0.03765853658536585
5925_LoF,RB1,LoF,0.08846153846153847,0.0028,0.039415384615384616
