,Symbol,Type,Freq,Emp.p_value,q_value
1000000143_Act,PID::PI3K-PLC-TRK-PATHWAY,Act,0.6285714285714286,0.0,0.0
1029_LoF,CDKN2A,LoF,0.22857142857142856,0.0003,0.0057
1000000066_Act,PID::FGF-PATHWAY,Act,0.6571428571428571,0.001,0.017666666666666667
1000000062_Act,PID::FAK-PATHWAY,Act,0.6285714285714286,0.001,0.017666666666666667
1000000148_Act,PID::PS1-PATHWAY,Act,0.5714285714285714,0.003,0.0265
1000000067_Act,PID::FOXM1-PATHWAY,Act,0.5428571428571428,0.003,0.0265
1000000188_Act,PID::TRKR-PATHWAY,Act,0.6285714285714286,0.003,0.0265
1000000122_Act,PID::MYC-REPRESS-PATHWAY,Act,0.6285714285714286,0.004,0.030285714285714287
84275_LoF,SLC25A33,LoF,0.08571428571428572,0.0224,0.03869090909090909
22883_LoF,CLSTN1,LoF,0.08571428571428572,0.0224,0.03869090909090909
10277_LoF,UBE4B,LoF,0.08571428571428572,0.0224,0.03869090909090909
765_LoF,CA6,LoF,0.08571428571428572,0.0224,0.03869090909090909
55672_LoF,NBPF1,LoF,0.08571428571428572,0.0224,0.03869090909090909
23095_LoF,KIF1B,LoF,0.08571428571428572,0.0224,0.03869090909090909
127731_LoF,VWA5B1,LoF,0.08571428571428572,0.0224,0.03869090909090909
1969_LoF,EPHA2,LoF,0.17142857142857143,0.0047,0.03869090909090909
6248_LoF,RSC1A1,LoF,0.08571428571428572,0.0224,0.03869090909090909
8289_LoF,ARID1A,LoF,0.14285714285714285,0.0075,0.03869090909090909
1000000069_Act,PID::FRA-PATHWAY,Act,0.4857142857142857,0.009,0.053
1000000420_Act,hall::NOTCH-SIGNALING,Act,0.4857142857142857,0.009,0.053
1000000011_Act,PID::AR-PATHWAY,Act,0.5714285714285714,0.015,0.07949999999999999
1000000154_Act,PID::RB-1PATHWAY,Act,0.5714285714285714,0.017,0.08190909090909092
1000000131_Act,PID::NOTCH-PATHWAY,Act,0.5428571428571428,0.022,0.0954
1000000083_Act,PID::HNF3B-PATHWAY,Act,0.4857142857142857,0.027,0.0954
1000000045_Act,PID::ECADHERIN-NASCENT-AJ-PATHWAY,Act,0.45714285714285713,0.027,0.0954
1000000037_Act,PID::CMYB-PATHWAY,Act,0.6,0.025,0.0954
1000000400_Act,hall::ESTROGEN-RESPONSE-EARLY,Act,0.7714285714285715,0.031,0.1026875
1185_LoF,CLCN6,LoF,0.05714285714285714,0.1111,0.1111
5351_LoF,PLOD1,LoF,0.05714285714285714,0.1111,0.1111
390999_LoF,PRAMEF12,LoF,0.05714285714285714,0.1111,0.1111
55187_LoF,VPS13D,LoF,0.05714285714285714,0.1111,0.1111
2045_LoF,EPHA7,LoF,0.05714285714285714,0.1111,0.1111
257101_LoF,ZNF683,LoF,0.05714285714285714,0.1111,0.1111
27086_LoF,FOXP1,LoF,0.05714285714285714,0.1111,0.1111
9686_LoF,VGLL4,LoF,0.05714285714285714,0.1111,0.1111
1000000009_Act,PID::AP1-PATHWAY,Act,0.5428571428571428,0.044,0.12955555555555556
1000000275_Act,OncoSig::IL21-UP.V1-UP,Act,0.7428571428571429,0.044,0.12955555555555556
1000000259_Act,OncoSig::ESC-V6.5-UP-EARLY.V1-UP,Act,0.7142857142857143,0.05,0.13947368421052633
1000000390_Act,hall::APICAL-JUNCTION,Act,0.7428571428571429,0.057,0.15105
1000000100_Act,PID::ILK-PATHWAY,Act,0.42857142857142855,0.083,0.19356521739130436
1000000374_Act,OncoSig::TBK1.DF-DN,Act,0.8,0.082,0.19356521739130436
1000000383_Act,OncoSig::WNT-UP.V1-UP,Act,0.7142857142857143,0.084,0.19356521739130436
1000000426_Act,hall::PROTEIN-SECRETION,Act,0.5714285714285714,0.095,0.20979166666666665
1000000234_Act,OncoSig::CSR-LATE-UP.V1-DN,Act,0.6571428571428571,0.107,0.21396296296296297
1000000347_Act,OncoSig::RAF-UP.V1-DN,Act,0.7142857142857143,0.109,0.21396296296296297
1000000216_Act,OncoSig::BMI1-DN.V1-UP,Act,0.6571428571428571,0.108,0.21396296296296297
1000000027_Act,PID::BETA-CATENIN-NUC-PATHWAY,Act,0.5142857142857142,0.114,0.2157857142857143
1000000279_Act,OncoSig::JAK2-DN.V1-UP,Act,0.6857142857142857,0.129,0.2357586206896552
1000000423_Act,hall::PANCREAS-BETA-CELLS,Act,0.37142857142857144,0.135,0.23850000000000002
1000000392_Act,hall::APOPTOSIS,Act,0.6571428571428571,0.148,0.2530322580645161
1000000181_Act,PID::TELOMERASE-PATHWAY,Act,0.45714285714285713,0.155,0.25671875
1000000331_Act,OncoSig::PGF-UP.V1-DN,Act,0.6857142857142857,0.175,0.265
1000000323_Act,OncoSig::P53-DN.V1-DN,Act,0.6857142857142857,0.173,0.265
1000000218_Act,OncoSig::BMI1-DN-MEL18-DN.V1-UP,Act,0.6285714285714286,0.173,0.265
1000000401_Act,hall::ESTROGEN-RESPONSE-LATE,Act,0.6857142857142857,0.198,0.28362162162162163
1000000407_Act,hall::HYPOXIA,Act,0.6857142857142857,0.198,0.28362162162162163
1000000357_Act,OncoSig::RELA-DN.V1-DN,Act,0.6,0.222,0.3096315789473684
1000000054_Act,PID::ERA-GENOMIC-PATHWAY,Act,0.42857142857142855,0.236,0.32071794871794873
1000000354_Act,OncoSig::RB-P107-DN.V1-UP,Act,0.5714285714285714,0.27,0.35775
1000000408_Act,hall::IL2-STAT5-SIGNALING,Act,0.6571428571428571,0.297,0.3747857142857142
1000000430_Act,hall::TNFA-SIGNALING-VIA-NFKB,Act,0.6571428571428571,0.297,0.3747857142857142
1000000225_Act,OncoSig::CAMP-UP.V1-DN,Act,0.6571428571428571,0.309,0.380860465116279
1000000403_Act,hall::G2M-CHECKPOINT,Act,0.6571428571428571,0.327,0.39388636363636365
1000000311_Act,OncoSig::MEL18-DN.V1-UP,Act,0.5714285714285714,0.346,0.3986521739130434
1000000359_Act,OncoSig::RPS14-DN.V1-DN,Act,0.6285714285714286,0.343,0.3986521739130434
1000000253_Act,OncoSig::ERBB2-UP.V1-UP,Act,0.6285714285714286,0.38,0.42851063829787234
1000000288_Act,OncoSig::KRAS.600-UP.V1-DN,Act,0.7142857142857143,0.407,0.43354
1000000286_Act,OncoSig::KRAS.600.LUNG.BREAST-UP.V1-DN,Act,0.7142857142857143,0.409,0.43354
1000000287_Act,OncoSig::KRAS.600.LUNG.BREAST-UP.V1-UP,Act,0.7142857142857143,0.399,0.43354
1000000314_Act,OncoSig::MTOR-UP.V1-DN,Act,0.6,0.486,0.5050588235294118
1000000265_Act,OncoSig::GCNP-SHH-UP-LATE.V1-UP,Act,0.5714285714285714,0.603,0.6145961538461538
1000000337_Act,OncoSig::PRC2-EED-DN.V1-DN,Act,0.5714285714285714,0.661,0.661
