,Symbol,Type,Freq,Emp.p_value,q_value
324_LoF,APC,LoF,0.8267326732673267,0.0001,0.0066
343702_Act,XKR7,Act,0.11386138613861387,0.013,0.056100000000000004
28954_Act,REM1,Act,0.11386138613861387,0.013,0.056100000000000004
164395_Act,TTLL9,Act,0.1188118811881188,0.0098,0.056100000000000004
245937_Act,DEFB124,Act,0.10891089108910891,0.0187,0.056100000000000004
3172_Act,HNF4A,Act,0.11386138613861387,0.013,0.056100000000000004
57158_Act,JPH2,Act,0.1188118811881188,0.0098,0.056100000000000004
11142_Act,PKIG,Act,0.11386138613861387,0.013,0.056100000000000004
10955_Act,SERINC3,Act,0.11386138613861387,0.013,0.056100000000000004
84969_Act,TOX2,Act,0.10891089108910891,0.0187,0.056100000000000004
8839_Act,WISP2,Act,0.10891089108910891,0.0187,0.056100000000000004
78997_Act,GDAP1L1,Act,0.11386138613861387,0.013,0.056100000000000004
5071_LoF,PARK2,LoF,0.09405940594059406,0.0171,0.056100000000000004
7991_LoF,TUSC3,LoF,0.09900990099009901,0.015,0.056100000000000004
79183_Act,TTPAL,Act,0.11386138613861387,0.013,0.056100000000000004
6263_LoF,RYR3,LoF,0.09405940594059406,0.0171,0.056100000000000004
9639_LoF,ARHGEF10,LoF,0.09405940594059406,0.0171,0.056100000000000004
9228_LoF,DLGAP2,LoF,0.12376237623762376,0.0079,0.056100000000000004
9172_LoF,MYOM2,LoF,0.09900990099009901,0.015,0.056100000000000004
64478_LoF,CSMD1,LoF,0.1782178217821782,0.0059,0.056100000000000004
6662_LoF,SOX9,LoF,0.15346534653465346,0.006,0.056100000000000004
4089_LoF,SMAD4,LoF,0.17326732673267325,0.0059,0.056100000000000004
245934_Act,DEFB121,Act,0.10396039603960396,0.0227,0.05762307692307693
2307_Act,FOXS1,Act,0.10396039603960396,0.0227,0.05762307692307693
117285_Act,DEFB118,Act,0.10396039603960396,0.0227,0.05762307692307693
157697_LoF,ERICH1,LoF,0.08415841584158416,0.0227,0.05762307692307693
140679_Act,SLC32A1,Act,0.09900990099009901,0.0298,0.05784705882352941
245930_Act,DEFB116,Act,0.09900990099009901,0.0298,0.05784705882352941
92126_LoF,DSEL,LoF,0.06930693069306931,0.0284,0.05784705882352941
85366_Act,MYLK2,Act,0.09900990099009901,0.0298,0.05784705882352941
1770_LoF,DNAH9,LoF,0.07920792079207921,0.0242,0.05784705882352941
8289_LoF,ARID1A,LoF,0.06930693069306931,0.0284,0.05784705882352941
28513_LoF,CDH19,LoF,0.06930693069306931,0.0284,0.05784705882352941
4088_LoF,SMAD3,LoF,0.06930693069306931,0.0284,0.05784705882352941
1005_LoF,CDH7,LoF,0.054455445544554455,0.0401,0.060149999999999995
4163_LoF,MCC,LoF,0.0594059405940594,0.0369,0.060149999999999995
5335_Act,PLCG1,Act,0.08415841584158416,0.0386,0.060149999999999995
7150_Act,TOP1,Act,0.08415841584158416,0.0386,0.060149999999999995
6416_LoF,MAP2K4,LoF,0.06435643564356436,0.0331,0.060149999999999995
55714_LoF,ODZ3,LoF,0.054455445544554455,0.0401,0.060149999999999995
5728_LoF,PTEN,LoF,0.06435643564356436,0.0331,0.060149999999999995
84181_Act,CHD6,Act,0.0891089108910891,0.0348,0.060149999999999995
54904_Act,NSD3,Act,0.0891089108910891,0.0348,0.060149999999999995
7050_LoF,TGIF1,LoF,0.0594059405940594,0.0369,0.060149999999999995
4609_Act,MYC,Act,0.07920792079207921,0.0426,0.06248
26051_Act,PPP1R16B,Act,0.06930693069306931,0.0524,0.06404444444444445
22981_Act,NINL,Act,0.07425742574257425,0.0467,0.06404444444444445
1007_Act,CDH9,Act,0.06930693069306931,0.0524,0.06404444444444445
688_Act,KLF5,Act,0.07425742574257425,0.0467,0.06404444444444445
286_Act,ANK1,Act,0.06930693069306931,0.0524,0.06404444444444445
219333_Act,USP12,Act,0.07425742574257425,0.0467,0.06404444444444445
81610_Act,FAM83D,Act,0.06930693069306931,0.0524,0.06404444444444445
57148_Act,RALGAPB,Act,0.06930693069306931,0.0524,0.06404444444444445
149685_Act,ADIG,Act,0.06930693069306931,0.0524,0.06404444444444445
10947_Act,AP3M2,Act,0.06435643564356436,0.0609,0.0693
775_Act,CACNA1C,Act,0.06435643564356436,0.0609,0.0693
137994_Act,LETM2,Act,0.06435643564356436,0.0609,0.0693
26090_Act,ABHD12,Act,0.06435643564356436,0.0609,0.0693
5327_Act,PLAT,Act,0.0594059405940594,0.0673,0.07403
5462_Act,POU5F1B,Act,0.0594059405940594,0.0673,0.07403
9837_Act,GINS1,Act,0.054455445544554455,0.0758,0.0758
6575_Act,SLC20A2,Act,0.054455445544554455,0.0758,0.0758
27121_Act,DKK4,Act,0.054455445544554455,0.0758,0.0758
3551_Act,IKBKB,Act,0.054455445544554455,0.0758,0.0758
7994_Act,KAT6A,Act,0.054455445544554455,0.0758,0.0758
5423_Act,POLB,Act,0.054455445544554455,0.0758,0.0758
1000000137_Act,PID::P53-DOWNSTREAM-PATHWAY,Act,0.9851485148514851,0.005,0.7583333333333333
1000000148_Act,PID::PS1-PATHWAY,Act,0.9108910891089109,0.011,0.7583333333333333
1000000027_Act,PID::BETA-CATENIN-NUC-PATHWAY,Act,0.9603960396039604,0.011,0.7583333333333333
1000000118_Act,PID::MET-PATHWAY,Act,0.9603960396039604,0.014,0.7583333333333333
1000000033_LoF,PID::CDC42-PATHWAY,LoF,0.9603960396039604,0.012,0.7583333333333333
1000000026_LoF,PID::BETA-CATENIN-DEG-PATHWAY,LoF,0.8910891089108911,0.003,0.7583333333333333
1000000034_Act,PID::CDC42-REG-PATHWAY,Act,0.8663366336633663,0.017,0.7892857142857144
1000000429_Act,hall::TGF-BETA-SIGNALING,Act,0.9158415841584159,0.02,0.8125
1000000129_Act,PID::NFKAPPAB-ATYPICAL-PATHWAY,Act,0.44554455445544555,0.046,0.8568181818181818
1000000058_Act,PID::ERBB1-RECEPTOR-PROXIMAL-PATHWAY,Act,0.8217821782178217,0.032,0.8568181818181818
1000000168_Act,PID::SHP2-PATHWAY,Act,0.8267326732673267,0.083,0.8568181818181818
1000000143_Act,PID::PI3K-PLC-TRK-PATHWAY,Act,0.7920792079207921,0.042,0.8568181818181818
1000000145_Act,PID::PI3KCI-PATHWAY,Act,0.8267326732673267,0.051,0.8568181818181818
1000000187_LoF,PID::TRAIL-PATHWAY,LoF,0.5297029702970297,0.067,0.8568181818181818
1000000193_Act,PID::VEGFR1-PATHWAY,Act,0.5445544554455446,0.078,0.8568181818181818
1000000039_Act,PID::CXCR3-PATHWAY,Act,0.7722772277227723,0.082,0.8568181818181818
1000000044_Act,PID::ECADHERIN-KERATINOCYTE-PATHWAY,Act,0.49504950495049505,0.059,0.8568181818181818
1000000050_Act,PID::EPHB-FWD-PATHWAY,Act,0.7920792079207921,0.065,0.8568181818181818
1000000051_LoF,PID::EPHRINB-REV-PATHWAY,LoF,0.5495049504950495,0.083,0.8568181818181818
1000000434_Act,hall::WNT-BETA-CATENIN-SIGNALING,Act,0.7673267326732673,0.072,0.8568181818181818
1000000140_LoF,PID::P75-NTR-PATHWAY,LoF,0.8861386138613861,0.048,0.8568181818181818
1000000126_Act,PID::NETRIN-PATHWAY,Act,0.5841584158415841,0.087,0.8568181818181818
1000000141_Act,PID::PDGFRA-PATHWAY,Act,0.4801980198019802,0.071,0.8568181818181818
1000000123_Act,PID::NCADHERIN-PATHWAY,Act,0.5891089108910891,0.087,0.8568181818181818
1000000093_Act,PID::IL2-STAT5-PATHWAY,Act,0.5594059405940595,0.084,0.8568181818181818
1000000094_Act,PID::IL3-PATHWAY,Act,0.5099009900990099,0.085,0.8568181818181818
1000000091_LoF,PID::IL2-1PATHWAY,LoF,0.806930693069307,0.073,0.8568181818181818
1000000020_Act,PID::AURORA-A-PATHWAY,Act,0.7376237623762376,0.066,0.8568181818181818
1000000092_Act,PID::IL2-PI3K-PATHWAY,Act,0.594059405940594,0.084,0.8568181818181818
1000000071_Act,PID::GMCSF-PATHWAY,Act,0.7722772277227723,0.052,0.8568181818181818
1000000117_LoF,PID::MAPK-TRK-PATHWAY,LoF,0.6831683168316832,0.069,0.8568181818181818
1000000115_LoF,PID::LYMPH-ANGIOGENESIS-PATHWAY,LoF,0.48514851485148514,0.068,0.8568181818181818
1000000113_Act,PID::LKB1-PATHWAY,Act,0.8168316831683168,0.056,0.8568181818181818
1000000188_Act,PID::TRKR-PATHWAY,Act,0.8217821782178217,0.09,0.8602941176470589
1000000415_Act,hall::MITOTIC-SPINDLE,Act,0.9752475247524752,0.127,0.8763392857142858
1000000066_Act,PID::FGF-PATHWAY,Act,0.6782178217821783,0.146,0.8763392857142858
1000000170_LoF,PID::SMAD2-3PATHWAY,LoF,0.31683168316831684,0.104,0.8763392857142858
1000000088_Act,PID::IL1-PATHWAY,Act,0.5148514851485149,0.139,0.8763392857142858
1000000176_Act,PID::TCPTP-PATHWAY,Act,0.6237623762376238,0.117,0.8763392857142858
1000000179_Act,PID::TCR-PATHWAY,Act,0.7920792079207921,0.141,0.8763392857142858
1000000125_Act,PID::NEPHRIN-NEPH1-PATHWAY,Act,0.5297029702970297,0.115,0.8763392857142858
1000000032_Act,PID::CD8-TCR-PATHWAY,Act,0.7574257425742574,0.1,0.8763392857142858
1000000009_LoF,PID::AP1-PATHWAY,LoF,0.8415841584158416,0.115,0.8763392857142858
1000000064_Act,PID::FAS-PATHWAY,Act,0.5742574257425742,0.123,0.8763392857142858
1000000007_Act,PID::ANGIOPOIETIN-RECEPTOR-PATHWAY,Act,0.6386138613861386,0.151,0.8763392857142858
1000000062_Act,PID::FAK-PATHWAY,Act,0.7227722772277227,0.136,0.8763392857142858
1000000056_Act,PID::ERBB1-DOWNSTREAM-PATHWAY,Act,0.8861386138613861,0.135,0.8763392857142858
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.693069306930693,0.104,0.8763392857142858
1000000060_Act,PID::ERBB4-PATHWAY,Act,0.6237623762376238,0.104,0.8763392857142858
1000000157_Act,PID::RET-PATHWAY,Act,0.6089108910891089,0.112,0.8763392857142858
1000000022_Act,PID::AVB3-INTEGRIN-PATHWAY,Act,0.8168316831683168,0.146,0.8763392857142858
1000000120_Act,PID::MYC-ACTIV-PATHWAY,Act,0.8514851485148515,0.126,0.8763392857142858
1000000097_Act,PID::IL6-7-PATHWAY,Act,0.6336633663366337,0.133,0.8763392857142858
1000000119_Act,PID::MTOR-4PATHWAY,Act,0.806930693069307,0.128,0.8763392857142858
1000000041_Act,PID::DELTA-NP63-PATHWAY,Act,0.6237623762376238,0.141,0.8763392857142858
1000000102_Act,PID::INSULIN-PATHWAY,Act,0.5841584158415841,0.15,0.8763392857142858
1000000156_LoF,PID::REG-GR-PATHWAY,LoF,0.8168316831683168,0.154,0.8780701754385964
1000000103_Act,PID::INTEGRIN1-PATHWAY,Act,0.7326732673267327,0.159,0.890948275862069
1000000025_LoF,PID::BCR-5PATHWAY,LoF,0.6633663366336634,0.167,0.8950819672131148
1000000142_Act,PID::PDGFRB-PATHWAY,Act,0.9158415841584159,0.163,0.8950819672131148
1000000111_LoF,PID::KIT-PATHWAY,LoF,0.6089108910891089,0.168,0.8950819672131148
1000000065_Act,PID::FCER1-PATHWAY,Act,0.6732673267326733,0.172,0.9016129032258063
1000000037_Act,PID::CMYB-PATHWAY,Act,0.8267326732673267,0.176,0.9079365079365079
