,Symbol,Type,Freq,Emp.p_value,q_value
53353_LoF,LRP1B,LoF,0.2702702702702703,0.0038,0.14093333333333335
639_LoF,PRDM1,LoF,0.21621621621621623,0.0072,0.14093333333333335
10973_LoF,ASCC3,LoF,0.1891891891891892,0.0151,0.14093333333333335
23195_LoF,MDN1,LoF,0.21621621621621623,0.0072,0.14093333333333335
64780_LoF,MICAL1,LoF,0.1891891891891892,0.0151,0.14093333333333335
253714_LoF,MMS22L,LoF,0.1891891891891892,0.0151,0.14093333333333335
3707_LoF,ITPKB,LoF,0.21621621621621623,0.0072,0.14093333333333335
28962_LoF,OSTM1,LoF,0.1891891891891892,0.0151,0.14093333333333335
892_LoF,CCNC,LoF,0.1891891891891892,0.0151,0.14093333333333335
2195_LoF,FAT1,LoF,0.1891891891891892,0.0151,0.14093333333333335
256380_LoF,SCML4,LoF,0.1891891891891892,0.0151,0.14093333333333335
7128_LoF,TNFAIP3,LoF,0.2972972972972973,0.0028,0.14093333333333335
55278_LoF,QRSL1,LoF,0.1891891891891892,0.0151,0.14093333333333335
965_LoF,CD58,LoF,0.1891891891891892,0.0151,0.14093333333333335
5966_Act,REL,Act,0.1891891891891892,0.0045,0.14093333333333335
567_LoF,B2M,LoF,0.35135135135135137,0.0024,0.14093333333333335
202_LoF,AIM1,LoF,0.21621621621621623,0.0072,0.14093333333333335
2045_LoF,EPHA7,LoF,0.1891891891891892,0.0151,0.14093333333333335
10188_Act,TNK2,Act,0.13513513513513514,0.0185,0.1554
4585_Act,MUC4,Act,0.13513513513513514,0.0185,0.1554
7375_LoF,USP4,LoF,0.16216216216216217,0.0477,0.22260000000000002
60468_LoF,BACH2,LoF,0.16216216216216217,0.0477,0.22260000000000002
387_LoF,RHOA,LoF,0.16216216216216217,0.0477,0.22260000000000002
4199_LoF,ME1,LoF,0.16216216216216217,0.0477,0.22260000000000002
5738_LoF,PTGFRN,LoF,0.16216216216216217,0.0477,0.22260000000000002
7272_LoF,TTK,LoF,0.16216216216216217,0.0477,0.22260000000000002
5238_LoF,PGM3,LoF,0.16216216216216217,0.0477,0.22260000000000002
3321_LoF,IGSF3,LoF,0.16216216216216217,0.0477,0.22260000000000002
51167_LoF,CYB5R4,LoF,0.16216216216216217,0.0477,0.22260000000000002
4050_LoF,LTB,LoF,0.16216216216216217,0.0477,0.22260000000000002
1951_LoF,CELSR3,LoF,0.16216216216216217,0.0477,0.22260000000000002
3351_LoF,HTR1B,LoF,0.16216216216216217,0.0477,0.22260000000000002
3617_LoF,IMPG1,LoF,0.16216216216216217,0.0477,0.22260000000000002
4907_LoF,NT5E,LoF,0.16216216216216217,0.0477,0.22260000000000002
83699_LoF,SH3BGRL2,LoF,0.16216216216216217,0.0477,0.22260000000000002
26246_LoF,OR2L2,LoF,0.16216216216216217,0.0477,0.22260000000000002
126206_Act,NLRP5,Act,0.10810810810810811,0.0626,0.26966153846153845
338321_Act,NLRP9,Act,0.10810810810810811,0.0626,0.26966153846153845
4609_Act,MYC,Act,0.10810810810810811,0.0626,0.26966153846153845
391191_LoF,OR2AK2,LoF,0.13513513513513514,0.0865,0.26989565217391304
81559_LoF,TRIM11,LoF,0.08108108108108109,0.2217,0.26989565217391304
