,Symbol,Type,Freq,Emp.p_value,q_value
8289_LoF,ARID1A,LoF,0.07865168539325842,0.0437,0.15012307692307691
4507_LoF,MTAP,LoF,0.3146067415730337,0.0089,0.15012307692307691
51741_LoF,WWOX,LoF,0.3258426966292135,0.0074,0.15012307692307691
2762_LoF,GMDS,LoF,0.1348314606741573,0.0158,0.15012307692307691
56288_LoF,PARD3,LoF,0.11235955056179775,0.0208,0.15012307692307691
112937_LoF,GLB1L3,LoF,0.06741573033707865,0.0694,0.15012307692307691
50863_LoF,NTM,LoF,0.06741573033707865,0.0694,0.15012307692307691
5799_LoF,PTPRN2,LoF,0.08426966292134831,0.0368,0.15012307692307691
7980_Act,TFPI2,Act,0.1797752808988764,0.0697,0.15012307692307691
22941_Act,SHANK2,Act,0.37640449438202245,0.006,0.15012307692307691
5925_LoF,RB1,LoF,0.06741573033707865,0.0694,0.15012307692307691
4685_LoF,NCAM2,LoF,0.07303370786516854,0.0544,0.15012307692307691
5728_LoF,PTEN,LoF,0.06741573033707865,0.0694,0.15012307692307691
23556_LoF,PIGN,LoF,0.07865168539325842,0.0437,0.15012307692307691
27164_LoF,SALL3,LoF,0.06741573033707865,0.0694,0.15012307692307691
4160_LoF,MC4R,LoF,0.07865168539325842,0.0437,0.15012307692307691
90701_LoF,SEC11C,LoF,0.07303370786516854,0.0544,0.15012307692307691
55083_LoF,KIF26B,LoF,0.07865168539325842,0.0437,0.15012307692307691
26996_Act,GPR160,Act,0.2696629213483146,0.0434,0.15012307692307691
6514_Act,SLC2A2,Act,0.2696629213483146,0.0434,0.15012307692307691
6498_Act,SKIL,Act,0.2696629213483146,0.0434,0.15012307692307691
3508_Act,IGHMBP2,Act,0.24157303370786518,0.058,0.15012307692307691
8500_Act,PPFIA1,Act,0.38202247191011235,0.0038,0.15012307692307691
116535_Act,MRGPRF,Act,0.2640449438202247,0.0511,0.15012307692307691
55107_Act,ANO1,Act,0.37640449438202245,0.006,0.15012307692307691
2248_Act,FGF3,Act,0.3595505617977528,0.0155,0.15012307692307691
2249_Act,FGF4,Act,0.3595505617977528,0.0155,0.15012307692307691
26579_Act,MYEOV,Act,0.3258426966292135,0.0207,0.15012307692307691
5462_Act,POU5F1B,Act,0.28651685393258425,0.0255,0.15012307692307691
56169_Act,GSDMC,Act,0.21910112359550563,0.0635,0.15012307692307691
23043_Act,TNIK,Act,0.2808988764044944,0.0291,0.15012307692307691
80012_Act,PHC3,Act,0.2696629213483146,0.0434,0.15012307692307691
151827_Act,LRRC34,Act,0.2752808988764045,0.0355,0.15012307692307691
79782_Act,LRRC31,Act,0.2808988764044944,0.0291,0.15012307692307691
7095_Act,SEC62,Act,0.2752808988764045,0.0355,0.15012307692307691
56648_Act,EIF5A2,Act,0.2696629213483146,0.0434,0.15012307692307691
2122_Act,MECOM,Act,0.2808988764044944,0.0291,0.15012307692307691
344658_Act,SAMD7,Act,0.2752808988764045,0.0355,0.15012307692307691
374868_LoF,ATP9B,LoF,0.06741573033707865,0.0694,0.15012307692307691
8792_LoF,TNFRSF11A,LoF,0.06741573033707865,0.0694,0.15012307692307691
55799_LoF,CACNA2D3,LoF,0.0898876404494382,0.0314,0.15012307692307691
54877_LoF,ZCCHC2,LoF,0.06741573033707865,0.0694,0.15012307692307691
55628_LoF,ZNF407,LoF,0.06741573033707865,0.0694,0.15012307692307691
28513_LoF,CDH19,LoF,0.07865168539325842,0.0437,0.15012307692307691
2922_LoF,GRP,LoF,0.06741573033707865,0.0694,0.15012307692307691
57614_LoF,KIAA1468,LoF,0.06741573033707865,0.0694,0.15012307692307691
201456_LoF,FBXO15,LoF,0.0898876404494382,0.0314,0.15012307692307691
79755_LoF,ZNF750,LoF,0.0898876404494382,0.0314,0.15012307692307691
