,Symbol,Type,Freq,Emp.p_value,q_value
1000000058_Act,PID::ERBB1-RECEPTOR-PROXIMAL-PATHWAY,Act,0.7531645569620253,0.0,0.0
1000000138_LoF,PID::P53-REGULATION-PATHWAY,LoF,0.8544303797468354,0.0,0.0
1000000009_LoF,PID::AP1-PATHWAY,LoF,0.9050632911392406,0.0,0.0
1029_LoF,CDKN2A,LoF,0.5949367088607594,0.0001,0.0008500000000000001
1956_Act,EGFR,Act,0.5569620253164557,0.0001,0.0008500000000000001
1030_LoF,CDKN2B,LoF,0.5569620253164557,0.0017,0.009633333333333332
5728_LoF,PTEN,LoF,0.43037974683544306,0.0033,0.0136
7157_LoF,TP53,LoF,0.31645569620253167,0.004,0.0136
338376_LoF,IFNE,LoF,0.2911392405063291,0.0056,0.015866666666666664
222008_Act,VSTM2A,Act,0.24050632911392406,0.0068,0.016514285714285714
3452_LoF,IFNA21,LoF,0.22151898734177214,0.0078,0.016575
5925_LoF,RB1,LoF,0.0949367088607595,0.0103,0.01751
5156_Act,PDGFRA,Act,0.17721518987341772,0.01,0.01751
5287_Act,PIK3C2B,Act,0.0949367088607595,0.0145,0.01760714285714286
6263_LoF,RYR3,LoF,0.06962025316455696,0.0144,0.01760714285714286
1031_LoF,CDKN2C,LoF,0.06962025316455696,0.0144,0.01760714285714286
4194_Act,MDM4,Act,0.0949367088607595,0.0145,0.01760714285714286
55567_LoF,DNAH3,LoF,0.06329113924050633,0.0169,0.01915333333333333
9444_LoF,QKI,LoF,0.05063291139240506,0.023,0.0244375
2261_Act,FGFR3,Act,0.05063291139240506,0.0264,0.0264
1000000044_Act,PID::ECADHERIN-KERATINOCYTE-PATHWAY,Act,0.689873417721519,0.001,0.04083333333333334
1000000079_LoF,PID::HIF1A-PATHWAY,LoF,0.8037974683544303,0.001,0.04083333333333334
1000000061_Act,PID::ERBB-NETWORK-PATHWAY,Act,0.5759493670886076,0.001,0.04083333333333334
1000000057_Act,PID::ERBB1-INTERNALIZATION-PATHWAY,Act,0.740506329113924,0.002,0.07
1000000176_Act,PID::TCPTP-PATHWAY,Act,0.759493670886076,0.003,0.091875
1000000137_Act,PID::P53-DOWNSTREAM-PATHWAY,Act,0.8987341772151899,0.006,0.13363636363636364
1000000425_Act,hall::PI3K-AKT-MTOR-SIGNALING,Act,0.8544303797468354,0.005,0.13363636363636364
1000000149_Act,PID::PTP1B-PATHWAY,Act,0.7468354430379747,0.006,0.13363636363636364
1000000168_Act,PID::SHP2-PATHWAY,Act,0.7848101265822784,0.007,0.14
1000000111_Act,PID::KIT-PATHWAY,Act,0.7151898734177216,0.008,0.14
1000000173_Act,PID::SYNDECAN-3-PATHWAY,Act,0.569620253164557,0.008,0.14
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.7468354430379747,0.009,0.147
1000000014_Act,PID::ARF6-PATHWAY,Act,0.6455696202531646,0.01,0.15312499999999998
1000000046_Act,PID::ECADHERIN-STABILIZATION-PATHWAY,Act,0.6392405063291139,0.012,0.17294117647058824
1000000190_Act,PID::UPA-UPAR-PATHWAY,Act,0.6772151898734177,0.013,0.17694444444444443
1000000067_LoF,PID::FOXM1-PATHWAY,LoF,0.7278481012658228,0.015,0.19342105263157894
1000000189_Act,PID::TXA2PATHWAY,Act,0.6645569620253164,0.03,0.3675
1000000116_Act,PID::LYSOPHOSPHOLI,Act,0.7151898734177216,0.033,0.385
1000000002_Act,PID::AJDISS-2PATHWAY,Act,0.6329113924050633,0.035,0.3897727272727273
1000000390_Act,hall::APICAL-JUNCTION,Act,0.9050632911392406,0.041,0.43673913043478263
1000000056_Act,PID::ERBB1-DOWNSTREAM-PATHWAY,Act,0.7658227848101266,0.048,0.4704
1000000154_LoF,PID::RB-1PATHWAY,LoF,0.7468354430379747,0.047,0.4704
1000000121_LoF,PID::MYC-PATHWAY,LoF,0.6139240506329114,0.051,0.48057692307692307
1000000069_LoF,PID::FRA-PATHWAY,LoF,0.6518987341772152,0.053,0.4809259259259259
1000000175_LoF,PID::TAP63-PATHWAY,LoF,0.6962025316455697,0.06,0.5063333333333333
1000000027_LoF,PID::BETA-CATENIN-NUC-PATHWAY,LoF,0.7468354430379747,0.062,0.5063333333333333
1000000181_Act,PID::TELOMERASE-PATHWAY,Act,0.6708860759493671,0.059,0.5063333333333333
1000000141_Act,PID::PDGFRA-PATHWAY,Act,0.4050632911392405,0.071,0.5611290322580645
1000000043_LoF,PID::E2F-PATHWAY,LoF,0.7468354430379747,0.074,0.5665625
1000000041_LoF,PID::DELTA-NP63-PATHWAY,LoF,0.6772151898734177,0.084,0.6236363636363637
