,Symbol,Type,Freq,Emp.p_value,q_value
1029_LoF,CDKN2A,LoF,0.5239085239085239,0.0006,0.048
64478_LoF,CSMD1,LoF,0.2785862785862786,0.0028,0.048
2195_LoF,FAT1,LoF,0.28482328482328484,0.0028,0.048
55107_Act,ANO1,Act,0.2661122661122661,0.0019,0.048
53353_LoF,LRP1B,LoF,0.26403326403326405,0.0028,0.048
2017_Act,CTTN,Act,0.26195426195426197,0.0025,0.048
8500_Act,PPFIA1,Act,0.26195426195426197,0.0025,0.048
8772_Act,FADD,Act,0.2598752598752599,0.0038,0.050666666666666665
22941_Act,SHANK2,Act,0.2598752598752599,0.0038,0.050666666666666665
4507_LoF,MTAP,LoF,0.21413721413721415,0.0062,0.06899999999999999
2248_Act,FGF3,Act,0.2515592515592516,0.0069,0.06899999999999999
9965_Act,FGF19,Act,0.2515592515592516,0.0069,0.06899999999999999
4851_LoF,NOTCH1,LoF,0.1891891891891892,0.0076,0.07015384615384615
595_Act,CCND1,Act,0.24740124740124741,0.0087,0.07457142857142857
4772_LoF,NFATC1,LoF,0.07692307692307693,0.0207,0.07658823529411765
339829_Act,CCDC39,Act,0.20997920997921,0.0186,0.07658823529411765
51193_Act,ZNF639,Act,0.20997920997921,0.0186,0.07658823529411765
51555_Act,PEX5L,Act,0.2203742203742204,0.0131,0.07658823529411765
86_Act,ACTL6A,Act,0.21205821205821207,0.0171,0.07658823529411765
27074_Act,LAMP3,Act,0.21205821205821207,0.0171,0.07658823529411765
27164_LoF,SALL3,LoF,0.079002079002079,0.0197,0.07658823529411765
55669_Act,MFN1,Act,0.2182952182952183,0.0134,0.07658823529411765
151613_Act,TTC14,Act,0.2079002079002079,0.0212,0.07658823529411765
84552_LoF,PARD6G,LoF,0.07484407484407485,0.0217,0.07658823529411765
23200_Act,ATP11B,Act,0.21413721413721415,0.0152,0.07658823529411765
8087_Act,FXR1,Act,0.21621621621621623,0.0139,0.07658823529411765
54165_Act,DCUN1D1,Act,0.20997920997921,0.0186,0.07658823529411765
7776_LoF,ZNF236,LoF,0.08316008316008316,0.0177,0.07658823529411765
8975_Act,USP13,Act,0.21205821205821207,0.0171,0.07658823529411765
6657_Act,SOX2,Act,0.21413721413721415,0.0152,0.07658823529411765
26579_Act,MYEOV,Act,0.22661122661122662,0.0112,0.07658823529411765
64324_LoF,NSD1,LoF,0.12266112266112267,0.013,0.07658823529411765
58508_LoF,KMT2C,LoF,0.0893970893970894,0.0155,0.07658823529411765
9658_LoF,ZNF516,LoF,0.07484407484407485,0.0217,0.07658823529411765
59345_Act,GNB4,Act,0.20582120582120583,0.0233,0.07988571428571428
54904_Act,NSD3,Act,0.079002079002079,0.0463,0.08177142857142856
1956_Act,EGFR,Act,0.13721413721413722,0.0286,0.08177142857142856
5462_Act,POU5F1B,Act,0.13097713097713098,0.0286,0.08177142857142856
137994_Act,LETM2,Act,0.08108108108108109,0.0428,0.08177142857142856
6550_Act,SLC9A3,Act,0.08731808731808732,0.0376,0.08177142857142856
8736_Act,MYOM1,Act,0.08731808731808732,0.0376,0.08177142857142856
23013_LoF,SPEN,LoF,0.058212058212058215,0.043,0.08177142857142856
5728_LoF,PTEN,LoF,0.056133056133056136,0.0451,0.08177142857142856
1293_LoF,COL6A3,LoF,0.056133056133056136,0.0451,0.08177142857142856
8452_LoF,CUL3,LoF,0.05405405405405406,0.0477,0.08177142857142856
26154_LoF,ABCA12,LoF,0.05405405405405406,0.0477,0.08177142857142856
56288_LoF,PARD3,LoF,0.058212058212058215,0.043,0.08177142857142856
5144_LoF,PDE4D,LoF,0.06444906444906445,0.0352,0.08177142857142856
200162_LoF,SPAG17,LoF,0.058212058212058215,0.043,0.08177142857142856
4853_LoF,NOTCH2,LoF,0.06652806652806653,0.033,0.08177142857142856
79863_LoF,RBFA,LoF,0.06860706860706861,0.0293,0.08177142857142856
374868_LoF,ATP9B,LoF,0.06860706860706861,0.0293,0.08177142857142856
7094_Act,TLN1,Act,0.08316008316008316,0.0399,0.08177142857142856
22850_LoF,ADNP2,LoF,0.06860706860706861,0.0293,0.08177142857142856
440498_LoF,HSBP1L1,LoF,0.06652806652806653,0.033,0.08177142857142856
2587_LoF,GALR1,LoF,0.06860706860706861,0.0293,0.08177142857142856
80148_LoF,PQLC1,LoF,0.07068607068607069,0.0267,0.08177142857142856
26251_LoF,KCNG2,LoF,0.06652806652806653,0.033,0.08177142857142856
132625_LoF,ZFP42,LoF,0.056133056133056136,0.0451,0.08177142857142856
10723_Act,SLC12A7,Act,0.08316008316008316,0.0399,0.08177142857142856
65980_Act,BRD9,Act,0.08316008316008316,0.0399,0.08177142857142856
153478_Act,PLEKHG4B,Act,0.08316008316008316,0.0399,0.08177142857142856
348932_Act,SLC6A18,Act,0.079002079002079,0.0463,0.08177142857142856
6531_Act,SLC6A3,Act,0.08316008316008316,0.0399,0.08177142857142856
9229_Act,DLGAP1,Act,0.079002079002079,0.0463,0.08177142857142856
4155_LoF,MBP,LoF,0.06444906444906445,0.0352,0.08177142857142856
1012_LoF,CDH13,LoF,0.05405405405405406,0.0477,0.08177142857142856
1826_LoF,DSCAM,LoF,0.060291060291060294,0.0412,0.08177142857142856
3265_LoF,HRAS,LoF,0.06652806652806653,0.033,0.08177142857142856
4780_Act,NFE2L2,Act,0.10602910602910603,0.0338,0.08177142857142856
205860_LoF,TRIML2,LoF,0.05197505197505198,0.0497,0.08256
116349_Act,C5orf55,Act,0.07692307692307693,0.0516,0.08256
11336_Act,EXOC3,Act,0.07692307692307693,0.0516,0.08256
340024_Act,SLC6A19,Act,0.07692307692307693,0.0516,0.08256
81037_Act,CLPTM1L,Act,0.07692307692307693,0.0516,0.08256
5189_Act,PEX1,Act,0.07484407484407485,0.0578,0.08458536585365853
6389_Act,SDHA,Act,0.07484407484407485,0.0578,0.08458536585365853
7015_Act,TERT,Act,0.07484407484407485,0.0578,0.08458536585365853
55610_Act,CCDC132,Act,0.07484407484407485,0.0578,0.08458536585365853
11076_Act,TPPP,Act,0.07484407484407485,0.0578,0.08458536585365853
55722_Act,CEP72,Act,0.07484407484407485,0.0578,0.08458536585365853
57491_Act,AHRR,Act,0.07484407484407485,0.0578,0.08458536585365853
2260_Act,FGFR1,Act,0.07276507276507277,0.0634,0.09057142857142858
219285_Act,SAMD9L,Act,0.07276507276507277,0.0634,0.09057142857142858
6591_Act,SNAI2,Act,0.06652806652806653,0.0702,0.09682758620689655
79645_Act,EFCAB1,Act,0.06652806652806653,0.0702,0.09682758620689655
9663_Act,LPIN2,Act,0.06652806652806653,0.0702,0.09682758620689655
799_Act,CALCR,Act,0.06444906444906445,0.0736,0.10036363636363636
203260_Act,CCDC107,Act,0.062370062370062374,0.0778,0.10038709677419354
7050_Act,TGIF1,Act,0.062370062370062374,0.0778,0.10038709677419354
54809_Act,SAMD9,Act,0.062370062370062374,0.0778,0.10038709677419354
9853_Act,RUSC2,Act,0.062370062370062374,0.0778,0.10038709677419354
57704_Act,GBA2,Act,0.062370062370062374,0.0778,0.10038709677419354
253012_Act,HEPACAM2,Act,0.060291060291060294,0.0818,0.10225
9827_Act,RGP1,Act,0.060291060291060294,0.0818,0.10225
4882_Act,NPR2,Act,0.060291060291060294,0.0818,0.10225
10488_Act,CREB3,Act,0.058212058212058215,0.088,0.10252427184466019
346007_Act,EYS,Act,0.058212058212058215,0.088,0.10252427184466019
51754_Act,TMEM8B,Act,0.058212058212058215,0.088,0.10252427184466019
103910_Act,MYL12B,Act,0.058212058212058215,0.088,0.10252427184466019
7169_Act,TPM2,Act,0.058212058212058215,0.088,0.10252427184466019
26206_Act,SPAG8,Act,0.058212058212058215,0.088,0.10252427184466019
144453_Act,BEST3,Act,0.058212058212058215,0.088,0.10252427184466019
7016_Act,TESK1,Act,0.056133056133056136,0.0949,0.1025945945945946
2791_Act,GNG11,Act,0.056133056133056136,0.0949,0.1025945945945946
10282_Act,BET1,Act,0.056133056133056136,0.0949,0.1025945945945946
768_Act,CA9,Act,0.056133056133056136,0.0949,0.1025945945945946
3717_Act,JAK2,Act,0.056133056133056136,0.0949,0.1025945945945946
27240_Act,SIT1,Act,0.056133056133056136,0.0949,0.1025945945945946
84060_Act,RBM48,Act,0.056133056133056136,0.0949,0.1025945945945946
23469_Act,PHF3,Act,0.056133056133056136,0.0949,0.1025945945945946
257415_Act,FAM133B,Act,0.05405405405405406,0.0997,0.10403478260869564
7980_Act,TFPI2,Act,0.05405405405405406,0.0997,0.10403478260869564
730112_Act,FAM166B,Act,0.05405405405405406,0.0997,0.10403478260869564
117177_Act,RAB3IP,Act,0.05405405405405406,0.0997,0.10403478260869564
65125_Act,WNK1,Act,0.05197505197505198,0.1043,0.1043
29126_Act,CD274,Act,0.05197505197505198,0.1043,0.1043
376132_Act,LRRC10,Act,0.05197505197505198,0.1043,0.1043
220988_Act,HNRNPA3,Act,0.05197505197505198,0.1043,0.1043
11052_Act,CPSF6,Act,0.05197505197505198,0.1043,0.1043
1000000138_LoF,PID::P53-REGULATION-PATHWAY,LoF,0.8835758835758836,0.003,0.429
1000000079_LoF,PID::HIF1A-PATHWAY,LoF,0.8212058212058212,0.002,0.429
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.7713097713097713,0.04,0.6546222222222222
1000000377_LoF,OncoSig::TBK1.DN.48HRS-UP,LoF,0.6652806652806653,0.085,0.6546222222222222
1000000124_Act,PID::NECTIN-PATHWAY,Act,0.6257796257796258,0.058,0.6546222222222222
1000000123_Act,PID::NCADHERIN-PATHWAY,Act,0.6964656964656964,0.053,0.6546222222222222
1000000131_Act,PID::NOTCH-PATHWAY,Act,0.7588357588357588,0.075,0.6546222222222222
1000000132_LoF,PID::P38-ALPHA-BETA-DOWNSTREAM-PATHWAY,LoF,0.7713097713097713,0.046,0.6546222222222222
1000000134_Act,PID::P38-GAMMA-DELTA-PATHWAY,Act,0.35550935550935553,0.102,0.6546222222222222
1000000121_Act,PID::MYC-PATHWAY,Act,0.6361746361746362,0.039,0.6546222222222222
1000000120_Act,PID::MYC-ACTIV-PATHWAY,Act,0.896049896049896,0.022,0.6546222222222222
