,Symbol,Type,Freq,Emp.p_value,q_value
7428_LoF,VHL,LoF,0.5086705202312138,0.0,0.0
2324_Act,FLT4,Act,0.1676300578034682,0.0099,0.04515670103092784
6940_Act,ZNF354A,Act,0.16184971098265896,0.0362,0.04515670103092784
5917_Act,RARS,Act,0.16184971098265896,0.0362,0.04515670103092784
51491_Act,NOP16,Act,0.16184971098265896,0.0362,0.04515670103092784
9509_Act,ADAMTS2,Act,0.16473988439306358,0.0194,0.04515670103092784
1843_Act,DUSP1,Act,0.16184971098265896,0.0362,0.04515670103092784
821_Act,CANX,Act,0.1676300578034682,0.0099,0.04515670103092784
2870_Act,GRK6,Act,0.16473988439306358,0.0194,0.04515670103092784
64324_Act,NSD1,Act,0.17052023121387283,0.0051,0.04515670103092784
3937_Act,LCP2,Act,0.16184971098265896,0.0362,0.04515670103092784
84321_Act,THOC3,Act,0.16184971098265896,0.0362,0.04515670103092784
1812_Act,DRD1,Act,0.16184971098265896,0.0362,0.04515670103092784
55651_Act,NHP2,Act,0.16184971098265896,0.0362,0.04515670103092784
80230_Act,RUFY1,Act,0.16184971098265896,0.0362,0.04515670103092784
117608_Act,ZNF354B,Act,0.16473988439306358,0.0194,0.04515670103092784
133491_Act,C5orf47,Act,0.16184971098265896,0.0362,0.04515670103092784
345462_Act,ZNF879,Act,0.16184971098265896,0.0362,0.04515670103092784
4488_Act,MSX2,Act,0.16184971098265896,0.0362,0.04515670103092784
64901_Act,RANBP17,Act,0.16184971098265896,0.0362,0.04515670103092784
202134_Act,FAM153B,Act,0.16473988439306358,0.0194,0.04515670103092784
285590_Act,SH3PXD2B,Act,0.16184971098265896,0.0362,0.04515670103092784
285596_Act,FAM153A,Act,0.16473988439306358,0.0194,0.04515670103092784
8614_Act,STC2,Act,0.1676300578034682,0.0099,0.04515670103092784
6569_Act,SLC34A1,Act,0.17052023121387283,0.0051,0.04515670103092784
2916_Act,GRM6,Act,0.16184971098265896,0.0362,0.04515670103092784
64777_Act,RMND5B,Act,0.16184971098265896,0.0362,0.04515670103092784
1794_Act,DOCK2,Act,0.17052023121387283,0.0051,0.04515670103092784
9945_Act,GFPT2,Act,0.16184971098265896,0.0362,0.04515670103092784
2566_Act,GABRG2,Act,0.16184971098265896,0.0362,0.04515670103092784
51720_Act,UIMC1,Act,0.1676300578034682,0.0099,0.04515670103092784
23567_Act,ZNF346,Act,0.16473988439306358,0.0194,0.04515670103092784
23061_Act,TBC1D9B,Act,0.1676300578034682,0.0099,0.04515670103092784
3101_Act,HK3,Act,0.16473988439306358,0.0194,0.04515670103092784
79908_Act,BTNL8,Act,0.1676300578034682,0.0099,0.04515670103092784
54825_Act,CDHR2,Act,0.16184971098265896,0.0362,0.04515670103092784
57396_Act,CLK4,Act,0.16184971098265896,0.0362,0.04515670103092784
10814_Act,CPLX2,Act,0.16473988439306358,0.0194,0.04515670103092784
9794_Act,MAML1,Act,0.1676300578034682,0.0099,0.04515670103092784
1627_Act,DBN1,Act,0.1676300578034682,0.0099,0.04515670103092784
114787_Act,GPRIN1,Act,0.16184971098265896,0.0362,0.04515670103092784
57451_Act,ODZ2,Act,0.1676300578034682,0.0099,0.04515670103092784
30832_Act,ZNF354C,Act,0.16184971098265896,0.0362,0.04515670103092784
2161_Act,F12,Act,0.16473988439306358,0.0194,0.04515670103092784
3187_Act,HNRNPH1,Act,0.16184971098265896,0.0362,0.04515670103092784
57472_Act,CNOT6,Act,0.16184971098265896,0.0362,0.04515670103092784
153222_Act,CREBRF,Act,0.16473988439306358,0.0194,0.04515670103092784
90249_Act,UNC5A,Act,0.16473988439306358,0.0194,0.04515670103092784
5626_Act,PROP1,Act,0.16184971098265896,0.0362,0.04515670103092784
4245_Act,MGAT1,Act,0.16184971098265896,0.0362,0.04515670103092784
662_Act,BNIP1,Act,0.16473988439306358,0.0194,0.04515670103092784
53917_Act,RAB24,Act,0.16473988439306358,0.0194,0.04515670103092784
375484_Act,C5orf25,Act,0.16184971098265896,0.0362,0.04515670103092784
2264_Act,FGFR4,Act,0.17052023121387283,0.0051,0.04515670103092784
63920_Act,C5orf54,Act,0.16184971098265896,0.0362,0.04515670103092784
51121_Act,RPL26L1,Act,0.16184971098265896,0.0362,0.04515670103092784
27166_Act,PRELID1,Act,0.1676300578034682,0.0099,0.04515670103092784
80315_Act,CPEB4,Act,0.17052023121387283,0.0051,0.04515670103092784
51244_LoF,C3orf19,LoF,0.10404624277456648,0.0311,0.04515670103092784
9797_LoF,TATDN2,LoF,0.10404624277456648,0.0311,0.04515670103092784
6538_LoF,SLC6A11,LoF,0.10404624277456648,0.0311,0.04515670103092784
78987_LoF,CRELD1,LoF,0.10404624277456648,0.0311,0.04515670103092784
23180_LoF,RFTN1,LoF,0.10982658959537572,0.0088,0.04515670103092784
2199_LoF,FBLN2,LoF,0.10982658959537572,0.0088,0.04515670103092784
9901_LoF,SRGAP3,LoF,0.1069364161849711,0.0164,0.04515670103092784
7862_LoF,BRPF1,LoF,0.10404624277456648,0.0311,0.04515670103092784
285368_LoF,PRRT3,LoF,0.10404624277456648,0.0311,0.04515670103092784
23225_LoF,NUP210,LoF,0.1069364161849711,0.0164,0.04515670103092784
23243_LoF,ANKRD28,LoF,0.10404624277456648,0.0311,0.04515670103092784
152273_LoF,FGD5,LoF,0.10982658959537572,0.0088,0.04515670103092784
10533_LoF,ATG7,LoF,0.11849710982658959,0.0037,0.04515670103092784
84818_LoF,IL17RC,LoF,0.10404624277456648,0.0311,0.04515670103092784
7508_LoF,XPC,LoF,0.10982658959537572,0.0088,0.04515670103092784
8536_LoF,CAMK1,LoF,0.10404624277456648,0.0311,0.04515670103092784
5468_LoF,PPARG,LoF,0.10404624277456648,0.0311,0.04515670103092784
2917_LoF,GRM7,LoF,0.10982658959537572,0.0088,0.04515670103092784
4968_LoF,OGG1,LoF,0.10404624277456648,0.0311,0.04515670103092784
64419_LoF,MTMR14,LoF,0.10404624277456648,0.0311,0.04515670103092784
80746_LoF,TSEN2,LoF,0.10404624277456648,0.0311,0.04515670103092784
84522_LoF,JAGN1,LoF,0.10404624277456648,0.0311,0.04515670103092784
51738_LoF,GHRL,LoF,0.10404624277456648,0.0311,0.04515670103092784
3708_LoF,ITPR1,LoF,0.1069364161849711,0.0164,0.04515670103092784
285679_Act,C5orf60,Act,0.16184971098265896,0.0362,0.04515670103092784
10752_LoF,CHL1,LoF,0.10404624277456648,0.0311,0.04515670103092784
55209_LoF,SETD5,LoF,0.10982658959537572,0.0088,0.04515670103092784
