,Symbol,Type,Freq,Emp.p_value,q_value
4233_Act,MET,Act,0.11313868613138686,0.0,0.0
1000000432_Act,hall::UV-RESPONSE-DN,Act,0.6131386861313869,0.0,0.0
8452_LoF,CUL3,LoF,0.051094890510948905,0.008,0.008
1000000171_Act,PID::SYNDECAN-1-PATHWAY,Act,0.33211678832116787,0.002,0.10133333333333334
1000000176_Act,PID::TCPTP-PATHWAY,Act,0.2956204379562044,0.002,0.10133333333333334
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.30656934306569344,0.009,0.19542857142857142
1000000046_Act,PID::ECADHERIN-STABILIZATION-PATHWAY,Act,0.2773722627737226,0.007,0.19542857142857142
1000000002_Act,PID::AJDISS-2PATHWAY,Act,0.3029197080291971,0.007,0.19542857142857142
1000000225_LoF,OncoSig::CAMP-UP.V1-DN,LoF,0.6386861313868614,0.008,0.19542857142857142
1000000118_Act,PID::MET-PATHWAY,Act,0.38686131386861317,0.019,0.23885714285714285
1000000154_Act,PID::RB-1PATHWAY,Act,0.3467153284671533,0.018,0.23885714285714285
1000000419_LoF,hall::MYOGENESIS,LoF,0.6277372262773723,0.019,0.23885714285714285
1000000349_Act,OncoSig::RAPA-EARLY-UP.V1-DN,Act,0.572992700729927,0.016,0.23885714285714285
1000000014_Act,PID::ARF6-PATHWAY,Act,0.22992700729927007,0.021,0.23885714285714285
1000000337_LoF,OncoSig::PRC2-EED-DN.V1-DN,LoF,0.6058394160583942,0.022,0.23885714285714285
1000000137_LoF,PID::P53-DOWNSTREAM-PATHWAY,LoF,0.5364963503649635,0.014,0.23885714285714285
1000000194_Act,PID::WNT-CANONICAL-PATHWAY,Act,0.16423357664233576,0.025,0.25333333333333335
1000000374_LoF,OncoSig::TBK1.DF-DN,LoF,0.6934306569343066,0.034,0.32300000000000006
1000000066_Act,PID::FGF-PATHWAY,Act,0.29927007299270075,0.037,0.3308235294117647
1000000131_LoF,PID::NOTCH-PATHWAY,LoF,0.34306569343065696,0.043,0.3631111111111111
1000000350_LoF,OncoSig::RAPA-EARLY-UP.V1-UP,LoF,0.5583941605839416,0.069,0.552
1000000403_LoF,hall::G2M-CHECKPOINT,LoF,0.5948905109489051,0.08,0.6007619047619047
1000000380_LoF,OncoSig::VEGF-A-UP.V1-DN,LoF,0.5912408759124088,0.083,0.6007619047619047
1000000240_Act,OncoSig::CYCLIN-D1-UP.V1-DN,Act,0.551094890510949,0.088,0.608
1000000138_LoF,PID::P53-REGULATION-PATHWAY,LoF,0.3248175182481752,0.094,0.6212173913043478
1000000331_LoF,OncoSig::PGF-UP.V1-DN,LoF,0.5802919708029197,0.1,0.6333333333333334
1000000067_LoF,PID::FOXM1-PATHWAY,LoF,0.2518248175182482,0.116,0.6781538461538462
1000000257_Act,OncoSig::ESC-J1-UP-LATE.V1-UP,Act,0.5364963503649635,0.115,0.6781538461538462
1000000141_Act,PID::PDGFRA-PATHWAY,Act,0.14233576642335766,0.128,0.7002857142857143
1000000192_Act,PID::VEGFR1-2-PATHWAY,Act,0.3102189781021898,0.129,0.7002857142857143
1000000102_Act,PID::INSULIN-PATHWAY,Act,0.22262773722627738,0.157,0.7165714285714286
1000000318_LoF,OncoSig::NFE2L2.V2,LoF,0.7700729927007299,0.155,0.7165714285714286
1000000399_LoF,hall::EPITHELIAL-MESENCHYMAL-TRANSITION,LoF,0.583941605839416,0.165,0.7165714285714286
1000000426_Act,hall::PROTEIN-SECRETION,Act,0.3759124087591241,0.155,0.7165714285714286
1000000024_LoF,PID::BARD1-PATHWAY,LoF,0.20072992700729927,0.142,0.7165714285714286
1000000027_LoF,PID::BETA-CATENIN-NUC-PATHWAY,LoF,0.35766423357664234,0.163,0.7165714285714286
1000000185_Act,PID::TNF-PATHWAY,Act,0.24087591240875914,0.137,0.7165714285714286
1000000241_LoF,OncoSig::CYCLIN-D1-UP.V1-UP,LoF,0.5620437956204379,0.193,0.7451707317073171
1000000236_Act,OncoSig::CTIP-DN.V1-DN,Act,0.4416058394160584,0.186,0.7451707317073171
1000000037_LoF,PID::CMYB-PATHWAY,LoF,0.36496350364963503,0.199,0.7451707317073171
1000000306_Act,OncoSig::LTE2-UP.V1-DN,Act,0.5364963503649635,0.194,0.7451707317073171
1000000084_LoF,PID::IFNG-PATHWAY,LoF,0.23722627737226276,0.188,0.7451707317073171
1000000060_LoF,PID::ERBB4-PATHWAY,LoF,0.22992700729927007,0.201,0.7451707317073171
1000000011_LoF,PID::AR-PATHWAY,LoF,0.3029197080291971,0.212,0.7493953488372093
1000000193_Act,PID::VEGFR1-PATHWAY,Act,0.145985401459854,0.209,0.7493953488372093
1000000330_Act,OncoSig::PDGF-UP.V1-UP,Act,0.45985401459854014,0.248,0.8567272727272727
1000000169_LoF,PID::SMAD2-3NUCLEAR-PATHWAY,LoF,0.354014598540146,0.273,0.9221333333333335
1000000175_LoF,PID::TAP63-PATHWAY,LoF,0.27007299270072993,0.294,0.931
1000000182_Act,PID::TGFBR-PATHWAY,Act,0.23722627737226276,0.282,0.931
1000000072_LoF,PID::HDAC-CLASSI-PATHWAY,LoF,0.3029197080291971,0.29,0.931
1000000172_Act,PID::SYNDECAN-2-PATHWAY,Act,0.16058394160583941,0.313,0.9328627450980392
1000000213_LoF,OncoSig::BCAT-GDS748-DN,LoF,0.23722627737226276,0.306,0.9328627450980392
1000000018_LoF,PID::ATM-PATHWAY,LoF,0.19708029197080293,0.311,0.9328627450980392
1000000239_LoF,OncoSig::CYCLIN-D1-KE-.V1-UP,LoF,0.5474452554744526,0.335,0.9368727272727273
1000000300_LoF,OncoSig::KRAS.LUNG-UP.V1-DN,LoF,0.4781021897810219,0.333,0.9368727272727273
1000000258_Act,OncoSig::ESC-V6.5-UP-EARLY.V1-DN,Act,0.4744525547445255,0.329,0.9368727272727273
1000000079_LoF,PID::HIF1A-PATHWAY,LoF,0.13503649635036497,0.339,0.9368727272727273
1000000041_LoF,PID::DELTA-NP63-PATHWAY,LoF,0.24087591240875914,0.36,0.9771428571428572
1000000205_LoF,OncoSig::ATF2-UP.V1-DN,LoF,0.5364963503649635,0.383,0.9981333333333333
1000000357_Act,OncoSig::RELA-DN.V1-DN,Act,0.42700729927007297,0.394,0.9981333333333333
1000000113_LoF,PID::LKB1-PATHWAY,LoF,0.23722627737226276,0.388,0.9981333333333333
1000000316_LoF,OncoSig::MYC-UP.V1-DN,LoF,0.5109489051094891,0.39,0.9981333333333333
1000000336_LoF,OncoSig::PRC1-BMI-UP.V1-UP,LoF,0.45985401459854014,0.938,1.0
1000000425_LoF,hall::PI3K-AKT-MTOR-SIGNALING,LoF,0.3284671532846715,0.907,1.0
1000000339_LoF,OncoSig::PRC2-EZH2-UP.V1-DN,LoF,0.5145985401459854,0.696,1.0
1000000324_LoF,OncoSig::P53-DN.V1-UP,LoF,0.5109489051094891,0.742,1.0
1000000340_LoF,OncoSig::PRC2-EZH2-UP.V1-UP,LoF,0.3978102189781022,1.0,1.0
1000000341_LoF,OncoSig::PRC2-SUZ12-UP.V1-DN,LoF,0.45255474452554745,0.978,1.0
1000000344_LoF,OncoSig::PTEN-DN.V1-UP,LoF,0.4744525547445255,0.837,1.0
1000000323_LoF,OncoSig::P53-DN.V1-DN,LoF,0.5145985401459854,0.73,1.0
1000000346_LoF,OncoSig::PTEN-DN.V2-UP,LoF,0.4306569343065693,0.673,1.0
1000000347_Act,OncoSig::RAF-UP.V1-DN,Act,0.5036496350364964,0.489,1.0
1000000315_LoF,OncoSig::MTOR-UP.V1-UP,LoF,0.4489051094890511,0.902,1.0
