,Symbol,Type,Freq,Emp.p_value,q_value
1956_Act,EGFR,Act,0.10139165009940358,0.0033,0.04562790697674418
126206_LoF,NLRP5,LoF,0.0636182902584493,0.0097,0.04562790697674418
126205_LoF,NLRP8,LoF,0.06560636182902585,0.0078,0.04562790697674418
126204_LoF,NLRP13,LoF,0.06560636182902585,0.0078,0.04562790697674418
57343_LoF,ZNF304,LoF,0.05964214711729622,0.0167,0.04562790697674418
29924_LoF,EPN1,LoF,0.05964214711729622,0.0167,0.04562790697674418
3802_LoF,KIR2DL1,LoF,0.05964214711729622,0.0167,0.04562790697674418
163033_LoF,ZNF579,LoF,0.05964214711729622,0.0167,0.04562790697674418
29903_LoF,CCDC106,LoF,0.061630218687872766,0.012,0.04562790697674418
11338_LoF,U2AF2,LoF,0.0636182902584493,0.0097,0.04562790697674418
5178_LoF,PEG3,LoF,0.061630218687872766,0.012,0.04562790697674418
10794_LoF,ZNF460,LoF,0.0636182902584493,0.0097,0.04562790697674418
204801_LoF,NLRP11,LoF,0.061630218687872766,0.012,0.04562790697674418
1029_LoF,CDKN2A,LoF,0.12922465208747516,0.0043,0.04562790697674418
401474_Act,SAMD12,Act,0.07157057654075547,0.018,0.04562790697674418
79149_LoF,ZSCAN5A,LoF,0.061630218687872766,0.012,0.04562790697674418
169026_Act,SLC30A8,Act,0.07157057654075547,0.018,0.04562790697674418
114788_Act,CSMD3,Act,0.08349900596421471,0.0052,0.04562790697674418
50807_Act,ASAP1,Act,0.073558648111332,0.0115,0.04562790697674418
654463_Act,FER1L6,Act,0.08151093439363817,0.0059,0.04562790697674418
23167_Act,EFR3A,Act,0.07157057654075547,0.018,0.04562790697674418
7373_Act,COL14A1,Act,0.07554671968190854,0.0086,0.04562790697674418
6873_Act,TAF2,Act,0.07157057654075547,0.018,0.04562790697674418
5885_Act,RAD21,Act,0.07157057654075547,0.018,0.04562790697674418
64798_Act,DEPTOR,Act,0.073558648111332,0.0115,0.04562790697674418
84294_Act,UTP23,Act,0.07157057654075547,0.018,0.04562790697674418
10584_Act,COLEC10,Act,0.07157057654075547,0.018,0.04562790697674418
29028_Act,ATAD2,Act,0.073558648111332,0.0115,0.04562790697674418
56169_Act,GSDMC,Act,0.07554671968190854,0.0086,0.04562790697674418
4982_Act,TNFRSF11B,Act,0.073558648111332,0.0115,0.04562790697674418
340359_Act,KLHL38,Act,0.07157057654075547,0.018,0.04562790697674418
2131_Act,EXT1,Act,0.073558648111332,0.0115,0.04562790697674418
140612_LoF,ZFP28,LoF,0.05964214711729622,0.0167,0.04562790697674418
5794_LoF,PTPRH,LoF,0.06560636182902585,0.0078,0.04562790697674418
147945_LoF,NLRP4,LoF,0.0636182902584493,0.0097,0.04562790697674418
63934_LoF,ZNF667,LoF,0.05964214711729622,0.0167,0.04562790697674418
84922_LoF,FIZ1,LoF,0.05964214711729622,0.0167,0.04562790697674418
147949_LoF,ZNF583,LoF,0.05964214711729622,0.0167,0.04562790697674418
55655_LoF,NLRP2,LoF,0.0636182902584493,0.0097,0.04562790697674418
9788_Act,MTSS1,Act,0.073558648111332,0.0115,0.04562790697674418
338321_LoF,NLRP9,LoF,0.0636182902584493,0.0097,0.04562790697674418
388566_LoF,ZNF470,LoF,0.05964214711729622,0.0167,0.04562790697674418
5290_Act,PIK3CA,Act,0.09343936381709742,0.0039,0.04562790697674418
125919_LoF,ZNF543,LoF,0.05765407554671968,0.0275,0.05389444444444444
157769_Act,FAM91A1,Act,0.06958250497017893,0.0292,0.05389444444444444
7138_LoF,TNNT1,LoF,0.055666003976143144,0.0341,0.05389444444444444
6641_Act,SNTB1,Act,0.06759443339960239,0.0415,0.05389444444444444
27085_Act,MTBP,Act,0.06759443339960239,0.0415,0.05389444444444444
390980_LoF,ZNF805,LoF,0.05765407554671968,0.0275,0.05389444444444444
114_Act,ADCY8,Act,0.06958250497017893,0.0292,0.05389444444444444
93594_Act,TBC1D31,Act,0.06759443339960239,0.0415,0.05389444444444444
54776_LoF,PPP1R12C,LoF,0.055666003976143144,0.0341,0.05389444444444444
23547_LoF,LILRA4,LoF,0.05168986083499006,0.0445,0.05389444444444444
7038_Act,TG,Act,0.06759443339960239,0.0415,0.05389444444444444
25992_LoF,SNED1,LoF,0.05765407554671968,0.0275,0.05389444444444444
23192_LoF,ATG4B,LoF,0.05168986083499006,0.0445,0.05389444444444444
84446_LoF,BRSK1,LoF,0.05765407554671968,0.0275,0.05389444444444444
729330_Act,OC90,Act,0.06759443339960239,0.0415,0.05389444444444444
285093_LoF,CXXC11,LoF,0.0536779324055666,0.0389,0.05389444444444444
84289_LoF,ING5,LoF,0.05168986083499006,0.0445,0.05389444444444444
728294_LoF,D2HGDH,LoF,0.0536779324055666,0.0389,0.05389444444444444
84985_Act,FAM83A,Act,0.06759443339960239,0.0415,0.05389444444444444
22882_Act,ZHX2,Act,0.06759443339960239,0.0415,0.05389444444444444
5168_Act,ENPP2,Act,0.06958250497017893,0.0292,0.05389444444444444
3786_Act,KCNQ3,Act,0.06759443339960239,0.0415,0.05389444444444444
79168_LoF,LILRA6,LoF,0.05168986083499006,0.0445,0.05389444444444444
199713_LoF,NLRP7,LoF,0.055666003976143144,0.0341,0.05389444444444444
3904_LoF,LAIR2,LoF,0.0536779324055666,0.0389,0.05389444444444444
400720_LoF,ZNF772,LoF,0.05765407554671968,0.0275,0.05389444444444444
11027_LoF,LILRA2,LoF,0.055666003976143144,0.0341,0.05389444444444444
11026_LoF,LILRA3,LoF,0.0536779324055666,0.0389,0.05389444444444444
11025_LoF,LILRB3,LoF,0.05168986083499006,0.0445,0.05389444444444444
11024_LoF,LILRA1,LoF,0.055666003976143144,0.0341,0.05389444444444444
5582_LoF,PRKCG,LoF,0.0536779324055666,0.0389,0.05389444444444444
94059_LoF,LENG9,LoF,0.05168986083499006,0.0445,0.05389444444444444
91662_LoF,NLRP12,LoF,0.0536779324055666,0.0389,0.05389444444444444
7565_LoF,ZNF17,LoF,0.05765407554671968,0.0275,0.05389444444444444
