,Symbol,Type,Freq,Emp.p_value,q_value
1000000434_Act,hall::WNT-BETA-CATENIN-SIGNALING,Act,0.7988338192419825,0.0,0.0
7157_LoF,TP53,LoF,0.30612244897959184,0.0,0.0
654463_Act,FER1L6,Act,0.1924198250728863,0.0065,0.0813304347826087
9788_Act,MTSS1,Act,0.1924198250728863,0.0065,0.0813304347826087
6873_Act,TAF2,Act,0.18950437317784258,0.0094,0.0813304347826087
7227_Act,TRPS1,Act,0.19533527696793002,0.0046,0.0813304347826087
4856_Act,NOV,Act,0.18950437317784258,0.0094,0.0813304347826087
441376_Act,AARD,Act,0.18950437317784258,0.0094,0.0813304347826087
312_Act,ANXA13,Act,0.19533527696793002,0.0046,0.0813304347826087
22882_Act,ZHX2,Act,0.18950437317784258,0.0094,0.0813304347826087
29028_Act,ATAD2,Act,0.20408163265306123,0.0023,0.0813304347826087
7038_Act,TG,Act,0.20699708454810495,0.0021,0.0813304347826087
340359_Act,KLHL38,Act,0.18950437317784258,0.0094,0.0813304347826087
93594_Act,TBC1D31,Act,0.18950437317784258,0.0094,0.0813304347826087
84933_Act,C8orf76,Act,0.1924198250728863,0.0065,0.0813304347826087
8667_Act,EIF3H,Act,0.18950437317784258,0.0094,0.0813304347826087
11244_Act,ZHX1,Act,0.1924198250728863,0.0065,0.0813304347826087
5925_LoF,RB1,LoF,0.10204081632653061,0.0034,0.0813304347826087
1029_LoF,CDKN2A,LoF,0.08163265306122448,0.0091,0.0813304347826087
53353_LoF,LRP1B,LoF,0.11078717201166181,0.0032,0.0813304347826087
114788_Act,CSMD3,Act,0.24489795918367346,0.0014,0.0813304347826087
8289_LoF,ARID1A,LoF,0.09329446064139942,0.0037,0.0813304347826087
401474_Act,SAMD12,Act,0.18950437317784258,0.0094,0.0813304347826087
169026_Act,SLC30A8,Act,0.18950437317784258,0.0094,0.0813304347826087
3084_LoF,NRG1,LoF,0.06705539358600583,0.0102,0.08457500000000001
157769_Act,FAM91A1,Act,0.18658892128279883,0.0143,0.08623333333333334
114_Act,ADCY8,Act,0.18658892128279883,0.0143,0.08623333333333334
50807_Act,ASAP1,Act,0.18658892128279883,0.0143,0.08623333333333334
84985_Act,FAM83A,Act,0.18658892128279883,0.0143,0.08623333333333334
7373_Act,COL14A1,Act,0.18658892128279883,0.0143,0.08623333333333334
114907_Act,FBXO32,Act,0.18658892128279883,0.0143,0.08623333333333334
169044_Act,COL22A1,Act,0.18658892128279883,0.0143,0.08623333333333334
5885_Act,RAD21,Act,0.18658892128279883,0.0143,0.08623333333333334
113146_LoF,AHNAK2,LoF,0.061224489795918366,0.012,0.08623333333333334
391194_Act,OR2M2,Act,0.10204081632653061,0.0569,0.09697301587301588
391211_Act,OR2G6,Act,0.10787172011661808,0.0526,0.09697301587301588
27185_Act,DISC1,Act,0.10204081632653061,0.0569,0.09697301587301588
10806_Act,SDCCAG8,Act,0.09912536443148688,0.0614,0.09697301587301588
81470_Act,OR2G2,Act,0.11078717201166181,0.0516,0.09697301587301588
26696_Act,OR2T1,Act,0.10204081632653061,0.0569,0.09697301587301588
401992_Act,OR2T2,Act,0.10204081632653061,0.0569,0.09697301587301588
401994_Act,OR14I1,Act,0.09912536443148688,0.0614,0.09697301587301588
441933_Act,OR13G1,Act,0.09912536443148688,0.0614,0.09697301587301588
127059_Act,OR2M5,Act,0.10204081632653061,0.0569,0.09697301587301588
127062_Act,OR2M3,Act,0.10495626822157435,0.0536,0.09697301587301588
88_Act,ACTN2,Act,0.09912536443148688,0.0614,0.09697301587301588
127064_Act,OR2T12,Act,0.10787172011661808,0.0526,0.09697301587301588
127066_Act,OR14C36,Act,0.09912536443148688,0.0614,0.09697301587301588
127068_Act,OR2T34,Act,0.09912536443148688,0.0614,0.09697301587301588
127074_Act,OR2T4,Act,0.10787172011661808,0.0526,0.09697301587301588
127077_Act,OR2T11,Act,0.10495626822157435,0.0536,0.09697301587301588
1130_Act,LYST,Act,0.10787172011661808,0.0526,0.09697301587301588
64754_Act,SMYD3,Act,0.09912536443148688,0.0614,0.09697301587301588
6894_Act,TARBP1,Act,0.09912536443148688,0.0614,0.09697301587301588
10472_Act,ZBTB18,Act,0.10204081632653061,0.0569,0.09697301587301588
79573_Act,TTC13,Act,0.09912536443148688,0.0614,0.09697301587301588
80003_Act,PCNX2,Act,0.11078717201166181,0.0516,0.09697301587301588
343171_Act,OR2W3,Act,0.09912536443148688,0.0614,0.09697301587301588
163882_Act,CNST,Act,0.10204081632653061,0.0569,0.09697301587301588
343173_Act,OR2T3,Act,0.10204081632653061,0.0569,0.09697301587301588
26246_Act,OR2L2,Act,0.10204081632653061,0.0569,0.09697301587301588
343172_Act,OR2T8,Act,0.09912536443148688,0.0614,0.09697301587301588
9859_Act,CEP170,Act,0.10204081632653061,0.0569,0.09697301587301588
343170_Act,OR14K1,Act,0.10495626822157435,0.0536,0.09697301587301588
343169_Act,OR6F1,Act,0.09912536443148688,0.0614,0.09697301587301588
1131_Act,CHRM3,Act,0.10204081632653061,0.0569,0.09697301587301588
127623_Act,OR2B11,Act,0.10204081632653061,0.0569,0.09697301587301588
391196_Act,OR2M7,Act,0.10204081632653061,0.0569,0.09697301587301588
391195_Act,OR2T33,Act,0.09912536443148688,0.0614,0.09697301587301588
128025_Act,WDR64,Act,0.09912536443148688,0.0614,0.09697301587301588
64798_Act,DEPTOR,Act,0.17784256559766765,0.0323,0.09697301587301588
57623_Act,ZFAT,Act,0.17784256559766765,0.0323,0.09697301587301588
90390_Act,MED30,Act,0.1836734693877551,0.0199,0.09697301587301588
55039_Act,TRMT12,Act,0.18075801749271136,0.0259,0.09697301587301588
729330_Act,OC90,Act,0.17201166180758018,0.041,0.09697301587301588
79075_Act,DSCC1,Act,0.17784256559766765,0.0323,0.09697301587301588
28998_Act,MRPL13,Act,0.18075801749271136,0.0259,0.09697301587301588
3786_Act,KCNQ3,Act,0.17784256559766765,0.0323,0.09697301587301588
1520_Act,CTSS,Act,0.1282798833819242,0.0489,0.09697301587301588
137835_Act,TMEM71,Act,0.1749271137026239,0.0386,0.09697301587301588
23639_Act,LRRC6,Act,0.17784256559766765,0.0323,0.09697301587301588
5728_LoF,PTEN,LoF,0.052478134110787174,0.0198,0.09697301587301588
