,Symbol,Type,Freq,Emp.p_value,q_value
1000000434_Act,hall::WNT-BETA-CATENIN-SIGNALING,Act,0.7639484978540773,0.0,0.0
1000000079_Act,PID::HIF1A-PATHWAY,Act,0.6866952789699571,0.0,0.0
51151_Act,SLC45A2,Act,0.12446351931330472,0.0232,0.08047499999999999
167127_Act,UGT3A2,Act,0.12446351931330472,0.0232,0.08047499999999999
729_Act,C6,Act,0.12446351931330472,0.0232,0.08047499999999999
735_Act,C9,Act,0.12446351931330472,0.0232,0.08047499999999999
92255_Act,LMBRD2,Act,0.12660944206008584,0.0216,0.08047499999999999
65250_Act,C5orf42,Act,0.13090128755364808,0.0194,0.08047499999999999
6507_Act,SLC1A3,Act,0.12446351931330472,0.0232,0.08047499999999999
25836_Act,NIPBL,Act,0.15021459227467812,0.0084,0.08047499999999999
1029_LoF,CDKN2A,LoF,0.20815450643776823,0.0023,0.08047499999999999
253970_Act,SFTA3,Act,0.14377682403433475,0.0112,0.08047499999999999
7681_LoF,MKRN3,LoF,0.07939914163090128,0.0192,0.08047499999999999
2562_LoF,GABRB3,LoF,0.08369098712446352,0.0174,0.08047499999999999
2567_LoF,GABRG3,LoF,0.07510729613733906,0.0226,0.08047499999999999
4948_LoF,OCA2,LoF,0.0815450643776824,0.0181,0.08047499999999999
390538_LoF,OR4M2,LoF,0.07725321888412018,0.0207,0.08047499999999999
3575_Act,IL7R,Act,0.13304721030042918,0.019,0.08047499999999999
133584_Act,EGFLAM,Act,0.13304721030042918,0.019,0.08047499999999999
253260_Act,RICTOR,Act,0.12446351931330472,0.0232,0.08047499999999999
133688_Act,UGT3A1,Act,0.1351931330472103,0.0185,0.08047499999999999
8416_Act,ANXA9,Act,0.13733905579399142,0.0172,0.08047499999999999
58497_Act,PRUNE,Act,0.13948497854077252,0.015,0.08047499999999999
126626_Act,GABPB2,Act,0.13733905579399142,0.0172,0.08047499999999999
29956_Act,CERS2,Act,0.13733905579399142,0.0172,0.08047499999999999
84072_Act,HORMAD1,Act,0.14377682403433475,0.0112,0.08047499999999999
1513_Act,CTSK,Act,0.14163090128755365,0.013,0.08047499999999999
2029_Act,ENSA,Act,0.13948497854077252,0.015,0.08047499999999999
9869_Act,SETDB1,Act,0.148068669527897,0.0091,0.08047499999999999
1520_Act,CTSS,Act,0.13948497854077252,0.015,0.08047499999999999
55793_Act,FAM63A,Act,0.13733905579399142,0.0172,0.08047499999999999
10962_Act,MLLT11,Act,0.13733905579399142,0.0172,0.08047499999999999
54964_Act,C1orf56,Act,0.13733905579399142,0.0172,0.08047499999999999
149428_Act,BNIPL,Act,0.13733905579399142,0.0172,0.08047499999999999
405_Act,ARNT,Act,0.148068669527897,0.0091,0.08047499999999999
7015_Act,TERT,Act,0.18025751072961374,0.0041,0.08047499999999999
4308_LoF,TRPM1,LoF,0.09012875536480687,0.0144,0.08047499999999999
7179_LoF,TPTE,LoF,0.11373390557939914,0.0101,0.08047499999999999
81792_Act,ADAMTS12,Act,0.23819742489270387,0.0021,0.08047499999999999
55576_LoF,STAB2,LoF,0.07510729613733906,0.0226,0.08047499999999999
84125_LoF,LRRIQ1,LoF,0.09656652360515021,0.0126,0.08047499999999999
3845_Act,KRAS,Act,0.3369098712446352,0.0011,0.08047499999999999
727897_LoF,MUC5B,LoF,0.09227467811158799,0.0133,0.08047499999999999
