,Symbol,Type,Freq,Emp.p_value,q_value
1000000079_LoF,PID::HIF1A-PATHWAY,LoF,0.9155555555555556,0.0,0.0
23200_Act,ATP11B,Act,0.5,0.0007,0.083475
53353_LoF,LRP1B,LoF,0.47555555555555556,0.0004,0.083475
1029_LoF,CDKN2A,LoF,0.4266666666666667,0.0004,0.083475
339829_Act,CCDC39,Act,0.5,0.0007,0.083475
8975_Act,USP13,Act,0.4911111111111111,0.0013,0.10334999999999998
51555_Act,PEX5L,Act,0.4911111111111111,0.0013,0.10334999999999998
2195_LoF,FAT1,LoF,0.19333333333333333,0.0037,0.11766
5728_LoF,PTEN,LoF,0.2111111111111111,0.0031,0.11766
51193_Act,ZNF639,Act,0.4777777777777778,0.0035,0.11766
6657_Act,SOX2,Act,0.4888888888888889,0.0018,0.11766
151613_Act,TTC14,Act,0.4777777777777778,0.0035,0.11766
4507_LoF,MTAP,LoF,0.23333333333333334,0.0031,0.11766
1030_LoF,CDKN2B,LoF,0.2733333333333333,0.0023,0.11766
54165_Act,DCUN1D1,Act,0.4866666666666667,0.0022,0.11766
6263_LoF,RYR3,LoF,0.19777777777777777,0.0033,0.11766
253260_Act,RICTOR,Act,0.18666666666666668,0.0262,0.136640625
9631_Act,NUP155,Act,0.18,0.0271,0.136640625
116349_Act,C5orf55,Act,0.19333333333333333,0.0225,0.136640625
133688_Act,UGT3A1,Act,0.18444444444444444,0.0266,0.136640625
55100_Act,WDR70,Act,0.17777777777777778,0.0275,0.136640625
84674_Act,CARD6,Act,0.18,0.0271,0.136640625
3977_Act,LIFR,Act,0.18,0.0271,0.136640625
51289_Act,RXFP3,Act,0.18,0.0271,0.136640625
345557_Act,PLCXD3,Act,0.18666666666666668,0.0262,0.136640625
167127_Act,UGT3A2,Act,0.18,0.0271,0.136640625
6389_Act,SDHA,Act,0.20666666666666667,0.013,0.136640625
92255_Act,LMBRD2,Act,0.17777777777777778,0.0275,0.136640625
65250_Act,C5orf42,Act,0.19111111111111112,0.0255,0.136640625
2533_Act,FYB,Act,0.18666666666666668,0.0262,0.136640625
23530_Act,NNT,Act,0.18222222222222223,0.0269,0.136640625
25836_Act,NIPBL,Act,0.18888888888888888,0.0259,0.136640625
5618_Act,PRLR,Act,0.17777777777777778,0.0275,0.136640625
133584_Act,EGFLAM,Act,0.19555555555555557,0.0202,0.136640625
7015_Act,TERT,Act,0.19777777777777777,0.0181,0.136640625
65980_Act,BRD9,Act,0.19333333333333333,0.0225,0.136640625
10723_Act,SLC12A7,Act,0.20444444444444446,0.0135,0.136640625
8087_Act,FXR1,Act,0.47333333333333333,0.0055,0.136640625
57129_Act,MRPL47,Act,0.46444444444444444,0.008,0.136640625
59345_Act,GNB4,Act,0.4688888888888889,0.007,0.136640625
86_Act,ACTL6A,Act,0.46444444444444444,0.008,0.136640625
4711_Act,NDUFB5,Act,0.46444444444444444,0.008,0.136640625
55669_Act,MFN1,Act,0.47333333333333333,0.0055,0.136640625
54904_Act,NSD3,Act,0.2088888888888889,0.0123,0.136640625
137994_Act,LETM2,Act,0.19333333333333333,0.0225,0.136640625
6531_Act,SLC6A3,Act,0.22444444444444445,0.011,0.136640625
348932_Act,SLC6A18,Act,0.20444444444444446,0.0135,0.136640625
79844_Act,ZDHHC11,Act,0.19555555555555557,0.0202,0.136640625
153478_Act,PLEKHG4B,Act,0.21333333333333335,0.0118,0.136640625
81037_Act,CLPTM1L,Act,0.2,0.0161,0.136640625
57491_Act,AHRR,Act,0.21555555555555556,0.0115,0.136640625
6550_Act,SLC9A3,Act,0.20222222222222222,0.0146,0.136640625
10016_Act,PDCD6,Act,0.19555555555555557,0.0202,0.136640625
85409_Act,NKD2,Act,0.19777777777777777,0.0181,0.136640625
55722_Act,CEP72,Act,0.20222222222222222,0.0146,0.136640625
340024_Act,SLC6A19,Act,0.22,0.0113,0.136640625
205860_LoF,TRIML2,LoF,0.07555555555555556,0.0241,0.136640625
133957_Act,CCDC127,Act,0.19555555555555557,0.0202,0.136640625
11336_Act,EXOC3,Act,0.19333333333333333,0.0225,0.136640625
389257_Act,LRRC14B,Act,0.19555555555555557,0.0202,0.136640625
339976_LoF,TRIML1,LoF,0.08444444444444445,0.0208,0.136640625
81792_Act,ADAMTS12,Act,0.2911111111111111,0.0092,0.136640625
120114_LoF,FAT3,LoF,0.17333333333333334,0.0047,0.136640625
23742_LoF,NPAP1,LoF,0.08666666666666667,0.0204,0.136640625
27164_LoF,SALL3,LoF,0.09555555555555556,0.0184,0.136640625
2312_Act,FLG,Act,0.19777777777777777,0.0181,0.136640625
6261_Act,RYR1,Act,0.21555555555555556,0.0115,0.136640625
5925_LoF,RB1,LoF,0.10888888888888888,0.0156,0.136640625
6091_LoF,ROBO1,LoF,0.09333333333333334,0.0188,0.136640625
2335_LoF,FN1,LoF,0.08222222222222222,0.0212,0.136640625
348980_Act,HCN1,Act,0.26666666666666666,0.0093,0.136640625
253559_LoF,CADM2,LoF,0.07555555555555556,0.0241,0.136640625
133558_Act,HEATR7B2,Act,0.24222222222222223,0.0104,0.136640625
3575_Act,IL7R,Act,0.19333333333333333,0.0225,0.136640625
58508_LoF,KMT2C,LoF,0.14444444444444443,0.0098,0.136640625
132625_LoF,ZFP42,LoF,0.07777777777777778,0.0229,0.136640625
158038_LoF,LINGO2,LoF,0.1,0.0178,0.136640625
727897_LoF,MUC5B,LoF,0.13111111111111112,0.0111,0.136640625
4763_LoF,NF1,LoF,0.13111111111111112,0.0111,0.136640625
390538_LoF,OR4M2,LoF,0.08,0.0219,0.136640625
6092_LoF,ROBO2,LoF,0.08666666666666667,0.0204,0.136640625
8924_LoF,HERC2,LoF,0.10222222222222223,0.0171,0.136640625
1804_LoF,DPP6,LoF,0.08222222222222222,0.0212,0.136640625
4780_Act,NFE2L2,Act,0.19777777777777777,0.0181,0.136640625
200162_LoF,SPAG17,LoF,0.10222222222222223,0.0171,0.136640625
79925_Act,SPEF2,Act,0.21333333333333335,0.0118,0.136640625
55619_LoF,DOCK10,LoF,0.07777777777777778,0.0229,0.136640625
1387_LoF,CREBBP,LoF,0.08666666666666667,0.0204,0.136640625
80309_LoF,SPHKAP,LoF,0.14,0.0103,0.136640625
5651_LoF,TMPRSS15,LoF,0.08888888888888889,0.0197,0.136640625
27086_LoF,FOXP1,LoF,0.08444444444444445,0.0208,0.136640625
1293_LoF,COL6A3,LoF,0.09555555555555556,0.0184,0.136640625
7776_LoF,ZNF236,LoF,0.08222222222222222,0.0212,0.136640625
53942_LoF,CNTN5,LoF,0.10888888888888888,0.0156,0.136640625
57194_LoF,ATP10A,LoF,0.10444444444444445,0.0169,0.136640625
729_Act,C6,Act,0.2311111111111111,0.0107,0.136640625
730_Act,C7,Act,0.20444444444444446,0.0135,0.136640625
2690_Act,GHR,Act,0.17333333333333334,0.0295,0.13795588235294115
8289_LoF,ARID1A,LoF,0.07111111111111111,0.0287,0.13795588235294115
2668_Act,GDNF,Act,0.17333333333333334,0.0295,0.13795588235294115
79668_Act,PARP8,Act,0.17333333333333334,0.0295,0.13795588235294115
1601_Act,DAB2,Act,0.17333333333333334,0.0295,0.13795588235294115
9180_Act,OSMR,Act,0.17333333333333334,0.0295,0.13795588235294115
5019_Act,OXCT1,Act,0.1711111111111111,0.0305,0.13855714285714285
1286_LoF,COL4A4,LoF,0.06888888888888889,0.0304,0.13855714285714285
56899_LoF,ANKS1B,LoF,0.06888888888888889,0.0304,0.13855714285714285
128954_LoF,GAB4,LoF,0.05555555555555555,0.045,0.1421523178807947
8500_Act,PPFIA1,Act,0.1622222222222222,0.0416,0.1421523178807947
22982_LoF,DIP2C,LoF,0.05555555555555555,0.045,0.1421523178807947
4308_LoF,TRPM1,LoF,0.05555555555555555,0.045,0.1421523178807947
4692_LoF,NDN,LoF,0.05555555555555555,0.045,0.1421523178807947
2562_LoF,GABRB3,LoF,0.06,0.038,0.1421523178807947
2483_LoF,FRG1,LoF,0.057777777777777775,0.0407,0.1421523178807947
64902_Act,AGXT2,Act,0.16444444444444445,0.0377,0.1421523178807947
6847_LoF,SYCP1,LoF,0.06222222222222222,0.0362,0.1421523178807947
9398_LoF,CD101,LoF,0.057777777777777775,0.0407,0.1421523178807947
448831_LoF,FRG2,LoF,0.057777777777777775,0.0407,0.1421523178807947
23548_Act,TTC33,Act,0.16,0.0447,0.1421523178807947
4772_LoF,NFATC1,LoF,0.06,0.038,0.1421523178807947
10605_Act,PAIP1,Act,0.16666666666666666,0.0345,0.1421523178807947
9320_LoF,TRIP12,LoF,0.05555555555555555,0.045,0.1421523178807947
79582_LoF,SPAG16,LoF,0.057777777777777775,0.0407,0.1421523178807947
6507_Act,SLC1A3,Act,0.16666666666666666,0.0345,0.1421523178807947
8452_LoF,CUL3,LoF,0.06222222222222222,0.0362,0.1421523178807947
5734_Act,PTGER4,Act,0.16444444444444445,0.0377,0.1421523178807947
735_Act,C9,Act,0.1688888888888889,0.0324,0.1421523178807947
9743_LoF,ARHGAP32,LoF,0.05555555555555555,0.045,0.1421523178807947
10884_Act,MRPS30,Act,0.1622222222222222,0.0416,0.1421523178807947
3157_Act,HMGCS1,Act,0.16,0.0447,0.1421523178807947
51151_Act,SLC45A2,Act,0.16666666666666666,0.0345,0.1421523178807947
26064_Act,RAI14,Act,0.16444444444444445,0.0377,0.1421523178807947
2255_Act,FGF10,Act,0.16,0.0447,0.1421523178807947
50863_LoF,NTM,LoF,0.05555555555555555,0.045,0.1421523178807947
22997_LoF,IGSF9B,LoF,0.06666666666666667,0.0331,0.1421523178807947
133690_Act,CAPSL,Act,0.16444444444444445,0.0377,0.1421523178807947
133686_Act,NADK2,Act,0.16,0.0447,0.1421523178807947
202151_Act,RANBP3L,Act,0.16444444444444445,0.0377,0.1421523178807947
64417_Act,C5orf28,Act,0.16,0.0447,0.1421523178807947
55016_LoF,MARCH1,LoF,0.06,0.038,0.1421523178807947
6167_Act,RPL37,Act,0.1622222222222222,0.0416,0.1421523178807947
6414_Act,SELENOP,Act,0.1622222222222222,0.0416,0.1421523178807947
80333_LoF,KCNIP4,LoF,0.05555555555555555,0.045,0.1421523178807947
114899_Act,C1QTNF3,Act,0.16,0.0447,0.1421523178807947
375444_Act,C5orf34,Act,0.16,0.0447,0.1421523178807947
7082_LoF,TJP1,LoF,0.05555555555555555,0.045,0.1421523178807947
9659_Act,PDE4DIP,Act,0.16666666666666666,0.0345,0.1421523178807947
10290_LoF,SPEG,LoF,0.06,0.038,0.1421523178807947
5426_LoF,POLE,LoF,0.057777777777777775,0.0407,0.1421523178807947
283694_LoF,OR4N4,LoF,0.06,0.038,0.1421523178807947
4948_LoF,OCA2,LoF,0.06444444444444444,0.0345,0.1421523178807947
54551_LoF,MAGEL2,LoF,0.06444444444444444,0.0345,0.1421523178807947
4588_LoF,MUC6,LoF,0.06222222222222222,0.0362,0.1421523178807947
3635_LoF,INPP5D,LoF,0.05333333333333334,0.0496,0.14880000000000002
51741_LoF,WWOX,LoF,0.05333333333333334,0.0496,0.14880000000000002
10905_LoF,MAN1A2,LoF,0.05333333333333334,0.0496,0.14880000000000002
56477_Act,CCL28,Act,0.15777777777777777,0.0485,0.14880000000000002
4978_LoF,OPCML,LoF,0.05333333333333334,0.0496,0.14880000000000002
3321_LoF,IGSF3,LoF,0.05333333333333334,0.0496,0.14880000000000002
7681_LoF,MKRN3,LoF,0.05333333333333334,0.0496,0.14880000000000002
55107_Act,ANO1,Act,0.15777777777777777,0.0485,0.14880000000000002
23600_Act,AMACR,Act,0.15333333333333332,0.0543,0.14964171428571427
374868_LoF,ATP9B,LoF,0.051111111111111114,0.0549,0.14964171428571427
2587_LoF,GALR1,LoF,0.051111111111111114,0.0549,0.14964171428571427
9150_LoF,CTDP1,LoF,0.051111111111111114,0.0549,0.14964171428571427
5810_Act,RAD1,Act,0.15333333333333332,0.0543,0.14964171428571427
341208_LoF,HEPHL1,LoF,0.051111111111111114,0.0549,0.14964171428571427
112937_LoF,GLB1L3,LoF,0.051111111111111114,0.0549,0.14964171428571427
5071_LoF,PARK2,LoF,0.051111111111111114,0.0549,0.14964171428571427
2017_Act,CTTN,Act,0.15333333333333332,0.0543,0.14964171428571427
26272_Act,FBXO4,Act,0.15555555555555556,0.0523,0.14964171428571427
167359_Act,NIM1,Act,0.15555555555555556,0.0523,0.14964171428571427
7690_Act,ZNF131,Act,0.15555555555555556,0.0523,0.14964171428571427
321_LoF,APBA2,LoF,0.051111111111111114,0.0549,0.14964171428571427
27443_LoF,CECR2,LoF,0.051111111111111114,0.0549,0.14964171428571427
153657_Act,TTC23L,Act,0.15555555555555556,0.0523,0.14964171428571427
23310_LoF,NCAPD3,LoF,0.051111111111111114,0.0549,0.14964171428571427
285636_Act,C5orf51,Act,0.1511111111111111,0.0571,0.15131499999999998
134218_Act,DNAJC21,Act,0.1511111111111111,0.0571,0.15131499999999998
6897_Act,TARS,Act,0.1511111111111111,0.0571,0.15131499999999998
55299_Act,BRIX1,Act,0.1511111111111111,0.0571,0.15131499999999998
133418_Act,EMB,Act,0.1511111111111111,0.0571,0.15131499999999998
8772_Act,FADD,Act,0.14666666666666667,0.0596,0.15706740331491711
23094_Act,SIPA1L3,Act,0.14,0.061,0.15987362637362637
5787_Act,PTPRB,Act,0.11777777777777777,0.0657,0.17032010869565214
346007_Act,EYS,Act,0.11777777777777777,0.0657,0.17032010869565214
388698_Act,FLG2,Act,0.11555555555555555,0.0666,0.17172
81_Act,ACTN4,Act,0.1111111111111111,0.0692,0.17746451612903225
388697_Act,HRNR,Act,0.10666666666666667,0.0719,0.17956178010471205
4853_Act,NOTCH2,Act,0.10666666666666667,0.0719,0.17956178010471205
775_Act,CACNA1C,Act,0.10888888888888888,0.0708,0.17956178010471205
10142_Act,AKAP9,Act,0.10888888888888888,0.0708,0.17956178010471205
57828_Act,CATSPERG,Act,0.10666666666666667,0.0719,0.17956178010471205
199720_Act,GGN,Act,0.10444444444444445,0.0736,0.18284999999999998
27335_Act,EIF3K,Act,0.10222222222222223,0.0759,0.1847158163265306
10653_Act,SPINT2,Act,0.10222222222222223,0.0759,0.1847158163265306
115727_Act,RASGRP4,Act,0.10222222222222223,0.0759,0.1847158163265306
