,Symbol,Type,Freq,Emp.p_value,q_value
1000000079_LoF,PID::HIF1A-PATHWAY,LoF,0.6125,0.0,0.0
1029_LoF,CDKN2A,LoF,0.475,0.0002,0.0036000000000000003
8314_LoF,BAP1,LoF,0.4,0.0032,0.019200000000000002
4771_LoF,NF2,LoF,0.3375,0.0032,0.019200000000000002
23269_LoF,MGA,LoF,0.0875,0.0127,0.02475
5330_LoF,PLCB2,LoF,0.075,0.0147,0.02475
51332_LoF,SPTBN5,LoF,0.0625,0.022,0.02475
6263_LoF,RYR3,LoF,0.075,0.0147,0.02475
1133_LoF,CHRM5,LoF,0.0625,0.022,0.02475
283748_LoF,PLA2G4D,LoF,0.0625,0.022,0.02475
9990_LoF,SLC12A6,LoF,0.0625,0.022,0.02475
825_LoF,CAPN3,LoF,0.075,0.0147,0.02475
23005_LoF,MAPKBP1,LoF,0.075,0.0147,0.02475
79094_LoF,CHAC1,LoF,0.0625,0.022,0.02475
9716_LoF,AQR,LoF,0.0625,0.022,0.02475
5888_LoF,RAD51,LoF,0.0625,0.022,0.02475
26524_LoF,LATS2,LoF,0.1,0.0102,0.02475
23345_LoF,SYNE1,LoF,0.05,0.0698,0.0698
5728_LoF,PTEN,LoF,0.05,0.0698,0.0698
1000000138_LoF,PID::P53-REGULATION-PATHWAY,LoF,0.6625,0.003,0.07350000000000001
1000000009_LoF,PID::AP1-PATHWAY,LoF,0.675,0.013,0.21233333333333332
1000000121_LoF,PID::MYC-PATHWAY,LoF,0.5,0.032,0.392
1000000011_LoF,PID::AR-PATHWAY,LoF,0.5625,0.069,0.4067
1000000067_LoF,PID::FOXM1-PATHWAY,LoF,0.525,0.059,0.4067
1000000037_LoF,PID::CMYB-PATHWAY,LoF,0.6,0.076,0.4067
1000000043_LoF,PID::E2F-PATHWAY,LoF,0.575,0.083,0.4067
1000000069_LoF,PID::FRA-PATHWAY,LoF,0.5125,0.045,0.4067
1000000377_LoF,OncoSig::TBK1.DN.48HRS-UP,LoF,0.525,0.08,0.4067
1000000175_LoF,PID::TAP63-PATHWAY,LoF,0.5125,0.1,0.4083333333333334
1000000027_LoF,PID::BETA-CATENIN-NUC-PATHWAY,LoF,0.575,0.097,0.4083333333333334
1000000154_LoF,PID::RB-1PATHWAY,LoF,0.5375,0.127,0.4515
1000000041_LoF,PID::DELTA-NP63-PATHWAY,LoF,0.4875,0.129,0.4515
1000000122_LoF,PID::MYC-REPRESS-PATHWAY,LoF,0.525,0.144,0.47039999999999993
