,Symbol,Type,Freq,Emp.p_value,q_value
6305_LoF,SBF1,LoF,0.1111111111111111,0.0044,0.10385454545454544
4763_LoF,NF1,LoF,0.14336917562724014,0.0014,0.10385454545454544
5925_LoF,RB1,LoF,0.14336917562724014,0.0014,0.10385454545454544
85378_LoF,TUBGCP6,LoF,0.11827956989247312,0.0027,0.10385454545454544
5520_LoF,PPP2R2A,LoF,0.11469534050179211,0.0036,0.10385454545454544
169270_LoF,ZNF596,LoF,0.1111111111111111,0.0044,0.10385454545454544
54456_LoF,MOV10L1,LoF,0.1111111111111111,0.0044,0.10385454545454544
23774_LoF,BRD1,LoF,0.1111111111111111,0.0044,0.10385454545454544
50807_Act,ASAP1,Act,0.43727598566308246,0.0019,0.10385454545454544
84517_Act,ACTRT3,Act,0.3763440860215054,0.0048,0.10385454545454544
2122_Act,MECOM,Act,0.3942652329749104,0.0039,0.10385454545454544
344657_Act,LRRIQ4,Act,0.3727598566308244,0.0056,0.11106666666666666
157697_LoF,ERICH1,LoF,0.10752688172043011,0.0062,0.11350769230769231
1375_LoF,CPT1B,LoF,0.1039426523297491,0.01,0.12018999999999999
26996_Act,GPR160,Act,0.35842293906810035,0.0101,0.12018999999999999
344658_Act,SAMD7,Act,0.36200716845878134,0.0081,0.12018999999999999
9889_LoF,ZBED4,LoF,0.1039426523297491,0.01,0.12018999999999999
53353_LoF,LRP1B,LoF,0.1039426523297491,0.01,0.12018999999999999
80012_Act,PHC3,Act,0.35842293906810035,0.0101,0.12018999999999999
23043_Act,TNIK,Act,0.35842293906810035,0.0101,0.12018999999999999
5010_Act,CLDN11,Act,0.3548387096774194,0.0118,0.12360645161290322
79087_LoF,ALG12,LoF,0.1003584229390681,0.0161,0.12360645161290322
1890_LoF,TYMP,LoF,0.1003584229390681,0.0161,0.12360645161290322
1120_LoF,CHKB,LoF,0.1003584229390681,0.0161,0.12360645161290322
55586_LoF,MIOX,LoF,0.1003584229390681,0.0161,0.12360645161290322
49_LoF,ACR,LoF,0.1003584229390681,0.0161,0.12360645161290322
29781_LoF,NCAPH2,LoF,0.1003584229390681,0.0161,0.12360645161290322
6514_Act,SLC2A2,Act,0.34050179211469533,0.0159,0.12360645161290322
57709_Act,SLC7A14,Act,0.35125448028673834,0.0135,0.12360645161290322
200916_Act,RPL22L1,Act,0.34050179211469533,0.0159,0.12360645161290322
5584_Act,PRKCI,Act,0.35125448028673834,0.0135,0.12360645161290322
898_Act,CCNE1,Act,0.21863799283154123,0.0179,0.13313125
55259_Act,CASC1,Act,0.16487455197132617,0.0227,0.135065
58508_Act,KMT2C,Act,0.16487455197132617,0.0227,0.135065
3845_Act,KRAS,Act,0.17204301075268819,0.0215,0.135065
4033_Act,LRMP,Act,0.16845878136200718,0.0218,0.135065
23499_Act,MACF1,Act,0.17921146953405018,0.0211,0.135065
26047_Act,CNTNAP2,Act,0.16487455197132617,0.0227,0.135065
92105_Act,INTS4,Act,0.16487455197132617,0.0227,0.135065
23476_Act,BRD4,Act,0.1935483870967742,0.0202,0.135065
160492_Act,IFLTD1,Act,0.16129032258064516,0.0257,0.14563333333333334
79053_Act,ALG8,Act,0.16129032258064516,0.0257,0.14563333333333334
5144_LoF,PDE4D,LoF,0.08960573476702509,0.0268,0.14833488372093023
23269_LoF,MGA,LoF,0.08243727598566308,0.0275,0.14875
153478_Act,PLEKHG4B,Act,0.15770609318996415,0.0301,0.15573478260869564
65987_Act,KCTD14,Act,0.15770609318996415,0.0301,0.15573478260869564
11336_Act,EXOC3,Act,0.15053763440860216,0.0433,0.16621612903225805
116349_Act,C5orf55,Act,0.15053763440860216,0.0433,0.16621612903225805
6894_Act,TARBP1,Act,0.15053763440860216,0.0433,0.16621612903225805
84939_LoF,MUM1,LoF,0.06451612903225806,0.0414,0.16621612903225805
22904_LoF,SBNO2,LoF,0.06451612903225806,0.0414,0.16621612903225805
6389_Act,SDHA,Act,0.15053763440860216,0.0433,0.16621612903225805
7776_LoF,ZNF236,LoF,0.06451612903225806,0.0414,0.16621612903225805
