Locus_name,Genes
22q13.32_CNAdel,85378 440836 100422916 415116 9997 100500882 11158 91289 410 6300 6305 9889 55586 400935 23209 106479406 49 80305 79924 54456 113730 414918 79174 29781 25817 56666 644186 83933 23774 1375 1120 5600 1890 100616415 9701 23654 106479207 348645 164714 85358 79087 23542
18q11.2_CNAamp,6875 284252
11q14.1_CNAamp,65987 92105 28971 79053 4718 283219 9846 57558 7069
10q22.3_CNAamp,3778 106480999 9231 100873587 6229 11128
3q26.2_CNAamp,2122 27333 93556 693136 84517 7012 55892 151827 344657 79782 344658 7095 26996 80012 5584 6498 5010 57709 100379664 200916 56648 6514 23043 693154
1q42.2_CNAamp,100616224 148641 2786 100302691 100431173 677802 106479466 9804 9453 6894 359948 388753 23029 148789 6905 100616380 51742
8p21.2_CNAdel,100873512 157489 5520
12p12.1_CNAamp,4033 3845 586 144363 160492 55259 196415
5q12.1_CNAdel,5144 693167
7q36.3_CNAamp,338436 55303 27153 26 653857 3110 55340 26157 3638 643641 55365 2636 170575 168537 9311 168544 2146 79970 113763 23145 29803 54892 202865 106479220 83590 58508 100289678 57488 84626 106479251 220832 5799 10922 3757 136371 285888 57541 154822 106481863 54480 768213 51422 474344 8427 4846 116988 129790 140545 8454 7434 1804 285971 285973 5919 28959 3361 100873506 100873505 100313895 155435 106480941 7988 106479413 10049 6469 64327 55112 10061 7516 57180 100500835 136051 6009 6522 106480511 9601 106479517 155038 155051 63917 155054 677810 64434 106481077 155061 100847032 11194 155066 693180 26047 22976 6084 6085 6086 168391 6090 6604 65999 349136 51667 9690 2020 692215 1020
19q12_CNAamp,898 10775 79156 83636
12p13.33_CNAamp,2305 83714 5893 81029 775 106481160 440073 6539 6540 56341 93589 677784 196513 55846 5927 23085 144699 100873792 100292680 4815 100500816 100271702 7004 654429 84318 283358 65125 83695 2288 79602 10867 7289
5p15.33_CNAamp,6531 348932 153478 389257 81037 57491 6550 653082 100616479 10016 85409 55722 100616235 340024 65980 100616381 11076 133957 11336 10723 79844 7015 9319 6389 116349
13q14.2_CNAdel,10161 5925
2q31.2_CNAamp,92104 50940
1p34.3_CNAamp,677834 23499 26508 84618 51440 10450 8761 353500
19q13.2_CNAamp,348303 390928 22933 57622 1178 54938 148003 55588 6183 2091 6829 101180976 163126 55095 400696 4793 10298 106481850 10683 9149 56891 9535 126272 92609 29124 6217 64857 115290 54623 126432 126433 1891 100616163 342897 7538 342898 342900 3191 282616 282617 282618
8q24.21_CNAamp,4609 106480903 641384 100302185 100302281 100302161 100302175 157638 100750225 103164619 100507056 727677 5462 728724 106479187 137196 100500839 56169 51571 100847051 50807
1q21.3_CNAamp,106479396 1893 55204 84072 4170 54507 2029 1520 677822 100422997 106481086
17q25.3_CNAamp,284129 125058 100616170 9775 6448 57332 2548 79092 8535 339221 146713 55036 84733
10p15.3_CNAamp,22884 23560 105 23185 91734 399706 3422
4p16.3_CNAamp,521 677770 339983 92305 7700 2580 285464 4636 693156 652965 5158 255403 7468 7469 654254 152877 10417 57654 10296 285498 84286 10815 1609 53834 7884 1487 170960 84179 100379220 2261 54872 353497 79963 10460 401115 10336 3425 642280 106479467 10861 152687 3954 100126332
