,Symbol,Type,Freq,Emp.p_value,q_value
1000000079_LoF,PID::HIF1A-PATHWAY,LoF,0.7409638554216867,0.0,0.0
1029_LoF,CDKN2A,LoF,0.5,0.001,0.009000000000000001
4089_LoF,SMAD4,LoF,0.3373493975903614,0.001,0.009000000000000001
84152_Act,PPP1R1B,Act,0.06626506024096386,0.0153,0.02295
2064_Act,ERBB2,Act,0.06626506024096386,0.0153,0.02295
9853_Act,RUSC2,Act,0.06626506024096386,0.0153,0.02295
57704_Act,GBA2,Act,0.06626506024096386,0.0153,0.02295
7094_Act,TLN1,Act,0.06626506024096386,0.0153,0.02295
10497_Act,UNC13B,Act,0.0783132530120482,0.011,0.02295
64857_Act,PLEKHG2,Act,0.09036144578313253,0.0081,0.02295
55095_Act,SAMD4B,Act,0.09036144578313253,0.0081,0.02295
6829_Act,SUPT5H,Act,0.09036144578313253,0.0081,0.02295
8289_LoF,ARID1A,LoF,0.05421686746987952,0.0069,0.02295
8295_Act,TRRAP,Act,0.05421686746987952,0.0296,0.0296
25960_Act,ADGRA2,Act,0.05421686746987952,0.0296,0.0296
23259_Act,DDHD2,Act,0.060240963855421686,0.0224,0.0296
9070_Act,ASH2L,Act,0.05421686746987952,0.0296,0.0296
25851_Act,TECPR1,Act,0.05421686746987952,0.0296,0.0296
57154_Act,SMURF1,Act,0.05421686746987952,0.0296,0.0296
1000000113_LoF,PID::LKB1-PATHWAY,LoF,0.7469879518072289,0.001,0.08966666666666667
1000000138_LoF,PID::P53-REGULATION-PATHWAY,LoF,0.7650602409638554,0.001,0.08966666666666667
1000000009_LoF,PID::AP1-PATHWAY,LoF,0.7530120481927711,0.007,0.47075000000000006
1000000003_LoF,PID::ALK1-PATHWAY,LoF,0.43373493975903615,0.038,0.55145
1000000168_Act,PID::SHP2-PATHWAY,Act,0.7469879518072289,0.013,0.55145
1000000132_Act,PID::P38-ALPHA-BETA-DOWNSTREAM-PATHWAY,Act,0.6566265060240963,0.04,0.55145
1000000170_LoF,PID::SMAD2-3PATHWAY,LoF,0.3614457831325301,0.026,0.55145
1000000121_LoF,PID::MYC-PATHWAY,LoF,0.5240963855421686,0.036,0.55145
1000000120_Act,PID::MYC-ACTIV-PATHWAY,Act,0.7590361445783133,0.019,0.55145
1000000188_Act,PID::TRKR-PATHWAY,Act,0.7289156626506024,0.031,0.55145
1000000117_Act,PID::MAPK-TRK-PATHWAY,Act,0.7048192771084337,0.014,0.55145
1000000004_LoF,PID::ALK2-PATHWAY,LoF,0.35542168674698793,0.018,0.55145
1000000091_Act,PID::IL2-1PATHWAY,Act,0.6987951807228916,0.041,0.55145
1000000020_Act,PID::AURORA-A-PATHWAY,Act,0.6566265060240963,0.036,0.55145
1000000031_LoF,PID::CD8-TCR-DOWNSTREAM-PATHWAY,LoF,0.6987951807228916,0.036,0.55145
1000000037_LoF,PID::CMYB-PATHWAY,LoF,0.7349397590361446,0.037,0.55145
1000000050_Act,PID::EPHB-FWD-PATHWAY,Act,0.7048192771084337,0.025,0.55145
1000000058_Act,PID::ERBB1-RECEPTOR-PROXIMAL-PATHWAY,Act,0.6867469879518072,0.028,0.55145
1000000059_Act,PID::ERBB2-ERBB3-PATHWAY,Act,0.6987951807228916,0.034,0.55145
1000000142_Act,PID::PDGFRB-PATHWAY,Act,0.7831325301204819,0.047,0.57028
1000000041_LoF,PID::DELTA-NP63-PATHWAY,LoF,0.5602409638554217,0.052,0.57028
1000000056_LoF,PID::ERBB1-DOWNSTREAM-PATHWAY,LoF,0.7530120481927711,0.046,0.57028
1000000067_LoF,PID::FOXM1-PATHWAY,LoF,0.5481927710843374,0.053,0.57028
1000000069_LoF,PID::FRA-PATHWAY,LoF,0.5602409638554217,0.049,0.57028
1000000377_LoF,OncoSig::TBK1.DN.48HRS-UP,LoF,0.5542168674698795,0.065,0.6475925925925926
1000000175_LoF,PID::TAP63-PATHWAY,LoF,0.5662650602409639,0.063,0.6475925925925926
1000000434_Act,hall::WNT-BETA-CATENIN-SIGNALING,Act,0.6686746987951807,0.07,0.6725000000000001
1000000154_LoF,PID::RB-1PATHWAY,LoF,0.5662650602409639,0.074,0.6864137931034482
1000000122_Act,PID::MYC-REPRESS-PATHWAY,Act,0.5963855421686747,0.077,0.6904333333333333
1000000131_Act,PID::NOTCH-PATHWAY,Act,0.5060240963855421,0.108,0.7330249999999999
1000000422_LoF,hall::P53-PATHWAY,LoF,0.7831325301204819,0.096,0.7330249999999999
1000000156_Act,PID::REG-GR-PATHWAY,Act,0.6626506024096386,0.091,0.7330249999999999
1000000011_LoF,PID::AR-PATHWAY,LoF,0.572289156626506,0.087,0.7330249999999999
1000000022_Act,PID::AVB3-INTEGRIN-PATHWAY,Act,0.6024096385542169,0.099,0.7330249999999999
1000000027_LoF,PID::BETA-CATENIN-NUC-PATHWAY,LoF,0.608433734939759,0.109,0.7330249999999999
1000000018_Act,PID::ATM-PATHWAY,Act,0.3674698795180723,0.108,0.7330249999999999
1000000043_LoF,PID::E2F-PATHWAY,LoF,0.5963855421686747,0.107,0.7330249999999999
1000000124_Act,PID::NECTIN-PATHWAY,Act,0.3433734939759036,0.106,0.7330249999999999
1000000174_Act,PID::SYNDECAN-4-PATHWAY,Act,0.3674698795180723,0.095,0.7330249999999999
1000000169_LoF,PID::SMAD2-3NUCLEAR-PATHWAY,LoF,0.5662650602409639,0.122,0.7519772727272728
1000000078_Act,PID::HIF1-TFPATHWAY,Act,0.5240963855421686,0.12,0.7519772727272728
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.41566265060240964,0.123,0.7519772727272728
1000000006_Act,PID::AMB2-NEUTROPHILS-PATHWAY,Act,0.39759036144578314,0.122,0.7519772727272728
1000000398_LoF,hall::E2F-TARGETS,LoF,0.7771084337349398,0.128,0.7651555555555555
1000000054_Act,PID::ERA-GENOMIC-PATHWAY,Act,0.5240963855421686,0.135,0.7894565217391305
1000000028_Act,PID::BMP-PATHWAY,Act,0.40963855421686746,0.148,0.8470638297872339
1000000389_Act,hall::ANGIOGENESIS,Act,0.35542168674698793,0.161,0.9022708333333334
1000000137_Act,PID::P53-DOWNSTREAM-PATHWAY,Act,0.7228915662650602,0.165,0.9058163265306123
1000000397_Act,hall::DNA-REPAIR,Act,0.7349397590361446,0.172,0.9072156862745098
1000000070_Act,PID::GLYPICAN-1PATHWAY,Act,0.2891566265060241,0.17,0.9072156862745098
1000000093_Act,PID::IL2-STAT5-PATHWAY,Act,0.3072289156626506,0.182,0.9414999999999999
1000000077_Act,PID::HES-HEY-PATHWAY,Act,0.40963855421686746,0.193,0.979566037735849
1000000325_Act,OncoSig::P53-DN.V2-DN,Act,0.5903614457831325,0.529,1.0
1000000364_LoF,OncoSig::SNF5-DN.V1-DN,LoF,0.6325301204819277,0.216,1.0
1000000366_Act,OncoSig::SRC-UP.V1-DN,Act,0.6204819277108434,0.566,1.0
1000000367_Act,OncoSig::SRC-UP.V1-UP,Act,0.5481927710843374,0.965,1.0
1000000368_Act,OncoSig::STK33-DN,Act,0.7289156626506024,0.567,1.0
1000000369_Act,OncoSig::STK33-NOMO-DN,Act,0.7228915662650602,0.617,1.0
1000000370_Act,OncoSig::STK33-NOMO-UP,Act,0.6807228915662651,0.941,1.0
1000000371_Act,OncoSig::STK33-SKM-DN,Act,0.6506024096385542,0.971,1.0
1000000372_Act,OncoSig::STK33-SKM-UP,Act,0.6506024096385542,0.946,1.0
1000000373_Act,OncoSig::STK33-UP,Act,0.6927710843373494,0.821,1.0
1000000374_Act,OncoSig::TBK1.DF-DN,Act,0.6927710843373494,0.886,1.0
1000000375_Act,OncoSig::TBK1.DF-UP,Act,0.6144578313253012,0.998,1.0
1000000335_Act,OncoSig::PRC1-BMI-UP.V1-DN,Act,0.6024096385542169,0.846,1.0
1000000378_Act,OncoSig::TGFB-UP.V1-DN,Act,0.6445783132530121,0.573,1.0
1000000331_Act,OncoSig::PGF-UP.V1-DN,Act,0.6746987951807228,0.449,1.0
1000000379_Act,OncoSig::TGFB-UP.V1-UP,Act,0.6746987951807228,0.421,1.0
1000000380_Act,OncoSig::VEGF-A-UP.V1-DN,Act,0.6144578313253012,0.802,1.0
1000000381_Act,OncoSig::VEGF-A-UP.V1-UP,Act,0.6265060240963856,0.734,1.0
1000000382_Act,OncoSig::WNT-UP.V1-DN,Act,0.5783132530120482,0.845,1.0
1000000383_Act,OncoSig::WNT-UP.V1-UP,Act,0.5903614457831325,0.858,1.0
1000000362_Act,OncoSig::SIRNA-EIF4GI-DN,Act,0.39156626506024095,0.962,1.0
1000000360_Act,OncoSig::RPS14-DN.V1-UP,Act,0.5542168674698795,0.982,1.0
1000000358_Act,OncoSig::RELA-DN.V1-UP,Act,0.6024096385542169,0.491,1.0
1000000357_Act,OncoSig::RELA-DN.V1-DN,Act,0.6144578313253012,0.329,1.0
1000000327_Act,OncoSig::PDGF-ERK-DN.V1-DN,Act,0.5301204819277109,0.899,1.0
1000000328_Act,OncoSig::PDGF-ERK-DN.V1-UP,Act,0.5180722891566265,0.936,1.0
1000000340_Act,OncoSig::PRC2-EZH2-UP.V1-UP,Act,0.5542168674698795,0.982,1.0
1000000339_Act,OncoSig::PRC2-EZH2-UP.V1-DN,Act,0.572289156626506,0.961,1.0
1000000330_Act,OncoSig::PDGF-UP.V1-UP,Act,0.5060240963855421,0.968,1.0
1000000341_Act,OncoSig::PRC2-SUZ12-UP.V1-DN,Act,0.6566265060240963,0.524,1.0
1000000322_Act,OncoSig::NRL-DN.V1-UP,Act,0.5843373493975904,0.477,1.0
1000000338_Act,OncoSig::PRC2-EED-DN.V1-UP,Act,0.6024096385542169,0.839,1.0
1000000337_Act,OncoSig::PRC2-EED-DN.V1-DN,Act,0.6144578313253012,0.795,1.0
1000000342_Act,OncoSig::PRC2-SUZ12-UP.V1-UP,Act,0.5240963855421686,0.997,1.0
1000000344_Act,OncoSig::PTEN-DN.V1-UP,Act,0.6144578313253012,0.738,1.0
1000000345_Act,OncoSig::PTEN-DN.V2-DN,Act,0.5421686746987951,0.805,1.0
1000000329_Act,OncoSig::PDGF-UP.V1-DN,Act,0.5180722891566265,0.816,1.0
1000000346_Act,OncoSig::PTEN-DN.V2-UP,Act,0.4879518072289157,0.959,1.0
1000000347_Act,OncoSig::RAF-UP.V1-DN,Act,0.5481927710843374,0.989,1.0
1000000349_Act,OncoSig::RAPA-EARLY-UP.V1-DN,Act,0.6325301204819277,0.611,1.0
1000000350_Act,OncoSig::RAPA-EARLY-UP.V1-UP,Act,0.5602409638554217,0.892,1.0
1000000352_Act,OncoSig::RB-DN.V1-UP,Act,0.536144578313253,0.555,1.0
1000000353_Act,OncoSig::RB-P107-DN.V1-DN,Act,0.4819277108433735,0.874,1.0
1000000354_Act,OncoSig::RB-P107-DN.V1-UP,Act,0.6024096385542169,0.325,1.0
1000000336_Act,OncoSig::PRC1-BMI-UP.V1-UP,Act,0.6024096385542169,0.82,1.0
1000000324_Act,OncoSig::P53-DN.V1-UP,Act,0.6686746987951807,0.482,1.0
1000000386_Act,hall::ADIPOGENESIS,Act,0.5903614457831325,0.943,1.0
1000000424_Act,hall::PEROXISOME,Act,0.463855421686747,0.807,1.0
1000000390_Act,hall::APICAL-JUNCTION,Act,0.7289156626506024,0.292,1.0
1000000431_Act,hall::UNFOLDED-PROTEIN-RESPONSE,Act,0.4578313253012048,0.912,1.0
1000000432_Act,hall::UV-RESPONSE-DN,Act,0.6204819277108434,0.349,1.0
1000000433_Act,hall::UV-RESPONSE-UP,Act,0.5481927710843374,0.897,1.0
1000000435_Act,hall::XENOBIOTIC-METABOLISM,Act,0.5602409638554217,0.982,1.0
1000000017_Act,PID::ATF2-PATHWAY,Act,0.2710843373493976,0.978,1.0
1000000012_Act,PID::AR-TF-PATHWAY,Act,0.3253012048192771,0.721,1.0
1000000007_Act,PID::ANGIOPOIETIN-RECEPTOR-PATHWAY,Act,0.3192771084337349,0.658,1.0
1000000030_Act,PID::CD40-PATHWAY,Act,0.25903614457831325,0.46,1.0
1000000061_Act,PID::ERBB-NETWORK-PATHWAY,Act,0.1686746987951807,0.353,1.0
1000000081_Act,PID::HIV-NEF-PATHWAY,Act,0.25301204819277107,0.645,1.0
1000000086_Act,PID::IL12-2PATHWAY,Act,0.3072289156626506,0.956,1.0
1000000087_Act,PID::IL12-STAT4-PATHWAY,Act,0.16265060240963855,0.986,1.0
1000000089_Act,PID::IL23-PATHWAY,Act,0.2469879518072289,0.779,1.0
1000000090_Act,PID::IL27-PATHWAY,Act,0.20481927710843373,0.619,1.0
1000000104_Act,PID::INTEGRIN2-PATHWAY,Act,0.1746987951807229,0.91,1.0
1000000128_Act,PID::NFAT-TFPATHWAY,Act,0.22289156626506024,0.972,1.0
1000000141_Act,PID::PDGFRA-PATHWAY,Act,0.16265060240963855,0.753,1.0
1000000152_Act,PID::RANBP2-PATHWAY,Act,0.09036144578313253,0.741,1.0
1000000161_Act,PID::RHODOPSIN-PATHWAY,Act,0.21084337349397592,0.448,1.0
1000000177_Act,PID::TCR-CALCIUM-PATHWAY,Act,0.14457831325301204,0.984,1.0
1000000267_Act,OncoSig::GLI1-UP.V1-UP,Act,0.12048192771084337,0.969,1.0
1000000430_Act,hall::TNFA-SIGNALING-VIA-NFKB,Act,0.572289156626506,0.973,1.0
1000000387_Act,hall::ALLOGRAFT-REJECTION,Act,0.6506024096385542,0.625,1.0
1000000429_Act,hall::TGF-BETA-SIGNALING,Act,0.35542168674698793,0.531,1.0
1000000321_Act,OncoSig::NRL-DN.V1-DN,Act,0.5421686746987951,0.678,1.0
1000000391_Act,hall::APICAL-SURFACE,Act,0.3493975903614458,0.327,1.0
1000000392_Act,hall::APOPTOSIS,Act,0.5783132530120482,0.783,1.0
1000000395_Act,hall::COAGULATION,Act,0.572289156626506,0.608,1.0
1000000396_Act,hall::COMPLEMENT,Act,0.6325301204819277,0.781,1.0
1000000399_Act,hall::EPITHELIAL-MESENCHYMAL-TRANSITION,Act,0.7289156626506024,0.255,1.0
1000000400_Act,hall::ESTROGEN-RESPONSE-EARLY,Act,0.6445783132530121,0.639,1.0
1000000401_Act,hall::ESTROGEN-RESPONSE-LATE,Act,0.6927710843373494,0.385,1.0
1000000402_Act,hall::FATTY-ACID-METABOLISM,Act,0.5180722891566265,0.963,1.0
1000000403_Act,hall::G2M-CHECKPOINT,Act,0.608433734939759,0.875,1.0
1000000404_Act,hall::GLYCOLYSIS,Act,0.6204819277108434,0.813,1.0
1000000407_Act,hall::HYPOXIA,Act,0.572289156626506,0.972,1.0
1000000408_Act,hall::IL2-STAT5-SIGNALING,Act,0.5843373493975904,0.955,1.0
1000000410_Act,hall::INFLAMMATORY-RESPONSE,Act,0.536144578313253,0.999,1.0
1000000413_Act,hall::KRAS-SIGNALING-DN,Act,0.6686746987951807,0.487,1.0
1000000414_Act,hall::KRAS-SIGNALING-UP,Act,0.6265060240963856,0.796,1.0
1000000415_Act,hall::MITOTIC-SPINDLE,Act,0.6686746987951807,0.487,1.0
1000000416_Act,hall::MTORC1-SIGNALING,Act,0.5481927710843374,0.99,1.0
1000000417_Act,hall::MYC-TARGETS-V1,Act,0.5903614457831325,0.929,1.0
1000000418_Act,hall::MYC-TARGETS-V2,Act,0.35542168674698793,0.639,1.0
1000000419_Act,hall::MYOGENESIS,Act,0.7048192771084337,0.363,1.0
1000000421_Act,hall::OXIDATIVE-PHOSPHORYLATION,Act,0.4939759036144578,1.0,1.0
1000000425_Act,hall::PI3K-AKT-MTOR-SIGNALING,Act,0.4578313253012048,0.842,1.0
1000000319_Act,OncoSig::NOTCH-DN.V1-DN,Act,0.608433734939759,0.787,1.0
1000000294_Act,OncoSig::KRAS.DF.V1-DN,Act,0.6566265060240963,0.518,1.0
1000000316_Act,OncoSig::MYC-UP.V1-DN,Act,0.6024096385542169,0.694,1.0
1000000201_Act,OncoSig::ALK-DN.V1-DN,Act,0.5060240963855421,0.922,1.0
1000000204_Act,OncoSig::ATF2-S-UP.V1-UP,Act,0.6445783132530121,0.62,1.0
1000000205_Act,OncoSig::ATF2-UP.V1-DN,Act,0.5843373493975904,0.905,1.0
1000000206_Act,OncoSig::ATF2-UP.V1-UP,Act,0.6024096385542169,0.851,1.0
1000000207_Act,OncoSig::ATM-DN.V1-DN,Act,0.5180722891566265,0.942,1.0
1000000212_Act,OncoSig::BCAT-BILD-ET-AL-UP,Act,0.27710843373493976,0.792,1.0
1000000213_Act,OncoSig::BCAT-GDS748-DN,Act,0.3132530120481928,0.552,1.0
1000000216_Act,OncoSig::BMI1-DN.V1-UP,Act,0.5421686746987951,0.84,1.0
1000000218_Act,OncoSig::BMI1-DN-MEL18-DN.V1-UP,Act,0.5542168674698795,0.767,1.0
1000000220_Act,OncoSig::BRCA1-DN.V1-UP,Act,0.5542168674698795,0.605,1.0
1000000221_Act,OncoSig::CAHOY-ASTROCYTIC,Act,0.4397590361445783,0.882,1.0
1000000224_Act,OncoSig::CAHOY-OLIGODENDROCUTIC,Act,0.4819277108433735,0.627,1.0
1000000225_Act,OncoSig::CAMP-UP.V1-DN,Act,0.6566265060240963,0.59,1.0
1000000226_Act,OncoSig::CAMP-UP.V1-UP,Act,0.5843373493975904,0.94,1.0
1000000227_Act,OncoSig::CORDENONSI-YAP-CONSERVED-SIGNATURE,Act,0.37349397590361444,0.473,1.0
1000000229_Act,OncoSig::CRX-DN.V1-UP,Act,0.5542168674698795,0.653,1.0
1000000230_Act,OncoSig::CRX-NRL-DN.V1-DN,Act,0.5,0.847,1.0
