,Symbol,Type,Freq,Emp.p_value,q_value
2078_LoF,ERG,LoF,0.40208333333333335,0.0004,0.023399999999999997
7113_LoF,TMPRSS2,LoF,0.4125,0.0002,0.023399999999999997
5728_LoF,PTEN,LoF,0.22291666666666668,0.0017,0.0663
7157_LoF,TP53,LoF,0.17708333333333334,0.0077,0.09009
283514_LoF,SIAH3,LoF,0.17708333333333334,0.0077,0.09009
23143_LoF,LRCH1,LoF,0.17708333333333334,0.0077,0.09009
23091_LoF,ZC3H13,LoF,0.1875,0.0034,0.09009
7178_LoF,TPT1,LoF,0.17708333333333334,0.0077,0.09009
5462_Act,POU5F1B,Act,0.07916666666666666,0.0061,0.09009
4609_Act,MYC,Act,0.07916666666666666,0.0061,0.09009
145282_Act,MIPOL1,Act,0.05,0.0085,0.09040909090909091
55425_LoF,GPALPP1,LoF,0.175,0.0124,0.10362857142857142
3936_LoF,LCP1,LoF,0.175,0.0124,0.10362857142857142
23039_LoF,XPO7,LoF,0.175,0.0124,0.10362857142857142
26747_LoF,NUFIP1,LoF,0.17291666666666666,0.0196,0.11466
1960_LoF,EGR3,LoF,0.17291666666666666,0.0196,0.11466
4017_LoF,LOXL2,LoF,0.17291666666666666,0.0196,0.11466
9046_LoF,DOK2,LoF,0.17291666666666666,0.0196,0.11466
55124_LoF,PIWIL2,LoF,0.17291666666666666,0.0196,0.11466
57805_LoF,CCAR2,LoF,0.17291666666666666,0.0196,0.11466
8795_LoF,TNFRSF10B,LoF,0.17083333333333334,0.0295,0.12783333333333333
9583_LoF,ENTPD4,LoF,0.17083333333333334,0.0295,0.12783333333333333
203190_LoF,LGI3,LoF,0.17083333333333334,0.0295,0.12783333333333333
203069_LoF,R3HCC1,LoF,0.17083333333333334,0.0295,0.12783333333333333
80183_LoF,KIAA0226L,LoF,0.17083333333333334,0.0295,0.12783333333333333
3356_LoF,HTR2A,LoF,0.17083333333333334,0.0295,0.12783333333333333
23036_LoF,ZNF292,LoF,0.17083333333333334,0.0295,0.12783333333333333
27299_LoF,ADAMDEC1,LoF,0.16666666666666666,0.0396,0.14478749999999999
9445_LoF,ITM2B,LoF,0.16666666666666666,0.0396,0.14478749999999999
10863_LoF,ADAM28,LoF,0.16875,0.0367,0.14478749999999999
8848_LoF,TSC22D1,LoF,0.16666666666666666,0.0396,0.14478749999999999
23221_LoF,RHOBTB2,LoF,0.16875,0.0367,0.14478749999999999
688_LoF,KLF5,LoF,0.10833333333333334,0.0529,0.1534245283018868
23077_LoF,MYCBP2,LoF,0.10625,0.0544,0.1534245283018868
9882_LoF,TBC1D4,LoF,0.09791666666666667,0.0695,0.1534245283018868
463_LoF,ZFHX3,LoF,0.13125,0.0461,0.1534245283018868
2303_LoF,FOXC2,LoF,0.09791666666666667,0.0695,0.1534245283018868
2300_LoF,FOXL1,LoF,0.09791666666666667,0.0695,0.1534245283018868
146167_LoF,SLC38A8,LoF,0.1,0.0632,0.1534245283018868
57707_LoF,KIAA1609,LoF,0.09791666666666667,0.0695,0.1534245283018868
79786_LoF,KLHL36,LoF,0.09791666666666667,0.0695,0.1534245283018868
9013_LoF,TAF1C,LoF,0.09791666666666667,0.0695,0.1534245283018868
93107_LoF,KCNG4,LoF,0.09791666666666667,0.0695,0.1534245283018868
8720_LoF,MBTPS1,LoF,0.1,0.0632,0.1534245283018868
9100_LoF,USP10,LoF,0.09791666666666667,0.0695,0.1534245283018868
161931_LoF,ADAD2,LoF,0.10208333333333333,0.0601,0.1534245283018868
1105_LoF,CHD1,LoF,0.10416666666666667,0.0564,0.1534245283018868
404550_LoF,C16orf74,LoF,0.09791666666666667,0.0695,0.1534245283018868
440145_LoF,MZT1,LoF,0.10416666666666667,0.0564,0.1534245283018868
23199_LoF,GSE1,LoF,0.10208333333333333,0.0601,0.1534245283018868
22894_LoF,DIS3,LoF,0.10416666666666667,0.0564,0.1534245283018868
64881_LoF,PCDH20,LoF,0.12291666666666666,0.0493,0.1534245283018868
5101_LoF,PCDH9,LoF,0.13333333333333333,0.0453,0.1534245283018868
