,Symbol,Type,Freq,Emp.p_value,q_value
324_LoF,APC,LoF,0.8902439024390244,0.0,0.0
7052_Act,TGM2,Act,0.12195121951219512,0.0282,0.03981176470588235
140699_Act,C20orf132,Act,0.12195121951219512,0.0282,0.03981176470588235
671_Act,BPI,Act,0.12195121951219512,0.0282,0.03981176470588235
79913_Act,ACTR5,Act,0.12195121951219512,0.0282,0.03981176470588235
57148_Act,RALGAPB,Act,0.12195121951219512,0.0282,0.03981176470588235
26051_Act,PPP1R16B,Act,0.12195121951219512,0.0282,0.03981176470588235
81610_Act,FAM83D,Act,0.12195121951219512,0.0282,0.03981176470588235
5335_Act,PLCG1,Act,0.12195121951219512,0.0282,0.03981176470588235
22913_Act,RALY,Act,0.12195121951219512,0.0282,0.03981176470588235
171023_Act,ASXL1,Act,0.14634146341463414,0.0058,0.03981176470588235
343702_Act,XKR7,Act,0.12195121951219512,0.0282,0.03981176470588235
191_Act,AHCY,Act,0.13414634146341464,0.011,0.03981176470588235
140679_Act,SLC32A1,Act,0.12195121951219512,0.0282,0.03981176470588235
149954_Act,BPIFB4,Act,0.12195121951219512,0.0282,0.03981176470588235
92747_Act,BPIFB1,Act,0.12195121951219512,0.0282,0.03981176470588235
80341_Act,BPIFB2,Act,0.14634146341463414,0.0058,0.03981176470588235
128861_Act,BPIFA3,Act,0.12195121951219512,0.0282,0.03981176470588235
6640_Act,SNTA1,Act,0.12195121951219512,0.0282,0.03981176470588235
54715_LoF,RBFOX1,LoF,0.18292682926829268,0.0034,0.03981176470588235
5071_LoF,PARK2,LoF,0.06097560975609756,0.0144,0.03981176470588235
57540_LoF,DISP3,LoF,0.06097560975609756,0.0144,0.03981176470588235
51741_LoF,WWOX,LoF,0.06097560975609756,0.0144,0.03981176470588235
2241_LoF,FER,LoF,0.06097560975609756,0.0144,0.03981176470588235
23654_LoF,PLXNB2,LoF,0.06097560975609756,0.0144,0.03981176470588235
2195_LoF,FAT1,LoF,0.06097560975609756,0.0144,0.03981176470588235
55714_LoF,ODZ3,LoF,0.06097560975609756,0.0144,0.03981176470588235
51654_Act,CDK5RAP1,Act,0.12195121951219512,0.0282,0.03981176470588235
27164_LoF,SALL3,LoF,0.07317073170731707,0.0098,0.03981176470588235
54495_LoF,TMX3,LoF,0.06097560975609756,0.0144,0.03981176470588235
4089_LoF,SMAD4,LoF,0.13414634146341464,0.0059,0.03981176470588235
2312_Act,FLG,Act,0.17073170731707318,0.0038,0.03981176470588235
6934_LoF,TCF7L2,LoF,0.13414634146341464,0.0059,0.03981176470588235
388697_Act,HRNR,Act,0.12195121951219512,0.0282,0.03981176470588235
54904_Act,NSD3,Act,0.07317073170731707,0.0958,0.10218666666666666
607_Act,BCL9,Act,0.07317073170731707,0.0958,0.10218666666666666
2703_Act,GJA8,Act,0.07317073170731707,0.0958,0.10218666666666666
4881_Act,NPR1,Act,0.07317073170731707,0.0958,0.10218666666666666
2064_Act,ERBB2,Act,0.08536585365853659,0.0938,0.10218666666666666
84181_Act,CHD6,Act,0.10975609756097561,0.0802,0.10218666666666666
6708_Act,SPTA1,Act,0.07317073170731707,0.0958,0.10218666666666666
64900_Act,LPIN3,Act,0.10975609756097561,0.0802,0.10218666666666666
255967_Act,PAN3,Act,0.0975609756097561,0.0905,0.10218666666666666
2322_Act,FLT3,Act,0.0975609756097561,0.0905,0.10218666666666666
286_Act,ANK1,Act,0.08536585365853659,0.0938,0.10218666666666666
55870_Act,ASH1L,Act,0.06097560975609756,0.1027,0.1027
93210_Act,PGAP3,Act,0.06097560975609756,0.1027,0.1027
9909_Act,DENND4B,Act,0.06097560975609756,0.1027,0.1027
1000000026_LoF,PID::BETA-CATENIN-DEG-PATHWAY,LoF,0.9390243902439024,0.002,0.6587999999999999
1000000148_Act,PID::PS1-PATHWAY,Act,0.9390243902439024,0.007,0.6587999999999999
1000000118_Act,PID::MET-PATHWAY,Act,0.9634146341463414,0.009,0.6587999999999999
1000000027_Act,PID::BETA-CATENIN-NUC-PATHWAY,Act,0.9878048780487805,0.004,0.6587999999999999
1000000194_LoF,PID::WNT-CANONICAL-PATHWAY,LoF,0.9146341463414634,0.008,0.6587999999999999
1000000137_Act,PID::P53-DOWNSTREAM-PATHWAY,Act,0.9878048780487805,0.016,0.732
1000000113_Act,PID::LKB1-PATHWAY,Act,0.926829268292683,0.016,0.732
1000000033_Act,PID::CDC42-PATHWAY,Act,0.9634146341463414,0.012,0.732
1000000157_Act,PID::RET-PATHWAY,Act,0.5121951219512195,0.12,0.8734090909090909
1000000160_LoF,PID::RHOA-REG-PATHWAY,LoF,0.4146341463414634,0.179,0.8734090909090909
1000000023_Act,PID::AVB3-OPN-PATHWAY,Act,0.3902439024390244,0.176,0.8734090909090909
1000000151_Act,PID::RAC1-REG-PATHWAY,Act,0.4634146341463415,0.147,0.8734090909090909
1000000149_Act,PID::PTP1B-PATHWAY,Act,0.524390243902439,0.184,0.8734090909090909
1000000156_Act,PID::REG-GR-PATHWAY,Act,0.9024390243902439,0.151,0.8734090909090909
1000000142_Act,PID::PDGFRB-PATHWAY,Act,0.8902439024390244,0.209,0.8734090909090909
1000000144_Act,PID::PI3KCI-AKT-PATHWAY,Act,0.4024390243902439,0.189,0.8734090909090909
1000000143_Act,PID::PI3K-PLC-TRK-PATHWAY,Act,0.7317073170731707,0.075,0.8734090909090909
1000000022_Act,PID::AVB3-INTEGRIN-PATHWAY,Act,0.7195121951219512,0.172,0.8734090909090909
1000000141_Act,PID::PDGFRA-PATHWAY,Act,0.32926829268292684,0.131,0.8734090909090909
1000000140_LoF,PID::P75-NTR-PATHWAY,LoF,0.9390243902439024,0.053,0.8734090909090909
1000000135_Act,PID::P38-MK2-PATHWAY,Act,0.34146341463414637,0.119,0.8734090909090909
1000000132_Act,PID::P38-ALPHA-BETA-DOWNSTREAM-PATHWAY,Act,0.8902439024390244,0.064,0.8734090909090909
1000000129_Act,PID::NFKAPPAB-ATYPICAL-PATHWAY,Act,0.3170731707317073,0.092,0.8734090909090909
1000000145_Act,PID::PI3KCI-PATHWAY,Act,0.7439024390243902,0.106,0.8734090909090909
1000000051_Act,PID::EPHRINB-REV-PATHWAY,Act,0.47560975609756095,0.103,0.8734090909090909
1000000052_Act,PID::EPO-PATHWAY,Act,0.4146341463414634,0.15,0.8734090909090909
1000000385_Act,OncoSig::YAP1-UP,Act,0.4634146341463415,0.202,0.8734090909090909
1000000030_Act,PID::CD40-PATHWAY,Act,0.3780487804878049,0.196,0.8734090909090909
1000000037_Act,PID::CMYB-PATHWAY,Act,0.7926829268292683,0.178,0.8734090909090909
1000000039_Act,PID::CXCR3-PATHWAY,Act,0.6951219512195121,0.108,0.8734090909090909
1000000285_Act,OncoSig::KRAS.50-UP.V1-UP,Act,0.5,0.165,0.8734090909090909
1000000041_Act,PID::DELTA-NP63-PATHWAY,Act,0.573170731707317,0.132,0.8734090909090909
1000000006_Act,PID::AMB2-NEUTROPHILS-PATHWAY,Act,0.43902439024390244,0.187,0.8734090909090909
1000000211_Act,OncoSig::BCAT-BILD-ET-AL-DN,Act,0.45121951219512196,0.195,0.8734090909090909
1000000007_Act,PID::ANGIOPOIETIN-RECEPTOR-PATHWAY,Act,0.47560975609756095,0.204,0.8734090909090909
1000000009_LoF,PID::AP1-PATHWAY,LoF,0.9512195121951219,0.024,0.8734090909090909
1000000002_Act,PID::AJDISS-2PATHWAY,Act,0.4878048780487805,0.2,0.8734090909090909
1000000010_Act,PID::AR-NONGENOMIC-PATHWAY,Act,0.4268292682926829,0.135,0.8734090909090909
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.5853658536585366,0.123,0.8734090909090909
1000000193_Act,PID::VEGFR1-PATHWAY,Act,0.45121951219512196,0.09,0.8734090909090909
1000000192_Act,PID::VEGFR1-2-PATHWAY,Act,0.6219512195121951,0.195,0.8734090909090909
1000000188_Act,PID::TRKR-PATHWAY,Act,0.8414634146341463,0.141,0.8734090909090909
1000000182_Act,PID::TGFBR-PATHWAY,Act,0.5121951219512195,0.188,0.8734090909090909
1000000181_Act,PID::TELOMERASE-PATHWAY,Act,0.6097560975609756,0.194,0.8734090909090909
1000000179_Act,PID::TCR-PATHWAY,Act,0.7560975609756098,0.123,0.8734090909090909
1000000176_Act,PID::TCPTP-PATHWAY,Act,0.5,0.139,0.8734090909090909
1000000175_Act,PID::TAP63-PATHWAY,Act,0.5365853658536586,0.163,0.8734090909090909
1000000044_Act,PID::ECADHERIN-KERATINOCYTE-PATHWAY,Act,0.35365853658536583,0.104,0.8734090909090909
1000000020_Act,PID::AURORA-A-PATHWAY,Act,0.8902439024390244,0.049,0.8734090909090909
1000000168_Act,PID::SHP2-PATHWAY,Act,0.7560975609756098,0.118,0.8734090909090909
1000000032_Act,PID::CD8-TCR-PATHWAY,Act,0.7439024390243902,0.105,0.8734090909090909
1000000125_Act,PID::NEPHRIN-NEPH1-PATHWAY,Act,0.3780487804878049,0.196,0.8734090909090909
1000000094_Act,PID::IL3-PATHWAY,Act,0.4268292682926829,0.095,0.8734090909090909
