,Symbol,Type,Freq,Emp.p_value,q_value
1000000120_Act,PID::MYC-ACTIV-PATHWAY,Act,0.7797356828193832,0.0,0.0
1000000113_Act,PID::LKB1-PATHWAY,Act,0.7312775330396476,0.0,0.0
7157_LoF,TP53,LoF,0.46255506607929514,0.0,0.0
1000000138_Act,PID::P53-REGULATION-PATHWAY,Act,0.7973568281938326,0.0,0.0
1000000156_Act,PID::REG-GR-PATHWAY,Act,0.8193832599118943,0.0,0.0
1000000137_Act,PID::P53-DOWNSTREAM-PATHWAY,Act,0.8502202643171806,0.0,0.0
1000000020_Act,PID::AURORA-A-PATHWAY,Act,0.73568281938326,0.0,0.0
1000000140_Act,PID::P75-NTR-PATHWAY,Act,0.7533039647577092,0.001,0.043777777777777784
1000000422_Act,hall::P53-PATHWAY,Act,0.8766519823788547,0.001,0.043777777777777784
1000000079_Act,PID::HIF1A-PATHWAY,Act,0.6431718061674009,0.001,0.043777777777777784
1368_Act,CPM,Act,0.19383259911894274,0.001,0.056650000000000006
4193_Act,MDM2,Act,0.19823788546255505,0.0009,0.056650000000000006
5925_LoF,RB1,LoF,0.27312775330396477,0.0011,0.056650000000000006
1000000009_Act,PID::AP1-PATHWAY,Act,0.762114537444934,0.002,0.07880000000000001
1000000024_Act,PID::BARD1-PATHWAY,Act,0.6387665198237885,0.003,0.09092307692307693
1000000398_Act,hall::E2F-TARGETS,Act,0.8634361233480177,0.003,0.09092307692307693
1000000419_Act,hall::MYOGENESIS,Act,0.8590308370044053,0.003,0.09092307692307693
55054_LoF,ATG16L1,LoF,0.07929515418502203,0.0312,0.10094
55002_Act,TMCO3,Act,0.07488986784140969,0.0392,0.10094
23263_Act,MCF2L,Act,0.07488986784140969,0.0392,0.10094
7027_Act,TFDP1,Act,0.07488986784140969,0.0392,0.10094
85409_Act,NKD2,Act,0.07488986784140969,0.0392,0.10094
10723_Act,SLC12A7,Act,0.07488986784140969,0.0392,0.10094
7015_Act,TERT,Act,0.09251101321585903,0.0225,0.10094
340024_Act,SLC6A19,Act,0.07929515418502203,0.032,0.10094
2859_LoF,GPR35,LoF,0.0881057268722467,0.0205,0.10094
22821_Act,RASA3,Act,0.07929515418502203,0.032,0.10094
6416_Act,MAP2K4,Act,0.12334801762114538,0.0166,0.10094
9912_Act,ARHGAP44,Act,0.13215859030837004,0.0115,0.10094
93649_Act,MYOCD,Act,0.13215859030837004,0.0115,0.10094
9955_Act,HS3ST3A1,Act,0.12334801762114538,0.0166,0.10094
1770_Act,DNAH9,Act,0.14537444933920704,0.0054,0.10094
64518_Act,TEKT3,Act,0.1277533039647577,0.0144,0.10094
898_Act,CCNE1,Act,0.09251101321585903,0.0225,0.10094
91647_Act,ATPAF2,Act,0.14096916299559473,0.0072,0.10094
60528_Act,ELAC2,Act,0.13656387665198239,0.0096,0.10094
50636_LoF,ANO7,LoF,0.1145374449339207,0.0061,0.10094
25992_LoF,SNED1,LoF,0.09691629955947137,0.0161,0.10094
54657_LoF,UGT1A4,LoF,0.07929515418502203,0.0312,0.10094
8527_LoF,DGKD,LoF,0.08370044052863436,0.0252,0.10094
9208_LoF,LRRFIP1,LoF,0.08370044052863436,0.0252,0.10094
54579_LoF,UGT1A5,LoF,0.07488986784140969,0.0382,0.10094
23328_Act,SASH1,Act,0.07488986784140969,0.0392,0.10094
54575_LoF,UGT1A10,LoF,0.07488986784140969,0.0382,0.10094
1600_Act,DAB1,Act,0.0881057268722467,0.0244,0.10094
4070_Act,TACSTD2,Act,0.08370044052863436,0.0278,0.10094
5636_Act,PRPSAP2,Act,0.14096916299559473,0.0072,0.10094
6720_Act,SREBF1,Act,0.13656387665198239,0.0096,0.10094
51168_Act,MYO15A,Act,0.16740088105726872,0.003,0.10094
125170_Act,MIEF2,Act,0.14096916299559473,0.0072,0.10094
26052_Act,DNM3,Act,0.10572687224669604,0.0198,0.10094
2015_Act,ADGRE1,Act,0.07488986784140969,0.0392,0.10094
10350_Act,ABCA9,Act,0.07488986784140969,0.0392,0.10094
2194_Act,FASN,Act,0.07488986784140969,0.0392,0.10094
5728_LoF,PTEN,LoF,0.0881057268722467,0.0205,0.10094
375318_LoF,AQP12A,LoF,0.0881057268722467,0.0205,0.10094
547_LoF,KIF1A,LoF,0.1013215859030837,0.01,0.10094
6694_LoF,SPP2,LoF,0.07488986784140969,0.0382,0.10094
3635_LoF,INPP5D,LoF,0.0881057268722467,0.0205,0.10094
51281_LoF,ANKMY1,LoF,0.0881057268722467,0.0205,0.10094
4705_LoF,NDUFA10,LoF,0.08370044052863436,0.0252,0.10094
23677_LoF,SH3BP4,LoF,0.07488986784140969,0.0382,0.10094
23178_LoF,PASK,LoF,0.1013215859030837,0.01,0.10094
6295_LoF,SAG,LoF,0.07488986784140969,0.0382,0.10094
8864_LoF,PER2,LoF,0.07929515418502203,0.0312,0.10094
377007_LoF,KLHL30,LoF,0.0881057268722467,0.0205,0.10094
79054_LoF,TRPM8,LoF,0.07929515418502203,0.0312,0.10094
116987_LoF,AGAP1,LoF,0.0881057268722467,0.0205,0.10094
2817_LoF,GPC1,LoF,0.0881057268722467,0.0205,0.10094
4763_LoF,NF1,LoF,0.07929515418502203,0.0312,0.10094
9855_LoF,FARP2,LoF,0.1013215859030837,0.01,0.10094
1841_LoF,DTYMK,LoF,0.1013215859030837,0.01,0.10094
51078_LoF,THAP4,LoF,0.1013215859030837,0.01,0.10094
8632_Act,DNAH17,Act,0.07929515418502203,0.032,0.10094
149018_Act,LELP1,Act,0.07488986784140969,0.0392,0.10094
23126_Act,POGZ,Act,0.07488986784140969,0.0392,0.10094
388697_Act,HRNR,Act,0.09691629955947137,0.0216,0.10094
64284_LoF,RAB17,LoF,0.07929515418502203,0.0312,0.10094
3713_Act,IVL,Act,0.07929515418502203,0.032,0.10094
126637_Act,TCHHL1,Act,0.0881057268722467,0.0244,0.10094
1293_LoF,COL6A3,LoF,0.09251101321585903,0.0184,0.10094
126638_Act,RPTN,Act,0.07488986784140969,0.0392,0.10094
2312_Act,FLG,Act,0.1145374449339207,0.0183,0.10094
353132_Act,LCE1B,Act,0.07488986784140969,0.0392,0.10094
353134_Act,LCE1D,Act,0.07488986784140969,0.0392,0.10094
353140_Act,LCE2C,Act,0.07929515418502203,0.032,0.10094
7062_Act,TCHH,Act,0.07929515418502203,0.032,0.10094
128611_Act,ZNF831,Act,0.07488986784140969,0.0392,0.10094
482_LoF,ATP1B2,LoF,0.13656387665198239,0.0042,0.10094
49860_Act,CRNN,Act,0.08370044052863436,0.0278,0.10094
388698_Act,FLG2,Act,0.0881057268722467,0.0244,0.10094
80895_LoF,ILKAP,LoF,0.08370044052863436,0.0252,0.10094
6262_LoF,RYR2,LoF,0.07929515418502203,0.0312,0.10094
4978_LoF,OPCML,LoF,0.05286343612334802,0.0573,0.1035421052631579
79659_LoF,DYNC2H1,LoF,0.05286343612334802,0.0573,0.1035421052631579
4297_LoF,KMT2A,LoF,0.05286343612334802,0.0573,0.1035421052631579
50863_LoF,NTM,LoF,0.05726872246696035,0.0512,0.1035421052631579
9743_LoF,ARHGAP32,LoF,0.05286343612334802,0.0573,0.1035421052631579
9228_LoF,DLGAP2,LoF,0.06607929515418502,0.044,0.1035421052631579
157697_LoF,ERICH1,LoF,0.06607929515418502,0.044,0.1035421052631579
54549_Act,SDK2,Act,0.07048458149779736,0.0543,0.1035421052631579
56776_LoF,FMN2,LoF,0.05286343612334802,0.0573,0.1035421052631579
7399_LoF,USH2A,LoF,0.05726872246696035,0.0512,0.1035421052631579
84033_LoF,OBSCN,LoF,0.05286343612334802,0.0573,0.1035421052631579
201973_LoF,CCDC111,LoF,0.05286343612334802,0.0573,0.1035421052631579
3818_LoF,KLKB1,LoF,0.05286343612334802,0.0573,0.1035421052631579
79682_LoF,CENPU,LoF,0.05286343612334802,0.0573,0.1035421052631579
4543_LoF,MTNR1A,LoF,0.05286343612334802,0.0573,0.1035421052631579
7098_LoF,TLR3,LoF,0.05286343612334802,0.0573,0.1035421052631579
391723_LoF,HELT,LoF,0.05286343612334802,0.0573,0.1035421052631579
55714_LoF,ODZ3,LoF,0.07048458149779736,0.0419,0.1035421052631579
8470_LoF,SORBS2,LoF,0.05286343612334802,0.0573,0.1035421052631579
2195_LoF,FAT1,LoF,0.07048458149779736,0.0419,0.1035421052631579
347688_LoF,TUBB8,LoF,0.05726872246696035,0.0512,0.1035421052631579
8858_Act,PROZ,Act,0.07048458149779736,0.0543,0.1035421052631579
7007_LoF,TECTA,LoF,0.05286343612334802,0.0573,0.1035421052631579
91181_Act,NUP210L,Act,0.07048458149779736,0.0543,0.1035421052631579
472_LoF,ATM,LoF,0.05726872246696035,0.0512,0.1035421052631579
79781_LoF,IQCA1,LoF,0.07048458149779736,0.0419,0.1035421052631579
26097_Act,CHTOP,Act,0.07048458149779736,0.0543,0.1035421052631579
114771_Act,PGLYRP3,Act,0.07048458149779736,0.0543,0.1035421052631579
65123_Act,INTS3,Act,0.07048458149779736,0.0543,0.1035421052631579
6276_Act,S100A5,Act,0.07048458149779736,0.0543,0.1035421052631579
2621_Act,GAS6,Act,0.07048458149779736,0.0543,0.1035421052631579
348013_Act,FAM70B,Act,0.07048458149779736,0.0543,0.1035421052631579
3643_Act,INSR,Act,0.07048458149779736,0.0543,0.1035421052631579
23250_Act,ATP11A,Act,0.07048458149779736,0.0543,0.1035421052631579
1000000132_Act,PID::P38-ALPHA-BETA-DOWNSTREAM-PATHWAY,Act,0.6740088105726872,0.004,0.11257142857142857
1000000434_Act,hall::WNT-BETA-CATENIN-SIGNALING,Act,0.6872246696035242,0.005,0.11588235294117648
1000000326_Act,OncoSig::P53-DN.V2-UP,Act,0.8281938325991189,0.005,0.11588235294117648
1000000074_Act,PID::HDAC-CLASSIII-PATHWAY,Act,0.5903083700440529,0.005,0.11588235294117648
64446_Act,DNAI2,Act,0.06607929515418502,0.0752,0.12008682170542635
57592_Act,ZNF687,Act,0.06607929515418502,0.0752,0.12008682170542635
54460_Act,MRPS21,Act,0.06607929515418502,0.0752,0.12008682170542635
448834_Act,KPRP,Act,0.06607929515418502,0.0752,0.12008682170542635
9909_Act,DENND4B,Act,0.06607929515418502,0.0752,0.12008682170542635
6097_Act,RORC,Act,0.06607929515418502,0.0752,0.12008682170542635
56957_Act,OTUD7B,Act,0.06607929515418502,0.0752,0.12008682170542635
1513_Act,CTSK,Act,0.06607929515418502,0.0752,0.12008682170542635
51177_Act,PLEKHO1,Act,0.06607929515418502,0.0752,0.12008682170542635
3691_Act,ITGB4,Act,0.06607929515418502,0.0752,0.12008682170542635
645922_Act,S100A7L2,Act,0.06607929515418502,0.0752,0.12008682170542635
11022_Act,TDRKH,Act,0.06607929515418502,0.0752,0.12008682170542635
2125_Act,EVPL,Act,0.06607929515418502,0.0752,0.12008682170542635
57674_Act,RNF213,Act,0.06607929515418502,0.0752,0.12008682170542635
84074_Act,QRICH2,Act,0.06607929515418502,0.0752,0.12008682170542635
55204_Act,GOLPH3L,Act,0.06167400881057269,0.1012,0.1427890410958904
63893_Act,UBE2O,Act,0.06167400881057269,0.1012,0.1427890410958904
79902_Act,NUP85,Act,0.06167400881057269,0.1012,0.1427890410958904
11189_Act,CELF3,Act,0.06167400881057269,0.1012,0.1427890410958904
6730_Act,SRP68,Act,0.06167400881057269,0.1012,0.1427890410958904
124590_Act,USH1G,Act,0.06167400881057269,0.1012,0.1427890410958904
