,Symbol,Type,Freq,Emp.p_value,q_value
1000000180_Act,PID::TCR-RAS-PATHWAY,Act,0.8850931677018633,0.0,0.0
1000000117_Act,PID::MAPK-TRK-PATHWAY,Act,0.8975155279503105,0.0,0.0
673_Act,BRAF,Act,0.5279503105590062,0.0002,0.1278
1000000119_Act,PID::MTOR-4PATHWAY,Act,0.9503105590062112,0.001,0.135
8733_Act,GPAA1,Act,0.08074534161490683,0.1317,0.33336305084745765
27161_Act,AGO2,Act,0.08074534161490683,0.1317,0.33336305084745765
4609_Act,MYC,Act,0.08385093167701864,0.1132,0.33336305084745765
1537_Act,CYC1,Act,0.08074534161490683,0.1317,0.33336305084745765
56829_Act,ZC3HAV1,Act,0.09316770186335403,0.0736,0.33336305084745765
64764_Act,CREB3L2,Act,0.08695652173913043,0.0967,0.33336305084745765
79989_Act,TTC26,Act,0.08074534161490683,0.1317,0.33336305084745765
136306_Act,SVOPL,Act,0.09006211180124224,0.084,0.33336305084745765
8805_Act,TRIM24,Act,0.07763975155279502,0.1539,0.33336305084745765
254048_Act,UBN2,Act,0.07763975155279502,0.1539,0.33336305084745765
5726_Act,TAS2R38,Act,0.09316770186335403,0.0736,0.33336305084745765
494551_Act,WEE2,Act,0.08695652173913043,0.0967,0.33336305084745765
1584_Act,CYP11B1,Act,0.10248447204968944,0.0523,0.33336305084745765
80853_Act,JHDM1D,Act,0.07763975155279502,0.1539,0.33336305084745765
90956_Act,ADCK2,Act,0.07763975155279502,0.1539,0.33336305084745765
57670_Act,KIAA1549,Act,0.10869565217391304,0.0433,0.33336305084745765
55750_Act,AGK,Act,0.07763975155279502,0.1539,0.33336305084745765
64761_Act,PARP12,Act,0.09006211180124224,0.084,0.33336305084745765
28996_Act,HIPK2,Act,0.09316770186335403,0.0736,0.33336305084745765
6718_Act,AKR1D1,Act,0.09627329192546584,0.0654,0.33336305084745765
92092_Act,ZC3HAV1L,Act,0.08074534161490683,0.1317,0.33336305084745765
50617_Act,ATP6V0A4,Act,0.11180124223602485,0.0406,0.33336305084745765
136242_Act,PRSS37,Act,0.07763975155279502,0.1539,0.33336305084745765
136541_Act,PRSS58,Act,0.08074534161490683,0.1317,0.33336305084745765
1585_Act,CYP11B2,Act,0.09627329192546584,0.0654,0.33336305084745765
389690_Act,MROH5,Act,0.08385093167701864,0.1132,0.33336305084745765
7227_Act,TRPS1,Act,0.09627329192546584,0.0654,0.33336305084745765
23237_Act,ARC,Act,0.07763975155279502,0.1539,0.33336305084745765
4796_Act,TONSL,Act,0.09316770186335403,0.0736,0.33336305084745765
9401_Act,RECQL4,Act,0.09006211180124224,0.084,0.33336305084745765
2738_Act,GLI4,Act,0.08074534161490683,0.1317,0.33336305084745765
9897_Act,KIAA0196,Act,0.08385093167701864,0.1132,0.33336305084745765
137209_Act,ZNF572,Act,0.08074534161490683,0.1317,0.33336305084745765
10397_Act,NDRG1,Act,0.07763975155279502,0.1539,0.33336305084745765
8840_Act,WISP1,Act,0.08695652173913043,0.0967,0.33336305084745765
114822_Act,RHPN1,Act,0.07763975155279502,0.1539,0.33336305084745765
58500_Act,ZNF250,Act,0.08074534161490683,0.1317,0.33336305084745765
23167_Act,EFR3A,Act,0.09627329192546584,0.0654,0.33336305084745765
26233_Act,FBXL6,Act,0.08074534161490683,0.1317,0.33336305084745765
50807_Act,ASAP1,Act,0.08695652173913043,0.0967,0.33336305084745765
5747_Act,PTK2,Act,0.07763975155279502,0.1539,0.33336305084745765
51305_Act,KCNK9,Act,0.10559006211180125,0.048,0.33336305084745765
23144_Act,ZC3H3,Act,0.09627329192546584,0.0654,0.33336305084745765
9831_Act,ZNF623,Act,0.08385093167701864,0.1132,0.33336305084745765
7264_Act,TSTA3,Act,0.08385093167701864,0.1132,0.33336305084745765
23639_Act,LRRC6,Act,0.09316770186335403,0.0736,0.33336305084745765
157769_Act,FAM91A1,Act,0.07763975155279502,0.1539,0.33336305084745765
137797_Act,LYPD2,Act,0.07763975155279502,0.1539,0.33336305084745765
