,Symbol,Type,Freq,Emp.p_value,q_value
8289_LoF,ARID1A,LoF,0.16615384615384615,0.0023,0.05668571428571429
64478_LoF,CSMD1,LoF,0.16923076923076924,0.0019,0.05668571428571429
4609_Act,MYC,Act,0.16923076923076924,0.0028,0.05668571428571429
4089_LoF,SMAD4,LoF,0.15076923076923077,0.0032,0.05668571428571429
401145_LoF,CCSER1,LoF,0.2246153846153846,0.0017,0.05668571428571429
2064_Act,ERBB2,Act,0.2,0.0007,0.05668571428571429
1029_LoF,CDKN2A,LoF,0.19076923076923077,0.0017,0.05668571428571429
3845_Act,KRAS,Act,0.13538461538461538,0.007,0.0868
5071_LoF,PARK2,LoF,0.12,0.0067,0.0868
2762_LoF,GMDS,LoF,0.11692307692307692,0.007,0.0868
64092_LoF,SAMSN1,LoF,0.055384615384615386,0.0398,0.11435555555555556
133558_Act,HEATR7B2,Act,0.09230769230769231,0.0415,0.11435555555555556
5019_Act,OXCT1,Act,0.09538461538461539,0.0337,0.11435555555555556
26996_Act,GPR160,Act,0.09230769230769231,0.0415,0.11435555555555556
5584_Act,PRKCI,Act,0.10461538461538461,0.0206,0.11435555555555556
57709_Act,SLC7A14,Act,0.09230769230769231,0.0415,0.11435555555555556
80012_Act,PHC3,Act,0.09230769230769231,0.0415,0.11435555555555556
6498_Act,SKIL,Act,0.09230769230769231,0.0415,0.11435555555555556
84060_Act,RBM48,Act,0.10153846153846154,0.0243,0.11435555555555556
1595_Act,CYP51A1,Act,0.10461538461538461,0.0206,0.11435555555555556
889_Act,KRIT1,Act,0.10153846153846154,0.0243,0.11435555555555556
5189_Act,PEX1,Act,0.09846153846153846,0.0287,0.11435555555555556
54467_Act,ANKIB1,Act,0.09846153846153846,0.0287,0.11435555555555556
221935_Act,SDK1,Act,0.1076923076923077,0.0176,0.11435555555555556
55259_Act,CASC1,Act,0.09846153846153846,0.0287,0.11435555555555556
23742_LoF,NPAP1,LoF,0.07076923076923076,0.0229,0.11435555555555556
253260_Act,RICTOR,Act,0.09230769230769231,0.0415,0.11435555555555556
54715_LoF,RBFOX1,LoF,0.06153846153846154,0.0302,0.11435555555555556
133584_Act,EGFLAM,Act,0.09538461538461539,0.0337,0.11435555555555556
5734_Act,PTGER4,Act,0.09538461538461539,0.0337,0.11435555555555556
149998_LoF,LIPI,LoF,0.06461538461538462,0.0272,0.11435555555555556
7179_LoF,TPTE,LoF,0.08615384615384615,0.0153,0.11435555555555556
3685_LoF,ITGAV,LoF,0.09538461538461539,0.0118,0.11435555555555556
5728_LoF,PTEN,LoF,0.09538461538461539,0.0118,0.11435555555555556
201973_LoF,CCDC111,LoF,0.055384615384615386,0.0398,0.11435555555555556
3660_LoF,IRF2,LoF,0.06153846153846154,0.0302,0.11435555555555556
79682_LoF,CENPU,LoF,0.055384615384615386,0.0398,0.11435555555555556
55714_LoF,ODZ3,LoF,0.08307692307692308,0.017,0.11435555555555556
55520_LoF,ELAC1,LoF,0.07692307692307693,0.0196,0.11435555555555556
5799_LoF,PTPRN2,LoF,0.07076923076923076,0.0229,0.11435555555555556
472_LoF,ATM,LoF,0.05846153846153846,0.0345,0.11435555555555556
3708_LoF,ITPR1,LoF,0.07076923076923076,0.0229,0.11435555555555556
10723_Act,SLC12A7,Act,0.09230769230769231,0.0415,0.11435555555555556
2533_Act,FYB,Act,0.09230769230769231,0.0415,0.11435555555555556
117583_LoF,PARD3B,LoF,0.06769230769230769,0.0245,0.11435555555555556
2180_LoF,ACSL1,LoF,0.052307692307692305,0.0456,0.1178
6416_LoF,MAP2K4,LoF,0.052307692307692305,0.0456,0.1178
57194_LoF,ATP10A,LoF,0.052307692307692305,0.0456,0.1178
729_Act,C6,Act,0.08923076923076922,0.0504,0.12254117647058822
3977_Act,LIFR,Act,0.08923076923076922,0.0504,0.12254117647058822
220064_Act,ORAOV1,Act,0.08923076923076922,0.0504,0.12254117647058822
7589_Act,ZSCAN21,Act,0.08615384615384615,0.0597,0.1370888888888889
79844_Act,ZDHHC11,Act,0.08615384615384615,0.0597,0.1370888888888889
2690_Act,GHR,Act,0.08615384615384615,0.0597,0.1370888888888889
730_Act,C7,Act,0.08,0.0805,0.1386388888888889
340024_Act,SLC6A19,Act,0.08307692307692308,0.0691,0.1386388888888889
55722_Act,CEP72,Act,0.08,0.0805,0.1386388888888889
23530_Act,NNT,Act,0.08307692307692308,0.0691,0.1386388888888889
7015_Act,TERT,Act,0.08,0.0805,0.1386388888888889
50805_Act,IRX4,Act,0.08307692307692308,0.0691,0.1386388888888889
6389_Act,SDHA,Act,0.08,0.0805,0.1386388888888889
3157_Act,HMGCS1,Act,0.08,0.0805,0.1386388888888889
2255_Act,FGF10,Act,0.08307692307692308,0.0691,0.1386388888888889
1601_Act,DAB2,Act,0.08,0.0805,0.1386388888888889
9180_Act,OSMR,Act,0.08,0.0805,0.1386388888888889
11076_Act,TPPP,Act,0.08307692307692308,0.0691,0.1386388888888889
5562_Act,PRKAA1,Act,0.08,0.0805,0.1386388888888889
6550_Act,SLC9A3,Act,0.08,0.0805,0.1386388888888889
348932_Act,SLC6A18,Act,0.08,0.0805,0.1386388888888889
7586_Act,ZKSCAN1,Act,0.08,0.0805,0.1386388888888889
7551_Act,ZNF3,Act,0.08,0.0805,0.1386388888888889
153478_Act,PLEKHG4B,Act,0.08,0.0805,0.1386388888888889
10016_Act,PDCD6,Act,0.07692307692307693,0.0949,0.14527901234567903
65980_Act,BRD9,Act,0.07692307692307693,0.0949,0.14527901234567903
389257_Act,LRRC14B,Act,0.07692307692307693,0.0949,0.14527901234567903
9319_Act,TRIP13,Act,0.07692307692307693,0.0949,0.14527901234567903
7690_Act,ZNF131,Act,0.07692307692307693,0.0949,0.14527901234567903
84674_Act,CARD6,Act,0.07692307692307693,0.0949,0.14527901234567903
10605_Act,PAIP1,Act,0.07692307692307693,0.0949,0.14527901234567903
26272_Act,FBXO4,Act,0.07692307692307693,0.0949,0.14527901234567903
4726_Act,NDUFS6,Act,0.07692307692307693,0.0949,0.14527901234567903
345557_Act,PLCXD3,Act,0.07384615384615385,0.1108,0.16553253012048194
8379_Act,MAD1L1,Act,0.07384615384615385,0.1108,0.16553253012048194
79778_Act,MICALL2,Act,0.06461538461538462,0.1389,0.172236
5575_Act,PRKAR1B,Act,0.06461538461538462,0.1389,0.172236
84433_Act,CARD11,Act,0.06461538461538462,0.1389,0.172236
8662_Act,EIF3B,Act,0.06461538461538462,0.1389,0.172236
23353_Act,SUN1,Act,0.06461538461538462,0.1389,0.172236
340260_Act,UNCX,Act,0.06461538461538462,0.1389,0.172236
2852_Act,GPER,Act,0.06769230769230769,0.1281,0.172236
