,Symbol,Type,Freq,Emp.p_value,q_value
3845_Act,KRAS,Act,0.2677165354330709,0.0002,0.0052
2_Act,A2M,Act,0.2125984251968504,0.0034,0.013
11272_Act,PRR4,Act,0.2125984251968504,0.0034,0.013
56341_Act,PRMT8,Act,0.2125984251968504,0.0034,0.013
399979_LoF,SNX19,LoF,0.11811023622047244,0.004,0.013
79607_LoF,FAM118B,LoF,0.11811023622047244,0.004,0.013
6484_LoF,ST3GAL4,LoF,0.11811023622047244,0.004,0.013
114609_LoF,TIRAP,LoF,0.11811023622047244,0.004,0.013
9573_Act,GDF3,Act,0.2047244094488189,0.0369,0.041713043478260874
10233_Act,LRRC23,Act,0.2047244094488189,0.0369,0.041713043478260874
5927_Act,KDM5A,Act,0.2047244094488189,0.0369,0.041713043478260874
64221_LoF,ROBO3,LoF,0.10236220472440945,0.0246,0.041713043478260874
93426_LoF,SYCE1,LoF,0.05511811023622047,0.0287,0.041713043478260874
57121_Act,LPAR5,Act,0.2047244094488189,0.0369,0.041713043478260874
10060_Act,ABCC9,Act,0.2047244094488189,0.0369,0.041713043478260874
775_Act,CACNA1C,Act,0.2047244094488189,0.0369,0.041713043478260874
259295_Act,TAS2R20,Act,0.2047244094488189,0.0369,0.041713043478260874
716_Act,C1S,Act,0.2047244094488189,0.0369,0.041713043478260874
5763_Act,PTMS,Act,0.2047244094488189,0.0369,0.041713043478260874
7289_Act,TULP3,Act,0.2047244094488189,0.0369,0.041713043478260874
79923_Act,NANOG,Act,0.2047244094488189,0.0369,0.041713043478260874
23085_Act,ERC1,Act,0.2047244094488189,0.0369,0.041713043478260874
3720_LoF,JARID2,LoF,0.07086614173228346,0.0272,0.041713043478260874
55297_Act,CCDC91,Act,0.14960629921259844,0.0867,0.089
8216_Act,LZTR1,Act,0.07086614173228346,0.089,0.089
3815_Act,KIT,Act,0.15748031496062992,0.0864,0.089
1000000071_Act,PID::GMCSF-PATHWAY,Act,0.4330708661417323,0.016,0.912
1000000058_Act,PID::ERBB1-RECEPTOR-PROXIMAL-PATHWAY,Act,0.4409448818897638,0.014,0.912
1000000168_Act,PID::SHP2-PATHWAY,Act,0.4881889763779528,0.008,0.912
1000000111_Act,PID::KIT-PATHWAY,Act,0.48031496062992124,0.013,0.912
