,Symbol,Type,Freq,Emp.p_value,q_value
5728_LoF,PTEN,LoF,0.44642857142857145,0.001,0.133
8289_LoF,ARID1A,LoF,0.21428571428571427,0.0056,0.14408333333333334
23654_LoF,PLXNB2,LoF,0.15178571428571427,0.0158,0.14408333333333334
64641_LoF,EBF2,LoF,0.14285714285714285,0.026,0.14408333333333334
2053_LoF,EPHX2,LoF,0.14285714285714285,0.026,0.14408333333333334
4741_LoF,NEFM,LoF,0.15178571428571427,0.0158,0.14408333333333334
81551_LoF,STMN4,LoF,0.14285714285714285,0.026,0.14408333333333334
1808_LoF,DPYSL2,LoF,0.14285714285714285,0.026,0.14408333333333334
4017_LoF,LOXL2,LoF,0.14285714285714285,0.026,0.14408333333333334
10174_LoF,SORBS3,LoF,0.14285714285714285,0.026,0.14408333333333334
8795_LoF,TNFRSF10B,LoF,0.14285714285714285,0.026,0.14408333333333334
10863_LoF,ADAM28,LoF,0.15178571428571427,0.0158,0.14408333333333334
5298_Act,PI4KB,Act,0.22321428571428573,0.0126,0.14408333333333334
55892_Act,MYNN,Act,0.20535714285714285,0.0257,0.14408333333333334
2122_Act,MECOM,Act,0.30357142857142855,0.004,0.14408333333333334
23126_Act,POGZ,Act,0.22321428571428573,0.0126,0.14408333333333334
4609_Act,MYC,Act,0.25,0.0077,0.14408333333333334
6498_Act,SKIL,Act,0.23214285714285715,0.0102,0.14408333333333334
53353_LoF,LRP1B,LoF,0.1875,0.0078,0.14408333333333334
5789_LoF,PTPRD,LoF,0.14285714285714285,0.026,0.14408333333333334
5584_Act,PRKCI,Act,0.22321428571428573,0.0126,0.14408333333333334
9172_LoF,MYOM2,LoF,0.14285714285714285,0.026,0.14408333333333334
4000_Act,LMNA,Act,0.20535714285714285,0.0257,0.14408333333333334
85378_LoF,TUBGCP6,LoF,0.14285714285714285,0.026,0.14408333333333334
1000000059_Act,PID::ERBB2-ERBB3-PATHWAY,Act,0.9196428571428571,0.003,0.14500000000000002
1000000094_Act,PID::IL3-PATHWAY,Act,0.8482142857142857,0.004,0.14500000000000002
1000000145_Act,PID::PI3KCI-PATHWAY,Act,0.9285714285714286,0.004,0.14500000000000002
1000000093_Act,PID::IL2-STAT5-PATHWAY,Act,0.8482142857142857,0.002,0.14500000000000002
1000000143_Act,PID::PI3K-PLC-TRK-PATHWAY,Act,0.8839285714285714,0.004,0.14500000000000002
1000000179_Act,PID::TCR-PATHWAY,Act,0.9464285714285714,0.004,0.14500000000000002
1000000048_Act,PID::EPHA2-FWD-PATHWAY,Act,0.8125,0.001,0.14500000000000002
1000000009_Act,PID::AP1-PATHWAY,Act,0.9732142857142857,0.002,0.14500000000000002
6746_Act,SSR2,Act,0.19642857142857142,0.0323,0.15016129032258066
126410_Act,CYP4F22,Act,0.13392857142857142,0.07,0.15016129032258066
8529_Act,CYP4F2,Act,0.13392857142857142,0.07,0.15016129032258066
66002_Act,CYP4F12,Act,0.13392857142857142,0.07,0.15016129032258066
9181_Act,ARHGEF2,Act,0.19642857142857142,0.0323,0.15016129032258066
4051_Act,CYP4F3,Act,0.14285714285714285,0.0624,0.15016129032258066
4854_Act,NOTCH3,Act,0.14285714285714285,0.0624,0.15016129032258066
84701_Act,COX4I2,Act,0.13392857142857142,0.07,0.15016129032258066
898_Act,CCNE1,Act,0.17857142857142858,0.0479,0.15016129032258066
54856_Act,GON4L,Act,0.19642857142857142,0.0323,0.15016129032258066
9869_Act,SETDB1,Act,0.17857142857142858,0.0479,0.15016129032258066
2064_Act,ERBB2,Act,0.14285714285714285,0.0624,0.15016129032258066
23476_Act,BRD4,Act,0.17857142857142858,0.0479,0.15016129032258066
1785_Act,DNM2,Act,0.15178571428571427,0.0588,0.15016129032258066
22889_Act,KHDC4,Act,0.1875,0.0412,0.15016129032258066
26538_Act,OR10H2,Act,0.14285714285714285,0.0624,0.15016129032258066
64926_Act,RASAL3,Act,0.13392857142857142,0.07,0.15016129032258066
10270_Act,AKAP8,Act,0.14285714285714285,0.0624,0.15016129032258066
58525_Act,WIZ,Act,0.13392857142857142,0.07,0.15016129032258066
1893_Act,ECM1,Act,0.17857142857142858,0.0479,0.15016129032258066
405_Act,ARNT,Act,0.17857142857142858,0.0479,0.15016129032258066
6016_Act,RIT1,Act,0.19642857142857142,0.0323,0.15016129032258066
339403_Act,RXFP4,Act,0.1875,0.0412,0.15016129032258066
91289_LoF,LMF2,LoF,0.125,0.0618,0.15016129032258066
6305_LoF,SBF1,LoF,0.125,0.0618,0.15016129032258066
2099_Act,ESR1,Act,0.13392857142857142,0.07,0.15016129032258066
