,Symbol,Type,Freq,Emp.p_value,q_value
53353_LoF,LRP1B,LoF,0.16981132075471697,0.0085,0.170856
2261_Act,FGFR3,Act,0.20754716981132076,0.0791,0.170856
22889_Act,KHDC4,Act,0.20754716981132076,0.0791,0.170856
6746_Act,SSR2,Act,0.20754716981132076,0.0791,0.170856
9181_Act,ARHGEF2,Act,0.22641509433962265,0.0598,0.170856
22974_Act,TPX2,Act,0.2830188679245283,0.0226,0.170856
245936_Act,DEFB123,Act,0.22641509433962265,0.0598,0.170856
81502_Act,HM13,Act,0.24528301886792453,0.046,0.170856
137902_Act,PXDNL,Act,0.22641509433962265,0.0598,0.170856
6101_Act,RP1,Act,0.24528301886792453,0.046,0.170856
23514_Act,KIAA0146,Act,0.20754716981132076,0.0791,0.170856
114786_Act,XKR4,Act,0.24528301886792453,0.046,0.170856
4609_Act,MYC,Act,0.24528301886792453,0.046,0.170856
57616_Act,TSHZ3,Act,0.3584905660377358,0.0139,0.170856
2039_LoF,DMTN,LoF,0.09433962264150944,0.0766,0.170856
9639_LoF,ARHGEF10,LoF,0.11320754716981132,0.0478,0.170856
4741_LoF,NEFM,LoF,0.09433962264150944,0.0766,0.170856
5925_LoF,RB1,LoF,0.16981132075471697,0.0085,0.170856
64478_LoF,CSMD1,LoF,0.1320754716981132,0.019,0.170856
8658_LoF,TNKS,LoF,0.11320754716981132,0.0478,0.170856
57805_LoF,CCAR2,LoF,0.09433962264150944,0.0766,0.170856
10174_LoF,SORBS3,LoF,0.09433962264150944,0.0766,0.170856
64641_LoF,EBF2,LoF,0.09433962264150944,0.0766,0.170856
9228_LoF,DLGAP2,LoF,0.1320754716981132,0.019,0.170856
94137_LoF,RP1L1,LoF,0.1320754716981132,0.019,0.170856
80005_LoF,DOCK5,LoF,0.07547169811320754,0.141,0.17907906976744187
2262_Act,GPC5,Act,0.11320754716981132,0.1426,0.17907906976744187
3609_Act,ILF3,Act,0.1320754716981132,0.1197,0.17907906976744187
55611_Act,OTUB1,Act,0.1509433962264151,0.1099,0.17907906976744187
2053_LoF,EPHX2,LoF,0.07547169811320754,0.141,0.17907906976744187
6507_Act,SLC1A3,Act,0.11320754716981132,0.1426,0.17907906976744187
8924_LoF,HERC2,LoF,0.07547169811320754,0.141,0.17907906976744187
84529_LoF,C15orf41,LoF,0.07547169811320754,0.141,0.17907906976744187
9824_LoF,ARHGAP11A,LoF,0.07547169811320754,0.141,0.17907906976744187
81551_LoF,STMN4,LoF,0.07547169811320754,0.141,0.17907906976744187
701_LoF,BUB1B,LoF,0.07547169811320754,0.141,0.17907906976744187
90427_LoF,BMF,LoF,0.07547169811320754,0.141,0.17907906976744187
161725_LoF,OTUD7A,LoF,0.07547169811320754,0.141,0.17907906976744187
440275_LoF,EIF2AK4,LoF,0.07547169811320754,0.141,0.17907906976744187
10343_LoF,PKDREJ,LoF,0.07547169811320754,0.141,0.17907906976744187
80274_LoF,SCUBE1,LoF,0.07547169811320754,0.141,0.17907906976744187
145942_LoF,TMCO5A,LoF,0.07547169811320754,0.141,0.17907906976744187
4212_LoF,MEIS2,LoF,0.07547169811320754,0.141,0.17907906976744187
2199_Act,FBLN2,Act,0.09433962264150944,0.155,0.18195652173913043
1638_Act,DCT,Act,0.09433962264150944,0.155,0.18195652173913043
10082_Act,GPC6,Act,0.09433962264150944,0.155,0.18195652173913043
148229_LoF,ATP8B3,LoF,0.05660377358490566,0.2199,0.2199
285331_LoF,CCDC66,LoF,0.05660377358490566,0.2199,0.2199
50650_LoF,ARHGEF3,LoF,0.05660377358490566,0.2199,0.2199
2192_LoF,FBLN1,LoF,0.05660377358490566,0.2199,0.2199
79087_LoF,ALG12,LoF,0.05660377358490566,0.2199,0.2199
758_LoF,MPPED1,LoF,0.05660377358490566,0.2199,0.2199
11252_LoF,PACSIN2,LoF,0.05660377358490566,0.2199,0.2199
6723_LoF,SRM,LoF,0.05660377358490566,0.2199,0.2199
1000000131_Act,PID::NOTCH-PATHWAY,Act,0.8490566037735849,0.222,0.998
1000000386_Act,hall::ADIPOGENESIS,Act,0.8679245283018868,0.958,0.998
1000000387_Act,hall::ALLOGRAFT-REJECTION,Act,0.9433962264150944,0.633,0.998
1000000388_Act,hall::ANDROGEN-RESPONSE,Act,0.7169811320754716,0.984,0.998
1000000390_Act,hall::APICAL-JUNCTION,Act,0.9433962264150944,0.634,0.998
1000000391_Act,hall::APICAL-SURFACE,Act,0.660377358490566,0.685,0.998
1000000392_Act,hall::APOPTOSIS,Act,0.8679245283018868,0.842,0.998
1000000395_Act,hall::COAGULATION,Act,0.8113207547169812,0.956,0.998
1000000396_Act,hall::COMPLEMENT,Act,0.9056603773584906,0.853,0.998
1000000399_Act,hall::EPITHELIAL-MESENCHYMAL-TRANSITION,Act,0.9056603773584906,0.843,0.998
1000000400_Act,hall::ESTROGEN-RESPONSE-EARLY,Act,0.8867924528301887,0.921,0.998
1000000401_Act,hall::ESTROGEN-RESPONSE-LATE,Act,0.8679245283018868,0.942,0.998
1000000403_Act,hall::G2M-CHECKPOINT,Act,0.9433962264150944,0.654,0.998
1000000385_Act,OncoSig::YAP1-UP,Act,0.6037735849056604,0.856,0.998
1000000404_Act,hall::GLYCOLYSIS,Act,0.8679245283018868,0.958,0.998
1000000407_Act,hall::HYPOXIA,Act,0.8490566037735849,0.97,0.998
1000000408_Act,hall::IL2-STAT5-SIGNALING,Act,0.8867924528301887,0.907,0.998
1000000410_Act,hall::INFLAMMATORY-RESPONSE,Act,0.9056603773584906,0.853,0.998
1000000413_Act,hall::KRAS-SIGNALING-DN,Act,0.9245283018867925,0.742,0.998
1000000414_Act,hall::KRAS-SIGNALING-UP,Act,0.8490566037735849,0.978,0.998
1000000415_Act,hall::MITOTIC-SPINDLE,Act,0.9811320754716981,0.37,0.998
1000000416_Act,hall::MTORC1-SIGNALING,Act,0.9056603773584906,0.833,0.998
1000000417_Act,hall::MYC-TARGETS-V1,Act,0.9056603773584906,0.838,0.998
1000000418_Act,hall::MYC-TARGETS-V2,Act,0.6792452830188679,0.83,0.998
1000000419_Act,hall::MYOGENESIS,Act,0.9433962264150944,0.634,0.998
1000000425_Act,hall::PI3K-AKT-MTOR-SIGNALING,Act,0.8679245283018868,0.54,0.998
1000000426_Act,hall::PROTEIN-SECRETION,Act,0.8490566037735849,0.589,0.998
1000000406_Act,hall::HEME-METABOLISM,Act,0.8490566037735849,0.974,0.998
1000000427_Act,hall::REACTIVE-OXYGEN-SPECIES-PATHWAY,Act,0.5660377358490566,0.962,0.998
1000000384_Act,OncoSig::YAP1-DN,Act,0.5660377358490566,0.93,0.998
1000000380_Act,OncoSig::VEGF-A-UP.V1-DN,Act,0.8679245283018868,0.938,0.998
1000000346_Act,OncoSig::PTEN-DN.V2-UP,Act,0.8301886792452831,0.91,0.998
1000000347_Act,OncoSig::RAF-UP.V1-DN,Act,0.8867924528301887,0.885,0.998
1000000348_Act,OncoSig::RAF-UP.V1-UP,Act,0.8679245283018868,0.925,0.998
1000000349_Act,OncoSig::RAPA-EARLY-UP.V1-DN,Act,0.8867924528301887,0.876,0.998
1000000350_Act,OncoSig::RAPA-EARLY-UP.V1-UP,Act,0.8490566037735849,0.927,0.998
1000000351_Act,OncoSig::RB-DN.V1-DN,Act,0.8113207547169812,0.887,0.998
1000000352_Act,OncoSig::RB-DN.V1-UP,Act,0.8867924528301887,0.575,0.998
1000000354_Act,OncoSig::RB-P107-DN.V1-UP,Act,0.8113207547169812,0.911,0.998
1000000355_Act,OncoSig::RB-P130-DN.V1-DN,Act,0.8679245283018868,0.763,0.998
1000000356_Act,OncoSig::RB-P130-DN.V1-UP,Act,0.7924528301886793,0.946,0.998
1000000357_Act,OncoSig::RELA-DN.V1-DN,Act,0.8301886792452831,0.912,0.998
1000000358_Act,OncoSig::RELA-DN.V1-UP,Act,0.9056603773584906,0.646,0.998
1000000381_Act,OncoSig::VEGF-A-UP.V1-UP,Act,0.9056603773584906,0.823,0.998
1000000359_Act,OncoSig::RPS14-DN.V1-DN,Act,0.8867924528301887,0.876,0.998
1000000363_Act,OncoSig::SIRNA-EIF4GI-UP,Act,0.8113207547169812,0.719,0.998
1000000366_Act,OncoSig::SRC-UP.V1-DN,Act,0.8679245283018868,0.874,0.998
1000000367_Act,OncoSig::SRC-UP.V1-UP,Act,0.8490566037735849,0.948,0.998
1000000370_Act,OncoSig::STK33-NOMO-UP,Act,0.8867924528301887,0.991,0.998
1000000371_Act,OncoSig::STK33-SKM-DN,Act,0.9245283018867925,0.91,0.998
1000000372_Act,OncoSig::STK33-SKM-UP,Act,0.8867924528301887,0.969,0.998
1000000373_Act,OncoSig::STK33-UP,Act,0.8867924528301887,0.979,0.998
1000000374_Act,OncoSig::TBK1.DF-DN,Act,0.9433962264150944,0.867,0.998
1000000375_Act,OncoSig::TBK1.DF-UP,Act,0.8867924528301887,0.991,0.998
1000000377_Act,OncoSig::TBK1.DN.48HRS-UP,Act,0.8679245283018868,0.143,0.998
1000000378_Act,OncoSig::TGFB-UP.V1-DN,Act,0.9056603773584906,0.816,0.998
1000000379_Act,OncoSig::TGFB-UP.V1-UP,Act,0.8867924528301887,0.866,0.998
1000000360_Act,OncoSig::RPS14-DN.V1-UP,Act,0.8867924528301887,0.871,0.998
1000000429_Act,hall::TGF-BETA-SIGNALING,Act,0.7169811320754716,0.665,0.998
1000000430_Act,hall::TNFA-SIGNALING-VIA-NFKB,Act,0.8679245283018868,0.953,0.998
1000000431_Act,hall::UNFOLDED-PROTEIN-RESPONSE,Act,0.8867924528301887,0.499,0.998
1000000070_Act,PID::GLYPICAN-1PATHWAY,Act,0.5849056603773585,0.543,0.998
1000000069_Act,PID::FRA-PATHWAY,Act,0.6792452830188679,0.466,0.998
1000000067_Act,PID::FOXM1-PATHWAY,Act,0.8490566037735849,0.101,0.998
1000000066_Act,PID::FGF-PATHWAY,Act,0.8867924528301887,0.15,0.998
1000000065_Act,PID::FCER1-PATHWAY,Act,0.8490566037735849,0.261,0.998
1000000056_Act,PID::ERBB1-DOWNSTREAM-PATHWAY,Act,0.9433962264150944,0.261,0.998
1000000054_Act,PID::ERA-GENOMIC-PATHWAY,Act,0.8301886792452831,0.371,0.998
1000000052_Act,PID::EPO-PATHWAY,Act,0.6792452830188679,0.397,0.998
1000000051_Act,PID::EPHRINB-REV-PATHWAY,Act,0.7735849056603774,0.112,0.998
1000000049_Act,PID::EPHA-FWDPATHWAY,Act,0.6226415094339622,0.607,0.998
1000000043_Act,PID::E2F-PATHWAY,Act,0.8301886792452831,0.453,0.998
1000000041_Act,PID::DELTA-NP63-PATHWAY,Act,0.7735849056603774,0.341,0.998
1000000071_Act,PID::GMCSF-PATHWAY,Act,0.8867924528301887,0.08,0.998
1000000040_Act,PID::CXCR4-PATHWAY,Act,0.9622641509433962,0.196,0.998
1000000035_Act,PID::CERAMIDE-PATHWAY,Act,0.5849056603773585,0.894,0.998
1000000030_Act,PID::CD40-PATHWAY,Act,0.5849056603773585,0.651,0.998
1000000029_Act,PID::CASPASE-PATHWAY,Act,0.660377358490566,0.809,0.998
1000000027_Act,PID::BETA-CATENIN-NUC-PATHWAY,Act,0.8113207547169812,0.587,0.998
1000000025_Act,PID::BCR-5PATHWAY,Act,0.9056603773584906,0.149,0.998
1000000024_Act,PID::BARD1-PATHWAY,Act,0.9811320754716981,0.006,0.998
1000000020_LoF,PID::AURORA-A-PATHWAY,LoF,0.9622641509433962,0.043,0.998
1000000017_Act,PID::ATF2-PATHWAY,Act,0.6981132075471698,0.776,0.998
1000000011_Act,PID::AR-PATHWAY,Act,0.6415094339622641,0.939,0.998
1000000006_Act,PID::AMB2-NEUTROPHILS-PATHWAY,Act,0.7169811320754716,0.438,0.998
1000000003_Act,PID::ALK1-PATHWAY,Act,0.4716981132075472,0.804,0.998
1000000001_Act,PID::A6B1-A6B4-INTEGRIN-PATHWAY,Act,0.8679245283018868,0.123,0.998
1000000037_Act,PID::CMYB-PATHWAY,Act,0.8679245283018868,0.391,0.998
1000000074_LoF,PID::HDAC-CLASSIII-PATHWAY,LoF,0.9811320754716981,0.016,0.998
1000000077_Act,PID::HES-HEY-PATHWAY,Act,0.7547169811320755,0.432,0.998
1000000214_Act,OncoSig::BCAT-GDS748-UP,Act,0.6415094339622641,0.799,0.998
1000000432_Act,hall::UV-RESPONSE-DN,Act,0.9245283018867925,0.528,0.998
1000000433_Act,hall::UV-RESPONSE-UP,Act,0.8867924528301887,0.76,0.998
1000000133_Act,PID::P38-ALPHA-BETA-PATHWAY,Act,0.660377358490566,0.374,0.998
1000000121_Act,PID::MYC-PATHWAY,Act,0.7169811320754716,0.14,0.998
1000000120_Act,PID::MYC-ACTIV-PATHWAY,Act,1.0,0.041,0.998
1000000119_Act,PID::MTOR-4PATHWAY,Act,0.8301886792452831,0.413,0.998
1000000117_Act,PID::MAPK-TRK-PATHWAY,Act,0.6037735849056604,0.664,0.998
1000000116_Act,PID::LYSOPHOSPHOLI,Act,0.7169811320754716,0.807,0.998
1000000113_Act,PID::LKB1-PATHWAY,Act,0.9811320754716981,0.03,0.998
1000000111_Act,PID::KIT-PATHWAY,Act,0.9056603773584906,0.12,0.998
1000000110_Act,PID::INTEGRIN-CS-PATHWAY,Act,0.4339622641509434,0.858,0.998
1000000106_Act,PID::INTEGRIN4-PATHWAY,Act,0.3584905660377358,0.473,0.998
1000000100_Act,PID::ILK-PATHWAY,Act,0.660377358490566,0.726,0.998
1000000099_Act,PID::IL8-CXCR2-PATHWAY,Act,0.6792452830188679,0.414,0.998
1000000098_Act,PID::IL8-CXCR1-PATHWAY,Act,0.5849056603773585,0.574,0.998
1000000097_Act,PID::IL6-7-PATHWAY,Act,0.8679245283018868,0.123,0.998
1000000096_Act,PID::IL5-PATHWAY,Act,0.7735849056603774,0.034,0.998
1000000095_Act,PID::IL4-2PATHWAY,Act,0.9056603773584906,0.177,0.998
1000000094_Act,PID::IL3-PATHWAY,Act,0.7735849056603774,0.099,0.998
1000000093_Act,PID::IL2-STAT5-PATHWAY,Act,0.9056603773584906,0.052,0.998
1000000092_Act,PID::IL2-PI3K-PATHWAY,Act,0.8490566037735849,0.081,0.998
1000000091_Act,PID::IL2-1PATHWAY,Act,0.8867924528301887,0.15,0.998
1000000083_Act,PID::HNF3B-PATHWAY,Act,0.8301886792452831,0.172,0.998
1000000042_Act,PID::DNA-PK-PATHWAY,Act,0.3584905660377358,0.734,0.998
1000000163_Act,PID::S1P-META-PATHWAY,Act,0.3018867924528302,0.945,0.998
1000000167_Act,PID::S1P-S1P4-PATHWAY,Act,0.3584905660377358,0.654,0.998
1000000196_Act,PID::WNT-SIGNALING-PATHWAY,Act,0.4339622641509434,0.917,0.998
1000000345_Act,OncoSig::PTEN-DN.V2-DN,Act,0.9433962264150944,0.423,0.998
1000000127_Act,PID::NFAT-3PATHWAY,Act,0.7924528301886793,0.373,0.998
1000000343_Act,OncoSig::PTEN-DN.V1-DN,Act,0.9433962264150944,0.595,0.998
1000000341_Act,OncoSig::PRC2-SUZ12-UP.V1-DN,Act,0.9245283018867925,0.698,0.998
1000000213_Act,OncoSig::BCAT-GDS748-DN,Act,0.660377358490566,0.685,0.998
1000000221_Act,OncoSig::CAHOY-ASTROCYTIC,Act,0.8679245283018868,0.538,0.998
1000000224_Act,OncoSig::CAHOY-OLIGODENDROCUTIC,Act,0.8679245283018868,0.516,0.998
1000000225_Act,OncoSig::CAMP-UP.V1-DN,Act,0.8867924528301887,0.899,0.998
1000000226_Act,OncoSig::CAMP-UP.V1-UP,Act,0.8490566037735849,0.97,0.998
1000000228_Act,OncoSig::CRX-DN.V1-DN,Act,0.8301886792452831,0.866,0.998
1000000235_Act,OncoSig::CSR-LATE-UP.V1-UP,Act,0.8490566037735849,0.932,0.998
1000000236_Act,OncoSig::CTIP-DN.V1-DN,Act,0.8490566037735849,0.79,0.998
1000000238_Act,OncoSig::CYCLIN-D1-KE-.V1-DN,Act,0.9056603773584906,0.822,0.998
1000000239_Act,OncoSig::CYCLIN-D1-KE-.V1-UP,Act,0.9056603773584906,0.81,0.998
1000000240_Act,OncoSig::CYCLIN-D1-UP.V1-DN,Act,0.9056603773584906,0.81,0.998
1000000241_Act,OncoSig::CYCLIN-D1-UP.V1-UP,Act,0.9056603773584906,0.79,0.998
1000000211_Act,OncoSig::BCAT-BILD-ET-AL-DN,Act,0.6415094339622641,0.781,0.998
1000000244_Act,OncoSig::E2F1-UP.V1-DN,Act,0.8113207547169812,0.992,0.998
1000000246_Act,OncoSig::E2F3-UP.V1-DN,Act,0.8679245283018868,0.892,0.998
1000000247_Act,OncoSig::E2F3-UP.V1-UP,Act,0.9056603773584906,0.81,0.998
1000000248_Act,OncoSig::EGFR-UP.V1-DN,Act,0.8867924528301887,0.861,0.998
1000000249_Act,OncoSig::EGFR-UP.V1-UP,Act,0.8679245283018868,0.936,0.998
1000000252_Act,OncoSig::ERBB2-UP.V1-DN,Act,0.8490566037735849,0.964,0.998
1000000253_Act,OncoSig::ERBB2-UP.V1-UP,Act,0.8867924528301887,0.892,0.998
1000000254_Act,OncoSig::ESC-J1-UP-EARLY.V1-DN,Act,0.8867924528301887,0.806,0.998
1000000256_Act,OncoSig::ESC-J1-UP-LATE.V1-DN,Act,0.7924528301886793,0.996,0.998
1000000257_Act,OncoSig::ESC-J1-UP-LATE.V1-UP,Act,0.9056603773584906,0.781,0.998
1000000258_Act,OncoSig::ESC-V6.5-UP-EARLY.V1-DN,Act,0.8679245283018868,0.87,0.998
1000000260_Act,OncoSig::ESC-V6.5-UP-LATE.V1-DN,Act,0.8867924528301887,0.849,0.998
1000000261_Act,OncoSig::ESC-V6.5-UP-LATE.V1-UP,Act,0.8679245283018868,0.931,0.998
1000000245_Act,OncoSig::E2F1-UP.V1-UP,Act,0.8867924528301887,0.886,0.998
1000000262_Act,OncoSig::GCNP-SHH-UP-EARLY.V1-DN,Act,0.9245283018867925,0.623,0.998
1000000210_Act,OncoSig::BCAT.100-UP.V1-UP,Act,0.7169811320754716,0.577,0.998
1000000208_Act,OncoSig::ATM-DN.V1-UP,Act,0.9245283018867925,0.535,0.998
1000000132_LoF,PID::P38-ALPHA-BETA-DOWNSTREAM-PATHWAY,LoF,0.9811320754716981,0.032,0.998
1000000139_Act,PID::P73PATHWAY,Act,0.8490566037735849,0.438,0.998
1000000142_Act,PID::PDGFRB-PATHWAY,Act,0.9811320754716981,0.184,0.998
1000000145_Act,PID::PI3KCI-PATHWAY,Act,0.9245283018867925,0.086,0.998
1000000146_Act,PID::PLK1-PATHWAY,Act,0.7169811320754716,0.537,0.998
1000000147_Act,PID::PRL-SIGNALING-EVENTS-PATHWAY,Act,0.7169811320754716,0.122,0.998
1000000148_Act,PID::PS1-PATHWAY,Act,0.6226415094339622,0.809,0.998
1000000149_Act,PID::PTP1B-PATHWAY,Act,0.8679245283018868,0.17,0.998
1000000151_Act,PID::RAC1-REG-PATHWAY,Act,0.6981132075471698,0.46,0.998
1000000154_Act,PID::RB-1PATHWAY,Act,0.8490566037735849,0.289,0.998
1000000155_Act,PID::REELIN-PATHWAY,Act,0.7169811320754716,0.194,0.998
1000000160_Act,PID::RHOA-REG-PATHWAY,Act,0.7169811320754716,0.54,0.998
1000000209_Act,OncoSig::BCAT.100-UP.V1-DN,Act,0.5471698113207547,0.867,0.998
1000000169_Act,PID::SMAD2-3NUCLEAR-PATHWAY,Act,0.7924528301886793,0.722,0.998
1000000181_Act,PID::TELOMERASE-PATHWAY,Act,0.8113207547169812,0.487,0.998
1000000188_Act,PID::TRKR-PATHWAY,Act,0.9245283018867925,0.115,0.998
1000000189_Act,PID::TXA2PATHWAY,Act,0.6415094339622641,0.891,0.998
1000000198_Act,OncoSig::AKT-UP.V1-UP,Act,0.8301886792452831,0.97,0.998
1000000200_Act,OncoSig::AKT-UP-MTOR-DN.V1-UP,Act,0.8679245283018868,0.903,0.998
1000000201_Act,OncoSig::ALK-DN.V1-DN,Act,0.9245283018867925,0.481,0.998
1000000202_Act,OncoSig::ALK-DN.V1-UP,Act,0.7735849056603774,0.986,0.998
1000000203_Act,OncoSig::ATF2-S-UP.V1-DN,Act,0.8113207547169812,0.992,0.998
1000000204_Act,OncoSig::ATF2-S-UP.V1-UP,Act,0.8679245283018868,0.943,0.998
