,Symbol,Type,Freq,Emp.p_value,q_value
1000000047_Act,PID::ENDOTHELIN-PATHWAY,Act,0.9875,0.0,0.0
9897_Act,KIAA0196,Act,0.1875,0.0283,0.064715
2099_LoF,ESR1,LoF,0.0625,0.0301,0.064715
7402_LoF,UTRN,LoF,0.075,0.0171,0.064715
79624_LoF,ARMT1,LoF,0.0625,0.0301,0.064715
23345_LoF,SYNE1,LoF,0.0875,0.0146,0.064715
389434_LoF,IYD,LoF,0.0625,0.0301,0.064715
51534_LoF,VTA1,LoF,0.0625,0.0301,0.064715
134637_LoF,ADAT2,LoF,0.0625,0.0301,0.064715
114788_Act,CSMD3,Act,0.2125,0.0089,0.064715
8840_Act,WISP1,Act,0.2,0.0103,0.064715
2113_LoF,ETS1,LoF,0.0625,0.0301,0.064715
9159_LoF,PCSK7,LoF,0.0625,0.0301,0.064715
169044_Act,COL22A1,Act,0.1875,0.0283,0.064715
83481_Act,EPPK1,Act,0.1875,0.0283,0.064715
4061_Act,LY6E,Act,0.1875,0.0283,0.064715
23513_Act,SCRIB,Act,0.1875,0.0283,0.064715
727957_Act,MROH1,Act,0.1875,0.0283,0.064715
27161_Act,AGO2,Act,0.1875,0.0283,0.064715
7373_Act,COL14A1,Act,0.1875,0.0283,0.064715
5339_Act,PLEC,Act,0.1875,0.0283,0.064715
57453_LoF,DSCAML1,LoF,0.05,0.1641,0.20753823529411766
7007_LoF,TECTA,LoF,0.05,0.1641,0.20753823529411766
9389_LoF,SLC22A14,LoF,0.05,0.1641,0.20753823529411766
23187_LoF,PHLDB1,LoF,0.05,0.1641,0.20753823529411766
28960_LoF,DCPS,LoF,0.05,0.1641,0.20753823529411766
23387_LoF,SIK3,LoF,0.05,0.1641,0.20753823529411766
83480_LoF,PUS3,LoF,0.05,0.1641,0.20753823529411766
390264_LoF,OR10G4,LoF,0.05,0.1641,0.20753823529411766
337_LoF,APOA4,LoF,0.05,0.1641,0.20753823529411766
6653_LoF,SORL1,LoF,0.05,0.1641,0.20753823529411766
116987_LoF,AGAP1,LoF,0.05,0.1641,0.20753823529411766
4013_LoF,VWA5A,LoF,0.05,0.1641,0.20753823529411766
80309_LoF,SPHKAP,LoF,0.05,0.1641,0.20753823529411766
3069_LoF,HDLBP,LoF,0.05,0.1641,0.20753823529411766
27012_Act,KCNV1,Act,0.1625,0.2427,0.28989166666666666
93035_Act,PKHD1L1,Act,0.175,0.2397,0.28989166666666666
10486_Act,CAP2,Act,0.125,0.2682,0.29570769230769234
54898_Act,ELOVL2,Act,0.125,0.2682,0.29570769230769234
1906_Act,EDN1,Act,0.125,0.2682,0.29570769230769234
2296_Act,FOXC1,Act,0.1125,0.364,0.364
2295_Act,FOXF2,Act,0.1125,0.364,0.364
55770_Act,EXOC2,Act,0.1125,0.364,0.364
222826_Act,FAM217A,Act,0.1125,0.364,0.364
1000000421_Act,hall::OXIDATIVE-PHOSPHORYLATION,Act,0.3375,0.999,1.0
1000000413_Act,hall::KRAS-SIGNALING-DN,Act,0.4,0.938,1.0
1000000414_Act,hall::KRAS-SIGNALING-UP,Act,0.375,0.976,1.0
1000000415_Act,hall::MITOTIC-SPINDLE,Act,0.4125,0.909,1.0
1000000416_Act,hall::MTORC1-SIGNALING,Act,0.35,0.992,1.0
