,Symbol,Type,Freq,Emp.p_value,q_value
7428_LoF,VHL,LoF,0.5086705202312138,0.0,0.0
1000006508_LoF,GO::negative regulation of transcription from RNA polymerase II promoter in response to hypoxia,LoF,0.5144508670520231,0.0,0.0
2199_LoF,FBLN2,LoF,0.10982658959537572,0.0087,0.040488461538461536
23180_LoF,RFTN1,LoF,0.10982658959537572,0.0087,0.040488461538461536
2264_Act,FGFR4,Act,0.17052023121387283,0.0047,0.040488461538461536
8614_Act,STC2,Act,0.1676300578034682,0.0081,0.040488461538461536
1794_Act,DOCK2,Act,0.17052023121387283,0.0047,0.040488461538461536
2324_Act,FLT4,Act,0.1676300578034682,0.0081,0.040488461538461536
821_Act,CANX,Act,0.1676300578034682,0.0081,0.040488461538461536
64324_Act,NSD1,Act,0.17052023121387283,0.0047,0.040488461538461536
10015_LoF,PDCD6IP,LoF,0.10982658959537572,0.0087,0.040488461538461536
643853_LoF,GLB1,LoF,0.11271676300578035,0.0055,0.040488461538461536
55209_LoF,SETD5,LoF,0.10982658959537572,0.0087,0.040488461538461536
80315_Act,CPEB4,Act,0.17052023121387283,0.0047,0.040488461538461536
6586_Act,SLIT3,Act,0.1676300578034682,0.0081,0.040488461538461536
152273_LoF,FGD5,LoF,0.10982658959537572,0.0087,0.040488461538461536
10533_LoF,ATG7,LoF,0.11849710982658959,0.0035,0.040488461538461536
6569_Act,SLC34A1,Act,0.17052023121387283,0.0047,0.040488461538461536
7508_LoF,XPC,LoF,0.10982658959537572,0.0087,0.040488461538461536
27166_Act,PRELID1,Act,0.1676300578034682,0.0081,0.040488461538461536
23061_Act,TBC1D9B,Act,0.1676300578034682,0.0081,0.040488461538461536
2917_LoF,GRM7,LoF,0.10982658959537572,0.0087,0.040488461538461536
79908_Act,BTNL8,Act,0.1676300578034682,0.0081,0.040488461538461536
1627_Act,DBN1,Act,0.1676300578034682,0.0081,0.040488461538461536
9794_Act,MAML1,Act,0.1676300578034682,0.0081,0.040488461538461536
51720_Act,UIMC1,Act,0.1676300578034682,0.0081,0.040488461538461536
57451_Act,ODZ2,Act,0.1676300578034682,0.0081,0.040488461538461536
5601_Act,MAPK9,Act,0.16184971098265896,0.0322,0.04278659793814433
6538_LoF,SLC6A11,LoF,0.10404624277456648,0.0343,0.04278659793814433
255426_Act,RASGEF1C,Act,0.16184971098265896,0.0322,0.04278659793814433
285676_Act,ZNF454,Act,0.16184971098265896,0.0322,0.04278659793814433
285679_Act,C5orf60,Act,0.16184971098265896,0.0322,0.04278659793814433
2554_Act,GABRA1,Act,0.16184971098265896,0.0322,0.04278659793814433
64419_LoF,MTMR14,LoF,0.10404624277456648,0.0343,0.04278659793814433
80746_LoF,TSEN2,LoF,0.10404624277456648,0.0343,0.04278659793814433
9881_LoF,TRANK1,LoF,0.10404624277456648,0.0343,0.04278659793814433
51121_Act,RPL26L1,Act,0.16184971098265896,0.0322,0.04278659793814433
26032_LoF,SUSD5,LoF,0.10404624277456648,0.0343,0.04278659793814433
10752_LoF,CHL1,LoF,0.10404624277456648,0.0343,0.04278659793814433
84818_LoF,IL17RC,LoF,0.10404624277456648,0.0343,0.04278659793814433
23066_LoF,CAND2,LoF,0.10404624277456648,0.0343,0.04278659793814433
51738_LoF,GHRL,LoF,0.10404624277456648,0.0343,0.04278659793814433
84522_LoF,JAGN1,LoF,0.10404624277456648,0.0343,0.04278659793814433
51244_LoF,C3orf19,LoF,0.10404624277456648,0.0343,0.04278659793814433
9797_LoF,TATDN2,LoF,0.10404624277456648,0.0343,0.04278659793814433
3708_LoF,ITPR1,LoF,0.1069364161849711,0.017,0.04278659793814433
5468_LoF,PPARG,LoF,0.10404624277456648,0.0343,0.04278659793814433
8536_LoF,CAMK1,LoF,0.10404624277456648,0.0343,0.04278659793814433
9901_LoF,SRGAP3,LoF,0.1069364161849711,0.017,0.04278659793814433
7862_LoF,BRPF1,LoF,0.10404624277456648,0.0343,0.04278659793814433
285368_LoF,PRRT3,LoF,0.10404624277456648,0.0343,0.04278659793814433
23225_LoF,NUP210,LoF,0.1069364161849711,0.017,0.04278659793814433
23243_LoF,ANKRD28,LoF,0.10404624277456648,0.0343,0.04278659793814433
4968_LoF,OGG1,LoF,0.10404624277456648,0.0343,0.04278659793814433
78987_LoF,CRELD1,LoF,0.10404624277456648,0.0343,0.04278659793814433
4488_Act,MSX2,Act,0.16184971098265896,0.0322,0.04278659793814433
285596_Act,FAM153A,Act,0.16473988439306358,0.0152,0.04278659793814433
53917_Act,RAB24,Act,0.16473988439306358,0.0152,0.04278659793814433
662_Act,BNIP1,Act,0.16473988439306358,0.0152,0.04278659793814433
4245_Act,MGAT1,Act,0.16184971098265896,0.0322,0.04278659793814433
5626_Act,PROP1,Act,0.16184971098265896,0.0322,0.04278659793814433
90249_Act,UNC5A,Act,0.16473988439306358,0.0152,0.04278659793814433
153222_Act,CREBRF,Act,0.16473988439306358,0.0152,0.04278659793814433
57472_Act,CNOT6,Act,0.16184971098265896,0.0322,0.04278659793814433
3187_Act,HNRNPH1,Act,0.16184971098265896,0.0322,0.04278659793814433
2161_Act,F12,Act,0.16473988439306358,0.0152,0.04278659793814433
30832_Act,ZNF354C,Act,0.16184971098265896,0.0322,0.04278659793814433
114787_Act,GPRIN1,Act,0.16184971098265896,0.0322,0.04278659793814433
10814_Act,CPLX2,Act,0.16473988439306358,0.0152,0.04278659793814433
57396_Act,CLK4,Act,0.16184971098265896,0.0322,0.04278659793814433
54825_Act,CDHR2,Act,0.16184971098265896,0.0322,0.04278659793814433
3101_Act,HK3,Act,0.16473988439306358,0.0152,0.04278659793814433
23567_Act,ZNF346,Act,0.16473988439306358,0.0152,0.04278659793814433
2566_Act,GABRG2,Act,0.16184971098265896,0.0322,0.04278659793814433
375484_Act,C5orf25,Act,0.16184971098265896,0.0322,0.04278659793814433
63920_Act,C5orf54,Act,0.16184971098265896,0.0322,0.04278659793814433
9945_Act,GFPT2,Act,0.16184971098265896,0.0322,0.04278659793814433
1812_Act,DRD1,Act,0.16184971098265896,0.0322,0.04278659793814433
285590_Act,SH3PXD2B,Act,0.16184971098265896,0.0322,0.04278659793814433
202134_Act,FAM153B,Act,0.16473988439306358,0.0152,0.04278659793814433
64901_Act,RANBP17,Act,0.16184971098265896,0.0322,0.04278659793814433
345462_Act,ZNF879,Act,0.16184971098265896,0.0322,0.04278659793814433
133491_Act,C5orf47,Act,0.16184971098265896,0.0322,0.04278659793814433
117608_Act,ZNF354B,Act,0.16473988439306358,0.0152,0.04278659793814433
80230_Act,RUFY1,Act,0.16184971098265896,0.0322,0.04278659793814433
2916_Act,GRM6,Act,0.16184971098265896,0.0322,0.04278659793814433
55651_Act,NHP2,Act,0.16184971098265896,0.0322,0.04278659793814433
84321_Act,THOC3,Act,0.16184971098265896,0.0322,0.04278659793814433
3937_Act,LCP2,Act,0.16184971098265896,0.0322,0.04278659793814433
2870_Act,GRK6,Act,0.16473988439306358,0.0152,0.04278659793814433
1843_Act,DUSP1,Act,0.16184971098265896,0.0322,0.04278659793814433
9509_Act,ADAMTS2,Act,0.16473988439306358,0.0152,0.04278659793814433
