,Symbol,Type,Freq,Emp.p_value,q_value
1000009267_Act,kegg::Hepatocellular carcinoma - Homo sapiens (human),Act,0.924198250728863,0.0,0.0
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.8250728862973761,0.0,0.0
1000009252_Act,kegg::Colorectal cancer - Homo sapiens (human),Act,0.8483965014577259,0.0,0.0
1000009240_Act,kegg::Human papillomavirus infection - Homo sapiens (human),Act,0.9620991253644315,0.0,0.0
1000009191_Act,kegg::Cushing syndrome - Homo sapiens (human),Act,0.9067055393586005,0.0,0.0
1000009266_Act,kegg::Breast cancer - Homo sapiens (human),Act,0.9067055393586005,0.0,0.0
1000009177_Act,kegg::Thyroid hormone signaling pathway - Homo sapiens (human),Act,0.8746355685131195,0.0,0.0
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.8483965014577259,0.0,0.0
1000009268_Act,kegg::Gastric cancer - Homo sapiens (human),Act,0.9096209912536443,0.0,0.0
1000009258_Act,kegg::Thyroid cancer - Homo sapiens (human),Act,0.7434402332361516,0.0,0.0
1000002320_Act,GO::positive regulation of mesenchymal cell proliferation,Act,0.641399416909621,0.0,0.0
7157_LoF,TP53,LoF,0.30612244897959184,0.0002,0.0398
6873_Act,TAF2,Act,0.18950437317784258,0.0117,0.09552000000000001
654463_Act,FER1L6,Act,0.1924198250728863,0.0074,0.09552000000000001
312_Act,ANXA13,Act,0.19533527696793002,0.0052,0.09552000000000001
441376_Act,AARD,Act,0.18950437317784258,0.0117,0.09552000000000001
22882_Act,ZHX2,Act,0.18950437317784258,0.0117,0.09552000000000001
7227_Act,TRPS1,Act,0.19533527696793002,0.0052,0.09552000000000001
9788_Act,MTSS1,Act,0.1924198250728863,0.0074,0.09552000000000001
4856_Act,NOV,Act,0.18950437317784258,0.0117,0.09552000000000001
113146_LoF,AHNAK2,LoF,0.061224489795918366,0.012,0.09552000000000001
29028_Act,ATAD2,Act,0.20408163265306123,0.0024,0.09552000000000001
7038_Act,TG,Act,0.20699708454810495,0.0023,0.09552000000000001
8289_LoF,ARID1A,LoF,0.09329446064139942,0.004,0.09552000000000001
114788_Act,CSMD3,Act,0.24489795918367346,0.0018,0.09552000000000001
53353_LoF,LRP1B,LoF,0.11078717201166181,0.003,0.09552000000000001
5925_LoF,RB1,LoF,0.10204081632653061,0.0034,0.09552000000000001
401474_Act,SAMD12,Act,0.18950437317784258,0.0117,0.09552000000000001
1029_LoF,CDKN2A,LoF,0.08163265306122448,0.0081,0.09552000000000001
169026_Act,SLC30A8,Act,0.18950437317784258,0.0117,0.09552000000000001
11244_Act,ZHX1,Act,0.1924198250728863,0.0074,0.09552000000000001
8667_Act,EIF3H,Act,0.18950437317784258,0.0117,0.09552000000000001
