,Symbol,Type,Freq,Emp.p_value,q_value
1000009241_Act,kegg::Human T-cell leukemia virus 1 infection - Homo sapiens (human),Act,1.0,0.0,0.0
1000004871_Act,GO::regulation of transcription; DNA-templated,Act,1.0,0.0,0.0
1000007445_Act,GO::positive regulation of gene expression,Act,1.0,0.0,0.0
1000009251_Act,kegg::MicroRNAs in cancer - Homo sapiens (human),Act,1.0,0.0,0.0
1000009101_Act,kegg::Apoptosis - Homo sapiens (human),Act,1.0,0.0,0.0
1000009250_Act,kegg::Proteoglycans in cancer - Homo sapiens (human),Act,1.0,0.0,0.0
1000009248_Act,kegg::Viral carcinogenesis - Homo sapiens (human),Act,1.0,0.0,0.0
1000009246_Act,kegg::Pathways in cancer - Homo sapiens (human),Act,1.0,0.0,0.0
1000009240_Act,kegg::Human papillomavirus infection - Homo sapiens (human),Act,1.0,0.0,0.0
1000009236_Act,kegg::Hepatitis B - Homo sapiens (human),Act,1.0,0.0,0.0
1000009235_Act,kegg::Hepatitis C - Homo sapiens (human),Act,1.0,0.0,0.0
1000009099_Act,kegg::PI3K-Akt signaling pathway - Homo sapiens (human),Act,1.0,0.0,0.0
1000009155_Act,kegg::Neurotrophin signaling pathway - Homo sapiens (human),Act,1.0,0.0,0.0
169270_LoF,ZNF596,LoF,0.1111111111111111,0.0048,0.11423999999999998
2122_Act,MECOM,Act,0.3942652329749104,0.0044,0.11423999999999998
54456_LoF,MOV10L1,LoF,0.1111111111111111,0.0048,0.11423999999999998
50807_Act,ASAP1,Act,0.43727598566308246,0.0028,0.11423999999999998
4763_LoF,NF1,LoF,0.14336917562724014,0.0012,0.11423999999999998
6305_LoF,SBF1,LoF,0.1111111111111111,0.0048,0.11423999999999998
85378_LoF,TUBGCP6,LoF,0.11827956989247312,0.0024,0.11423999999999998
5520_LoF,PPP2R2A,LoF,0.11469534050179211,0.0037,0.11423999999999998
23774_LoF,BRD1,LoF,0.1111111111111111,0.0048,0.11423999999999998
5925_LoF,RB1,LoF,0.14336917562724014,0.0012,0.11423999999999998
84517_Act,ACTRT3,Act,0.3763440860215054,0.0056,0.12116363636363636
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.996415770609319,0.001,0.12333333333333332
1000004067_LoF,GO::sister chromatid biorientation,LoF,0.16845878136200718,0.001,0.12333333333333332
157697_LoF,ERICH1,LoF,0.10752688172043011,0.0069,0.12632307692307693
344657_Act,LRRIQ4,Act,0.3727598566308244,0.0069,0.12632307692307693
53353_LoF,LRP1B,LoF,0.1039426523297491,0.0116,0.13803999999999997
26996_Act,GPR160,Act,0.35842293906810035,0.0107,0.13803999999999997
80012_Act,PHC3,Act,0.35842293906810035,0.0107,0.13803999999999997
23043_Act,TNIK,Act,0.35842293906810035,0.0107,0.13803999999999997
9889_LoF,ZBED4,LoF,0.1039426523297491,0.0116,0.13803999999999997
344658_Act,SAMD7,Act,0.36200716845878134,0.0089,0.13803999999999997
1375_LoF,CPT1B,LoF,0.1039426523297491,0.0116,0.13803999999999997
5010_Act,CLDN11,Act,0.3548387096774194,0.0123,0.1394
1120_LoF,CHKB,LoF,0.1003584229390681,0.0184,0.14126451612903224
79087_LoF,ALG12,LoF,0.1003584229390681,0.0184,0.14126451612903224
49_LoF,ACR,LoF,0.1003584229390681,0.0184,0.14126451612903224
29781_LoF,NCAPH2,LoF,0.1003584229390681,0.0184,0.14126451612903224
5584_Act,PRKCI,Act,0.35125448028673834,0.0141,0.14126451612903224
1890_LoF,TYMP,LoF,0.1003584229390681,0.0184,0.14126451612903224
200916_Act,RPL22L1,Act,0.34050179211469533,0.0166,0.14126451612903224
6514_Act,SLC2A2,Act,0.34050179211469533,0.0166,0.14126451612903224
57709_Act,SLC7A14,Act,0.35125448028673834,0.0141,0.14126451612903224
55586_LoF,MIOX,LoF,0.1003584229390681,0.0184,0.14126451612903224
898_Act,CCNE1,Act,0.21863799283154123,0.0198,0.14726250000000002
58508_Act,KMT2C,Act,0.16487455197132617,0.0269,0.16005499999999998
3845_Act,KRAS,Act,0.17204301075268819,0.0249,0.16005499999999998
92105_Act,INTS4,Act,0.16487455197132617,0.0269,0.16005499999999998
4033_Act,LRMP,Act,0.16845878136200718,0.0255,0.16005499999999998
23499_Act,MACF1,Act,0.17921146953405018,0.0242,0.16005499999999998
55259_Act,CASC1,Act,0.16487455197132617,0.0269,0.16005499999999998
26047_Act,CNTNAP2,Act,0.16487455197132617,0.0269,0.16005499999999998
23476_Act,BRD4,Act,0.1935483870967742,0.0233,0.16005499999999998
160492_Act,IFLTD1,Act,0.16129032258064516,0.0297,0.16281363636363635
5144_LoF,PDE4D,LoF,0.08960573476702509,0.0284,0.16281363636363635
23269_LoF,MGA,LoF,0.08243727598566308,0.0301,0.16281363636363635
79053_Act,ALG8,Act,0.16129032258064516,0.0297,0.16281363636363635
51301_LoF,GCNT4,LoF,0.053763440860215055,0.0677,0.16910526315789473
635_LoF,BHMT,LoF,0.05017921146953405,0.081,0.16910526315789473
170591_LoF,S100Z,LoF,0.05017921146953405,0.081,0.16910526315789473
202333_LoF,CMYA5,LoF,0.06451612903225806,0.0403,0.16910526315789473
64087_LoF,MCCC2,LoF,0.05017921146953405,0.081,0.16910526315789473
3156_LoF,HMGCR,LoF,0.053763440860215055,0.0677,0.16910526315789473
65987_Act,KCTD14,Act,0.15770609318996415,0.0345,0.16910526315789473
10788_LoF,IQGAP2,LoF,0.06451612903225806,0.0403,0.16910526315789473
4131_LoF,MAP1B,LoF,0.05734767025089606,0.0602,0.16910526315789473
100506658_LoF,OCLN,LoF,0.05017921146953405,0.081,0.16910526315789473
65980_Act,BRD9,Act,0.14695340501792115,0.0582,0.16910526315789473
55814_LoF,BDP1,LoF,0.05734767025089606,0.0602,0.16910526315789473
202243_LoF,CCDC125,LoF,0.05017921146953405,0.081,0.16910526315789473
4671_LoF,NAIP,LoF,0.05017921146953405,0.081,0.16910526315789473
134288_LoF,TMEM174,LoF,0.05017921146953405,0.081,0.16910526315789473
5884_LoF,RAD17,LoF,0.053763440860215055,0.0677,0.16910526315789473
51426_LoF,POLK,LoF,0.05017921146953405,0.081,0.16910526315789473
9456_LoF,HOMER1,LoF,0.05017921146953405,0.081,0.16910526315789473
167153_LoF,PAPD4,LoF,0.05017921146953405,0.081,0.16910526315789473
3074_LoF,HEXB,LoF,0.053763440860215055,0.0677,0.16910526315789473
8507_LoF,ENC1,LoF,0.06093189964157706,0.0472,0.16910526315789473
9607_LoF,CARTPT,LoF,0.05017921146953405,0.081,0.16910526315789473
2966_LoF,GTF2H2,LoF,0.05017921146953405,0.081,0.16910526315789473
64924_LoF,SLC30A5,LoF,0.05017921146953405,0.081,0.16910526315789473
22987_LoF,SV2C,LoF,0.05734767025089606,0.0602,0.16910526315789473
256987_LoF,SERINC5,LoF,0.05017921146953405,0.081,0.16910526315789473
1022_LoF,CDK7,LoF,0.05017921146953405,0.081,0.16910526315789473
55722_Act,CEP72,Act,0.14695340501792115,0.0582,0.16910526315789473
10016_Act,PDCD6,Act,0.14695340501792115,0.0582,0.16910526315789473
81037_Act,CLPTM1L,Act,0.15053763440860216,0.047,0.16910526315789473
689_LoF,BTF3,LoF,0.05017921146953405,0.081,0.16910526315789473
7776_LoF,ZNF236,LoF,0.06451612903225806,0.0403,0.16910526315789473
7058_LoF,THBS2,LoF,0.053763440860215055,0.0677,0.16910526315789473
55628_LoF,ZNF407,LoF,0.053763440860215055,0.0677,0.16910526315789473
9846_Act,GAB2,Act,0.15053763440860216,0.047,0.16910526315789473
8761_Act,PABPC4,Act,0.14336917562724014,0.0706,0.16910526315789473
54507_Act,ADAMTSL4,Act,0.15053763440860216,0.047,0.16910526315789473
348932_Act,SLC6A18,Act,0.15412186379928317,0.0399,0.16910526315789473
5799_Act,PTPRN2,Act,0.13978494623655913,0.081,0.16910526315789473
51742_Act,ARID4B,Act,0.13978494623655913,0.081,0.16910526315789473
6894_Act,TARBP1,Act,0.15053763440860216,0.047,0.16910526315789473
148641_Act,SLC35F3,Act,0.14695340501792115,0.0582,0.16910526315789473
7165_Act,TPD52L2,Act,0.14336917562724014,0.0706,0.16910526315789473
26205_Act,GMEB2,Act,0.14336917562724014,0.0706,0.16910526315789473
83855_LoF,KLF16,LoF,0.05734767025089606,0.0602,0.16910526315789473
26528_LoF,DAZAP1,LoF,0.06093189964157706,0.0472,0.16910526315789473
84939_LoF,MUM1,LoF,0.06451612903225806,0.0403,0.16910526315789473
53615_LoF,MBD3,LoF,0.06093189964157706,0.0472,0.16910526315789473
57455_LoF,REXO1,LoF,0.05734767025089606,0.0602,0.16910526315789473
22904_LoF,SBNO2,LoF,0.06451612903225806,0.0403,0.16910526315789473
24148_Act,PRPF6,Act,0.14336917562724014,0.0706,0.16910526315789473
11336_Act,EXOC3,Act,0.15053763440860216,0.047,0.16910526315789473
10161_LoF,LPAR6,LoF,0.06810035842293907,0.0365,0.16910526315789473
6531_Act,SLC6A3,Act,0.15053763440860216,0.047,0.16910526315789473
79844_Act,ZDHHC11,Act,0.14695340501792115,0.0582,0.16910526315789473
6389_Act,SDHA,Act,0.15053763440860216,0.047,0.16910526315789473
116349_Act,C5orf55,Act,0.15053763440860216,0.047,0.16910526315789473
374868_LoF,ATP9B,LoF,0.053763440860215055,0.0677,0.16910526315789473
57473_Act,ZNF512B,Act,0.14336917562724014,0.0706,0.16910526315789473
140700_Act,SAMD10,Act,0.14336917562724014,0.0706,0.16910526315789473
51750_Act,RTEL1,Act,0.14336917562724014,0.0706,0.16910526315789473
79144_Act,PPDPF,Act,0.14695340501792115,0.0582,0.16910526315789473
4661_Act,MYT1,Act,0.14336917562724014,0.0706,0.16910526315789473
85441_Act,HELZ2,Act,0.14695340501792115,0.0582,0.16910526315789473
80331_Act,DNAJC5,Act,0.14336917562724014,0.0706,0.16910526315789473
140685_Act,ZBTB46,Act,0.14695340501792115,0.0582,0.16910526315789473
1387_LoF,CREBBP,LoF,0.07168458781362007,0.0344,0.16910526315789473
153478_Act,PLEKHG4B,Act,0.15770609318996415,0.0345,0.16910526315789473
23644_LoF,EDC4,LoF,0.053763440860215055,0.0677,0.16910526315789473
5728_LoF,PTEN,LoF,0.05734767025089606,0.0602,0.16910526315789473
126433_Act,FBXO27,Act,0.13620071684587814,0.0885,0.17407438016528926
55204_Act,GOLPH3L,Act,0.13620071684587814,0.0885,0.17407438016528926
84072_Act,HORMAD1,Act,0.13620071684587814,0.0885,0.17407438016528926
775_Act,CACNA1C,Act,0.13620071684587814,0.0885,0.17407438016528926
4170_Act,MCL1,Act,0.13620071684587814,0.0885,0.17407438016528926
359948_Act,IRF2BP2,Act,0.13620071684587814,0.0885,0.17407438016528926
6829_Act,SUPT5H,Act,0.13620071684587814,0.0885,0.17407438016528926
643641_Act,ZNF862,Act,0.13261648745519714,0.0979,0.17651666666666666
3191_Act,HNRNPL,Act,0.13261648745519714,0.0979,0.17651666666666666
54623_Act,PAF1,Act,0.13261648745519714,0.0979,0.17651666666666666
1804_Act,DPP6,Act,0.13261648745519714,0.0979,0.17651666666666666
54938_Act,SARS2,Act,0.13261648745519714,0.0979,0.17651666666666666
8427_Act,ZNF282,Act,0.13261648745519714,0.0979,0.17651666666666666
55588_Act,MED29,Act,0.13261648745519714,0.0979,0.17651666666666666
9453_Act,GGPS1,Act,0.13261648745519714,0.0979,0.17651666666666666
155054_Act,ZNF425,Act,0.13261648745519714,0.0979,0.17651666666666666
27153_Act,ZNF777,Act,0.13261648745519714,0.0979,0.17651666666666666
390928_Act,ACP7,Act,0.13261648745519714,0.0979,0.17651666666666666
348303_Act,SELENOV,Act,0.12903225806451613,0.1083,0.17654383561643833
65125_Act,WNK1,Act,0.12903225806451613,0.1083,0.17654383561643833
92609_Act,TIMM50,Act,0.12903225806451613,0.1083,0.17654383561643833
6217_Act,RPS16,Act,0.12903225806451613,0.1083,0.17654383561643833
4815_Act,NINJ2,Act,0.12903225806451613,0.1083,0.17654383561643833
64857_Act,PLEKHG2,Act,0.12903225806451613,0.1083,0.17654383561643833
126432_Act,RINL,Act,0.12903225806451613,0.1083,0.17654383561643833
23085_Act,ERC1,Act,0.12903225806451613,0.1083,0.17654383561643833
5927_Act,KDM5A,Act,0.12903225806451613,0.1083,0.17654383561643833
22933_Act,SIRT2,Act,0.12903225806451613,0.1083,0.17654383561643833
7538_Act,ZFP36,Act,0.12903225806451613,0.1083,0.17654383561643833
282616_Act,IFNL2,Act,0.12903225806451613,0.1083,0.17654383561643833
9690_Act,UBE3C,Act,0.12903225806451613,0.1083,0.17654383561643833
1891_Act,ECH1,Act,0.12903225806451613,0.1083,0.17654383561643833
1893_Act,ECM1,Act,0.12544802867383512,0.1217,0.19181854304635762
56341_Act,PRMT8,Act,0.12544802867383512,0.1217,0.19181854304635762
54480_Act,CHPF2,Act,0.12544802867383512,0.1217,0.19181854304635762
26_Act,ABP1,Act,0.12544802867383512,0.1217,0.19181854304635762
64327_Act,LMBR1,Act,0.12544802867383512,0.1217,0.19181854304635762
57180_Act,ACTR3B,Act,0.12186379928315412,0.134,0.19565644171779142
9601_Act,PDIA4,Act,0.12186379928315412,0.134,0.19565644171779142
440073_Act,IQSEC3,Act,0.12186379928315412,0.134,0.19565644171779142
6539_Act,SLC6A12,Act,0.12186379928315412,0.134,0.19565644171779142
84318_Act,CCDC77,Act,0.12186379928315412,0.134,0.19565644171779142
51422_Act,PRKAG2,Act,0.12186379928315412,0.134,0.19565644171779142
79602_Act,ADIPOR2,Act,0.12186379928315412,0.134,0.19565644171779142
283358_Act,B4GALNT3,Act,0.12186379928315412,0.134,0.19565644171779142
285973_Act,ATG9B,Act,0.12186379928315412,0.134,0.19565644171779142
155435_Act,RBM33,Act,0.12186379928315412,0.134,0.19565644171779142
8454_Act,CUL1,Act,0.12186379928315412,0.134,0.19565644171779142
140545_Act,RNF32,Act,0.12186379928315412,0.134,0.19565644171779142
2146_Act,EZH2,Act,0.11827956989247312,0.1523,0.20595113636363635
6604_Act,SMARCD3,Act,0.11827956989247312,0.1523,0.20595113636363635
84626_Act,KRBA1,Act,0.11827956989247312,0.1523,0.20595113636363635
10061_Act,ABCF2,Act,0.11827956989247312,0.1523,0.20595113636363635
