,Symbol,Type,Freq,Emp.p_value,q_value
1000009268_Act,kegg::Gastric cancer - Homo sapiens (human),Act,0.9507692307692308,0.0,0.0
1000009261_Act,kegg::Bladder cancer - Homo sapiens (human),Act,0.8553846153846154,0.0,0.0
1000002303_LoF,GO::intrinsic apoptotic signaling pathway by p53 class mediator,LoF,0.7138461538461538,0.0,0.0
1000002791_LoF,GO::replicative senescence,LoF,0.6892307692307692,0.0,0.0
1000003939_LoF,GO::regulation of cell cycle G2/M phase transition,LoF,0.5784615384615385,0.0,0.0
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.8953846153846153,0.0,0.0
1000009260_Act,kegg::Melanoma - Homo sapiens (human),Act,0.8923076923076924,0.0,0.0
401145_LoF,CCSER1,LoF,0.2246153846153846,0.0019,0.05704
2064_Act,ERBB2,Act,0.2,0.0016,0.05704
1029_LoF,CDKN2A,LoF,0.19076923076923077,0.0019,0.05704
8289_LoF,ARID1A,LoF,0.16615384615384615,0.0023,0.05704
64478_LoF,CSMD1,LoF,0.16923076923076924,0.002,0.05704
4089_LoF,SMAD4,LoF,0.15076923076923077,0.0032,0.06613333333333334
4609_Act,MYC,Act,0.16923076923076924,0.0043,0.07617142857142857
3845_Act,KRAS,Act,0.13538461538461538,0.0074,0.09920000000000001
2762_LoF,GMDS,LoF,0.11692307692307692,0.008,0.09920000000000001
5071_LoF,PARK2,LoF,0.12,0.0074,0.09920000000000001
7179_LoF,TPTE,LoF,0.08615384615384615,0.0146,0.11435555555555556
149998_LoF,LIPI,LoF,0.06461538461538462,0.0278,0.11435555555555556
3685_LoF,ITGAV,LoF,0.09538461538461539,0.0116,0.11435555555555556
5728_LoF,PTEN,LoF,0.09538461538461539,0.0116,0.11435555555555556
3660_LoF,IRF2,LoF,0.06153846153846154,0.0303,0.11435555555555556
79682_LoF,CENPU,LoF,0.055384615384615386,0.0393,0.11435555555555556
55714_LoF,ODZ3,LoF,0.08307692307692308,0.0164,0.11435555555555556
