,Symbol,Type,Freq,Emp.p_value,q_value
1000009266_Act,kegg::Breast cancer - Homo sapiens (human),Act,0.9076923076923077,0.0,0.0
1000009262_Act,kegg::Chronic myeloid leukemia - Homo sapiens (human),Act,0.7923076923076923,0.0,0.0
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.8923076923076924,0.0,0.0
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.7807692307692308,0.0,0.0
1000009252_Act,kegg::Colorectal cancer - Homo sapiens (human),Act,0.7807692307692308,0.0,0.0
1000009250_Act,kegg::Proteoglycans in cancer - Homo sapiens (human),Act,0.9230769230769231,0.0,0.0
1000009241_Act,kegg::Human T-cell leukemia virus 1 infection - Homo sapiens (human),Act,0.926923076923077,0.0,0.0
1000009190_Act,kegg::AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human),Act,0.8,0.0,0.0
1000009187_Act,kegg::Type II diabetes mellitus - Homo sapiens (human),Act,0.6884615384615385,0.0,0.0
1000009264_Act,kegg::Small cell lung cancer - Homo sapiens (human),Act,0.8269230769230769,0.0,0.0
1000006421_Act,GO::anoikis,Act,0.5115384615384615,0.0,0.0
1000009168_Act,kegg::Insulin signaling pathway - Homo sapiens (human),Act,0.8538461538461538,0.0,0.0
1000009121_Act,kegg::Focal adhesion - Homo sapiens (human),Act,0.9192307692307692,0.0,0.0
1000009115_Act,kegg::Axon guidance - Homo sapiens (human),Act,0.8923076923076924,0.0,0.0
1000009101_Act,kegg::Apoptosis - Homo sapiens (human),Act,0.8615384615384616,0.0,0.0
1000000113_Act,GO::peptidyl-tyrosine phosphorylation,Act,0.8346153846153846,0.0,0.0
1000009099_Act,kegg::PI3K-Akt signaling pathway - Homo sapiens (human),Act,0.9692307692307692,0.0,0.0
1000000422_Act,GO::protein kinase A signaling,Act,0.4269230769230769,0.0,0.0
1000009079_Act,kegg::FoxO signaling pathway - Homo sapiens (human),Act,0.8576923076923076,0.0,0.0
1000009177_Act,kegg::Thyroid hormone signaling pathway - Homo sapiens (human),Act,0.8730769230769231,0.0,0.0
1000009265_Act,kegg::Non-small cell lung cancer - Homo sapiens (human),Act,0.7730769230769231,0.0,0.0
1000007475_Act,GO::cardiac muscle hypertrophy,Act,0.4807692307692308,0.0,0.0
1000009267_Act,kegg::Hepatocellular carcinoma - Homo sapiens (human),Act,0.9115384615384615,0.0,0.0
1000003030_Act,GO::skeletal muscle myosin thick filament assembly,Act,0.43846153846153846,0.0,0.0
1000003716_Act,GO::cell migration,Act,0.9153846153846154,0.0,0.0
1000002925_Act,GO::protein phosphorylation,Act,0.9846153846153847,0.0,0.0
1000002605_Act,GO::cardiac muscle contraction,Act,0.7538461538461538,0.0,0.0
1000002314_Act,GO::cell-cell adhesion,Act,0.8461538461538461,0.0,0.0
1000000302_Act,GO::negative regulation of anoikis,Act,0.5461538461538461,0.0,0.0
1000005166_Act,GO::ERBB2 signaling pathway,Act,0.6576923076923077,0.0,0.0
7273_Act,TTN,Act,0.28846153846153844,0.0002,0.02562
5728_LoF,PTEN,LoF,0.11923076923076924,0.0007,0.02562
53353_LoF,LRP1B,LoF,0.18076923076923077,0.0005,0.02562
58508_LoF,KMT2C,LoF,0.16923076923076924,0.0005,0.02562
2195_LoF,FAT1,LoF,0.11538461538461539,0.0007,0.02562
23043_Act,TNIK,Act,0.23461538461538461,0.0011,0.02875714285714286
254827_Act,NAALADL2,Act,0.2230769230769231,0.0011,0.02875714285714286
57709_Act,SLC7A14,Act,0.21923076923076923,0.0016,0.03253333333333334
22871_Act,NLGN1,Act,0.21923076923076923,0.0016,0.03253333333333334
5337_Act,PLD1,Act,0.2153846153846154,0.0025,0.041590909090909095
6794_LoF,STK11,LoF,0.09615384615384616,0.0025,0.041590909090909095
6514_Act,SLC2A2,Act,0.21153846153846154,0.0037,0.04231875
2122_Act,MECOM,Act,0.21153846153846154,0.0037,0.04231875
