,Symbol,Type,Freq,Emp.p_value,q_value
1000009257_Act,kegg::Prostate cancer - Homo sapiens (human),Act,0.9473684210526315,0.0,0.0
1000009265_LoF,kegg::Non-small cell lung cancer - Homo sapiens (human),LoF,0.9289473684210526,0.0,0.0
1000009260_LoF,kegg::Melanoma - Homo sapiens (human),LoF,0.9236842105263158,0.0,0.0
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.9368421052631579,0.0,0.0
1000009177_Act,kegg::Thyroid hormone signaling pathway - Homo sapiens (human),Act,0.9657894736842105,0.0,0.0
1000008145_Act,GO::cellular response to actinomycin D,Act,0.5842105263157895,0.0,0.0
1000009262_LoF,kegg::Chronic myeloid leukemia - Homo sapiens (human),LoF,0.9421052631578948,0.0,0.0
1000009107_Act,kegg::Cellular senescence - Homo sapiens (human),Act,0.9736842105263158,0.0,0.0
1000009256_Act,kegg::Glioma - Homo sapiens (human),Act,0.9289473684210526,0.0,0.0
1000009255_Act,kegg::Endometrial cancer - Homo sapiens (human),Act,0.9026315789473685,0.0,0.0
1000002791_LoF,GO::replicative senescence,LoF,0.8236842105263158,0.0,0.0
1000009252_Act,kegg::Colorectal cancer - Homo sapiens (human),Act,0.9210526315789473,0.0,0.0
1000001335_LoF,GO::Ras protein signal transduction,LoF,0.9236842105263158,0.0,0.0
1000009084_LoF,kegg::Cell cycle - Homo sapiens (human),LoF,0.9605263157894737,0.0,0.0
1000009261_Act,kegg::Bladder cancer - Homo sapiens (human),Act,0.9263157894736842,0.0,0.0
1000009258_Act,kegg::Thyroid cancer - Homo sapiens (human),Act,0.8368421052631579,0.001,0.11476923076923076
1000006334_Act,GO::mRNA transcription,Act,0.5526315789473685,0.001,0.11476923076923076
1000009254_LoF,kegg::Pancreatic cancer - Homo sapiens (human),LoF,0.9289473684210526,0.001,0.11476923076923076
1000009267_LoF,kegg::Hepatocellular carcinoma - Homo sapiens (human),LoF,0.9710526315789474,0.001,0.11476923076923076
1000005304_Act,GO::cellular response to gamma radiation,Act,0.7947368421052632,0.001,0.11476923076923076
1000003420_LoF,GO::positive regulation of execution phase of apoptosis,LoF,0.6078947368421053,0.001,0.11476923076923076
1000009071_Act,kegg::Rap1 signaling pathway - Homo sapiens (human),Act,0.9763157894736842,0.001,0.11476923076923076
1000005423_Act,GO::mitotic G1 DNA damage checkpoint,Act,0.6026315789473684,0.001,0.11476923076923076
1000007151_Act,GO::hypomethylation of CpG island,Act,0.3,0.001,0.11476923076923076
1000009240_LoF,kegg::Human papillomavirus infection - Homo sapiens (human),LoF,0.9921052631578947,0.001,0.11476923076923076
1000009236_Act,kegg::Hepatitis B - Homo sapiens (human),Act,0.9631578947368421,0.001,0.11476923076923076
2055_LoF,CLN8,LoF,0.08157894736842106,0.0351,0.1801846153846154
9228_LoF,DLGAP2,LoF,0.08947368421052632,0.0283,0.1801846153846154
1670_LoF,DEFA5,LoF,0.07894736842105263,0.0381,0.1801846153846154
26260_LoF,FBXO25,LoF,0.08157894736842106,0.0351,0.1801846153846154
196_Act,AHR,Act,0.11315789473684211,0.0368,0.1801846153846154
157697_LoF,ERICH1,LoF,0.0868421052631579,0.0308,0.1801846153846154
3265_LoF,HRAS,LoF,0.060526315789473685,0.0549,0.1801846153846154
116966_LoF,WDR17,LoF,0.06315789473684211,0.0511,0.1801846153846154
5728_LoF,PTEN,LoF,0.08157894736842106,0.0351,0.1801846153846154
11262_LoF,SP140,LoF,0.06315789473684211,0.0511,0.1801846153846154
3069_LoF,HDLBP,LoF,0.06578947368421052,0.0481,0.1801846153846154
1286_LoF,COL4A4,LoF,0.060526315789473685,0.0549,0.1801846153846154
547_LoF,KIF1A,LoF,0.07368421052631578,0.043,0.1801846153846154
10161_LoF,LPAR6,LoF,0.10263157894736842,0.0201,0.1801846153846154
57105_LoF,CYSLTR2,LoF,0.07894736842105263,0.0381,0.1801846153846154
4482_LoF,MSRA,LoF,0.07631578947368421,0.041,0.1801846153846154
285_LoF,ANGPT2,LoF,0.07631578947368421,0.041,0.1801846153846154
169270_LoF,ZNF596,LoF,0.08947368421052632,0.0283,0.1801846153846154
9639_LoF,ARHGEF10,LoF,0.09210526315789473,0.0266,0.1801846153846154
2066_LoF,ERBB4,LoF,0.06842105263157895,0.0468,0.1801846153846154
7776_LoF,ZNF236,LoF,0.06315789473684211,0.0511,0.1801846153846154
25914_LoF,RTTN,LoF,0.06315789473684211,0.0511,0.1801846153846154
157695_LoF,C8orf42,LoF,0.08421052631578947,0.0323,0.1801846153846154
137075_LoF,CLDN23,LoF,0.07894736842105263,0.0381,0.1801846153846154
90459_LoF,ERI1,LoF,0.08157894736842106,0.0351,0.1801846153846154
4170_Act,MCL1,Act,0.11578947368421053,0.0322,0.1801846153846154
79648_LoF,MCPH1,LoF,0.08421052631578947,0.0323,0.1801846153846154
1513_Act,CTSK,Act,0.11052631578947368,0.0414,0.1801846153846154
9172_LoF,MYOM2,LoF,0.10526315789473684,0.0189,0.1801846153846154
55204_Act,GOLPH3L,Act,0.10789473684210527,0.0465,0.1801846153846154
8658_LoF,TNKS,LoF,0.08421052631578947,0.0323,0.1801846153846154
9920_LoF,KBTBD11,LoF,0.07894736842105263,0.0381,0.1801846153846154
79660_LoF,PPP1R3B,LoF,0.08157894736842106,0.0351,0.1801846153846154
9258_LoF,MFHAS1,LoF,0.0868421052631579,0.0308,0.1801846153846154
10407_LoF,SPAG11B,LoF,0.08157894736842106,0.0351,0.1801846153846154
84072_Act,HORMAD1,Act,0.12105263157894737,0.0267,0.1801846153846154
1102_LoF,RCBTB2,LoF,0.08947368421052632,0.0283,0.1801846153846154
11076_Act,TPPP,Act,0.11052631578947368,0.0414,0.1801846153846154
1030_LoF,CDKN2B,LoF,0.34210526315789475,0.0028,0.1801846153846154
11160_Act,ERLIN2,Act,0.10789473684210527,0.0465,0.1801846153846154
11212_Act,PLPBP,Act,0.10789473684210527,0.0465,0.1801846153846154
25960_Act,ADGRA2,Act,0.11578947368421053,0.0322,0.1801846153846154
83860_Act,TAF3,Act,0.11315789473684211,0.0368,0.1801846153846154
2625_Act,GATA3,Act,0.11052631578947368,0.0414,0.1801846153846154
1368_Act,CPM,Act,0.1,0.0537,0.1801846153846154
11052_Act,CPSF6,Act,0.10263157894736842,0.0515,0.1801846153846154
144453_Act,BEST3,Act,0.1,0.0537,0.1801846153846154
10818_Act,FRS2,Act,0.1,0.0537,0.1801846153846154
4193_Act,MDM2,Act,0.1,0.0537,0.1801846153846154
5468_Act,PPARG,Act,0.17105263157894737,0.0103,0.1801846153846154
7534_Act,YWHAZ,Act,0.1736842105263158,0.0101,0.1801846153846154
595_Act,CCND1,Act,0.12894736842105264,0.0202,0.1801846153846154
6659_Act,SOX4,Act,0.15789473684210525,0.0112,0.1801846153846154
7391_Act,USF1,Act,0.18157894736842106,0.0082,0.1801846153846154
5202_Act,PFDN2,Act,0.18421052631578946,0.0078,0.1801846153846154
50848_Act,F11R,Act,0.18421052631578946,0.0078,0.1801846153846154
6531_Act,SLC6A3,Act,0.11315789473684211,0.0368,0.1801846153846154
348932_Act,SLC6A18,Act,0.11315789473684211,0.0368,0.1801846153846154
153478_Act,PLEKHG4B,Act,0.12368421052631579,0.0237,0.1801846153846154
389257_Act,LRRC14B,Act,0.11578947368421053,0.0322,0.1801846153846154
6389_Act,SDHA,Act,0.12368421052631579,0.0237,0.1801846153846154
50805_Act,IRX4,Act,0.11315789473684211,0.0368,0.1801846153846154
9319_Act,TRIP13,Act,0.12105263157894737,0.0267,0.1801846153846154
7015_Act,TERT,Act,0.11315789473684211,0.0368,0.1801846153846154
79844_Act,ZDHHC11,Act,0.11052631578947368,0.0414,0.1801846153846154
257106_Act,ARHGAP30,Act,0.19210526315789472,0.0048,0.1801846153846154
11336_Act,EXOC3,Act,0.11842105263157894,0.0286,0.1801846153846154
133957_Act,CCDC127,Act,0.11052631578947368,0.0414,0.1801846153846154
63951_LoF,DMRTA1,LoF,0.21842105263157896,0.0053,0.1801846153846154
22807_LoF,IKZF2,LoF,0.060526315789473685,0.0549,0.1801846153846154
340024_Act,SLC6A19,Act,0.12105263157894737,0.0267,0.1801846153846154
55722_Act,CEP72,Act,0.11578947368421053,0.0322,0.1801846153846154
85409_Act,NKD2,Act,0.11052631578947368,0.0414,0.1801846153846154
10016_Act,PDCD6,Act,0.11578947368421053,0.0322,0.1801846153846154
6550_Act,SLC9A3,Act,0.12105263157894737,0.0267,0.1801846153846154
57491_Act,AHRR,Act,0.11578947368421053,0.0322,0.1801846153846154
79888_Act,LPCAT1,Act,0.10789473684210527,0.0465,0.1801846153846154
81037_Act,CLPTM1L,Act,0.11052631578947368,0.0414,0.1801846153846154
65980_Act,BRD9,Act,0.11578947368421053,0.0322,0.1801846153846154
54507_Act,ADAMTSL4,Act,0.12105263157894737,0.0267,0.1801846153846154
10723_Act,SLC12A7,Act,0.12631578947368421,0.022,0.1801846153846154
