,Symbol,Type,Freq,Emp.p_value,q_value
1000009269_Act,kegg::Central carbon metabolism in cancer - Homo sapiens (human),Act,0.952286282306163,0.0,0.0
1000001206_Act,GO::2-oxoglutarate metabolic process,Act,0.831013916500994,0.0,0.0
1956_Act,EGFR,Act,0.10139165009940358,0.0036,0.047959999999999996
126205_LoF,NLRP8,LoF,0.06560636182902585,0.0076,0.047959999999999996
126206_LoF,NLRP5,LoF,0.0636182902584493,0.0087,0.047959999999999996
9788_Act,MTSS1,Act,0.073558648111332,0.013,0.047959999999999996
2131_Act,EXT1,Act,0.073558648111332,0.013,0.047959999999999996
114788_Act,CSMD3,Act,0.08349900596421471,0.0063,0.047959999999999996
79149_LoF,ZSCAN5A,LoF,0.061630218687872766,0.0104,0.047959999999999996
50807_Act,ASAP1,Act,0.073558648111332,0.013,0.047959999999999996
7373_Act,COL14A1,Act,0.07554671968190854,0.0099,0.047959999999999996
140612_LoF,ZFP28,LoF,0.05964214711729622,0.0154,0.047959999999999996
64798_Act,DEPTOR,Act,0.073558648111332,0.013,0.047959999999999996
56169_Act,GSDMC,Act,0.07554671968190854,0.0099,0.047959999999999996
4982_Act,TNFRSF11B,Act,0.073558648111332,0.013,0.047959999999999996
55655_LoF,NLRP2,LoF,0.0636182902584493,0.0087,0.047959999999999996
338321_LoF,NLRP9,LoF,0.0636182902584493,0.0087,0.047959999999999996
84922_LoF,FIZ1,LoF,0.05964214711729622,0.0154,0.047959999999999996
63934_LoF,ZNF667,LoF,0.05964214711729622,0.0154,0.047959999999999996
388566_LoF,ZNF470,LoF,0.05964214711729622,0.0154,0.047959999999999996
147945_LoF,NLRP4,LoF,0.0636182902584493,0.0087,0.047959999999999996
147949_LoF,ZNF583,LoF,0.05964214711729622,0.0154,0.047959999999999996
29028_Act,ATAD2,Act,0.073558648111332,0.013,0.047959999999999996
126204_LoF,NLRP13,LoF,0.06560636182902585,0.0076,0.047959999999999996
654463_Act,FER1L6,Act,0.08151093439363817,0.0067,0.047959999999999996
29924_LoF,EPN1,LoF,0.05964214711729622,0.0154,0.047959999999999996
204801_LoF,NLRP11,LoF,0.061630218687872766,0.0104,0.047959999999999996
5794_LoF,PTPRH,LoF,0.06560636182902585,0.0076,0.047959999999999996
29903_LoF,CCDC106,LoF,0.061630218687872766,0.0104,0.047959999999999996
10794_LoF,ZNF460,LoF,0.0636182902584493,0.0087,0.047959999999999996
3802_LoF,KIR2DL1,LoF,0.05964214711729622,0.0154,0.047959999999999996
57343_LoF,ZNF304,LoF,0.05964214711729622,0.0154,0.047959999999999996
163033_LoF,ZNF579,LoF,0.05964214711729622,0.0154,0.047959999999999996
1029_LoF,CDKN2A,LoF,0.12922465208747516,0.0041,0.047959999999999996
5290_Act,PIK3CA,Act,0.09343936381709742,0.0046,0.047959999999999996
11338_LoF,U2AF2,LoF,0.0636182902584493,0.0087,0.047959999999999996
5178_LoF,PEG3,LoF,0.061630218687872766,0.0104,0.047959999999999996
169026_Act,SLC30A8,Act,0.07157057654075547,0.0191,0.048416279069767434
23167_Act,EFR3A,Act,0.07157057654075547,0.0191,0.048416279069767434
340359_Act,KLHL38,Act,0.07157057654075547,0.0191,0.048416279069767434
6873_Act,TAF2,Act,0.07157057654075547,0.0191,0.048416279069767434
10584_Act,COLEC10,Act,0.07157057654075547,0.0191,0.048416279069767434
5885_Act,RAD21,Act,0.07157057654075547,0.0191,0.048416279069767434
401474_Act,SAMD12,Act,0.07157057654075547,0.0191,0.048416279069767434
84294_Act,UTP23,Act,0.07157057654075547,0.0191,0.048416279069767434
59283_LoF,CACNG8,LoF,0.05168986083499006,0.0406,0.0491711111111111
10288_LoF,LILRB2,LoF,0.05765407554671968,0.0254,0.0491711111111111
59284_LoF,CACNG7,LoF,0.05168986083499006,0.0406,0.0491711111111111
84446_LoF,BRSK1,LoF,0.05765407554671968,0.0254,0.0491711111111111
115653_LoF,KIR3DL3,LoF,0.0536779324055666,0.0357,0.0491711111111111
5582_LoF,PRKCG,LoF,0.0536779324055666,0.0357,0.0491711111111111
125919_LoF,ZNF543,LoF,0.05765407554671968,0.0254,0.0491711111111111
7138_LoF,TNNT1,LoF,0.055666003976143144,0.0311,0.0491711111111111
54776_LoF,PPP1R12C,LoF,0.055666003976143144,0.0311,0.0491711111111111
