,Symbol,Type,Freq,Emp.p_value,q_value
1000001026_LoF,GO::histone H3-K27 trimethylation,LoF,0.5675675675675675,0.0,0.0
1000005831_LoF,GO::B cell receptor signaling pathway,LoF,0.972972972972973,0.0,0.0
1000008097_LoF,GO::response to molecule of bacterial origin,LoF,0.5405405405405406,0.0,0.0
28962_LoF,OSTM1,LoF,0.1891891891891892,0.0159,0.1484
3707_LoF,ITPKB,LoF,0.21621621621621623,0.0078,0.1484
639_LoF,PRDM1,LoF,0.21621621621621623,0.0078,0.1484
7128_LoF,TNFAIP3,LoF,0.2972972972972973,0.0018,0.1484
5966_Act,REL,Act,0.1891891891891892,0.0065,0.1484
2195_LoF,FAT1,LoF,0.1891891891891892,0.0159,0.1484
2045_LoF,EPHA7,LoF,0.1891891891891892,0.0159,0.1484
10973_LoF,ASCC3,LoF,0.1891891891891892,0.0159,0.1484
64780_LoF,MICAL1,LoF,0.1891891891891892,0.0159,0.1484
253714_LoF,MMS22L,LoF,0.1891891891891892,0.0159,0.1484
892_LoF,CCNC,LoF,0.1891891891891892,0.0159,0.1484
256380_LoF,SCML4,LoF,0.1891891891891892,0.0159,0.1484
965_LoF,CD58,LoF,0.1891891891891892,0.0159,0.1484
567_LoF,B2M,LoF,0.35135135135135137,0.0014,0.1484
202_LoF,AIM1,LoF,0.21621621621621623,0.0078,0.1484
55278_LoF,QRSL1,LoF,0.1891891891891892,0.0159,0.1484
23195_LoF,MDN1,LoF,0.21621621621621623,0.0078,0.1484
53353_LoF,LRP1B,LoF,0.2702702702702703,0.0036,0.1484
4585_Act,MUC4,Act,0.13513513513513514,0.0209,0.17556
10188_Act,TNK2,Act,0.13513513513513514,0.0209,0.17556
3351_LoF,HTR1B,LoF,0.16216216216216217,0.0458,0.21373333333333336
3617_LoF,IMPG1,LoF,0.16216216216216217,0.0458,0.21373333333333336
4907_LoF,NT5E,LoF,0.16216216216216217,0.0458,0.21373333333333336
1951_LoF,CELSR3,LoF,0.16216216216216217,0.0458,0.21373333333333336
51167_LoF,CYB5R4,LoF,0.16216216216216217,0.0458,0.21373333333333336
5238_LoF,PGM3,LoF,0.16216216216216217,0.0458,0.21373333333333336
387_LoF,RHOA,LoF,0.16216216216216217,0.0458,0.21373333333333336
83699_LoF,SH3BGRL2,LoF,0.16216216216216217,0.0458,0.21373333333333336
26246_LoF,OR2L2,LoF,0.16216216216216217,0.0458,0.21373333333333336
5738_LoF,PTGFRN,LoF,0.16216216216216217,0.0458,0.21373333333333336
7272_LoF,TTK,LoF,0.16216216216216217,0.0458,0.21373333333333336
4050_LoF,LTB,LoF,0.16216216216216217,0.0458,0.21373333333333336
4199_LoF,ME1,LoF,0.16216216216216217,0.0458,0.21373333333333336
60468_LoF,BACH2,LoF,0.16216216216216217,0.0458,0.21373333333333336
3321_LoF,IGSF3,LoF,0.16216216216216217,0.0458,0.21373333333333336
7375_LoF,USP4,LoF,0.16216216216216217,0.0458,0.21373333333333336
914_LoF,CD2,LoF,0.13513513513513514,0.0831,0.26341132075471696
10425_LoF,ARIH2,LoF,0.13513513513513514,0.0831,0.26341132075471696
