,Symbol,Type,Freq,Emp.p_value,q_value
1000002791_LoF,GO::replicative senescence,LoF,0.92,0.0,0.0
1000009256_LoF,kegg::Glioma - Homo sapiens (human),LoF,0.9644444444444444,0.0,0.0
1000009260_LoF,kegg::Melanoma - Homo sapiens (human),LoF,0.9688888888888889,0.0,0.0
1000009261_LoF,kegg::Bladder cancer - Homo sapiens (human),LoF,0.9511111111111111,0.0,0.0
23200_Act,ATP11B,Act,0.5,0.002,0.13943076923076922
2195_LoF,FAT1,LoF,0.19333333333333333,0.0038,0.13943076923076922
5728_LoF,PTEN,LoF,0.2111111111111111,0.0031,0.13943076923076922
54165_Act,DCUN1D1,Act,0.4866666666666667,0.0038,0.13943076923076922
6263_LoF,RYR3,LoF,0.19777777777777777,0.0036,0.13943076923076922
1029_LoF,CDKN2A,LoF,0.4266666666666667,0.0007,0.13943076923076922
8975_Act,USP13,Act,0.4911111111111111,0.0028,0.13943076923076922
6657_Act,SOX2,Act,0.4888888888888889,0.0033,0.13943076923076922
4507_LoF,MTAP,LoF,0.23333333333333334,0.0031,0.13943076923076922
1030_LoF,CDKN2B,LoF,0.2733333333333333,0.0024,0.13943076923076922
53353_LoF,LRP1B,LoF,0.47555555555555556,0.0007,0.13943076923076922
339829_Act,CCDC39,Act,0.5,0.002,0.13943076923076922
51555_Act,PEX5L,Act,0.4911111111111111,0.0028,0.13943076923076922
51193_Act,ZNF639,Act,0.4777777777777778,0.0044,0.13992000000000002
151613_Act,TTC14,Act,0.4777777777777778,0.0044,0.13992000000000002
137994_Act,LETM2,Act,0.19333333333333333,0.0251,0.14555876288659794
5618_Act,PRLR,Act,0.17777777777777778,0.0296,0.14555876288659794
54904_Act,NSD3,Act,0.2088888888888889,0.0129,0.14555876288659794
25836_Act,NIPBL,Act,0.18888888888888888,0.0268,0.14555876288659794
55669_Act,MFN1,Act,0.47333333333333333,0.0058,0.14555876288659794
81792_Act,ADAMTS12,Act,0.2911111111111111,0.0095,0.14555876288659794
59345_Act,GNB4,Act,0.4688888888888889,0.0068,0.14555876288659794
57129_Act,MRPL47,Act,0.46444444444444444,0.008,0.14555876288659794
23530_Act,NNT,Act,0.18222222222222223,0.0286,0.14555876288659794
8087_Act,FXR1,Act,0.47333333333333333,0.0058,0.14555876288659794
205860_LoF,TRIML2,LoF,0.07555555555555556,0.025,0.14555876288659794
339976_LoF,TRIML1,LoF,0.08444444444444445,0.0212,0.14555876288659794
132625_LoF,ZFP42,LoF,0.07777777777777778,0.0237,0.14555876288659794
7776_LoF,ZNF236,LoF,0.08222222222222222,0.0215,0.14555876288659794
86_Act,ACTL6A,Act,0.46444444444444444,0.008,0.14555876288659794
2533_Act,FYB,Act,0.18666666666666668,0.0277,0.14555876288659794
51289_Act,RXFP3,Act,0.18,0.0288,0.14555876288659794
92255_Act,LMBRD2,Act,0.17777777777777778,0.0296,0.14555876288659794
116349_Act,C5orf55,Act,0.19333333333333333,0.0251,0.14555876288659794
6389_Act,SDHA,Act,0.20666666666666667,0.0137,0.14555876288659794
7015_Act,TERT,Act,0.19777777777777777,0.0193,0.14555876288659794
79844_Act,ZDHHC11,Act,0.19555555555555557,0.0217,0.14555876288659794
10723_Act,SLC12A7,Act,0.20444444444444446,0.0147,0.14555876288659794
11336_Act,EXOC3,Act,0.19333333333333333,0.0251,0.14555876288659794
133957_Act,CCDC127,Act,0.19555555555555557,0.0217,0.14555876288659794
65980_Act,BRD9,Act,0.19333333333333333,0.0251,0.14555876288659794
340024_Act,SLC6A19,Act,0.22,0.0116,0.14555876288659794
55722_Act,CEP72,Act,0.20222222222222222,0.0157,0.14555876288659794
85409_Act,NKD2,Act,0.19777777777777777,0.0193,0.14555876288659794
10016_Act,PDCD6,Act,0.19555555555555557,0.0217,0.14555876288659794
6550_Act,SLC9A3,Act,0.20222222222222222,0.0157,0.14555876288659794
57491_Act,AHRR,Act,0.21555555555555556,0.0122,0.14555876288659794
81037_Act,CLPTM1L,Act,0.2,0.0171,0.14555876288659794
389257_Act,LRRC14B,Act,0.19555555555555557,0.0217,0.14555876288659794
153478_Act,PLEKHG4B,Act,0.21333333333333335,0.0124,0.14555876288659794
348932_Act,SLC6A18,Act,0.20444444444444446,0.0147,0.14555876288659794
6531_Act,SLC6A3,Act,0.22444444444444445,0.0113,0.14555876288659794
3977_Act,LIFR,Act,0.18,0.0288,0.14555876288659794
9631_Act,NUP155,Act,0.18,0.0288,0.14555876288659794
133688_Act,UGT3A1,Act,0.18444444444444444,0.0284,0.14555876288659794
55100_Act,WDR70,Act,0.17777777777777778,0.0296,0.14555876288659794
84674_Act,CARD6,Act,0.18,0.0288,0.14555876288659794
253260_Act,RICTOR,Act,0.18666666666666668,0.0277,0.14555876288659794
133584_Act,EGFLAM,Act,0.19555555555555557,0.0217,0.14555876288659794
345557_Act,PLCXD3,Act,0.18666666666666668,0.0277,0.14555876288659794
167127_Act,UGT3A2,Act,0.18,0.0288,0.14555876288659794
27086_LoF,FOXP1,LoF,0.08444444444444445,0.0212,0.14555876288659794
65250_Act,C5orf42,Act,0.19111111111111112,0.0264,0.14555876288659794
6092_LoF,ROBO2,LoF,0.08666666666666667,0.0206,0.14555876288659794
4711_Act,NDUFB5,Act,0.46444444444444444,0.008,0.14555876288659794
5925_LoF,RB1,LoF,0.10888888888888888,0.0157,0.14555876288659794
