,Symbol,Type,Freq,Emp.p_value,q_value
8289_LoF,ARID1A,LoF,0.07865168539325842,0.0395,0.14495384615384616
55799_LoF,CACNA2D3,LoF,0.0898876404494382,0.0284,0.14495384615384616
55083_LoF,KIF26B,LoF,0.07865168539325842,0.0395,0.14495384615384616
5925_LoF,RB1,LoF,0.06741573033707865,0.0673,0.14495384615384616
4685_LoF,NCAM2,LoF,0.07303370786516854,0.0505,0.14495384615384616
5728_LoF,PTEN,LoF,0.06741573033707865,0.0673,0.14495384615384616
23556_LoF,PIGN,LoF,0.07865168539325842,0.0395,0.14495384615384616
27164_LoF,SALL3,LoF,0.06741573033707865,0.0673,0.14495384615384616
4160_LoF,MC4R,LoF,0.07865168539325842,0.0395,0.14495384615384616
90701_LoF,SEC11C,LoF,0.07303370786516854,0.0505,0.14495384615384616
374868_LoF,ATP9B,LoF,0.06741573033707865,0.0673,0.14495384615384616
8792_LoF,TNFRSF11A,LoF,0.06741573033707865,0.0673,0.14495384615384616
5799_LoF,PTPRN2,LoF,0.08426966292134831,0.0326,0.14495384615384616
9306_LoF,SOCS6,LoF,0.06741573033707865,0.0673,0.14495384615384616
7776_LoF,ZNF236,LoF,0.06741573033707865,0.0673,0.14495384615384616
5275_LoF,SERPINB13,LoF,0.06741573033707865,0.0673,0.14495384615384616
28316_LoF,CDH20,LoF,0.07303370786516854,0.0505,0.14495384615384616
4772_LoF,NFATC1,LoF,0.06741573033707865,0.0673,0.14495384615384616
89778_LoF,SERPINB11,LoF,0.06741573033707865,0.0673,0.14495384615384616
23239_LoF,PHLPP1,LoF,0.07865168539325842,0.0395,0.14495384615384616
201456_LoF,FBXO15,LoF,0.0898876404494382,0.0284,0.14495384615384616
57614_LoF,KIAA1468,LoF,0.06741573033707865,0.0673,0.14495384615384616
55628_LoF,ZNF407,LoF,0.06741573033707865,0.0673,0.14495384615384616
28513_LoF,CDH19,LoF,0.07865168539325842,0.0395,0.14495384615384616
2922_LoF,GRP,LoF,0.06741573033707865,0.0673,0.14495384615384616
54877_LoF,ZCCHC2,LoF,0.06741573033707865,0.0673,0.14495384615384616
30062_LoF,RAX,LoF,0.06741573033707865,0.0673,0.14495384615384616
50863_LoF,NTM,LoF,0.06741573033707865,0.0673,0.14495384615384616
56288_LoF,PARD3,LoF,0.11235955056179775,0.0197,0.14495384615384616
22941_Act,SHANK2,Act,0.37640449438202245,0.0071,0.14495384615384616
3508_Act,IGHMBP2,Act,0.24157303370786518,0.0538,0.14495384615384616
116535_Act,MRGPRF,Act,0.2640449438202247,0.047,0.14495384615384616
55107_Act,ANO1,Act,0.37640449438202245,0.0071,0.14495384615384616
2248_Act,FGF3,Act,0.3595505617977528,0.0161,0.14495384615384616
2249_Act,FGF4,Act,0.3595505617977528,0.0161,0.14495384615384616
26579_Act,MYEOV,Act,0.3258426966292135,0.0212,0.14495384615384616
5462_Act,POU5F1B,Act,0.28651685393258425,0.026,0.14495384615384616
56169_Act,GSDMC,Act,0.21910112359550563,0.0586,0.14495384615384616
23043_Act,TNIK,Act,0.2808988764044944,0.0281,0.14495384615384616
80012_Act,PHC3,Act,0.2696629213483146,0.0411,0.14495384615384616
112937_LoF,GLB1L3,LoF,0.06741573033707865,0.0673,0.14495384615384616
151827_Act,LRRC34,Act,0.2752808988764045,0.0357,0.14495384615384616
7095_Act,SEC62,Act,0.2752808988764045,0.0357,0.14495384615384616
56648_Act,EIF5A2,Act,0.2696629213483146,0.0411,0.14495384615384616
2122_Act,MECOM,Act,0.2808988764044944,0.0281,0.14495384615384616
344658_Act,SAMD7,Act,0.2752808988764045,0.0357,0.14495384615384616
6498_Act,SKIL,Act,0.2696629213483146,0.0411,0.14495384615384616
6514_Act,SLC2A2,Act,0.2696629213483146,0.0411,0.14495384615384616
26996_Act,GPR160,Act,0.2696629213483146,0.0411,0.14495384615384616
7980_Act,TFPI2,Act,0.1797752808988764,0.0644,0.14495384615384616
4507_LoF,MTAP,LoF,0.3146067415730337,0.0095,0.14495384615384616
51741_LoF,WWOX,LoF,0.3258426966292135,0.0082,0.14495384615384616
2762_LoF,GMDS,LoF,0.1348314606741573,0.0156,0.14495384615384616
79782_Act,LRRC31,Act,0.2808988764044944,0.0281,0.14495384615384616
81832_LoF,NETO1,LoF,0.07865168539325842,0.0395,0.14495384615384616
8500_Act,PPFIA1,Act,0.38202247191011235,0.0049,0.14495384615384616
4089_LoF,SMAD4,LoF,0.17415730337078653,0.012,0.14495384615384616
9150_LoF,CTDP1,LoF,0.06741573033707865,0.0673,0.14495384615384616
1005_LoF,CDH7,LoF,0.11235955056179775,0.0197,0.14495384615384616
1029_LoF,CDKN2A,LoF,0.4887640449438202,0.0024,0.14495384615384616
