,Symbol,Type,Freq,Emp.p_value,q_value
324_LoF,APC,LoF,0.8902439024390244,0.0,0.0
1000006303_LoF,GO::negative regulation of apoptotic process,LoF,1.0,0.0,0.0
1000004726_LoF,GO::G protein-coupled receptor signaling pathway,LoF,1.0,0.0,0.0
5071_LoF,PARK2,LoF,0.06097560975609756,0.014,0.038964705882352936
80341_Act,BPIFB2,Act,0.14634146341463414,0.006,0.038964705882352936
128861_Act,BPIFA3,Act,0.12195121951219512,0.0276,0.038964705882352936
6640_Act,SNTA1,Act,0.12195121951219512,0.0276,0.038964705882352936
57148_Act,RALGAPB,Act,0.12195121951219512,0.0276,0.038964705882352936
79913_Act,ACTR5,Act,0.12195121951219512,0.0276,0.038964705882352936
22913_Act,RALY,Act,0.12195121951219512,0.0276,0.038964705882352936
671_Act,BPI,Act,0.12195121951219512,0.0276,0.038964705882352936
140699_Act,C20orf132,Act,0.12195121951219512,0.0276,0.038964705882352936
54715_LoF,RBFOX1,LoF,0.18292682926829268,0.0028,0.038964705882352936
7052_Act,TGM2,Act,0.12195121951219512,0.0276,0.038964705882352936
92747_Act,BPIFB1,Act,0.12195121951219512,0.0276,0.038964705882352936
27164_LoF,SALL3,LoF,0.07317073170731707,0.0091,0.038964705882352936
55714_LoF,ODZ3,LoF,0.06097560975609756,0.014,0.038964705882352936
2195_LoF,FAT1,LoF,0.06097560975609756,0.014,0.038964705882352936
23654_LoF,PLXNB2,LoF,0.06097560975609756,0.014,0.038964705882352936
2241_LoF,FER,LoF,0.06097560975609756,0.014,0.038964705882352936
51741_LoF,WWOX,LoF,0.06097560975609756,0.014,0.038964705882352936
57540_LoF,DISP3,LoF,0.06097560975609756,0.014,0.038964705882352936
140679_Act,SLC32A1,Act,0.12195121951219512,0.0276,0.038964705882352936
51654_Act,CDK5RAP1,Act,0.12195121951219512,0.0276,0.038964705882352936
54495_LoF,TMX3,LoF,0.06097560975609756,0.014,0.038964705882352936
171023_Act,ASXL1,Act,0.14634146341463414,0.006,0.038964705882352936
2312_Act,FLG,Act,0.17073170731707318,0.004,0.038964705882352936
191_Act,AHCY,Act,0.13414634146341464,0.0099,0.038964705882352936
81610_Act,FAM83D,Act,0.12195121951219512,0.0276,0.038964705882352936
343702_Act,XKR7,Act,0.12195121951219512,0.0276,0.038964705882352936
26051_Act,PPP1R16B,Act,0.12195121951219512,0.0276,0.038964705882352936
388697_Act,HRNR,Act,0.12195121951219512,0.0276,0.038964705882352936
149954_Act,BPIFB4,Act,0.12195121951219512,0.0276,0.038964705882352936
5335_Act,PLCG1,Act,0.12195121951219512,0.0276,0.038964705882352936
4089_LoF,SMAD4,LoF,0.13414634146341464,0.0043,0.038964705882352936
6934_LoF,TCF7L2,LoF,0.13414634146341464,0.0043,0.038964705882352936
6708_Act,SPTA1,Act,0.07317073170731707,0.0932,0.09941333333333334
4881_Act,NPR1,Act,0.07317073170731707,0.0932,0.09941333333333334
2703_Act,GJA8,Act,0.07317073170731707,0.0932,0.09941333333333334
286_Act,ANK1,Act,0.08536585365853659,0.0913,0.09941333333333334
